Reaction,Flux
25HVITD3tin_m,295.346451943993
25HVITD3tm,-0
25VITD3Hm,409.00841657038
34DHOXPEGOX,-1317.65210401012
34DHOXPEGt,-1317.65210401012
34DHPLACOX,256.544275452682
34DHXMANDACOX,1530.87011127919
34HPLFM,3160.39101363807
3DPHBH1,107.585898546993
3DPHBH2,68.3736531601938
3DSPHR,509.09485411502
3HBCOAHLm,241.975125701362
3MOBt2im,2501.02231675725
3MOPt2im,5512.12532838081
3MOX4HOXPGALDOX,2217.79406021259
3MOX4HOXPGALDOX_NADP_,-1987.32413817554
3SALAASPm,-1979.59013429539
3SALATAi,316.447616585263
3SPYRSP,316.447616585263
41R2A1H12BOOX,213.218007269069
42A12BOOX,256.544275452682
4HBZCOAFm,175.959551707186
4HBZFm,175.959551707186
4HGLSDm,2180.52089317593
4HOXPACDOX_NADP_,282.488224341192
4MPTNLte,260.202022966395
4MPTNLtm,-260.202022966395
5ADTSTSTERONEte,-4174.45072142021
5ADTSTSTERONEtr,4174.45072142021
5AOPtm,8755.54962526864
5MTHFt2,-2375.66534485085
7DHCHSTEROLtr,-5529.09847625946
A4GALTc,315.253246595631
ABUTt4_2_r,-3691.31622715516
ACACT1rm,7686.16250490458
ACACT1x,2536.97042095161
ACACT8p,394.707357968954
ACACT9p,-0
ACALDtm,-625.510634778781
ACCOAtr,1346.73416131764
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-108.305187630598
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-66.5186966837422
ACGALK,993.468516944122
ACGALK2,435.836228883027
ACGALtly,1612.38482061009
ACGAM6PSi,2898.9440087872
ACGAMK,424.909982692054
ACGAMPM,3323.85399147926
ACGAMtly,128.904634818664
ACHEe,550.1811163864
ACITL,368.205404192797
ACNACNGAL14ACGLCGALGLUSIDEte,-88.7699460329374
ACNAMlt,-1027.50383066944
ACNAMtn,1421.68936644917
ACOAD1fm,252.597059629234
ACOAD8m,2469.8687941919
ACOAD9m,241.975125701362
ACONTm,1403.85603970675
ACRNtm,-3980.59908695616
ACSm,217.186967559379
ACt2m,-2323.23680057349
ADAe,1136.98032331283
ADEt,-3798.68876159918
ADHAPtx,4510.9676524545
ADK1m,-90.0569180271359
ADK3,-9614.34842740557
ADK3m,114.286550396846
ADKd,-1073.57709316449
ADMDC,833.771757681158
ADNt,1627.56749026284
ADNt4,4056.66375186217
ADNtm,-779.645854186133
ADPMAN,994.244970956143
ADPtx,-1156.5356494061
ADRNCOAtx,-479.369806645718
ADRNCPT1,51.5217964495205
ADRNCPT2,51.521796461953
ADRNCRNt,-267.879604161697
ADRNt,1268.84929624207
ADSK,1063.61958728305
AGLPC,177.650146245608
AGLPH,177.650146245608
AGPAT1,1133.29233720978
AGTix,277.516386396067
AHCYStr,-228.843658566911
AKGDm,5010.99635839178
AKGMALtm,1676.4253268014
AKGtp,10000
AKR1C41,6692.91004302692
AKR1D,6692.91004302692
ALADGLYexR,1831.5615888861
ALAGLNexR,-269.076374534599
ALATA_L,-4046.72325363389
ALCD21_L,169.639448539524
ALCD22_D,0
ALDD2xm,625.510634778781
ALDD2y,1363.1218341755
ALDSTRNte,182.548036336502
ALDSTRNtm,-182.548036336502
ALOX12,240.74388496829
ALOX5,1063.3849412209
ALOX52,637.422848382606
ALR2,169.639448539524
ALR3,169.639448539524
AMACR2p,1366.42756463329
AMETr,228.84365854245
AMETt2m,2671.18995740877
AMPDA,869.488034712509
AMPTASECGe,2697.8837599232
AMPtp,-393.099508200747
APAT2rm,619.327390711295
ARACHCOAtx,687.925567708562
ARACHCPT1,531.688930158623
ARACHCPT2,531.688930170873
ARACHCRNt,113.813645720056
ARACHDCOAtx,3078.99361176873
ARACHDt2,1091.72832561714
ARACHDtr,-588.937079618547
ARACHt,1993.48014057036
ARSA,154.424600940961
R_group_phosphotase_1,699.737195278392
R_group_phosphotase_2,1655.83173185081
R_group_phosphotase_3,259.365664829583
ARTFR11,3989.00993378176
ARTFR12,3153.79213203085
ARTFR206,3221.35381026154
ARTFR41,1070.336283191
ARTFR44,6698.89818556938
ARTFR51,1038.05313801948
ARTFR61,2960.85048392153
ARTPLM1,7501.7567178313
ARTPLM2,996.558263372679
ARTPLM2m,959.842858573396
ARTPLM3,6073.09945419699
ASNNm,3562.62710274543
ASNt4,4390.79918544889
ASNtm,3562.62710274543
Asn_X_Ser_Thrtr,-60.1385192101839
ASPCTr,-146.066972452874
ASPNATm,2178.29785674059
ASPTAm,-14.5040836336793
ATP1ter,431.203891024348
ATP2ter,1887.8139041419
ATPasel,417.102874600626
ATPH1e,901.044424860806
ATPH2e,2274.55809771429
ATPtm,7520.32316744405
ATPtn,409.34913632319
ATPtx,1549.63515758167
BAAT1x,1717.91362806141
BAAT2x,3573.51117402603
BAAT3x,899.527727315854
BALAtmr,619.327390711295
BALAVECSEC,198.553589130632
BDMT_L,60.1385192101839
BHMT,3377.14689388358
BILDGLCURt,3462.09589858231
BILDGLCURtr,3462.09589858231
BILGLCURt,944.182306022612
BILGLCURtr,-1469.50945779984
BILIRED,917.982445989547
BILIRUBt2,-6156.61323328026
BILIRUBtr,-1805.70598946417
BTNDe,5133.8712689311
BUTt2m,291.352888451257
C160CPT1,877.940420635623
C160CPT2,-488.006918566611
C161CPT1,-5351.63320779035
C161CPT2,2923.59339335913
C161CPT22,230.164767762195
C161CRNt,1361.69741464303
C180CPT1,2690.25565368758
C180CPT2,97.2727016998267
C180CRNt,-103.760882472812
C181CPT1,3197.61506236599
C181CPT2,-1721.84918889852
C181CRNt,-987.237776604716
C204CPT1,-3173.59088707584
C204CPT2,598.008032720416
C204CRNt,-56.626773664917
C226COAtx,1462.81779725274
C226CPT1,635.495327375507
C226CPT2,635.495327387829
C226CRNt,57.1277841773172
CATm,7776.01041780796
CATp,8469.54624473033
CBPPer,1848.03011867538
CBPter,1848.03011867538
CBR2,2141.56805882003
CDIPTr,154.203696408507
CDS,155.802167773336
CDSm,385.060585287026
CEPTC,623.808739544812
CEPTE,261.923310698474
CERK,1835.96258263982
CERT1rt,94.2294477971781
CERT2gt,0
CERT2rt,357.659388913532
CGLYt3_2_,4859.08125374403
CHAT,87.6147546419124
CHLPCTD,1116.00709447019
CHLtm,-273.939486083709
CHOLATEt,8004.19115846764
CHOLK,298.413101988769
CHOLtr,5127.81909039896
CHSTEROLSULT,125.882331316679
CHSTEROLt2,1516.35103838791
CHSTEROLt3,-1100.98515309435
CHSTEROLtg,0
CHTNASE,98.6684492934307
CITRtm,-0
CITtam,-1479.4358728515
CKc,-8751.32259845215
CLPNDCOAtx,-216.161685072305
CLPNDCPT1,68.3744142965534
CLPNDCPT2,68.3744143089256
CLPNDCRNt,-189.345841125556
CLPNDt,154.517341644836
CLS_hs,1.59847136482899
CMPACNAtg,267.477395868084
CMPACNAtn,1421.68936644917
CMPSAS,1587.11690940429
CMPSASn,1421.68936644917
CO2ter,-1896.23681675067
CO2tm,6717.13870711105
COAtm,402.349404458644
COAtp,-987.361505640558
COAtr,-1005.49088902185
COt,369.08899232839
COUCOAFm,175.959551707186
CREATt4_2_r,-5078.17884821776
CRNCAR3tp,3738.75326739757
CRNCARtp,1178.46879230731
CRNt,-8605.74303296323
CRNtx,0
CRTSTRNt,182.548036336502
CRTSTRNtm,182.548036336502
CRVNCtr,1798.87642862741
CSm,913.759286732506
CSNAT2m,-2118.91918801434
CSNAT3x,3738.75326739757
CSNATer,1346.73416131764
CSNATm,-7745.92431041977
CSNATr,-304.079064078647
CSNt,1003.20395927475
CSPG_At,36.5082010970283
CSPG_Bt,11.6984969665789
CTPtn,1421.68936644917
CYSGLTH,-922.492180398642
CYSGLUexR,-623.054622183538
CYSO,316.447616585263
CYSt4,4449.28448286141
CYSTA,3681.05084192627
CYTD,958.586618184212
CYTDn,746.920897475567
CYTDt,116.291278882594
CYTDtn,746.920897475567
CYTK10,1529.46579624678
CYTK11,1860.78453709586
CYTK12,-916.439955389047
CYTK12n,-77.5375716314702
CYTK13,-201.07703617172
CYTK14,-2673.89616010222
CYTK1m,385.060585287026
CYTK2n,231.218267979333
CYTK3,3316.70739574992
CYTK3n,0
CYTK4,3615.03712428806
CYTK4n,-68.0102797040527
CYTK5,970.544217320712
CYTK5n,68.0102797040527
CYTK6,646.511565103796
CYTK7,-2945.88064545014
CYTK7n,-68.0102797040527
CYTK8,-525.566183168197
CYTK9,-1235.85885570227
D_3AIBt,6441.39210255936
DADNK,381.370308816174
DADNt4,1481.37074371228
DAGK_hs,-6617.90021540089
DAGt,-4041.45359030366
DASCBR,414.798943983596
DCIm,-483.627154407976
DCK1n,38.114423987814
DCK2n,47.5559926806964
DCSPTN1COAtx,-352.441460510794
DCSPTN1CPT1,80.9159582936645
DCSPTN1CPT2,80.9159583060796
DCSPTN1CRNt,-259.011231256549
DCSPTN1t,-472.53589083415
DCTPtn,-85.670416705223
DCYTD,1069.57115214831
DCYTDn,752.280498748
DCYTt,636.029680334006
DDPGAm,580.756804669246
DECDPtm,175.959551707186
DESAT18_5,326.300141199724
DESAT18_7,268.626477149905
DESAT18_8,987.324134415976
DESAT22_1p,180.185534442631
DESAT22_2p,178.333624642153
DGAT,2239.65073628593
DGCHOLte,3902.84307036568
DGCHOLtx,899.527727315854
DGK2m,2427.57014099033
DGNSKm,2427.57014099033
DGSNt,73.8560895813789
DGSNtm,2427.57014099033
DHAPA,4510.9676524545
DHCR72r,5529.09847625946
DHCRD2,3595.93499442164
DHDPBMTm,175.959551707186
DHEASt,-2857.66991547233
DHFtm,1067.9430547194
DHPM1,4331.60877028289
DIDPtn,6535.14389087401
DIGALSGALSIDEtg,-94.2294477971781
DIGALSIDEtg,94.2294477971781
DINt,-947.118388322157
DITPtn,-6535.14389087401
D_LACt2,-3530.48985741166
D_LACtm,-608.528892396806
DLNLCGCPT1,-278.73712334381
DLNLCGCPT2,606.739361591557
DLNLCGCRNt,153.843482099743
DLNLCGt,718.719932294558
DMNONCRNt,0
DNDPt10m,6268.50217674187
DNDPt11m,2630.03375533543
DNDPt16m,7079.71839386775
DNDPt22m,4104.06269275385
DNDPt23m,3624.77583679628
DNDPt27m,2729.65594651012
DNDPt28m,1876.39766088206
DNDPt30m,2575.91413624037
DNDPt33m,5533.62821501627
DNDPt37m,4999.18258304001
DNDPt3m,913.465566890548
DOLASNT_Ler,60.1385192101839
DOLDPP_Ler,60.1385192101839
DOLICHOL_Lter,23.3918331336233
DOLMANP_Lter,240.554076840736
DOLPGT1_Ler,60.1385192101839
DOLPGT2_Ler,60.1385192101839
DOLPGT3_Ler,23.3918331336233
DOPABMO,414.798943983596
DOPAt4_2_r,-4382.98400510848
DOPAtu,575.277016238862
DPHMBDCm,175.959551707186
DPMVDx,385.511883135366
DPPS,175.959551707186
DRPA,9448.7075875297
DSAT,1160.35646994627
DTDPtn,-5847.92958149425
DTTPtn,5847.92958149425
DUDPtn,-944.225559470919
DURAD,-4331.60877028289
DURIK1,2536.59822858854
DURIt,-3249.85273334083
DURItn,-752.280498748
ECOAH12m,241.975125701362
ECOAH1m,5722.34910892238
ECOAH1x,-151.796448758002
EHGLAT2m,580.756804669246
EICOSTETCPT1,1047.90414559914
EICOSTETCPT2,1047.90414562357
EICOSTETCRNt,383.038716253866
EICOSTETt,1100.26872702897
ELAIDCPT1,3476.56649757027
ELAIDCPT2,93.8488363411766
ELAIDCRNt,-57.0567006864912
ESTRADIOLGLCt,-1379.80397976911
ESTRADIOLGLCtr,-1379.80397976911
ESTRADIOLtr,5257.73037267483
ESTRIOLGLCte,166.869073722288
ESTRIOLGLCtr,-166.869073722288
ESTRIOLtr,93.4824320159114
ESTRONESt,-2098.70250748699
ESTRONEtr,-5080.92907804636
ESTSULT,185.89409796783
ETHAK,348.139211024438
EX_13_cis_retnglc[e],7731.4778916623
EX_1glyc_hs[e],2321.11383335166
EX_34dhoxpeg[e],-1317.65210401012
EX_3aib_D[e],6441.39210255936
EX_4hphac[e],282.488224341192
EX_4mptnl[e],260.202022966395
EX_4nph[e],-6248.13713047811
EX_5adtststerone[e],4174.45072142021
EX_5mthf[e],2864.20711369641
EX_6thf[e],-982.457110252533
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],108.305187630598
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],66.5186966837422
EX_ach[e],-957.403649854326
EX_acnacngal14acglcgalgluside_hs[e],88.7699460329374
EX_adp[e],-539.162910784722
EX_adrn[e],312.27179151434
EX_adrnl[e],-2624.17868279287
EX_ak2lgchol_hs[e],177.650146245432
EX_ala_B[e],-98.3154819277079
EX_ala_D[e],-1831.5615888861
EX_aldstrn[e],182.548036336502
EX_amp[e],1473.19353208676
EX_arach[e],-1531.58918115173
EX_arachd[e],-5718.57469975491
EX_atp[e],2530.59925933369
EX_bildglcur[e],-3462.09589858231
EX_bilglcur[e],1656.38990910593
EX_bilirub[e],4125.95512760385
EX_biocyt[e],-5133.8712689311
EX_cholate[e],-8004.19115846764
EX_chsterol[e],-3659.91162681424
EX_chtn[e],-98.6684492934307
EX_clpnd[e],-145.374341246086
EX_cmp[e],-10000
EX_co[e],369.08899232839
EX_creat[e],5078.17884821776
EX_crn[e],8605.74303296323
EX_crtstrn[e],-182.548036336502
EX_crvnc[e],-1773.10120375501
EX_cspg_a[e],36.5082010970283
EX_cspg_b[e],11.6984969665789
EX_dag_hs[e],4571.32109727795
EX_dcsptn1[e],472.821427182902
EX_dgchol[e],-3902.84307036568
EX_dheas[e],-2466.1845963042
EX_digalsgalside_hs[e],94.2294477971781
EX_dlnlcg[e],-710.09439925572
EX_dopa[e],353.653559952214
EX_eicostet[e],-1101.09853347984
EX_elaid[e],314.629523158097
EX_estradiolglc[e],1379.80397976911
EX_estriolglc[e],166.869073722288
EX_estrones[e],-1993.95318008047
EX_fucacgalfucgalacglcgalgluside_hs[e],117.223328787324
EX_fucacngal14acglcgalgluside_hs[e],154.347521368772
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],60.7118348861526
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],129.178585897555
EX_fucgalfucgalacglcgalgluside_hs[e],328.264282061458
EX_gbside_hs[e],-962.588794932071
EX_gchola[e],-4180.7737937363
EX_gq1b_hs[e],-838.980424684289
EX_gq1balpha_hs[e],211.383238248293
EX_gsn[e],474.34085342331
EX_gt1a_hs[e],-92.6166083794742
EX_gthrd[e],-1461.81463617039
EX_h2o2[e],-5265.65905125429
EX_hco3[e],7348.86798094797
EX_hdca[e],597.77206520216
EX_hdcea[e],3566.8304574337
EX_hestratriol[e],362.890497888322
EX_hexc[e],1933.29329293809
EX_hom_L[e],-980.48496875417
EX_hpdca[e],344.403787598148
EX_imp[e],3953.10413343243
EX_inost[e],-1342.43815919121
EX_lac_D[e],3530.48985741166
EX_leuktrA4[e],-3323.0779773054
EX_leuktrB4[e],-4437.74785425888
EX_leuktrD4[e],4056.21446755398
EX_leuktrE4[e],-1733.4035974866
EX_leuktrF4[e],-819.456610007624
EX_lgnc[e],-2987.3429822177
EX_lneldc[e],2126.13323129665
EX_lnlc[e],5104.2149921883
EX_lnlnca[e],-1445.19104495374
EX_lnlncg[e],1405.76296166714
EX_lpchol_hs[e],3350.18800606665
EX_mag_hs[e],-1188.39158683018
EX_meoh[e],-5234.44853243754
EX_mthgxl[e],821.700271775058
EX_ncam[e],244.872467595372
EX_no[e],403.777330107744
EX_nrvnc[e],-406.447329165127
EX_o2s[e],-8515.79985410516
EX_oagt3_hs[e],111.467152009589
EX_ocdca[e],-8110.42531245177
EX_ocdcea[e],-7043.64077645485
EX_octa[e],-4521.3304918123
EX_pchol_hs[e],-5149.68147478656
EX_pe_hs[e],-4595.2204133918
EX_peplys[e],-2610.08805716608
EX_pglyc_hs[e],-1941.19993939737
EX_prgstrn[e],-74.1279945556053
EX_prostgd2[e],529.451694408484
EX_prostge1[e],165.256535648145
EX_prostgf2[e],-3688.61893405003
EX_ps_hs[e],-2361.18888874706
EX_ptdca[e],49.0173052370137
EX_retfa[e],-2497.91767851863
EX_retinol[e],-5673.58289274674
EX_retn[e],220.665028268701
EX_retnglc[e],1764.16186714248
EX_Rtotal[e],7603.74545876806
EX_Rtotal2[e],5425.10390157604
EX_s2l2n2m2masn[e],-60.1385192101839
EX_sphs1p[e],632.660665644175
EX_strdnc[e],-509.223274168766
EX_tag_hs[e],0
EX_tagat_D[e],-813.245983229312
EX_tchola[e],-2019.05787999466
EX_tdchola[e],1043.60988068181
EX_tethex3[e],-919.475459308225
EX_tetpent3[e],-394.238742205924
EX_tetpent6[e],-441.730332490304
EX_tettet6[e],-566.280664103357
EX_tmndnc[e],3109.03988877464
EX_tststerone[e],-1766.3726121705
EX_tsul[e],3681.05084192627
EX_ttdca[e],-424.17804245082
EX_ump[e],2495.32907402735
EX_urate[e],4088.31651842275
EX_utp[e],-9293.1780272377
EX_vacc[e],636.859519816511
EX_vitd3[e],-4848.34276526239
EX_whddca[e],327.7685086118
EX_whhdca[e],204.64065837761
EX_whtststerone[e],51.9421740440885
