Reaction,Flux
10FTHF5GLUtl,120.188003741351
10FTHF5GLUtm,120.188003741351
10FTHFtl,-120.188003741351
10FTHFtm,138.398200919475
24_25DHVITD3t,159.573067397196
2DR1PP,1230.50183468191
34DHOXPEGOX,5111.33707572979
34DHOXPEGt,5111.33707572979
34DHPHAMT,212.88523975679
34DHPLACOX_NADP_,212.88523975679
34DHXMANDACOX,1148.2110510878
34DHXMANDACOX_NADP_,-5548.87156447511
34HPLFM,3186.41443779756
3AIBTm,384.722683286957
3AIBtmi,384.722683286957
3DPHBH1,30.2655175509047
3DPHBH2,27.7606296513594
3DSPHR,365.983495086108
3HBCOAHLm,625.522192498707
3MOBt2im,3160.75341808079
3MOX4HOXPGALDOX,2126.26552716879
3MOX4HOXPGALDOX_NADP_,-1824.90785497969
3SALAASPm,-2360.75624726997
41R1H2MAE12BOOX,431.326298640326
41R2A1H12BOOX,279.350264286088
42A12BOOX,212.88523975679
4HBZCOAFm,17.9171521780888
4HBZFm,17.9171521780888
4HOXPACDOX_NADP_,215.50451481643
4MPTNLte,133.882402600977
4MPTNLtm,-133.882402600977
5AOPtm,-182.979337369249
7DHCHSTEROLtr,-815.886131221127
A_MANASEly,70.4957373119782
A4GALTc,296.107601444023
AACTOOR,288.900092702589
AACTtm,288.900092702589
ABUTt4_2_r,-2108.51492227489
ACACT10m,-359.775114194466
ACACT1rm,7463.0181367517
ACACT1x,1545.6759059401
ACACT8p,-0
ACACT9p,156.906242915608
ACACtx,-5693.12122131815
ACCOAtn,0
ACCOAtr,-75.5961720410796
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-71.561189600512
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-46.6567427594277
ACGALK,454.966999112817
ACGALK2,255.527580487893
ACGALtly,846.634876305222
ACGAM6PSi,3536.10185989437
ACGAMK,1164.5717064737
ACGAMPM,3569.59160651998
ACGAMtly,752.3795896324
ACHtn,-0
ACITL,219.867743039611
ACNACNGAL14ACGLCGALGLUSIDEte,-65.0530488324807
ACNAMlt,-671.115958994402
ACNAMtn,1202.27621908443
ACNMLr,169.314569429253
ACOAD10m,-0
ACOAD1fm,607.326666688633
ACOAD9m,625.522192498707
ACRNtm,-3766.75731847941
ADAe,1667.58635273617
ADCim,991.709885066724
ADEt,-541.307192679131
ADHAPtx,247.636416748655
ADK1m,-518.267224706571
ADK3m,-4961.53783111449
ADMDC,512.351984228515
ADNt,2050.59574709965
ADNtm,-249.166491217178
ADPtx,1417.54052754495
ADRNCPT1,399.283622469617
ADRNCPT2,399.283623049019
ADRNCRNt,-19.7188720446757
ADRNt,1203.47376035168
ADSK,898.910433844439
AGLPC,247.636416748655
AGLPH,247.636416748655
AHCYStr,3637.60378749474
AHEXASEly,70.4957373119782
AKGDm,4062.14630023695
AKGtp,10000
ALASm,182.979337369249
ALATA_L,-2058.58056686601
ALCD21_L,358.170741120878
ALCD22_D,2711.70286460122
ALDD20xm,224.097766200601
ALDD2y,1304.52276064876
ALDSTRNte,146.102218071515
ALDSTRNtm,-146.102218071515
ALOX12,127.006000479093
ALOX5,235.98832664942
ALOX52,5531.4993439924
ALR2,358.170741120878
ALR3,358.170741120878
AMETr,-3637.60378749475
AMETt2m,2113.90098235139
AMPTASECGe,1193.04981417932
AMPtp,-1417.54052812185
ANDRSTRNte,-2917.64748749016
ANDRSTRNtr,2917.64748749016
AOBUTDsm,288.900092702589
APAT2rm,75.8541684903118
APRTO2,256.045915429226
ARACHCOAtx,94.5210759971479
ARACHCPT1,1390.43967399923
ARACHCPT2,1390.43967428809
ARACHCRNt,477.670686631978
ARACHDt2,-957.097887673679
ARACHDtr,-2055.22936427194
ARACHt,1617.7879890817
ARGSS,233.619705383969
ARSA,88.6346602307404
R_group_phosphotase_1,1029.17798066873
R_group_phosphotase_2,826.763780137908
ARTFR11,0
ARTFR41,2961.35868199006
ARTFR61,8085.74818284552
ARTPLM1,2845.90425231614
ARTPLM1m,5581.1613616905
ARTPLM2,826.763780137908
ASAH1,738.483688465795
ASNNm,2545.2141440993
ASNt4,2838.31518381382
ASNtm,2545.2141440993
Asn_X_Ser_Thrtr,-0.505754316378538
ASPNATm,582.800598377013
ASPTAm,583.618530981565
ATP1ter,224.121711578691
ATP2ter,1512.69748333477
ATPH2e,2854.59492478614
ATPtm,9253.55408382059
ATPtn,202.15066602353
B_MANNASEly,70.4957373119782
BAAT1x,2840.62655930737
BALAtmr,75.8541684903118
BALAVECSEC,138.059860194352
BDMT_L,0.505754316378538
BILDGLCURt,953.17222847115
BILDGLCURtr,946.876630487102
BILGLCURt,-994.452088067139
BILGLCURtr,3532.75465879059
BILIRED,946.211056664688
BILIRUBt2,-511.526911380519
BILIRUBtr,-4368.55429972531
BUTt2m,474.974457512967
C160CPT1,818.354215431522
C160CPT2,818.354215431522
C160CRNt,818.354215431522
C161CPT12,-6830.37132997766
C161CPT22,-5674.17410811891
C161CRN2t,-3078.18335844969
C180CPT1,4322.43374584164
C180CPT2,-827.10907394045
C180CRNt,-632.841427027895
C181CPT1,5494.72022162609
C181CPT2,-1531.73568527585
C181CRNt,-1490.1883091681
C204CPT1,-416.813598297464
C204CPT2,-34.6004631990193
C204CRNt,-237.032651514352
C226COAtx,73.189317535034
C226CPT1,814.936769939395
C226CPT2,814.936770232259
C226CRNt,-66.9330157430904
CATm,7807.51034433618
CATp,7318.16224514247
CBR2,5521.58207900161
CDIPTr,-438.823598188614
CDS,108.202035601995
CDSm,321.675370330026
CERK,513.372128920652
CERT1rt,829.719456772913
CERT2rt,238.818987952621
CH25H,288.485542518042
CHAT,2953.96799106754
CHATn,0
CHLPCTD,505.202328559867
CHLtm,-147.352721818851
CHOLATEt,6905.58210374506
CHOLATEt3,96.4013721286921
CHOLK,137.23757144013
CHOLtn,0
CHOLtr,3526.53206446822
CHOLtu,761.105692770359
CHSTEROLSULT,146.51836242401
CHSTEROLt1,-1362.22581259394
CHSTEROLt2,-253.947482256524
CHSTEROLt3,1887.26261632916
CHSTEROLtg,1918.61092456537
CHTNASE,80.9591823788343
CITRtm,3700.84121708377
CITtam,-1849.45425542917
CITtbm,4528.9058532459
CLPNDCOAtx,-381.384573046871
CLPNDCPT1,55.7393890268777
CLPNDCPT2,55.7393893196483
CLPNDCRNt,-432.739292948581
CLPNDt,14.518588521667
CLS_hs,1.65619034107594
CMPACNAtn,1202.27621908443
CMPSAS,1515.34642883608
CMPSASn,1202.27621908443
CO2tm,335.657861738895
CO2tp,-160.575095842523
COAtm,-4841.44488612598
COAtn,0
COAtr,-2029.37169455487
COt,170.381333916077
COUCOAFm,17.9171521780888
CREATt4_2_r,465.738510141338
CRMPte,245.344373040225
CRNt,-2850.18339053263
CRNtHa,3547.35709470681
CRNtx,0
CRTSLtr,-6597.59663322088
CRTSTRNt,146.102218071515
CRTSTRNtm,146.102218071515
CRVNCtr,-1537.50750447197
CSNAT3x,1560.571398372
CSNATer,-75.5961720410796
CSNATm,-7265.19003381533
CSNATp,1937.97247204142
CSNATr,228.184006663689
CTPtn,1202.27621879246
CYANt,1667.65533484709
CYANtm,1667.65533484709
CYSGLTH,-0
CYSGLUexR,-1127.55374349759
CYSTA,5044.43357074166
CYTD,1459.58284486182
CYTDt,-1988.64137749619
CYTDt4,3532.53437058097
CYTK10n,-445.044963034772
CYTK11,2182.60328501064
CYTK11n,445.044963034772
CYTK12,-1299.67659232811
CYTK12n,-50.3773711428767
CYTK13,632.147241275046
CYTK14,-999.299537009063
CYTK14n,-189.67849689088
CYTK1m,321.675370330026
CYTK1n,2357.00752591634
CYTK3n,50.1226421197716
CYTK4n,50.1226421186511
CYTK5,2381.84531119984
