Reaction,Flux
10FTHF5GLUtl,166.684963111515
10FTHF5GLUtm,166.684963111515
10FTHFtl,-166.684963111515
10FTHFtm,2588.56085275009
1MNCAMti,68.5673342778955
24_25DHVITD3t,160.054759763849
25HVITD3t,535.642816093829
25HVITD3tm,695.697575857518
2DR1PP,590.541140072407
34DHOXPEGOX,793.970629227819
34DHOXPEGt,793.970629227819
34DHPHAMT,2335.20632044417
34DHPLACOX_NADP_,379.770810919429
34DHXMANDACOX_NADP_,-793.970629227819
34HPLFM,3325.29697310652
35CGMPtn,176.169131332502
3DPHBH1,18.5873737128546
3DPHBH2,17.1484083064789
3MOBt2im,2709.9418131862
3MOPt2im,7095.05807443955
3MOX4HOXPGALDOX,3554.82163118768
3MOX4HOXPGALDOX_NADP_,-3243.2283317477
3SALAASPm,-1717.91765805728
42A12BOOX,379.770810919429
4HBZCOAFm,16.3696241037973
4HBZFm,16.3696241037973
4HOXPACDOX_NADP_,468.892560783133
4MPTNLte,290.627862379288
4MPTNLtm,-290.627862379288
5ADTSTSTERONESte,4513.18929181616
5ADTSTSTERONEtr,4513.18929181616
5AOPtm,7402.30856440024
5MTHFt2,1555.84608336705
7DHCHSTEROLtr,-2732.11575444172
ABUTt4_2_r,-6938.68969958591
ACACT1rm,7649.81576970856
ACACT1x,2599.5471088231
ACACt2m,-111.196735805919
ACACT7p,188.093645070838
ACACT8p,-0
ACACT9p,-0
ACACtx,-1884.70930008485
ACALDtm,-758.782535175576
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-139.496900860831
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-62.2459408546771
ACGALK,218.339595322518
ACGALtly,1943.26498421335
ACGAM6PSi,3967.20640262787
ACGAMK,106.54338106924
ACGAMPM,4073.74978369706
ACHEe,2466.98149303057
ACITL,338.534533867917
ACNACNGAL14ACGLCGALGLUSIDEte,-78.7071603593974
ACNAM9PL2,189.813890473837
ACNAMlt,-665.097618649573
ACNAMtn,230.742842691297
ACNMLr,-783.106469249862
ACOAD1fm,199.147972171291
ACOAD8m,-0
ACOAO7p,188.093645070838
ACRNtm,-4020.09125385462
ACt2m,-758.782535175576
ADCim,2410.57991744385
ADEt,4362.3370884837
ADHAPtx,4620.35663633252
ADK1m,1699.7449573785
ADK3m,-50.6544115774086
ADMDC,1311.65541317349
ADNK1m,838.753295127051
ADNt,491.455374790823
ADNt4,3073.45072959086
ADNtm,838.753295127051
ADPMAN,489.734106065411
ADRNCOAtx,-183.99906363453
ADRNCPT1,60.1842457943749
ADRNCPT2,60.1842457988858
ADRNCRNt,22.4475092276352
ADRNt,2468.82906607637
ADSK,854.422940244273
ADSL1,126.947467026086
AGLPC,143.207526666933
AGLPH,143.207526666933
AKGMALtm,2914.71134738837
AKGtp,744.769355338882
ALAGLYexR,-127.462605661021
ALASm,0
ALATA_L,-3993.14368405515
ALCD21_L,737.545062509775
ALCD22_D,2641.66491156201
ALDD20xm,280.269165787802
ALDD2xm,758.782535175576
ALDD2y,2356.97553001698
ALDSTRNte,186.992559268058
ALDSTRNtm,-186.992559268058
ALOX12,192.366069889127
ALOX5,323.718234947757
ALOX52,3684.30901368733
ALR2,737.545062509775
ALR3,737.545062509775
AMACR2p,1444.67808794616
AMETt2m,107.207346066312
AMPDA,870.827928687271
ANTIPYRENEte,567.199953452949
APRTO2,297.901337813911
ARACHCOAtx,1848.80389654836
ARACHCPT1,947.200304901357
ARACHCPT2,947.200304905842
ARACHCRNt,469.082683463923
ARACHDt2,-62.4843714408053
ARACHDtr,4119.09058306759
ARACHt,2568.31836241271
ARGSS,243.261229621093
ARSA,141.018665814104
R_group_phosphotase_1,670.845366720528
R_group_phosphotase_2,989.966217634996
ARTFR11,4931.07163508113
ARTFR12,981.490932253697
ARTFR206,2250.18175727088
ARTFR31,663.696346459678
ARTFR41,987.275782208594
ARTFR44,5781.71274060562
ARTFR61,4210.55233312395
ARTPLM1,6895.68711599591
ARTPLM2,5602.05256271435
ARTPLM3,747.633982451974
ASAH1,1265.85982371248
ASCBt,-1035.49469477656
ASNNm,2459.35298582507
ASNtm,2459.35298582507
ASPCTr,-185.517573478015
ASPNATm,614.284784788064
ASPTAm,127.150542975309
ATP1ter,352.27628261075
ATP2ter,-3017.78530706821
ATPasel,173.030689887148
ATPH2e,2945.45111692017
ATPtm,9145.70696827733
BAAT3x,1500.55553420521
BALAVECSEC,0
BHMT,1766.86302496537
BILDGLCURtr,359.688226552003
BILGLCURt,-7828.58611279585
BILGLCURtr,-1188.46006273699
BILIRED,1189.10766753651
BILIRUBtr,977.159234365638
BUTt2m,275.461283447559
C160CPT1,1993.107105597
C160CPT2,2182.11122909669
C161CPT1,-927.301268972698
C161CPT12,-3180.83388222413
C161CPT2,-927.301268972698
C161CPT22,-1008.27643012001
C161CRN2t,-685.087161455456
C161CRNt,-927.301268972698
C180CPT1,1883.23333931296
C180CPT2,-182.265668753884
C180CRNt,-97.6809761730401
C181CPT2,1017.74253678005
C181CRNt,1077.53283352868
C204CPT1,535.849723462026
C204CPT2,535.8497234665
C204CRNt,219.299247734481
C226COAtx,203.18874109991
C226CPT1,785.408351739481
C226CPT2,785.408351743953
C226CRNt,316.53859254188
CATm,7597.34793677486
CATp,6398.21958722171
CDIPTr,-262.709555303112
CDPDAGtm,-299.271025589082
CDS,109.553217443372
CDSm,540.611127896427
CEPTC,352.076471409898
CEPTE,308.635740612418
CERK,672.180574130704
CERT1gt,0
CERT2gt,0
CERT2rt,-161.736991228158
CH25H,528.401632081788
CHLPCTD,285.312309111656
CHOLATEt2,7675.18928764167
CHOLK,888.08677080984
CHOLtu,2466.98149303057
CHSTEROLt1,2315.33226206887
CHSTEROLt2,0
CHSTEROLt3,-3343.48386768783
CHSTEROLtg,0
CHTNASE,296.549950104914
CITRtm,1954.25329382867
CITt4_2,-2630.07565804324
CITtam,-2891.88939815063
CITtbm,2392.16019470314
CKc,-9440.35473096001
CLPNDCOAtx,-417.830483695706
CLPNDCPT1,84.5257669680141
CLPNDCPT2,84.5257669726211
CLPNDCRNt,10.1842103511954
CLPNDt,-199.12532902882
CLS_hs,1.71270710157892
CMPACNAtn,230.742842691297
CMPSAS,1788.46707773497
CMPSASn,230.742842691297
CO2tm,6398.40773189837
CO2tp,-740.414429614386
COAtm,-413.8886196602
COAtp,599.870995935386
COAtr,-3638.51566087343
COt,240.357233235394
COUCOAFm,16.3696241037973
CRMPte,337.163491875908
CRNCAR3tp,2520.38678975939
CRNCARtp,3317.90741572549
CRNt,-5149.30742101637
CRTSTRNt,186.992559268058
CRTSTRNtm,186.992559268058
