Reaction,Flux
10FTHFtm,7237.84291787145
25HVITD3tin_m,123.292186501084
25VITD3Hm,123.292186501084
34HPLFM,27.6622965044221
3DPHBH1,27.6622965044221
3MOBt2im,0
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,251.150705434846
3SALAASPm,-1907.5962027644
4HBZCOAFm,27.6622965044221
4HBZFm,27.6622965044221
4HOXPACDOX_NADP_,0
4MPTNLte,74.2735176548446
4MPTNLtm,-74.2735176548446
5MTHFt2,-6136.44838476123
7DHCHSTEROLtr,-298.580127263014
A_MANASEly,59.3814141605124
A4GALTc,452.850996650297
ACACT1rm,3907.70613645847
ACACT8p,-0
ACACT9p,-0
ACALDtm,-702.694060421233
ACCOAtn,0
ACETONEt2,153.359806206627
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-207.365822186508
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-92.2757678971688
ACGALK,2804.82721587743
ACGALK2,0
ACGALtly,718.468381611469
ACGAM6PSi,582.296614438198
ACGAMK,237.525656642049
ACGAMPM,819.822271080198
ACGAMtly,237.525656642049
ACHtn,-0
ACNAMlt,-353.70323665151
ACTNMO,153.359806206627
ADEt,2203.10718820673
ADHAPtx,240.272435952143
ADK1m,741.782566844504
ADMDC,190.423612808271
ADNt,956.273490315089
ADPMAN,601.319918494209
ADRNCOAtx,-349.850800642501
ADRNCPT1,78.1072799236737
ADRNCPT2,78.1072799236737
ADRNt,-162.477348356666
ADSK,798.460071235829
ADSL1,90.0158371201046
AGLPC,240.272435952143
AGLPH,240.272435952143
AHEXASEly,59.3814141605124
AKGDm,8469.35639542621
AKGMALtm,4524.41368839862
AKGtp,-326.726300662637
AKR1C42,7494.80274930159
ALADGLYexR,3851.77561056138
ALATA_L,-4577.17976966234
ALCD21_L,153.359806206627
ALCD22_D,3777.64516411686
ALDD21,3502.81118913922
ALDD2xm,702.694060421233
ALDD2y,7487.83419675892
ALDSTRNte,288.93468622243
ALDSTRNtm,-288.93468622243
ALOX5,141.116413344289
ALOX52,1540.11504913785
ALR3,153.359806206627
AMACR2p,617.138633327499
AMETt2m,6034.71627879145
AMPtp,-67.793534154107
APAT2rm,347.705410448432
ARACHCOAtx,76.8418570204965
ARACHCPT1,70.7469392199377
ARACHCPT2,70.7469392199377
ARACHDCOAtx,1380.16460620442
ARACHDt2,1245.38460066136
ARGLYSex,2141.17869824041
ARGSS,172.490222722736
ARSA,92.1390386030459
R_group_phosphotase_2,43.7108869796532
ARTFR203,467.128628362584
ARTFR44,4630.53325207175
ARTFR61,2404.91666712479
ARTPLM1,445.415042185345
ARTPLM2,1294.85483285199
ASNt4,2477.97306104198
ASPTAm,-1814.69476623134
ATP1ter,205.768338146721
ATP2ter,-1657.30968932356
ATPH2e,3022.67575773734
ATPtm,6539.25498057151
ATPtx,67.7935341525754
B_MANNASEly,59.3814141605124
BAAT2x,98.6301345010005
BALAtmr,347.705410448432
BILGLCURtr,-152.923840263483
BILIRUBtr,256.942824591516
BUTt2m,436.973769528239
C161CPT12,-1826.63221640526
C161CRN2t,371.45855345089
C180CRNt,0
C181CPT1,4342.79565917778
C181CPT2,1606.19314538233
C181CRNt,1642.48679843612
C204CPT1,-1207.28216381257
C204CPT2,172.882442392654
C204CRNt,1199.75890576371
C226CPT1,343.635130086988
C226CPT2,343.635130086988
CATm,4439.06166765562
CATp,1414.61796027655
CDIPTr,153.367702174904
CDPDAGtm,-424.33780334476
CDS,162.429071348142
CDSm,426.838516034161
CEPTC,470.252490359885
CERK,231.923509150044
CERT2gt,2485.58924103811
CERT2rt,94.247995165413
CH25H,1154.12573621732
CHAT,836.501867250933
CHATn,0
CHLPCTD,778.472200753604
CHOLATEt,7308.6261165344
CHOLK,708.385964425933
CHOLtn,0
CHOLtr,828.727100132213
CHSTEROLt1,-860.573610737531
CHSTEROLt3,145.750101183479
CLOXAtex2,92.9014365330624
CLPNDCPT1,31.2137796174375
CLPNDCPT2,31.2137796183339
CLPNDCRNt,920.724856995361
CLPNDt,95.0500216484743
