Reaction,Flux
10FTHFtm,1378.90278357708
24_25DHVITD3t,127.874045084711
25HVITD3t,604.797292973925
25HVITD3tm,732.671338058634
34DHXMANDACOX_NADP_,246.052669145714
3AIBTm,456.299439640281
3AIBtmi,456.299439640281
3DPHBH2,16.9141158913691
3DSPHR,482.851233491169
3HBCOAHLm,812.507870149443
3MOBt2im,0
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,545.211659087679
3SALAASPm,-0
41R1H2MAE12BOOX,246.052669145714
4HBZCOAFm,7.95408822962037
4HBZFm,7.95408822962037
4HOXPACDOX_NADP_,-0
4MPTNLte,224.972510732137
4MPTNLtm,-224.972510732137
5AOPtm,-1050.10783418723
A4GALTc,512.335763231207
ABUTt4_2_r,-3348.58177406491
ACACT1rm,7416.60612167839
ACACT1x,695.557419311947
ACACt2m,-126.542322896595
ACACT8p,-0
ACACT9p,183.039136980989
ACETONEt2m,-261.431910588614
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-70.7454581196368
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-67.8634368018567
ACGALK,1637.40798633122
ACGALK2,695.571046914049
ACGALtly,682.578529269088
ACGAMK,919.566070086831
ACGAMPM,564.506781534466
ACGSm,1190.42907361405
ACITL,254.997662492328
ACNACNGAL14ACGLCGALGLUSIDEte,-107.784477666003
ACNAMlt,-424.832666089669
ACNAMtn,1159.22108562519
ACNMLr,322.585186718661
ACOAD1fm,209.255724677545
ACOAD9m,812.507870149443
ACOAO7p,276.581159990289
ACONTm,-4041.63709693893
ACt2m,-4841.10245641085
ACTNMO,261.431910588614
ADCim,1984.13584502782
ADEt,417.679240877991
ADHAPtx,3952.37313265898
ADK1m,1114.42198616656
ADK3,-8259.13154815082
ADK3m,-748.05532298626
ADMDC,379.939383565745
ADNt,4592.07255086129
ADNtm,-218.420924239235
ADPMAN,196.557706308627
ADRNCOAtx,-685.329046176084
ADRNCPT1,42.3755602561851
ADRNCPT2,42.3755602563108
ADRNCRNt,-405.584639099528
ADSK,567.805808005174
AGLPC,107.103664550763
AGLPH,107.103664550763
AGTim,1441.56561820916
AKGDm,3153.01613124463
AKR1C42,8639.79887892867
ALADGLNexR,168.279448490744
ALADGLYexR,1618.7675041925
ALASm,1050.10783418723
ALAt4,3398.12762373331
ALATA_L,-3659.41192021237
ALCD21_L,261.431910588614
ALCD22_D,2573.12638230678
ALDD20xm,221.871666863107
ALDD21,3023.59156681644
ALDD2y,3920.71152353245
ALDSTRNte,229.672658395009
ALDSTRNtm,-229.672658395009
ALOX12,143.29950293656
ALOX5,198.090672016713
ALOX52,5673.24073863981
ALR3,261.431910588614
AMACR2p,1318.17005940122
AMETt2m,50.7423476741073
AMPDA,66.6401390702476
AMPTASECGe,1329.58892700886
AMPtp,-70.9283029649905
APAT2rm,98.1210995016326
ARACHCOAtx,1039.34580953792
ARACHCPT1,770.390033221891
ARACHCPT2,770.390033221981
ARACHCRNt,163.753210781997
ARACHDCOAtx,-1279.3666393786
ARACHDtr,-1951.72432991834
ARGSS,446.942093044154
R_group_phosphotase_1,1176.71660279683
R_group_phosphotase_2,616.589145961594
R_group_phosphotase_3,802.720580202896
ARTFR11,4094.75689080191
ARTFR12,3936.82238482525
ARTFR203,1774.4614406766
ARTFR208,713.967861027527
ARTFR41,7525.0316369152
ARTFR57,798.959538264779
ARTPLM1,5020.31645769693
ARTPLM1m,5352.13194722027
ARTPLM2,3144.38306841614
ARTPLM2m,3249.6639716366
ARTPLM3,496.821807835621
ASNS1,141.384106229201
ASPGLUm,2837.13863846474
ASPTAm,-1203.77924559719
ATP1ter,500.849551948821
ATP2ter,1289.71494535054
ATPasel,167.086802910247
ATPH2e,1698.1412070416
ATPtx,70.9283029649905
BAAT3x,104.146924945388
BALAtmr,98.1210995016326
BALAVECSEC,150.774388000385
BHMT,489.815597871313
BILGLCURt,-204.552262047738
BILGLCURtr,-204.552262047738
C160CPT2,-1443.59819154487
C160CRNt,-1443.59819154487
C161CPT1,-5308.85135382565
C161CPT12,276.581159990289
C161CPT2,2543.918554557
C161CPT22,-5740.75671526569
C161CRN2t,-3245.47273365718
C161CRNt,2543.918554557
C180CPT1,6946.51199547976
C180CPT2,-479.650375526341
C181CPT1,3057.9919754701
C181CPT2,897.552961427764
C204CPT2,239.567425516364
C204CRNt,-358.456217299025
C226CPT1,1329.31123592422
C226CPT2,1329.31123592422
CATm,8234.82822356058
CATp,7037.24066181054
CBR2,732.874537535717
CDIPTr,113.362462491957
CDS,113.362470191957
CEPTC,301.037559581825
CERK,699.548902177833
CERT2rt,153.506823685834
CHAT,331.820014321324
CHLPCTD,509.580138995848
CHOLK,520.568883889741
CHOLtr,78.1907839007648
CHSTEROLt2,2182.52760245972
CHSTEROLt3,-1789.8140384096
CHSTEROLtg,4172.01271626233
CHTNASE,198.993627789355
CITRtm,6674.31098245987
CITtam,-3210.6623106459
CLOXAtex2,521.320741408377
CLPNDCPT1,47.0483719903659
CLPNDCPT2,47.0483719904479
CLPNDCRNt,-404.419236397203
CLPNDt,288.116319802545
CLS_hs,7.7e-06
CMPACNAtn,1159.22108562519
CMPSAS,1037.83479066774
CMPSASn,1159.22108562519
CO2tm,6102.81540618583
CO2tp,-1092.54192818848
COAtm,319.478870130661
COAtr,592.487472837091
COt,84.2336156613937
COUCOAFm,7.95408822962037
CRMPte,457.35381950346
CRNtx,812.574902041366
CRTSTRNt,89.7529508659045
CRTSTRNtm,229.672658395009
CRVNCtr,1088.24328811195
CSNAT2m,-1703.99126851784
CSNAT2x,812.574902041366
CSNATr,8598.34267489533
CTPtn,1159.22108562519
CYSGLTH,-521.101053434099
CYSGLUexR,-517.851515742343
CYSt4,3835.38305846395
CYSTA,1542.16454489548
CYTD,1033.11753214917
CYTK10,4463.34507440471
CYTK11,3976.55947424357
CYTK12n,-23.1105199356407
CYTK13,-1841.27105578867
CYTK4n,-27.7892143328463
CYTK5,-1193.07795215989
CYTK7,-2106.69248964645
CYTK9,720.672709608138
D3AIBTm,-1212.88736841108
DADNK,254.560444581354
DADNt4,1200.72536485158
DAGK_hs,-3359.27749945041
DAGt,-3214.76005682435
DCIm,-133.43145572384
DCK1n,-50.899734268387
DCSPTN1COAtx,-509.680776562249
DCSPTN1CPT1,42.0888150034843
DCSPTN1CPT2,42.0888150036056
DCSPTN1CRNt,-407.78346279072
