Reaction,Flux
10FTHFtm,-272.149674924372
13DAMPPOX,200.547003879066
1MNCAMti,94.6974459549447
24_25DHVITD3t,197.307329733678
25HVITD3tm,197.307329733678
34DHOXPEGOX,531.252540404492
34DHOXPEGt,531.252540404492
34DHPHAMT,256.899633234214
34DHPLACOX,256.899633234214
34DHXMANDACOX,1633.95073876893
34DHXMANDACOX_NADP_,-1881.43984813256
34HPLFM,2119.02266608895
3DPHBH1,16.9032890730942
3DPHBH2,12.8109473898918
3HLYTCL,1675.79376448143
3MOBt2im,1868.81325272801
3MOPt2im,3107.57106470712
3MOX4HOXPGALDOX,2448.18544650452
3MOX4HOXPGALDOX_NADP_,-1679.28615783584
3SALAASPm,-2527.91259514393
41R2A1H12BOOX,283.763431043584
42A12BOOX,256.899633234214
4HBZCOAFm,29.7142364629861
4HBZFm,29.7142364629861
4HGLSDm,2226.97712355707
4HOXPACDOX_NADP_,-1895.64678198431
4MOPt2im,4442.77098419637
4MPTNLte,264.416495271693
4MPTNLtm,-264.416495271693
5AOPtm,-217.883739424164
7DHCHSTEROLtr,-2954.00784356677
A4GALTc,286.261252664614
ABUTt4_2_r,-5927.47739595617
ACACT1rm,9244.09698395031
ACACT1x,4724.53243739027
ACACT7p,161.860753136268
ACACT8p,-0
ACACT9p,-0
ACALDtm,-854.574867023539
ACETONEt2,423.619442223015
ACETONEt2m,183.718145198738
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-121.836267995705
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-61.5225960764549
ACGALK,512.806265937921
ACGALK2,301.537096905454
ACGALtly,2414.41759011579
ACGAM6PSi,2664.43845075385
ACGAMK,458.173581510746
ACGAMPM,3122.61203226457
ACGAMtly,2254.83705601547
ACNACNGAL14ACGLCGALGLUSIDEte,-85.3062670480892
ACNAMlt,-1088.5718465963
ACNMLr,-2538.7429631551
ACOAD1fm,362.028892869652
ACOAD9m,225.298466925111
ACOAO7p,622.197556054985
