Reaction,Flux
10FTHF5GLUtl,102.696582133358
10FTHF5GLUtm,102.696582133358
10FTHFtl,-102.696582133358
10FTHFtm,947.903485206518
25HVITD3tin_m,182.423291924972
25VITD3Hm,320.795535381077
2DR1PP,0
34DHPHAMT,0
34DHXMANDACOX,2285.86713734061
34DHXMANDACOX_NADP_,-1965.66461235085
34HPLFM,30.3935212788106
3AIBTm,2038.68947735161
3AIBtmi,2038.68947735161
3DPHBH1,30.3935212788106
3MOBt2im,5027.91850046087
3MOX4HOXPGALDOX,3212.85330254136
3MOX4HOXPGALDOX_NADP_,-2841.39641572981
3SALAASPm,-2793.80994883522
41R1H2MAE12BOOX,177.356913287451
41R2A1H12BOOX,142.845611701467
4HBZCOAFm,30.3935212788106
4HBZFm,30.3935212788106
4HGLSDm,1374.48841849462
4HOXPACDOX_NADP_,-0
4MPTNLte,217.187460710916
4MPTNLtm,-217.187460710916
5AOPtm,-318.665666098593
7DHCHSTEROLtr,-2394.19736782416
7THFtm,53.7415463500726
A4GALTc,532.53971657812
A4GALTg,101.809340852969
AACTOOR,706.598299548029
ABUTt4_2_r,-4724.43240692982
ACACT1rm,6680.76699371562
ACACT1x,2240.46476243242
ACACT8p,1398.75844306446
ACACT9p,109.184248376997
ACALDtm,-537.258662446411
ACCOAtn,0
ACCOAtr,-2767.4792421172
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-180.911439591097
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-62.9672345578714
ACGALK,1229.84250099269
ACGALK2,693.73043052035
ACGALtly,781.069398392219
ACGAM6PSi,2474.39854385997
ACGAMK,747.930687106142
ACGAMPM,1280.95113829954
ACGAMtly,464.005824619305
ACHEe,1152.75965755448
ACHtn,-0
ACNACNGAL14ACGLCGALGLUSIDEte,-95.2409814499175
ACNAMlt,-651.419140687486
ACOAD1fm,120.964527021469
ACOAD9m,486.431659339101
ACONTm,-1300.50920434539
ACRNtm,-7902.87282060388
ADA,633.917960028881
ADAe,519.541506188711
ADCim,1046.25421597062
ADEt,-7617.57742065133
ADHAPtx,3544.71301090043
ADK3,-9586.30603296265
ADK3m,60.7828391834464
ADKd,-224.68295927404
ADMDC,119.805994923165
ADNK1m,351.017912624502
ADNt,1420.47628764029
ADNt4,2933.24367373758
ADNtm,-407.258394817016
ADRNCOAtx,194.295488075254
ADRNCPT1,468.734111335094
ADRNCPT2,468.734111336902
ADRNCRNt,733.713750034207
ADSK,837.207819405576
ADSL1,98.8608925505307
AGLPC,173.570403265238
AGLPH,173.570403265238
AGPAT1,1026.71061206765
AHCYStr,1553.93753813197
AKGDm,4819.4730173834
AKGtp,-553.591078745826
ALASm,318.665666098593
ALATA_L,-6811.92923063085
ALCD21_L,172.181685131203
ALCD22_D,4061.85251252951
ALDD21,3068.5342426104
ALDD2xm,537.258662446411
ALDD2y,1583.82125964269
ALDSTRNte,176.261002340965
ALDSTRNtm,-176.261002340965
ALOX12,84.5442612428478
ALOX5,743.734976552648
