Reaction,Flux
10FTHFtm,47.7601746039127
11DOCRTSTRNtm,97.0759112333877
11DOCRTSTRNtr,-97.0759112333877
13DAMPPOX,716.203903382401
1MNCAMti,115.220930478808
2AMACHYD,275.944189886763
2MCITt,543.492733777363
34DHOXPEGOX,2189.51568060227
34DHOXPEGt,2189.51568060227
34DHPHAMT,0
34DHXMANDACOX_NADP_,-1912.83831053705
34HPLFM,1608.44197723301
3AIBTm,1789.0761637687
3AIBtmi,1789.0761637687
3DPHBH1,17.1421965418768
3DPHBH2,14.3342106976749
3DSPHR,452.980504821075
3HBCDm,8059.60606572438
3HBCOAHLm,469.130058912249
3MOBt2im,2854.61376599736
3MOX4HOXPGALDOX,2281.63471157566
3MOX4HOXPGALDOX_NADP_,-1784.44992509426
3SALAASPm,-2178.59509993447
41R2A1H12BOOX,276.677369128691
4HBZCOAFm,11.822636203071
4HBZFm,11.822636203071
4HOXPACDOX_NADP_,-1837.93810683819
4MOPt2im,4657.84063058943
4MPTNLte,312.258544750151
4MPTNLtm,-312.258544750151
5AOPtm,8547.08253108502
5MTHFt2,-4565.16883813892
7DHCHSTEROLtr,-5722.32383767361
A_MANASEly,187.179527628247
A4GALTc,259.358879149255
AACTOOR,1437.13360763709
AACTtm,1437.13360763709
ABUTt4_2_r,-1223.83116727691
ACACT1rm,9452.6889874113
ACACT1x,935.947511802119
ACACt2m,-747.147148835312
ACACT7p,139.754126727225
ACACT8p,-0
ACACT9p,185.839621875003
ACACtx,-2043.26620485244
ACALDtm,-1138.45943800989
ACCOACm,7622.94123984301
ACCOAtn,0
ACCOAtr,899.483546410354
ACETONEt2m,-189.79198019079
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-261.4403457709
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-54.9719420946313
ACGALK,428.682583479873
ACGALK2,263.419082166512
ACGALtly,2468.2981476017
ACGAM6PSi,2577.60995353781
ACGAMK,2255.04955055691
ACGAMPM,3849.07919057605
ACGAMtly,818.625183461083
ACGSm,1426.86064231592
ACHEe,1759.51581455568
ACHtn,-0
ACITL,387.455536830275
ACNACNGAL14ACGLCGALGLUSIDEte,-59.8826176320738
ACNAMlt,-1406.54755117581
ACNAMtn,1374.71922469801
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-62.2541560515881
ACNMLr,1171.1284450797
ACOAD1fm,333.404004712437
ACOAD8m,-0
ACOAD9m,469.130058912249
ACOAO7p,589.159489735671
ACONTm,1817.56597892119
ACt2r,-4393.8964363609
ACTNMO,189.79198019079
ADCim,189.79198019079
ADEt,-3072.51469561086
ADHAPtx,2386.71211327317
ADK1m,-1288.1908653477
