Reaction,Flux
10FTHF5GLUtl,104.782755593827
10FTHF5GLUtm,104.782755593827
10FTHFtl,-104.782755593827
10FTHFtm,2975.20343680234
1MNCAMti,83.7578279073929
1PPDCRp,329.516334369924
25HVITD3t,217.694122402286
25HVITD3tm,217.694122402286
2DR1PP,1442.6020297768
34DHXMANDACOX_NADP_,214.806926073864
34HPLFM,20.1707869988178
3AIBTm,1580.91712400751
3AIBtmi,1580.91712400751
3DPHBH1,10.6660328663547
3DPHBH2,9.50475413246312
3MOBt2im,5099.3117023358
3MOX4HOXPGALDOX,3926.10963567478
3MOX4HOXPGALDOX_NADP_,-3406.18178368003
3SALAASPm,-1793.37017468401
3SALATAim,281.154515318434
3SPYRSPm,281.154515318434
41R2A1H12BOOX,214.806926073864
4HBZCOAFm,20.1707869988178
4HBZFm,20.1707869988178
4HOXPACDOX_NADP_,204.172922002625
4MPTNLte,219.190240277536
4MPTNLtm,-219.190240277536
5ADTSTSTERONEte,-2631.42385777989
5ADTSTSTERONEtr,2631.42385777989
5AOPtm,7371.90241235157
A4GALTc,179.119025968139
ABUTt4_2_r,-2076.25683465503
ACACT1rm,9558.64903610494
ACACT8p,-0
ACACT9p,114.522573857054
ACCOAtr,2178.28262438091
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-110.797084482312
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-46.6723498523254
ACGALK,209.340279389469
ACGALK2,143.707425151688
ACGALtly,929.290362495368
ACGAM6PSi,3591.11308652281
ACGAMK,204.308116335239
ACGAMPM,3007.0486998275
ACGAMtly,31.3524672049375
ACHEe,759.03008047061
ACNACNGAL14ACGLCGALGLUSIDEte,-54.4490701727357
ACNAMlt,-482.767881709843
ACNMLr,-110.209544054497
ACOAD9m,286.559318805101
ADEt,2307.7505065506
ADHAPtx,110.798668661004
ADK1m,-363.855801118312
ADK3m,237.323786952475
ADMDC,1069.0723003787
ADNt,690.598924387985
ADNtm,-256.346801713721
ADPMAN,167.976647120205
ADPRIBt,0
ADPtx,-1140.27625664868
ADRNCOAtx,267.124234543381
ADRNCPT1,32.4099151392129
ADRNCPT2,32.409918944527
ADRNCRNt,-138.508815461668
ADRNt,1903.82385670326
ADSK,664.077011132763
AGLPC,110.798668661004
AGLPH,110.798668661004
AKGDm,3768.46666366801
AKGMALtm,2595.09170366843
AKGtp,-1010.41366983549
ALAGLYexR,1002.60236535284
ALATA_L,-4985.49556386643
ALCD21_L,221.856319962467
ALCD22_D,0
ALCD2if,5670.61749074744
ALDD2y,1304.62546095248
ALDSTRNte,233.143537128874
ALDSTRNtm,-233.143537128874
ALOX12,119.523910039403
ALOX5,808.508700682211
ALOX52,407.00633309941
ALR2,221.856319962467
ALR3,221.856319962467
AMETt2m,60.512360830457
AMPTASECGe,1040.02008624449
AMPtp,1366.51225959378
APAT2rm,512.092428288162
ARACHCOAtx,399.96254178748
ARACHCRNt,-0
ARACHDt2,529.101604323394
ARACHt,754.054692478601
ARGLYSex,3356.36691833832
ARSA,67.5978680139308
R_group_phosphotase_1,1240.28816080042
R_group_phosphotase_2,279.173727289076
R_group_phosphotase_3,209.934494067412
ARTFR11,0
ARTFR208,743.29418562256
ARTFR41,431.28397608099
ARTFR61,7568.54377439406
ARTPLM1,5507.01324352421
ARTPLM2,279.173727289076
ARTPLM3,209.934494067412
ASNS1,321.049216855312
ASPNATm,2008.41905681937
ASPTAm,-2986.87231495479
ATP1ter,103.338205093631
ATP2ter,4252.41854713963
ATPH2e,632.556259420829
ATPtm,8984.24029363427
ATPtn,206.637649891232
ATPtx,-226.236003528071
B3GNT39g,78.0155902670952
BALAtmr,512.092428288162
BALAVECSEC,83.257660025997
BHMT,768.590669047163
BILGLCURt,-54.3100972187501
BILGLCURtr,-31.9047871586831
BILIRUBtr,135.242992252314
C161CPT12,-7199.16579641524
C161CRN2t,-72.2390965866962
C180CPT2,165.222341461342
C180CRNt,16.8691467964018
C181CPT1,3579.55516397751
C181CPT2,-2252.90678606463
C181CRNt,-2216.269277996
C204CPT2,570.175661463307
C204CRNt,252.031182522016
C226CPT1,585.414229188122
C226CPT2,585.414232987993
C226CRNt,197.560943780632
CATm,4759.98134012347
CATp,5924.90395021896
CDIPTr,87.3614916734817
CDS,89.3514201866131
CDSm,119.247251398096
CEPTC,176.316981108606
CERK,593.390905139399
CERT1gt,0
CERT2gt,78.0155902670952
CERT2rt,95.2090576199109
CHAT,-7268.52879967563
CHLPCTD,469.160654042974
CHOLATEt2,7403.4996834946
CHOLK,624.968918754884
CHOLt4,-2870.3849520204
CHOLtu,161.296337831185
CHSTEROLSULT,60.268461668442
CHSTEROLt1,-1200.95215230685
CHSTEROLt2,356.130028948235
CHSTEROLt3,270.219381140661
CHSTEROLtg,6057.71280205946
CHTNASE,57.6518830838464
CITtam,-2060.9949808059
CLOXAtex2,475.087269041427
CLPNDCPT1,39.3446449801886
CLPNDCPT2,39.3446487800547
CLPNDCRNt,-116.034068227707
CLPNDt,181.878582322821
CLS_hs,1.98992851313134
CMPACNAtg,143.842935690697
CMPSAS,2012.95199407744
CO2tm,8307.55607409006
CO2tp,-1390.50575891988
COAtm,-174.4187116508
COAtp,-762.734197467982
COAtr,-242.674486918155
COt,157.648302312381
COUCOAFm,20.1707869988178
CRMPte,402.487160868406
CRNCAR3tp,2642.30076608757
CRNt,-6142.13600090012
CRNtHa,3058.29469637299
CRNtx,0
CRTSTRNt,233.143537128874
CRTSTRNtm,233.143537128874
CRVNCtr,327.374774336905
CSm,750.82553143859
CSNAT3x,2642.30076608757
CSNATer,2178.28262438091
CSNATp,4810.86058184207
CSNATr,2100.06621809635
CYSGLTH,3655.32004694997
CYSGLUexR,21.0067843700599
CYSO,281.154515318423
CYSTA,1623.68204750417
CYTD,943.095601871575
CYTDt,-2894.86469522895
CYTK11,3178.06175272206
CYTK12,312.709581696834
CYTK13n,83.6393270067183
CYTK14,-2461.64730738959
CYTK14n,-28.4295591368355
CYTK1m,119.247251398096
CYTK2n,233.191940883289
CYTK5,1433.70833015512
CYTK6,228.234910682357
CYTK7,-3166.02290190459
CYTK8,2642.19626354285
CYTK8n,69.1909489545797
CYTK9,-947.137703809476
CYTK9n,-69.1909489545797
DADNK,194.791449779669
DADNt4,893.859786908499
DAGK_hs,-2981.96221029296
DAGt,-4710.2848944558
DASCBR,172.434912118314
DCIm,-632.042167099858
DCK1n,259.972145856611
DCK2n,28.4295591368355
DCSPTN1COAtx,52.3269813688192
DCSPTN1CPT1,32.0841343983502
DCSPTN1CPT2,32.0841381983917
DCSPTN1CRNt,-112.669490597162
DCSPTN1t,-222.260823905062
DCTPtn,-288.401716272516
DCYTD,651.291620013129
DCYTt,-397.377648561209
DDPGAm,814.916916548614
