Reaction,Flux
25VITD3Hm,114.119853176364
2DR1PP,7369.55858412312
3AIBTm,9716.94585142878
3AIBtmi,9716.94585142878
3DPHBH1,10.2040263764009
3HBCOAHLm,85.7357013735476
3MOX4HOXPGALDOX,636.361626787196
3SALAASPm,-1207.48912646975
3SALATAim,180.482681067427
3SPYRSPm,180.482681067427
4MPTNLte,561.828684210375
4MPTNLtm,-561.828684210375
7DHCHSTEROLtr,-4302.66715050124
A4GALTc,298.974466857368
AACTOOR,589.950697599523
ACACT1rm,584.541609637143
ACACT8p,28.3201308516401
ACACT9p,181.955995762757
ACALDtm,-409.792179002475
ACCOAtr,-746.025294255833
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-93.5535246839364
ACGALK,986.740239131644
ACGALK2,437.408927836167
ACGALtly,430.212291672916
ACNAMlt,-253.631675115791
ACNMLr,-2722.4152009668
ACOAD9m,85.7357013735476
ADHAPtx,107.740521168103
ADK1m,7640.8871571453
ADK3m,-7510.50730092426
ADMDC,22.5786173323727
ADNtl,407.39010687451
ADPMAN,456.917168312547
ADRNCRNt,-10000
ADRNt,414.227114897611
ADSK,894.374991349135
AGLPC,28.3201308516401
AGLPH,28.3201308516401
AGTim,62.2634438438522
AKGDm,6788.17726269145
AKGtp,-224.489840548707
ALATA_L,655.604905772649
ALCD22_D,0
ALDD2xm,409.792179002475
ALDD2y,152.0365052079
ALOX5,275.150088299584
ALOX52,162.942987021056
ARACHCOAtx,-173.685999488188
ARSA,77.0510585586647
ARTFR11,528.063050169012
ARTFR61,7536.66759164656
ASAH1,60.7279496888737
ASNNm,1025.26680798064
ASNtm,1025.26680798064
ATP1ter,100.053573259224
ATP2ter,270.466634767883
ATPH2e,6560.63348912519
ATPtn,208.189151181283
BALAVECSEC,2040.37846003526
BHMT,340.741080363086
BILDGLCURtr,1573.66753904682
BILGLCURt,-784.949272055519
BILGLCURtr,-1473.61396578782
C160CPT1,-7722.5693461877
C160CPT2,72.1251119193712
C160CRNt,568.223169236093
C161CPT12,-6686.6947137176
C161CPT22,91.0907870330066
C161CRN2t,380.191901216935
C180CPT1,1596.38306312251
C180CPT2,4874.25637566846
C181CPT1,4070.5512219456
C181CPT2,342.038328776915
C181CRNt,365.895027968829
C204CPT1,90.3959569663905
C204CPT2,90.3959569663905
C226CRNt,-8664.82969320275
CATm,2551.22453913298
CATp,3995.12731556342
CBR2,901.699377493243
CDIPTr,-0.469582213675612
CDSm,1.81945274011639
CEPTC,422.832581614163
CEPTE,329.316121660912
CERK,107.547112519879
CERT1gt,0
CERT1rt,60.7279496888737
CERT2rt,117.91771218124
CHAT,73.187459261977
CHLPCTD,554.922801466976
CHOLK,109.113174028914
CHSTEROLt2,3020.7267987066
CHSTEROLt3,-2363.51042982208
CHTNASE,907.471733655601
CLPNDCPT1,6.09033719391695
CLPNDCPT2,6.09033719391695
CLPNDt,12.3193237819269
CLS_hs,0.469582213675612
CMPSAS,1452.85017503797
CO2tm,-4785.25300657063
CO2tp,-224.489840548707
COAtr,-348.499763607191
COt,35.11284600373
CRMPte,-2027.01633556462
CRNCARtp,5955.63368564616
CRNt,-9493.48426777872
CSNATer,-746.025294255833
CSNATp,5955.63368564616
CYSGLUexR,1570.88983624518
CYSO,180.482681067412
CYTD,2076.84998372685
CYTK12,-1931.63904519375
CYTK14,-2489.62404529768
CYTK1m,1.81945274011639
CYTK2n,18.4205367127288
CYTK5,6406.00448158305
CYTK7,300.08134765338
DADNK,104.891127146066
DADNt4,-0
DAGK_hs,-7944.02474452469
DAGKn_hs,-55.2616101381864
DAGt,-7895.65141173084
DCIm,-359.989331920582
DCK1n,18.4205367127288
DCSPTN1COAtx,275.956392175853
DCSPTN1CPT1,133.888238216432
DCSPTN1CPT2,133.888238216432
DCTPtn,-18.4205367127288
DCYTt,-1558.36655818702
DDPGAm,182.222318489116
DECDPtm,10.2040263764009
DESAT18_8,146.065154432917
DGSNt,-390.279510926397
DHAPA,107.740521168103
DHCR242r,6689.46729641393
DHCR72r,4302.66715050124
DHCRD1,364.790244822936
DHDPBMTm,10.2040263764009
DHEASt,-544.674038881956
DHEASULT,561.828684210375
DHFtm,1270.66326851821
DINt,39.238042904149
D_LACtm,-1440.06603986217
DLNLCGCPT2,81.6715386671342
DLNLCGt,-0
DMNONCRNt,0
DNADtn,-208.189151181283
DNDPt14m,414.773701882934
DNDPt21m,414.773701882934
DOPAMT,1932.81555867643
DOPAtu,357.644893697388
DPHMBDCm,10.2040263764009
DPPS,10.2040263764009
DRIBt,-7369.55858412312
ECOAH12m,85.7357013735476
ECOAH1x,-31.9791208563997
EHGLAT2m,182.222318489116
EICOSTETt,32.6957213696278
ELAIDCPT2,-4734.83381156986
ELAIDt,-4860.98263613614
ESTRADIOLtr,6975.67190204229
ESTRIOLtr,75.5835998558641
ESTRONESt,-528.507912262685
ESTRONEtr,-6899.09139861299
ESTSULT,152.164103285823
ETHAK,369.158682075406
EX_13_cis_retnglc[e],1573.66753904682
EX_3aib[e],9716.94585142878
EX_4hphac[e],188.761960317182
EX_4mptnl[e],561.828684210375
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],93.5535246839364
EX_ach[e],-91.8062518318347
EX_adp[e],-6499.01257853393
EX_adrn[e],-414.227114897611
EX_ak2lgchol_hs[e],28.3201308516401
EX_ala_B[e],209.868686044105
EX_arach[e],-0
EX_arachd[e],-192.287975232334
EX_bildglcur[e],-1573.66753904682
EX_bilglcur[e],1573.66753904668
EX_chtn[e],-907.471733655601
EX_clpnd[e],-12.3193237819269
EX_cmp[e],2028.32017696104
EX_co[e],35.11284600373
EX_crmp_hs[e],-2027.01633556462
EX_crn[e],9493.48426777872
EX_crvnc[e],129.702722741271
EX_dheas[e],561.828684210208
EX_dopa[e],-1663.66239738281
EX_eicostet[e],-32.6957213696278
EX_elaid[e],4928.91693986462
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],34.6214660533381
EX_fucgalfucgalacglcgalgluside_hs[e],82.9728603923402
EX_gbside_hs[e],137.791702161481
EX_gchola[e],-8557.57197462874
EX_gq1balpha_hs[e],119.467420741716
EX_gsn[e],500.400816689493
EX_gthrd[e],-1600.69383586121
EX_hdca[e],974.008575336024
EX_hdcea[e],-507.071767191308
EX_hexc[e],5.19064940884891
EX_hom_L[e],-86.3385875254426
EX_hpdca[e],200.335170835053
EX_idp[e],-92.1505578222786
EX_leuktrA4[e],-1437.75084883962
EX_leuktrD4[e],1653.43103637866
EX_leuktrF4[e],-52.7372005179714
EX_lgnc[e],-92.1443851271855
EX_lneldc[e],412.079838548844
EX_lnlc[e],-523.362214890243
EX_lnlnca[e],-1995.41615530445
EX_lnlncg[e],-43.4409989995293
EX_ncam[e],491.203938768207
EX_no[e],131.845694571633
EX_nrpphr[e],-327.6868148046
EX_nrvnc[e],-0
EX_o2s[e],-9837.52460014355
EX_oagd3_hs[e],42.6754423567918
EX_oagt3_hs[e],50.0288546486211
EX_ocdca[e],-474.208119774613
EX_ocdcea[e],-516.772645720019
EX_octa[e],510.137568409831
EX_peplys[e],-802.346976340326
EX_prgstrn[e],-150.656254220026
EX_prostgd2[e],-433.989699933842
EX_prostge1[e],36.4570549415967
EX_prostgf2[e],1335.68907742722
EX_ptdca[e],106.70048686579
EX_retinol[e],-4712.24178364386
EX_Rtotal[e],8240.846205865
EX_Rtotal2[e],28.3201308516401
EX_sphs1p[e],243.771142588979
EX_tagat_D[e],-178.419419126862
EX_thf[e],1715.18356565974
EX_tmndnc[e],-0
EX_ttdca[e],-3601.42089892785
EX_vitd3[e],-5404.85187451594
EX_whtststerone[e],75.0726543634992
EX_xolest2_hs[e],-56.2747256875173
EX_xoltri24[e],109.606731065551
EX_xoltri27[e],95.3876846739253
FACOAL140i,846.638146990015
FACOAL150,49.0676381478261
FACOAL160i,1139.33949923187
FACOAL170,-42.2611071898882
FACOAL180i,474.208119774613
FACOAL1813,45.6637975393168
FACOAL1831,168.163326230922
FACOAL1832,2192.00672787911
FACOAL184,-5509.19682982341
FACOAL203,-1702.02807497293
FACOAL204,35.6072203888325
FACOAL2042,157.551702124918
FACOAL205,-2695.37959075548
FACOAL206,-62.6848881136119
FACOAL224,535.300667231184
FACOAL2251,0
FACOAL2252,133.340946362103
FACOAL226,-129.702722741271
FACOAL240,92.1443851271855
FACOAL244_1,0
FACOAL245_1,0
FACOAL245_2,0
FACOAL246_1,0
FACOAL260,114.071996898381
FADH2tru,6689.46729641393
FADtru,6689.46729641393
FAOXC182806m,121.496898416836
FAOXC2031836m,81.6715386671342
FAOXC2051843m,14.0475653271147
FAOXC2252053m,108.397365404139
FAS100COA,86.9705081248914
FAS140COA,53.3377454597655
FATP2t,3230.53030656415
FCLTm,51.2102494274629
FE2t,76.6430555220849
FRUt1r,-3925.66383025282
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,-34.6214660533381
FUMm,-6069.48879072298
FUMSO4tm,180.482681067427
FUMtm,-4201.699750505
G6PDH1rer,-8321.65732763807
G6PDH2rer,8321.65732763807
GALC,60.7279496888737
GALGLUSIDEtl,-255.834021998036
GALSIDEtl,60.7279496888737
GALt1r,-1652.37230244242
GALtly,2074.06897513616
GAO1,42.6754423567918
GAO2,50.0288546486211
GBA,3881.3184687842
GBSIDEte,137.791702161481
GCHOLAt2,8557.57197462874
GLB1,1871.78579275563
GLBRAN,783.684785294034
GLCtly,568.97266447552
GLCURter,8253.00582229677
GLDBRAN,788.065655684914
GLGNS1,783.684785294034
GLPASE1,783.684785294034
GLUDym,-4498.9762656191
GLUNm,213.952248592308
GLUt2m,-3800.48087775157
GLYCLTDym,119.958874645208
GLYOXm,1440.06603986217
GLYtm,-62.2634438438522
GPAM_hs,7928.67003869583
GQ1BALPHAte,119.467420741716
GSNt,-500.400816689493
GTHOm,41.3280631494356
GTHRDtr,107.108828550297
GUACYC,127.201685063909
GULNDer,8253.00582229677
GULNter,8253.00582229677
H2O2tly,0
H2O2tp,652.797597064377
H2Otly,5259.1310548117
HACD1x,-31.9791208563997
HBZOPT10m,10.2040263764009
HDCAtr,1111.01936838011
HDCEAtr,507.071767191308
HEXCCOAtx,181.955995762757
HEXCt,-5.19064940884891
HIBDm,85.7357013735455
HMGCOASi,61.6143884235862
HMGCOASim,584.541609637143
HMGCOAtm,-584.541609637143
HMGCOAtx,379.853299733741
HOXG,35.11284600373
HPACtr,188.761960317182
HPDCACRNCPT1,-371.239744315374
HPDCACRNCPT2,-371.239744315374
HPDCAt,-200.335170835053
HSD17B1,-6975.67190204229
HSD17B42x,240.765963237363
ICDHy,101.734108629767
ICDHyp,224.489840548707
ILEt5m,7819.70531895149
LEUKTRB4tr,-124.433452404379
LEUKTRE4t,2540.96262689541
LEUKTRF4t,52.7372005179714
LGNCCOAtx,20.0501345770714
LGNCt,92.1443851271855
LNELDCCPT1,20.2755665138247
LNELDCCPT2,20.2755665139839
LNELDCCRNt,833.996267033146
LNELDCt,-412.079838548844
LNLCCPT2,121.496898416836
LNLNCACPT1,130.541977956604
LNLNCACPT2,130.541977956604
LNLNCACRNt,130.541977956604
LNLNCAt,1995.41615530445
LNLNCGCPT2,-74.3994004327476
LNLNCGt,43.4409989995293
LPASE,101.423651544941
LTC4CP,-52.7372005179714
LTD4DP,-2382.68713175987
MAOLNOR,327.6868148046
MAOX,308.674811982597
MDHm,19.3697183404674
MDRPD,22.5786173323727
METAT,363.319697695433
MGSA2,850.115342262652
