Reaction,Flux
34DHXMANDACOX_NADP_,284.39251126389
3MOBt2im,2741.70038464503
3MOX4HOXPGALDOX,181.291110319
3SALAASPm,-60.3240792153965
41R2A1H12BOOX,284.39251126389
4HOXPACDOX_NADP_,0
4MPTNLte,37.3008786121715
4MPTNLtm,-37.3008786121715
ABUTt4_2_r,-852.125896928094
ACACT1rm,5222.34992594666
ACACT9p,42.6093899160163
ACGALK,535.591296712032
ACGALtly,494.104189462214
ACGAMK,125.134398715122
ACNAMlt,-316.800468132882
ACNAMtn,1428.24216313016
ACRNtm,509.871264210449
ADHAPtx,81.279493599403
ADK3m,-1037.18610861377
ADMDC,80.1263129949391
ADNt,-1178.39710107941
ADNtm,-1098.27078808447
ADRNCPT1,22.6932769396728
ADRNCPT2,22.6932769396728
ADRNt,-0
ADSK,209.396904010922
AGLPC,81.279493599403
AGLPH,81.279493599403
AKGDm,1818.82662853382
AKGtp,16.7285596065697
ALATA_L,587.110971942266
ALCD21_L,89.9521328814544
ALDD2y,37.3008786121715
ALOX12,133.648584485253
ALOX52,1193.29037340161
ALR2,89.9521328814544
ALR3,89.9521328814544
ARACHDCOAtx,-162.4578906349
ARACHDt2,416.861129924342
ARGSS,38.5826411546682
R_group_phosphotase_1,370.14153138593
ARTFR61,680.783757570533
ARTPLM1,296.777992039815
ARTPLM1m,569.243631342396
ATPtm,1281.52482638033
ATPtn,60.2069477586863
BBHOX,77.3380308429215
BDHm,-5002.36789533349
BHBtm,-5002.36789533349
C160CPT2,-81.279493599403
C160CRNt,-81.279493599403
C161CRN2t,135.823574138945
C180CPT1,-30.4530634353151
C204CPT2,92.2859752616021
C204CRNt,92.2859752616021
C226CPT1,55.6433265249781
C226CPT2,55.6433265249781
CATm,6332.53977789778
CATp,772.93986623442
CBPPer,271.288255294333
CBPter,271.288255294333
CDIPTr,-3.16567286925257
CERK,25.1475912789786
CERT2rt,85.3030879235422
CHLPCTD,403.684144211749
CHOLK,193.216650314549
CHOLt4,377.17110726244
CHSTEROLSULT,43.5108191081279
CHSTEROLt3,116.445883395683
CHSTEROLtg,0
CHTNASE,41.7114662383741
CLPNDCRNt,-3129.18108231001
CLPNDt,0.609330872121063
CLS_hs,1.4925350479962
CMPACNAtn,1428.24216313016
CMPSASn,1428.24216313016
CO2ter,-271.288255294333
CO2tm,-4753.00950311434
CO2tp,-16.7285596065697
COAtm,736.322536227512
COAtr,-123.429380853404
COt,61.9976540657555
CRNCARtp,579.41356089564
CRVNCtr,58.3853219754492
CSNATm,509.871264210449
CSNt,174.519358863894
CTPtn,1428.24216313016
CYSGLUexR,97.319933409608
CYSTA,49.9590863157025
DAGK_hs,-86.5786779062275
DAGKn_hs,122.169358883279
DAGt,-78.2186760233453
DCIm,-199.868591346283
DCSPTN1CPT1,32.8343960754861
DCSPTN1CPT2,32.8343960754861
DCSPTN1t,33.3760232697841
DDPGAm,60.3240792153965
DHAPA,81.279493599403
DHCR242r,799.931491553442
D_LACtm,-160.979414324597
DLNLCGCPT1,174.20234465566
DLNLCGCRNt,0
DLNLCGt,-0
DNDPt17m,122.169358883279
DNDPt30m,122.169358883279
DUDPtn,-122.169358883279
DURIt,-932.272610095286
EHGLAT2m,60.3240792153965
EICOSTETCRNt,-0
EICOSTETt,60.4146748232924
ELAIDCRNt,45.0687718163681
ESTRADIOLtr,-39.7274399353523
ESTRIOLtr,74.1925554462048
ESTRONESt,-183.794684995706
ESTRONEtr,-34.4651155108525
EX_4mptnl[e],37.3008786121715
EX_adp[e],3992.99703741621
EX_adrnl[e],-181.291110319
EX_ak2lgchol_hs[e],81.279493599403
EX_ala_B[e],80.1263129949391
EX_ala_D[e],941.796519960884
EX_arach[e],-125.485848296923
EX_arachd[e],-931.635185071747
EX_atp[e],-5202.40233820669
EX_bhb[e],5002.36789533349
EX_chol[e],-377.17110726244
EX_chtn[e],-41.7114662383741
EX_clpnd[e],-0.609330872121063
EX_co[e],61.9976540657555
EX_crn[e],587.209296906167
EX_crvnc[e],-58.3853219754492
EX_dag_hs[e],217.715426487426
EX_dcsptn1[e],-33.3760232697841
EX_dopa[e],-6427.9483643197
EX_eicostet[e],-60.4146748232924
EX_fucgalfucgalacglcgalgluside_hs[e],56.3934472283781
EX_gbside_hs[e],-967.435941829812
EX_gchola[e],-72.6669970792762
EX_gt1a_hs[e],-480.09735075069
EX_gthrd[e],-1193.2903752388
EX_h2o2[e],-9481.934519395
EX_hco3[e],-1283.75141582191
EX_hdca[e],-0
EX_hdcea[e],-587.209296906167
EX_hom_L[e],-100.795569968532
EX_hpdca[e],-88.1545220301286
EX_inost[e],113.251903774093
EX_leuktrB4[e],514.774049536702
EX_leuktrE4[e],1193.29037340161
EX_lgnc[e],-42.6770935540344
EX_lnlc[e],-197.187100101578
EX_lnlnca[e],-337.787877822211
EX_lpchol_hs[e],33.3717668546087
EX_ncam[e],56.8599255799583
EX_nrpphr[e],-284.39251126389
EX_nrvnc[e],-0
EX_oagt3_hs[e],131.455622248264
EX_ocdca[e],-0
EX_pe_hs[e],-175.689436858482
EX_peplys[e],-77.3380308429215
EX_phyt[e],-16.7285596065697
EX_prgstrn[e],-74.1925554462048
EX_ps_hs[e],-365.553226643238
EX_ptdca[e],-0
EX_retn[e],7.50028630136512e-06
EX_tag_hs[e],-0
EX_tethex3[e],-0.0338499487843364
EX_tetpent3[e],-0.0338499486369983
EX_tetpent6[e],-0.0338499486369983
EX_tettet6[e],-0.0338499486369983
EX_tsul[e],49.9590863157025
EX_urate[e],213.167738029754
EX_vacc[e],276.39321488037
EX_whddca[e],193.93660908185
EX_whttdca[e],67.66891318204
EX_xolest2_hs[e],-335.815987934442
EX_xoltri27[e],79.1450030143364
FA160ACPH,-81.279493599403
FACOAL150,44.7063212891608
FACOAL170,149.292705242158
FACOAL1813,-18.9718561420002
FACOAL181i,41.7753826047272
FACOAL1822,0
FACOAL1832,540.476781887744
FACOAL191,16.7285596065697
FACOAL203,220.375667469532
FACOAL204,-74.3776688252692
FACOAL2042,104.450364289023
FACOAL205,117.673829728079
FACOAL224,0
FACOAL2251,76.2235569202348
FACOAL2252,45.2792299739885
FACOAL226,104.715309859477
FACOAL244_1,44.7063221864664
FACOAL245_1,44.7063221864664
FACOAL245_2,44.7063221864664
FACOAL246_1,152.022588147398
FACOAL260,0
FADH2tru,799.931491553442
FADH2tx,1096.27465412979
FADtru,799.931491553442
FADtx,-1096.27465412979
FAH1,193.93660908185
FAH2,67.66891318204
FAOXC2051843m,115.922595942993
FAOXC226205m,55.6433265249781
FAS100COA,9.77737944339263
FAS80COA_L,9.77737944339263
FCOAH,16.7285596065697
FE2t,61.9976540657555
FORMCOAtx,16.7285596065697
FUMm,1879.15070957275
G6PPer,271.288255294333
GALGLUSIDEtl,-316.800468132882
GALtly,74.5220791174447
GAO2,131.455622248264
GBSIDEte,-967.435941829812
GCHOLAte,72.6669970792762
GDPtg,0
GHMT3,77.3380308429215
GLUDym,-1164.68622630912
GLUNm,1164.68622630912
GLUTCOADHm,5373.12055005839
GLXtm,-60.3240792153965
GLYOXm,160.979414324597
GT1Ate,-480.09735075069
GTHO,590.846917374085
GTHOm,123.429380853404
GTHRDtr,411.665451251318
GUACYC,83.0471510766141
H2O2t,9695.10226112409
H2O2tly,512.46174353819
H2O2tm,6608.32530757585
H2Otg,0
HEXCCOAtx,42.6093899160163
HEXCt,-0
HMGCOASim,7041.17655446109
HMGCOAtm,-219.982030593785
HMGLm,6821.19452386731
HPDCAt,88.1545220301286
HSD17B42x,87.9312285012793
HSD3A1r,84.654114942082
HSD3A2r,-84.654114942082
ICDHy,1085.93468950357
INSTt4,-113.251903774093
KCC2t,-6693.57011912803
LALDO,160.979414324597
LCADim,89.9521328814544
LDH_Lm,89.9521328814544
LEUKTRB4tr,-457.198334759058
LNLNCAt,337.787877822211
LNLNCGCPT1,-129.687932229927
LNLNCGt,-0
