Reaction,Flux
10FTHFtm,-1303.78927083947
25HVITD3t,210.102436308257
25HVITD3tm,210.102436308257
2HBO,-481.880764380237
34DHOXPEGOX,1948.3072050322
34DHOXPEGt,1948.3072050322
34DHPHAMT,216.653617169017
34DHPLACOX_NADP_,216.653617169017
34DHXMANDACOX_NADP_,-1948.3072050322
34HPLFM,1341.49231248256
35CGMPtn,158.662969865299
3DPHBH1,12.9289364155728
3DPHBH2,8.58498126869612
3DSPHR,445.484547675932
3MOBt2im,3721.44088282621
3MOPt2im,5658.12422455892
3MOX4HOXPGALDOX,3675.9355138077
3MOX4HOXPGALDOX_NADP_,-3032.59729915872
3SALAASPm,-3390.66709885821
42A12BOOX,216.653617169017
4HBZCOAFm,21.513917684269
4HBZFm,21.513917684269
4HOXPACDOX_NADP_,224.193898065618
4MOPt2im,5989.70407063883
4MPTNLte,358.467412286744
4MPTNLtm,-358.467412286744
5AOPtm,-266.084353698321
5MTHFt,-4282.21889034908
7DHCHSTEROLtr,-3940.06090374995
A4GALTc,359.096121573371
ABUTt4_2_r,-5057.53049567083
ACACT10m,-461.509466393322
ACACT1rm,8509.33873719707
ACACT1x,1262.57082556817
ACACt2m,-2631.45386500577
ACACT8p,-0
ACACT9p,157.489911148908
ACALDtm,-983.725268898954
ACCOACm,7411.50663974212
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-80.3827009637906
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-69.4312935468909
ACGALK,732.044473117416
ACGALK2,390.482882405869
ACGALtly,2241.72797725044
ACGAM6PSi,3528.20825362166
ACGAMK,587.039817238864
ACGAMPM,2942.26698028998
ACGAMtly,1774.87406762102
ACITL,330.561444916704
ACNACNGAL14ACGLCGALGLUSIDEte,-64.9849506939757
ACNAMlt,-1462.01937578567
ACNAMtn,1247.72998810302
ACNMLr,-1913.35204533063
ACOAD8m,370.629436626849
ACOAD9m,222.978940312065
ACONTm,-1346.13167081848
ACRNtm,-4331.21986946022
ACt2m,-3238.86174515662
ADAe,835.946524340682
ADCim,979.978387689484
ADEt,-2739.21155783617
ADHAPtx,3374.71458713437
ADK1m,-2502.74582947813
ADK3m,-2241.95749816284
ADMDC,903.811498885073
ADNCYC,77.4557601347094
ADNt,1230.42132535742
ADNtm,-312.204521187131
ADPMAN,789.542189559168
ADPRIBt,592.92803789226
ADRNCOAtx,-19.9287228314788
ADRNCPT1,461.028334264582
ADRNCPT2,461.028345340203
ADRNCRNt,-113.441135582085
ADRNt,2285.63143127242
ADSK,2021.26987266599
ADSL1,161.660224536902
AGLPC,247.12900130618
AGLPH,247.12900130618
AHCYStr,-4829.8132910596
AKGDm,3508.89222070787
AKGMALtm,2115.68754139211
ALADGLNexR,1669.08902092234
ALADGLYexR,1599.30077169004
ALAGLNexR,-849.451967085903
ALAGLYexR,-978.044888047332
ALASm,266.084353698321
ALAt4,2868.80089379047
ALATA_L,-2211.50872713526
ALCD21_L,618.23397434532
ALCD22_D,0
ALDD20xm,204.956362601175
ALDD21,2670.75227374864
ALDD2xm,983.725268898954
ALDD2y,3423.01612326104
ALDSTRNte,183.524880641374
ALDSTRNtm,-183.524880641374
ALOX12,198.63111514817
ALOX5,313.658717344171
ALOX52,4306.6345257748
ALR2,618.23397434532
ALR3,618.23397434532
AMETr,4829.81327998404
AMETt2m,2356.23234596948
AMPDA,610.524974782434
AMPtp,-1300.55588115846
ANTIPYRENEte,362.446173997235
APAT2rm,409.497838035074
ARACHCOAtx,164.189298820061
ARACHCPT1,2012.30482062797
ARACHCPT2,2012.30482616277
ARACHCRNt,690.231806963489
ARACHDCOAtx,3350.79552072422
ARACHDt2,-689.891523734796
ARACHDtr,-2977.81763880759
ARACHt,2007.75208933095
ARGSS,281.820868780894
ARSA,94.4690557785301
R_group_phosphotase_1,940.018334166107
R_group_phosphotase_2,776.721869069162
ARTFR12,5127.95041588201
ARTFR41,0
ARTFR57,2302.07233755792
ARTFR61,7868.07266214208
ARTPLM1,6294.85221498741
ARTPLM1m,6227.0972240937
ARTPLM2,776.721869069162
ASAH1,467.317765202895
ASNNm,2401.90175968017
ASNS1,156.360051131198
ASNt4,2321.00478567171
ASNtm,2401.90175968017
ASPCTr,1602.18406381429
ASPTAm,-46.0408224850689
ATP1ter,416.374693875488
ATP2ter,2794.37920551485
ATPasel,149.070289351843
ATPH2e,2593.82739309947
ATPtm,8903.87247681265
ATPtn,198.785633814514
ATPtx,1300.55587008285
BALAtmr,409.497838035074
BHMT,1055.23064496211
BILDGLCURt,-217.208957258119
BILDGLCURtr,1209.7490127028
BILGLCURt,-1732.10434912258
BILGLCURtr,-2398.77241111933
BILIRED,865.808651228015
BILIRUBtr,700.303411472372
BUTt2m,335.877630116576
C14STRr,8.10738831851246
C160CPT2,94.3318458748308
C160CRNt,94.3318458748308
C161CPT1,-4846.20886251072
C161CPT12,-6752.08848713023
C161CPT2,3757.83543592076
C161CPT22,-4264.24726640191
C161CRN2t,-2473.00872619862
C161CRNt,1587.06300241988
C180CPT1,3686.09972475568
C180CPT2,-1294.4934629979
C180CRNt,-992.874281592718
C181CPT1,4909.27503163132
C181CPT2,-1962.67107849424
C181CRNt,-1281.87456989939
C204CPT1,-4053.76684106837
C204CPT2,318.5095137909
C204CRNt,-174.891879725448
C226CPT1,883.199223098505
C226CPT2,883.199228696236
C226CRNt,-215.62533242573
C3STDH1Pr,8.10738831851246
C3STKR2r,8.10738831851246
C4STMO2Pr,8.10738831851246
CATm,7149.18403527013
CATp,7565.12741843907
CBPPer,1190.65945915478
CBPter,1190.65945915478
CBR2,2471.076880852
CDIPTr,-379.322439273488
CDS,114.640924616492
CDSm,331.133383309989
CEPTC,3378.4870013207
CEPTE,614.004228538927
CERK,961.165538093586
CERT1gt,0
CERT1rt,-3735.10825399615
CERT2rt,331.572359933171
CHAT,864.725796554869
CHLPCTD,165.253802824468
CHLtm,-166.703432187228
CHOLK,1067.33738325481
CHOLtr,1818.49510005785
CHSTEROLSULT,146.188081565451
CHSTEROLt1,-1194.41328312787
CHSTEROLt2,592.77847791669
CHSTEROLt3,1709.82922849884
CHSTEROLtg,6102.64020731449
CHTNASE,241.839263261382
CITRtm,-0
CITt4_2,-5772.97305778828
CITtam,-2502.58201811821
CKc,-9134.27033962322
