Reaction,Flux
10FTHFtm,1909.60626771836
25HVITD3t,815.554799046951
25HVITD3tm,354.179871783415
34DHOXPEGOX,1543.19740210491
34DHOXPEGt,1543.19740210491
34DHPLACOX_NADP_,205.719986678759
34DHXMANDACOX_NADP_,-1310.76407114315
34HPLFM,1263.00695573934
3AIBTm,451.504907944834
3AIBtmi,451.504907944834
3DPHBH1,13.5726724136969
3MOBt2im,3434.60492652733
3MOX4HOXPGALDOX,2104.14211700878
3MOX4HOXPGALDOX_NADP_,-1580.90662802622
3SALAASPm,-0
41R2A1H12BOOX,232.433330836601
42A12BOOX,205.719986678759
4HBZCOAFm,13.5726724136969
4HBZFm,13.5726724136969
4HGLSDm,0
4HOXPACDOX_NADP_,0
4MOPt2im,5065.73526246896
4MPTNLte,387.501355374414
4MPTNLtm,-387.501355374414
5ADTSTSTERONEte,-3559.2578792443
5ADTSTSTERONEtr,3559.2578792443
7DHCHSTEROLtr,-4637.86138286507
A4GALTc,517.271305537687
AACTOOR,306.252426136289
AACTtm,1179.62095534634
ABUTt4_2_r,-5780.60873340786
ACACT10m,-8562.78891329356
ACACT1rm,6881.50314313154
ACACT1x,1743.7910511319
ACACt2m,-3543.62927535559
ACACT8p,-0
ACACT9p,208.274971369305
ACALDtm,-907.875638084032
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-124.33056070388
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-94.6670094600599
ACGALK,690.045847510031
ACGALK2,455.152608932175
ACGALtly,2661.04003260516
ACGAM6PSi,4621.09822279515
ACGAMK,656.443200527118
ACGAMPM,4238.43066153421
ACGAMtly,131.496107704208
ACITL,277.701231132684
ACNACNGAL14ACGLCGALGLUSIDEte,-131.078315217569
ACNAM9PL,69.213159491829
ACNAMlt,-728.864761366718
ACNAMPH,69.213159491829
ACNAMtn,1336.64323788466
ACOAD1fm,182.247274232393
ACOAD9m,2008.82987394429
ACONTm,-2253.61298284629
ACt2m,-907.875638084032
ACt2r,-4823.50151603295
ADCim,585.21436842198
ADEt,-2644.11830601522
ADHAPtx,7725.83121243842
ADK1m,-1122.114147515
ADK3,-9611.0116726359
ADK3m,-1834.14818370484
ADKd,-829.711736718207
ADMDC,191.188277627842
ADNt,2485.16794859796
ADNtm,-356.689000495647
ADPMAN,397.014438902869
ADPtx,-203.181924962508
ADRNCOAtx,229.892975298254
ADRNCPT1,458.217551672691
ADRNCPT2,458.217551799074
ADRNCRNt,170.640212115812
ADRNt,1945.12813846753
ADSK,1256.62743972028
AGLPC,296.736009154502
AGLPH,296.736009154502
AGPAT1,5241.55895959842
AHCYStr,-1576.52237102052
AKGDm,7573.66613362884
AKGMALtm,2490.34930735459
AKGtp,-66.6803611053219
ALADGLYexR,3306.27265450135
ALAGLYexR,-1191.41586183653
ALAt4,3492.90414051458
ALATA_L,-4649.85340281356
ALCD21_L,309.964555698887
ALCD22_D,1916.03222239603
ALDD21,2388.69860933441
ALDD2xm,907.875638084032
ALDD2y,2925.2310277868
ALDSTRNte,195.484002953951
ALDSTRNtm,-195.484002953951
ALOX12,114.877827616957
ALOX5,312.994692593421
ALOX52,4223.6769721217
ALR2,309.964555698887
ALR3,309.964555698887
AMETr,1576.52237089437
AMETt2m,4317.67411708387
AMPDA,804.667756516622
AMPTASECGe,987.245666260933
AMPtp,-853.459399228823
AOBUTDsm,1179.62095534634
APAT2rm,164.499307880162
ARACHCOAtx,801.359982576918
ARACHCPT1,300.374475661492
ARACHCPT2,300.374475724311
ARACHCRNt,90.3036945833264
ARACHDCOAtx,-496.139557011946
ARACHDt2,396.812019994841
ARACHt,6288.87786570052
ARGLYSex,3412.15078301522
ARGSS,219.70529120507
ARSA,128.520750661933
R_group_phosphotase_1,4507.12331647103
R_group_phosphotase_2,575.953748639788
ARTFR11,0
ARTFR207,5271.97872012058
ARTFR31,707.005786547161
ARTFR41,4845.05680459117
ARTFR61,6056.34206501179
ARTPLM1,743.036706926694
ARTPLM1m,4099.85426866752
ARTPLM2,2528.71022402439
ARTPLM3,423.661153448402
ASNNm,1570.81713040515
ASNS1,231.430097038868
ASNtm,1570.81713040515
ASPCTr,2705.13469269044
ASPGLUm,3639.90376345628
ASPTAm,-440.957262809879
ATP1ter,299.835589537086
ATP2ter,4734.48490415705
ATPasel,173.035704347897
ATPH2e,2749.92166227949
ATPtm,8817.78695317974
ATPtn,505.167099877433
ATPtx,1056.64132400223
B3GNT39g,235.167482891103
BALAtmr,164.499307880162
BALAVECSEC,173.215172371567
BDHm,-1206.01339683783
BHBtm,-1206.01339683783
BHMT,142.959527691291
BILDGLCURt,2191.10248216181
BILDGLCURtr,2191.10248216181
BILGLCURt,-1502.36554982398
BILGLCURtr,269.065499729239
BILIRUBtr,-2307.3321967724
C160CPT2,-1306.32700675885
C161CPT1,-4721.65216694406
C161CPT12,-5060.313774207
C161CPT2,-2326.04846342495
C161CPT22,-1656.28837021977
C161CRN2t,-962.682384417099
C161CRNt,-2326.04846342495
C180CPT1,-207.294158864974
C180CPT2,368.981298305988
C180CRNt,129.854353790019
C181CPT1,6495.85494461729
C181CPT2,-1879.82036137665
C181CRNt,-972.368882799939
C204CPT1,549.446112109525
C204CPT2,278.76567138552
C204CRNt,79.8476647629959
C226COAtx,796.748606440167
C226CPT1,735.532708701869
C226CPT2,735.5327087659
C226CRNt,329.01236902319
CATm,9093.485650988
CATp,8286.02370463564
CDIPTr,-406.083426942278
CDS,128.679963467683
CDSm,375.66322781532
CEPTC,351.997765479131
CEPTE,449.834015201515
CERK,916.270875525327
CERT1gt,0
CERT2gt,3096.69637165124
CERT2rt,317.205850025608
CHAT,128.651218691215
CHLPCTD,850.058017247073
CHOLK,1001.62314206764
CHOLtr,4519.45084581165
CHOLtu,-4563.41563522022
CHSTEROLSULT,148.934595782117
CHSTEROLt1,3098.78298239551
CHSTEROLt2,0
CHSTEROLt3,-3556.11344917448
CHSTEROLtg,5920.50186168519
CHTNASE,198.053417439551
CITt4_2,-6110.82855973326
CITtam,-3126.85551681061
CKc,-9392.9518277493
CLOXAtex2,889.352018805503
CLPNDCOAtx,-202.585389386555
CLPNDCPT1,95.7190227224946
CLPNDCPT2,95.7190227862787
CLPNDCRNt,-55.0199690403715
CLPNDt,-8.93234116419019
CLS_hs,1.42824909858269
CMPACNAtn,1336.64323788466
CMPSAS,1209.96992797717
CMPSASn,1336.64323788466
CO2ter,-52.7555964906582
CO2tm,-1105.65723207758
CO2tp,-1522.44606379939
COAtm,-1447.59272618295
COAtp,2977.74773732068
COAtr,-345.730101867392
COt,113.918603326077
COUCOAFm,13.5726724136969
CRMPte,620.728402052368
CRNt,-2294.14954986287
CRNtHa,3835.96093400172
CRTSLtr,-6738.59582793561
CRTSTRNt,195.484002953951
CRTSTRNtm,195.484002953951
CRVNCtr,577.913716108647
CSm,645.608119087037
CSNATm,-8453.02697760257
CSNATp,2747.90252594544
CSNATr,-2010.91390736637
CSPG_At,52.7555964906582
CTPtn,1336.64323788466
CYSGLTH,3028.34587036265
CYSGLUexR,-1242.56052379446
CYSTA,2176.86024649417
CYTDt,-3992.11658959359
CYTK10,749.761870694198
CYTK11,1832.72196223146
CYTK11n,2799.05623734585
CYTK12,-959.633336787316
CYTK12n,-145.280852517672
CYTK13,401.241748325287
CYTK14,-1554.86497623233
CYTK14n,918.897288536233
CYTK1m,375.66322781532
CYTK2n,-4230.74892308314
CYTK3,3676.37705199519
CYTK3n,0
CYTK4,4510.69904775504
CYTK5n,-3717.10149970485
CYTK6,934.374261940146
CYTK7,-2649.46469364488
CYTK8,-801.343173767562
CYTK9,-2103.54411795595
CYTK9n,3717.10149970485
DADA,1196.65120662563
DADNK,327.374204210969
DADNt4,2325.61160257828
DAGK_hs,-1798.71611212743
DAGKn_hs,-1782.67900807608
DAGt,-6687.13930630974
DCIm,-640.993538932295
DCK1n,-793.979078729406
DCK2n,135.902829201023
DCSPTN1COAtx,-507.783260608943
DCSPTN1CPT1,379.597223938472
DCSPTN1CPT2,379.597224064981
DCSPTN1CRNt,131.140041377826
DCSPTN1t,-231.527528213421
DCTPtn,658.076249338657
DCYTt,-1453.56413657095
DDPGAm,1628.1293703052
DECDPtm,13.5726724136969
DESAT18_5,316.189137519869
DESAT18_6,578.634282680163
DESAT18_7,220.94203186327
DESAT18_8,365.299316157629
DESAT20_1,233.220420832855
DESAT20_2,204.547578496963
DESAT22_1p,229.892975298254
DESAT22_2p,255.734798207693
DGK2m,379.042986937829
DGNSKm,379.042986937829
DGSNt,1309.85450574562
DGSNtm,379.042986937829
DGULND,160.614649481875
DHAPA,7725.83121243842
DHCHOLESTANATEtm,-193.74848776821
DHCR242r,5515.17258306729
DHCR71r,186.729137225779
DHCR72r,4637.86138286507
DHCRD1,4589.40113236561
DHCRD2,2125.58274579069
DHDPBMTm,13.5726724136969
DHEASt,-46.1251337015256
DHEASULT,134.664672103045
DHEAtr,-3755.95495258764
DIDPtn,5436.5665994977
DINt,321.42785759787
DITPtn,-5436.5665994977
D_LACt2,-5010.09277860012
D_LACtm,-5010.09277860012
DLNLCGCPT1,344.429386916723
DLNLCGCPT2,597.250018118089
DLNLCGCRNt,238.413931236451
DLNLCGt,1082.5768618187
DMNONCOACRNCPT1,142.01186063407
DMNONCRNCPT2,142.011860634068
DMNONCRNt,-57.7777780333308
DNADtn,505.167099941336
DNDPt10m,1526.33780500934
DNDPt14m,1149.22207686457
DNDPt23m,1149.22207686457
DNDPt26m,1434.55832908309
DNDPt28m,2299.29234875926
DNDPt29m,-0
DNDPt33m,-0
DNDPt40m,1531.77250325892
DNDPt41m,2207.51287289553
DNDPt8m,2231.96242188559
DOPAMT,1756.27300120934
DOPAt4_2_r,-1799.72496929391
DOPAtu,3659.96984542343
DPHMBDCm,13.5726724136969
DPMVDx,796.156614564626
DPPS,13.5726724136969
DRPA,9522.97781937049
DSAT,1187.47688413794
DTDPtn,-7696.43469986834
DTTPtn,7696.43469986834
DUDPtn,-507.454493335445
DUMPtn,-162.829909503115
DURAD,-2417.78060960764
DURIK1,2385.85164313745
DURIt,-4934.66788269906
DUTPDPm,188.481471228296
DUTPDPn,162.829909503115
ECOAH1x,-171.451918139461
ECOAH9m,-8369.04248676803
EHGLAT2m,1628.1293703052
EICOSTETCPT1,57.5421531781176
EICOSTETCPT2,57.5421532418663
EICOSTETCRNt,-93.1444753956221
EICOSTETt,272.197202456125
ELAIDCPT1,3374.29818337487
ELAIDCPT2,-429.776109941155
ELAIDCRNt,-246.961494831716
ELAIDt,-8385.29580621856
ESTRADIOLt,-1783.11557227901
ESTRADIOLtr,6171.66327901182
ESTRIOLtr,90.6530623752956
ESTRONESt,-1529.33194467814
ESTRONEtr,-4979.37148791308
ESTSULT,203.633305348099
ETHAK,523.221208508817
EX_10fthf6glu[e],7377.28939165141
EX_10fthf7glu[e],-7377.28939165141
EX_13_cis_retnglc[e],-0
EX_1glyc_hs[e],1578.21806449629
EX_25hvitd3[e],815.554799046951
EX_34dhoxpeg[e],1543.19740210491
EX_3aib[e],451.504907944834
EX_4mptnl[e],387.501355374414
EX_5adtststerone[e],3559.2578792443
EX_5dhf[e],-0
EX_5mthf[e],6885.34612016855
EX_6thf[e],-829.748528145989
EX_acetone[e],585.21436842198
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],124.33056070388
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],94.6670094600599
EX_ach[e],-546.858332520011
EX_acnacngal14acglcgalgluside_hs[e],131.078315217569
EX_adp[e],-1028.8321838096
EX_adrn[e],-819.751642175033
EX_ak2lgchol_hs[e],296.736009153538
EX_ala_B[e],331.053946870414
EX_ala_D[e],2172.89341426144
EX_aldstrn[e],195.484002953951
EX_amp[e],-432.972891597421
EX_arach[e],-6585.50804364216
EX_arachd[e],-1273.28184630832
EX_ascb_L[e],-780.132912823459
EX_atp[e],1741.42172542965
EX_bhb[e],1206.01339671138
EX_bildglcur[e],-2191.10248216181
EX_bilglcur[e],260.464977010564
EX_bilirub[e],4525.41082901421
EX_chol[e],3123.77501711968
EX_chsterol[e],-372.709266050406
EX_chtn[e],-198.053417439551
EX_clpnd[e],21.6547269478178
EX_co[e],113.918603326077
EX_creat[e],9392.9518277493
EX_crmp_hs[e],620.728402052368
EX_crn[e],9291.11314837841
EX_crtstrn[e],-195.484002953951
EX_crvnc[e],-1211.25656211861
EX_cspg_a[e],52.7555964906582
EX_dag_hs[e],8129.38547501511
EX_dcsptn1[e],390.155333758445
EX_dhdascb[e],780.132912823459
EX_dheas[e],-4210.42743228893
EX_dhf[e],-0
EX_dlnlcg[e],-1065.83688043153
EX_dopa[e],-5703.46967251946
EX_eicostet[e],-271.527603204355
EX_elaid[e],8567.07837163897
EX_estradiol[e],1783.11557227901
EX_estrones[e],-1983.28373702543
EX_fucacgalfucgalacglcgalgluside_hs[e],140.549601889006
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],72.3469166517545
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],139.92922195017
EX_fucgalfucgalacglcgalgluside_hs[e],383.991984341837
EX_gbside_hs[e],-2469.74366208609
EX_gchola[e],-566.502623638772
EX_gq1b_hs[e],-1192.47764104537
EX_gq1balpha_hs[e],180.020315154315
EX_gsn[e],-3460.15868233319
EX_gt1a_hs[e],-71.2095316340383
EX_gthox[e],744.252556471983
EX_gthrd[e],-938.820773746749
EX_h2o2[e],-9098.09289250913
EX_hco3[e],8734.83141483801
EX_hdca[e],1700.82151716495
EX_hdcea[e],-3435.65996613368
EX_hestratriol[e],179.308631818277
EX_hexc[e],741.46226815851
EX_hom_L[e],-585.873176818141
EX_hpdca[e],176.303054351898
EX_idp[e],-4437.40976473002
EX_imp[e],662.984035988791
EX_inost[e],-1836.15280747774
EX_lac_D[e],5010.09277860012
EX_leuktrA4[e],778.312196804205
EX_leuktrC4[e],2036.39261701798
EX_leuktrD4[e],1982.8532647727
EX_leuktrE4[e],-702.055929906335
EX_leuktrF4[e],128.17482324278
EX_lgnc[e],-844.607780855777
EX_lneldc[e],6604.36703043911
EX_lnlc[e],5546.77488104988
EX_lnlnca[e],-59.1827801489944
EX_lnlncg[e],266.093250103278
EX_lpchol_hs[e],248.608554548979
EX_mag_hs[e],-767.84290626747
EX_meoh[e],-1134.9607479142
EX_ncam[e],578.998949140392
EX_no[e],216.922387638451
EX_nrpphr[e],-232.43333089855
EX_nrvnc[e],-324.361518859356
EX_o2s[e],-9024.93424560017
EX_oagt3_hs[e],240.174990891546
EX_ocdca[e],-8035.13390806405
EX_ocdcea[e],-6537.76595227935
EX_octa[e],-723.901914640184
EX_oxa[e],889.352018805503
EX_pchol_hs[e],-1233.46178615589
EX_pe_hs[e],-4153.53484520404
EX_peplys[e],-2803.5269467241
EX_pglyc_hs[e],-674.136433617512
EX_pheacgln[e],257.902254592159
EX_phyt[e],-142.011860634073
EX_prgstrn[e],-222.507930890121
EX_prostgd2[e],2255.44074941274
EX_prostge1[e],184.898490776315
EX_prostge2[e],214.626372056016
EX_prostgf2[e],-6444.16460282502
EX_ps_hs[e],1480.11605440187
EX_ptdca[e],249.051777165627
EX_retn[e],-1463.91855093735
EX_retnglc[e],4140.91815837528
EX_Rtotal2[e],3145.55604372748
EX_Rtotal3[e],1040.55637965827
EX_spc_hs[e],-900.493425805971
EX_sph1p[e],1496.31446549022
EX_sphs1p[e],-968.079695911747
EX_strdnc[e],0.669599251769876
EX_tag_hs[e],0
EX_tagat_D[e],-646.289064931419
EX_tchola[e],-0
EX_tdchola[e],-3169.47744142759
EX_tethex3[e],-910.657194925832
EX_tetpent3[e],-457.672682426464
EX_tetpent6[e],-5.45300027704434
EX_tettet6[e],-362.400792981673
EX_thf[e],-1683.37189577032
EX_tmndnc[e],521.685576149333
EX_tststerone[e],1027.58758955906
EX_tsul[e],2176.86024643026
EX_ttdca[e],-633.242665864547
EX_udp[e],-1942.17994187586
EX_ump[e],-684.100026372533
EX_urate[e],9473.35025688165
EX_utp[e],-9476.01666027154
EX_vacc[e],28.8555788459016
EX_vitd3[e],-4988.02685268948
EX_whddca[e],257.588549795569
EX_whhdca[e],75.9487481822065
EX_xoltri24[e],139.394560132029
EX_xoltri27[e],152.568656640583
F1Atg,131.496107704208
FACOAL140i,1283.77808364109
FACOAL150,55.6856309552313
FACOAL160i,69.1109141993501
FACOAL170,134.194663135268
FACOAL180i,286.052627867782
FACOAL1812,-3366.1757999574
FACOAL1813,-5877.68488015848
FACOAL181i,499.866538471476
FACOAL1821,-6600.20753033863
FACOAL1822,-6344.59173316647
FACOAL1831,-1902.1329500476
FACOAL1832,711.442023059974
FACOAL184,-3174.86534043693
FACOAL191,876.375590571697
FACOAL203,850.470243007214
FACOAL204,-3090.29663387193
FACOAL2042,480.871124291629
FACOAL205,-2121.24608742532
FACOAL206,-2759.13565104251
FACOAL224,1041.73731019593
FACOAL2251,-181.26096517368
FACOAL2252,193.044738212793
FACOAL226,1450.11241192865
FACOAL241,326.370316675153
FACOAL244_1,569.270445484977
FACOAL245_1,211.710621640997
FACOAL245_2,669.648748155201
FACOAL246_1,1229.60988660413
FACOAL260,-532.687190338898
FACOAL80i,1133.24447749585
FADH2tru,5515.17258306729
FADH2tx,5664.15358685331
FADtru,5515.17258306729
FADtx,-5664.15358685331
FAH1,257.588549795569
FAH3,75.9487481822065
FALDtly,1134.9607479142
FAOXC161802m,98.4324618005776
FAOXC180x,314.909090291392
FAOXC183806m,128.774537516778
FAOXC2031836m,240.639214331985
FAOXC2051843m,1984.05528162502
FAOXC2242046m,408.810264271875
FAOXC2252053m,330.028272919616
FAOXC226205m,735.5327087659
FAOXC226205x,1963.78810480399
FAOXC2452253x,458.320187594249
FAOXC2452256x,369.14880359362
FAOXC246226x,911.304700093596
FAS100COA,243.654577094756
FAS120COA,164.441686577597
FAS140COA,152.357826827208
FAS180COA,267.945201467056
FAS80COA_L,101.950187884435
FATP2t,-3371.55118638535
FATP5t,2561.39706563309
FATP6t,1113.99330908727
FATP7t,-664.144411591376
FATP9t,-326.370316675153
FCLTm,164.024354649973
FCOAH,142.011860634073
FE2t,273.89922034874
FE3R2e,780.132912823459
FOLt2,-4508.9321327884
FORMCOAtx,142.011860634073
FTHFDH,586.75372889111
FUCACGALFUCGALACGLCGALGLUSIDEte,-140.549601889006
FUCGALFUCGALACGLCGALGLUSIDEte,-383.991984341837
