Reaction,Flux
10FTHFtm,-224.438674252392
2DR1PP,470.91324109686
34DHPLACOX_NADP_,113.790823574116
34DHXMANDACOX,142.094008675671
34HPLFM,3436.57994032377
3DPHBH1,8.22513062410878
3DPHBH2,10.1780622580755
3DSPHR,190.498119032814
3MOBt2im,941.234352091471
3MOX4HOXPGALDOX,115.945904271461
3SALAASPm,-2563.52275320506
41R2A1H12BOOX,142.094008675671
42A12BOOX,113.790823574116
4HBZCOAFm,18.4031928821843
4HBZFm,18.4031928821843
4HOXPACDOX_NADP_,-0
4MPTNLte,77.4405989947531
4MPTNLtm,-77.4405989947531
5AOPtm,-847.162929526956
5MTHFt,-3845.1871008869
7DHCHSTEROLtr,-2050.4608723033
A4GALTc,511.894579866068
ACACT1rm,3132.56235877615
ACACT1x,285.560536256235
ACACT8p,-0
ACACT9p,145.574954354361
ACCOACm,4291.51502286124
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-124.937187869922
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-68.0714297847164
ACGALK,1929.22953181156
ACGALtly,847.115892497472
ACGAM6PSi,178.349005694946
ACGAMK,724.38774775235
ACGAMPM,902.736753447296
ACGAMtly,109.942241974304
ACNAMlt,-469.181942799167
ACt2m,-4136.16346662662
ADCim,1089.48674468515
ADEt,-3757.01711836805
ADHAPtx,118.405147154793
ADK1m,-2902.77027953864
ADK3,-5272.83506065322
ADK3m,86.4274779709849
ADKd,-550.540372803212
ADMDC,141.186399255469
ADPMAN,303.483791411606
ADRNCPT1,46.505836816216
ADRNCPT2,46.505836816216
ADRNCRNt,46.505836816216
ADRNt,160.839016649568
ADSK,618.91289386519
AGLPC,118.405147154793
AGLPH,118.405147154793
AGPAT1,323.256282259869
AHCYStr,-1259.61029677001
AKGDm,4281.01721951179
ALASm,847.162929526956
ALATA_L,-7045.62655438186
ALCD21_L,277.735330142302
ALCD22_D,0
ALDD20xm,161.132260151096
ALDD2y,3198.72396875437
ALDSTRNte,97.048846923052
ALDSTRNtm,-97.048846923052
ALOX12,88.1006256385404
ALOX5,476.871898585282
ALOX52,138.566859221727
ALR2,277.735330142302
ALR3,277.735330142302
AMACR2p,2156.95509933301
AMETr,1259.61029677001
AMETt2m,55.209578666585
AMPTASECGe,2255.7133469255
AMPtp,-3969.31886201921
APAT2rm,114.514128555216
APRTO2,105.236750778337
ARACHCPT1,171.631521129792
ARACHCPT2,171.631521119673
ARACHCRNt,134.849877459275
ARACHDt2,743.954730333146
ARACHDtr,-3595.77067325082
ARSA,71.4341017934849
R_group_phosphotase_2,55.7097014393934
ARTFR41,1971.23148617834
ARTFR61,1891.21348389691
ARTPLM1,1004.12838409792
ARTPLM2,223.858044809299
ASNS1,102.879883077087
ASPCTr,4428.03074343858
ASPTAm,-2448.60029627666
ATP1ter,170.982203376154
ATP2ter,-2127.99689245977
ATPH2e,173.461129759615
ATPtm,7011.47805758697
ATPtx,3969.31886201921
BALAtmr,114.514128555216
BHMT,124.027804271921
BILGLCURt,-180.111528605416
BILGLCURte,129.361151069875
BILIRUBtr,64.3367336794951
C161CPT22,337.717606725949
C180CPT1,932.003800794151
C180CPT2,1438.40284293544
C181CPT1,217.97199749518
C181CPT2,18.8087923958795
C181CRNt,52.023898897929
C204CPT1,45.5048946324042
C204CPT2,174.255714100467
C226CRNt,-0
CATm,1019.80116610089
CATp,2992.46294766914
CBPPer,431.11637889684
CBPter,431.11637889684
CDIPTr,-0.59481381154486
CDSm,162.254381240194
CEPTE,236.84829542396
CERK,623.271476692652
CERT1gt,1549.85629223842
CERT2rt,130.611960905708
CHAT,-5375.75660095235
CHLPCTD,202.715424244569
CHOLtg,1193.42651342183
CHSTEROLt1,358.204312448416
CHSTEROLt2,2741.96934764102
CHSTEROLt3,-2944.06822492331
CHSTEROLtg,8082.56836023621
CHTNASE,204.815168593042
CITtam,150.183582354059
CK,2787.81498938437
CKc,-2787.81498938437
CLPNDCPT1,65.3209405244409
CLPNDCPT2,65.3209405244409
CLPNDt,182.073290868255
CLS_hs,0.59481381154486
CMPSAS,2559.84710894358
CO2ter,-462.086230539138
CO2tm,3669.58042407457
COAtm,-2136.10271975375
COAtp,-197.677788604793
COAtr,1063.86094259029
COt,138.953362885281
COUCOAFm,18.4031928821843
CREATt4_2_r,3593.39510602174
CREATtmdiffir,2787.81498938437
CRMPte,408.000037492537
CRNCAR3tp,1246.27610204466
CRNCARtp,2889.09259022695
CRNt,-3178.17936786193
CRNtuNa,2115.58234544632
CRNtx,2668.33832379043
CRTSLtr,-8470.56826789677
CRTSTRNt,97.048846923052
CRTSTRNtm,97.048846923052
CRVNCtr,2889.870178581
CSNAT2x,2668.33832379043
CSNAT3x,1246.27610204466
CSNATr,5989.79864211231
CSNt,690.058668447021
CSPG_At,30.9698516328061
CYSGLTH,-0
CYSTA,6830.41030472977
CYTD,334.770374269334
CYTDt,336.527563113122
CYTDtl,176.88393919837
CYTK12,1678.35113457126
CYTK12n,-29.5701199240102
CYTK13,2275.67495240364
CYTK14,-908.466436226159
CYTK1m,162.254381240194
CYTK1n,218.521116107975
CYTK2n,-3215.93801857527
CYTK3,5545.94739927617
CYTK7,-2777.59554615506
CYTK8,472.357657948614
CYTK8n,-3523.16949441465
CYTK9,-124.988531538018
CYTK9n,3304.64837829653
DADA,1064.11505915071
DADNK,193.270204441452
DAGK_hs,-178.455557987118
DAGt,-3601.49513021821
DCIm,-322.017154649963
DCK1n,-3215.93801857528
DCK2n,-29.5701199239575
DCSPTN1COAtx,70.829170759762
DCSPTN1CPT1,1784.19031645412
DCSPTN1CPT2,1784.19031645412
DCSPTN1CRNt,1784.19031645412
DCSPTN1t,1705.72246520105
DCTPtn,3245.5081384688
DCYTD,1344.44130795454
DCYTt,-2434.56111570569
DDPGAm,114.922456928396
DECDPtm,18.4031928821843
DESAT18_6,128.621987019349
DGAT,164.51562095134
DGSNt,215.836206022151
DHAPA,118.405147154793
