Reaction,Flux
34HPLFM,18.9798529925461
3MOX4HOXPGALDOX,724.593278805466
3SALAASPm,-1.16563939748601
4HOXPACDOX_NADP_,0
4MOPt2im,20.4423681827334
4MPTNLte,8.69198210210974
4MPTNLtm,-8.69198210210974
ACACT1rm,338.992900728344
ACACT8p,1.49818908919556
ACACT9p,9.61012674158683
ACCOACm,475.152911433921
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-21.2934759931742
ACGALK,118.919404364288
ACGALtly,10.2107422270703
ACGAM6PSi,39.158166145747
ACGAMPM,39.158166145747
ACNACNGAL14ACGLCGALGLUSIDEte,-6.8790518163053
ACNAMlt,-5.10537111353516
ADHAPtx,1.49818908919556
ADK3m,-3169.29671073848
ADMDC,2.84167215985547
ADNt,-3231.30619795515
ADNtm,-3196.95632250039
ADPtx,-355.443339539858
ADRNCRNt,-0
ADRNt,-0
ADSK,94.2585002850366
AGLPC,1.49818908919556
AGLPH,1.49818908919556
AKR1C41,330.754644805143
AKR1D,330.754644805143
ALATA_L,-5.52381840413545
ALCD22_D,-0
ALDD2y,8.69198210210974
ALDSTRNte,201.388975087425
ALDSTRNtm,-201.388975087425
ARACHCOAtx,-3.31039437413471
ARACHCRNt,-0
ARGSS,6.06869373272123
R_group_phosphotase_1,59.9631636674051
ARTFR41,106.756540238286
ARTFR61,1305.54611841163
ASPTAm,-1.16563939748601
ATP1ter,94.8382038627715
ATPtm,6288.72868034336
ATPtx,355.443365886023
BAAT2x,355.443339539858
BAAT3x,0.15132112950656
BHMT,0.15132112950656
BILIRUBtr,28.7443747291969
C161CPT12,-1305.54611841163
C180CPT2,52.6965594400458
C204CPT1,9.34429339079217
C204CPT2,9.34429339079217
CATm,1334.92523878642
CATp,922.968707157258
CDSm,3.06528663790222
CEPTC,19.241363662141
CERK,29.9707071157425
CERT1rt,18.2712254039792
CHAT,136.285040515933
CHLPCTD,77.0363063545152
CHOLK,60.8085885237584
CHOLt4,-5976.86710730259
CHOLtu,5969.81977145736
CHSTEROLt2,31.8964244001506
CHSTEROLtg,0
CLPNDCRNt,-0
CLPNDt,-0
CMPSAS,334.30997535512
CO2tm,470.971787066615
CO2tp,0.0648519126456687
COt,28.7443747291969
CRNCARtp,702.065920725309
CRTSTRNt,201.388975087425
CRTSTRNtm,201.388975087425
CRVNCtr,-0
CSNAT3x,701.259389612224
CYSGLTH,-115.53719646734
CYSt4,1321.88490050827
CYSTA,0.711591302617996
CYTK10n,11.9292662232237
CYTK11n,-11.9292662232237
CYTK13,447.132406712084
CYTK1m,3.06528663790222
CYTK2n,-23.8573404998333
