Reaction,Flux
34DHOXPEGOX,632.450804751605
34DHOXPEGt,632.450804751605
34DHXMANDACOX_NADP_,-632.450804751605
34HPLFM,10.852481292405
3DPHBH1,13.4903446359659
3MOBt2im,-0
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,525.874778227275
3SALAASPm,-189.892999130995
4HBZCOAFm,13.4903446359659
4HBZFm,13.4903446359659
4HGLSDm,189.892999130995
4HOXPACDOX_NADP_,548.656481410674
4MPTNLte,342.561587493881
4MPTNLtm,-342.561587493881
7DHCHSTEROLtr,-2958.77827314526
A4GALTc,181.258978131186
AACTOOR,272.172086832639
AACTtm,235.889500416779
ABUTt4_2_r,0
ACACT10m,-1924.13691088931
ACACT1rm,5670.91569237366
ACACT9p,75.1344568142375
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-79.3779903117737
ACGALK,1997.93253659442
ACGALtly,224.968011606411
ACGAM6PSi,1825.4380552022
ACGAMK,327.379001543317
ACGAMPM,137.928709615108
ACNAMlt,-112.484005803205
ACNAMtn,1018.89967438505
ACOAD10m,588.838483703259
ACOAD8m,-0
ACONTm,-410.372583812847
ADHAPtx,30.5749545522568
ADK1m,3887.13335415587
ADK3m,-3041.13880848057
ADMDC,329.427160939328
ADNK1m,145.415438560339
ADNtm,145.415438560339
ADRNCOAtx,53.3787561038181
ADRNCPT1,31.3224067063402
ADRNCPT2,31.3224067064145
ADRNCRNt,303.579184267663
ADSK,563.627199373592
AGLPC,30.5749545522568
AGLPH,30.5749545522568
AKGDm,8139.96752921504
AKGMALtm,2596.05819005673
ALADGLYexR,-2695.97707487107
ALAGLNexR,261.105316066931
ALATA_L,-6105.49868327001
ALCD22_D,0
ALDSTRNte,351.84124505165
ALDSTRNtm,-351.84124505165
ALOX5,499.865503800733
ALOX52,236.740190125541
ANDRSTRNte,-265.88129708604
ANDRSTRNtr,265.88129708604
AOBUTDsm,235.889500416779
APRTO2,355.407055864627
ARACHCOAtx,4697.1721059616
ARACHCRNt,-0
ARACHDCOAtx,2815.6335101977
ARACHDtr,-1504.82831390578
ARACHt,4800.71028088258
ARGSS,142.938140335435
R_group_phosphotase_1,1669.80014645201
R_group_phosphotase_2,30.5749545522568
ARTFR61,816.308927808423
ARTPLM1,855.813788696079
ARTPLM3,273.987455184302
ASPCTr,2060.14730623989
ATP1ter,356.59233377798
ATPH2e,1662.25633964563
ATPtm,8139.39610367103
BALAVECSEC,2095.91280831432
BILDGLCURtr,219.048045560881
BILIRED,44.9798017742114
BILIRUBtr,44.9798017742114
BUTt2m,550.641144764477
C160CPT1,-2517.97797593469
C161CPT22,435.575371977594
C180CRNt,-0
C181CPT2,-29.9797197622606
C204CPT1,-2704.83996289201
C204CPT2,110.793547305684
C204CRNt,199.010620814066
C226COAtx,-149.055721039578
C226CPT1,778.345961581352
C226CPT2,778.345961581352
CATm,7309.14038277328
CATp,4241.55708846384
CBR2,1084.35965686724
CDIPTr,-208.759984292901
CDS,112.449665265299
CERK,0
CERT1gt,0
CERT2rt,116.267517967004
CHAT,1047.19263935253
CHLPCTD,270.009294430586
CHOLK,171.024849409254
CHSTEROLSULT,117.789178876361
CHSTEROLt1,3076.56745202169
CHSTEROLt3,-2609.02136681297
CHTNASE,109.126333847772
CLPNDCOAtx,149.055721039578
CLPNDCPT1,65.9286075371276
CLPNDCPT2,65.9286075371276
CLPNDCRNt,65.9286075371276
CLPNDt,7.31123560325094
CLS_hs,0.614671949345315
CMPACNAtg,118.411268941424
CMPACNAtn,1018.89967438505
CMPSAS,919.613276840127
CMPSASn,1018.89967438505
COAtp,730.890912828316
COt,44.9798017742114
COUCOAFm,13.4903446359659
CRNt,-0
