Reaction,Flux
34DHXMANDACOX,210.707352597063
34HPLFM,11.7210213280658
3DPHBH1,11.7210213280658
3MOBt2im,7578.31488431416
3MOX4HOXPGALDOX,892.690764709591
3SALAASPm,-2941.27998312917
41R1H2MAE12BOOX,210.707352597063
4HBZCOAFm,11.7210213280658
4HBZFm,11.7210213280658
4HOXPACDOX_NADP_,-2292.23225661674
4MPTNLte,249.432946137733
4MPTNLtm,-249.432946137733
5AOPtm,-393.1777960427
6DHFtl,17.9790458376568
6DHFtm,17.9790458376568
7DHCHSTEROLtr,-1855.16452959897
A4GALTc,176.372089843384
AACTOOR,1424.66035804102
ACACT1rm,7238.05500856759
ACACT1x,133.927712447671
ACACt2m,-4965.43371426775
ACACT7p,559.744723651723
ACACT8p,-0
ACACT9p,242.99260763248
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-67.9562099289729
ACGALK,276.450026719683
ACGALtly,529.405119587495
ACGAM6PSi,2279.21887575496
ACGAMK,230.534800335214
ACGAMPM,1603.01439897245
ACNAMlt,-279.220083319208
ACOAD10m,600.373430098071
ACOAD1fm,110.486101524278
ACOAO7p,196.243331830845
ACt2r,-3757.46649073812
ADHAPtx,2658.39815059335
ADK1m,3386.67743313929
ADK3m,-2972.21484091326
ADMDC,898.400160890686
ADNtm,-11.6869555940833
ADPMAN,331.715424203326
ADRNCOAtx,160.294166589057
ADRNCPT1,65.4017337758842
ADRNCPT2,65.4017337758842
ADRNt,5876.95819641909
ADSK,151.098685833298
AGLPC,46.7492758010832
AGLPH,46.7492758010832
AGPAT1,667.446494708043
AGTim,393.1777960427
AKGDm,393.1777960427
AKGMALtm,1545.6281986838
AKGtp,10000
AKR1D,253.8026007694
ALASm,393.1777960427
ALATA_L,-6156.01118634151
ALCD21_L,151.219295920089
ALCD22_D,-0
ALDD20xm,190.910393251264
ALDD2y,1834.1904354858
ALDSTRNte,359.92974802511
ALDSTRNtm,-359.92974802511
ALOX5,167.529667246714
ALOX52,2304.05106346366
ALR2,151.219295920089
ALR3,151.219295920089
AMETt2m,35.1630639841974
AMPDA,3419.66390237067
AMPtp,97.6459971790155
APRTO2,177.45220924166
ARACHCPT1,124.95214619991
ARACHCPT2,124.95214619991
ARACHDt2,-2922.72214910173
ARACHDtr,-3669.30306006593
ARGSS,152.665100295948
ARGt4,1508.67573291616
ARSA,29.0350470509529
