Reaction,Flux
10FTHF5GLUtl,131.952803449347
10FTHF5GLUtm,131.952803449347
10FTHFtl,-131.952803449347
10FTHFtm,-350.90056682559
11DOCRTSTRNtm,137.086541605861
25HVITD3tin_m,195.676141603906
25VITD3Hm,379.714582855164
2DR1PP,1093.1615175925
2HBO,-1319.07447821732
34DHOXPEGOX,-1316.7757970347
34DHOXPEGt,-1316.7757970347
34DHXMANDACOX,1561.23000959253
34DHXMANDACOX_NADP_,337.014820838076
34HPLFM,1097.41752872171
3AIBTm,645.62551437141
3AIBtmi,645.62551437141
3DPHBH1,16.2666403949903
3DPHBH2,18.1340848763065
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,488.069745597942
3SALAASPm,-1468.66196100496
3SALATAi,183.044697677836
3SPYRSP,183.044697677836
41R1H2MAE12BOOX,336.86057837569
41R2A1H12BOOX,244.608467709112
4HBZCOAFm,10.4023269553916
4HBZFm,10.4023269553916
4HGLSDm,765.651037882113
4HOXPACDOX_NADP_,0
4MOPt2im,4962.31478635553
4MPTNLte,481.067451234213
4MPTNLtm,-481.067451234213
5ADTSTSTERONESte,4125.49421063359
5ADTSTSTERONEtr,4125.49421063359
5AOPtm,-209.101508501062
7DHCHSTEROLtr,-2197.90614532563
7THFtm,71.5373761029801
A4GALTc,324.578755233425
ABUTt4_2_r,-3328.6413434935
ACACT1rm,9576.57963343496
ACACT1x,913.794014950514
ACACt2m,-1185.46049428422
ACACT8p,-0
ACACT9p,-0
ACALDtm,-368.761642061201
ACCOAtr,-1155.59790475175
ACETONEt2m,-140.14791286977
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-193.543045086508
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-63.6622476548708
ACGALK,517.974313040886
ACGALK2,450.450175915788
ACGALtly,2778.97386548332
ACGAM6PSi,4370.95054445823
ACGAMK,419.810066291329
ACGAMPM,3186.38209401803
ACITL,307.304886626039
ACNACNGAL14ACGLCGALGLUSIDEte,-75.6148200482068
ACNAMlt,-2564.34088876524
ACNAMtn,1261.10099957409
ACNMLr,-288.129107882096
ACOAD1fm,339.928662215686
ACOAD9m,306.793174005625
ACOAO7p,780.791254673904
ACONTm,737.44779205578
ACOX2x,162.857600295734
ACRNtm,-3894.38544994672
ACTNMO,140.14791286977
ADAe,1378.08111585465
ADCim,1518.70580852515
ADEt,-2315.8766303101
ADHAPtx,4117.12094833428
ADK1m,207.332957913766
ADK3m,-4189.01078918598
ADMDC,596.002499881051
