Reaction,Flux
1MNCAMti,115.555747026171
2HBO,146.553873325069
34DHOXPEGOX,810.301034433045
34DHOXPEGt,810.301034433045
34DHPHAMT,183.082936759626
34DHPLACOX_NADP_,183.082936759626
34DHXMANDACOX_NADP_,-552.004441307212
34HPLFM,1290.63736145505
3DPHBH1,7.82535168878807
3DPHBH2,1.64981721007131
3HBCDm,760.302555998485
3MOBt2im,3455.47467577646
3MOX4HOXPGALDOX,3066.80286118862
3MOX4HOXPGALDOX_NADP_,-2374.78810930539
3SALAASPm,-1947.8390857545
3SALATAi,162.636016775098
3SPYRSP,162.636016775098
41R1H2MAE12BOOX,258.296593125785
42A12BOOX,183.082936759626
4HBZCOAFm,9.47516889885938
4HBZFm,9.47516889885938
4HGLSDm,2346.03628358186
4HOXPACDOX_NADP_,192.250481110639
4MPTNLte,186.231401408609
4MPTNLtm,-186.231401408609
5AOPtm,-353.813156035147
5MTHFt,-3099.47837331577
6THFtm,34.7017818730011
7DHCHSTEROLtr,-4127.99135330102
A4GALTc,494.092953281566
AACTOOR,454.549024613585
AACTtm,3730.37252271519
ABUTt4_2_r,-5106.10269203984
ACACT1rm,9468.2283184554
ACACT1x,1558.61168132036
ACACt2m,-506.8293657745
ACACT7p,83.2922362015332
ACACT8p,382.708084867393
ACACT9p,161.234325827621
ACACtx,-2231.11843498525
ACALDtm,-2140.46464677286
ACCOALm,213.744836718371
ACCOAtr,-4550.45519295876
ACETONEt2,201.068849203237
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-222.010048383664
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-42.6198236602715
ACGALK,571.635558089957
ACGALK2,286.02270171849
ACGALtly,2317.95022358453
ACGAM6PSi,4976.43931973541
ACGAMK,201.722000641779
ACGAMPM,3957.11894150258
ACITL,169.278901198618
ACNACNGAL14ACGLCGALGLUSIDEte,-72.9109515279557
ACNAMlt,-2041.85586508063
ACNAMtn,1166.2231909348
ACOAD1fm,476.84627942804
ACOAD9m,840.34311833606
ACOAO7p,83.2922362015332
ACODA,1521.58678478517
ACONTm,365.282125388037
ACRNtm,-4241.68843247907
ACSm,218.098360381476
ACt2m,-4898.69509642834
ACTNMO,201.068849203237
ADCim,841.902086407661
ADEt,-1592.58520313027
ADHAPtx,2474.74869894885
ADK1m,3881.73529334413
ADK3,-9676.9354539081
ADK3m,-3096.03093950912
ADKd,-40.3950566598778
ADMDC,847.826812298411
ADNt,-850.491247071279
ADNtm,-431.410560121486
ADPMAN,338.208616944305
ADPtx,-253.803525005018
ADRNCOAtx,222.505504368366
ADRNCPT1,531.778903754848
ADRNCPT2,531.778903754839
ADRNCRNt,309.934399623717
ADRNt,2440.39604341941
ADSK,1368.43908997698
ADSL1,105.319051319534
ADSL2,42.9265024702969
AGLPC,137.731027017471
AGLPH,137.731027017471
AIRCr,42.9265024702969
AKGDm,3130.95430379176
AKGMALtm,3328.55081169764
AKGtp,512.961469333659
ALADGLNexR,3724.56423539787
ALAt4,3624.88838670463
ALATA_L,-5125.47732152502
ALCD21_L,786.302665363706
ALCD22_D,0
ALCD2yf,3411.04182174794
ALDD2xm,2140.46464677286
ALDSTRNte,127.059037024758
ALDSTRNtm,-127.059037024758
ALOX12,192.818300963172
ALOX5,323.275627772757
ALOX52,6768.86852930374
ALR2,585.233816160471
ALR3,786.302665363706
AMACR2p,1288.4450919327
AMETt2m,28.4255066965776
AMPDA,915.350777385001
AMPtp,-1563.53942850891
AOBUTDsm,3730.37252271519
ARACHCOAtx,2815.68546292975
ARACHCPT1,1936.39125231611
ARACHCPT2,1936.39125231615
ARACHCRNt,1010.48035874101
ARACHDCOAtx,2162.93345246775
ARACHDt2,-1758.52177175837
