Reaction,Flux
25VITD3Hm,84.0959933999647
34DHPHAMT,355.946458778039
34HPLFM,12.7694528051779
3AIBTm,145.906956506768
3AIBtmi,145.906956506768
3DPHBH1,12.7694528051779
3MOBt2im,145.906956506768
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,309.471222678592
3SALAASPm,-882.035620567476
4HBZCOAFm,12.7694528051779
4HBZFm,12.7694528051779
4HOXPACDOX_NADP_,0
4MPTNLte,272.447870073361
4MPTNLtm,-272.447870073361
5ADTSTSTERONEte,-43.0143281594118
5ADTSTSTERONEtr,43.0143281594118
5AOPtm,9785.39287798023
5MTHFt2,-5625.37316715503
A4GALTc,104.61159507729
ABUTt4_2_r,3225.55757878291
ACACT1rm,7478.02775653718
ACACT8p,90.9856090926478
ACACT9p,90.9856090926478
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-43.2947451072425
ACGALK,354.644489157069
ACGALK2,274.539373345066
ACGALtly,243.537235656767
ACITL,242.931190629424
ACNAMlt,-147.774988806205
ACNMLr,-1887.24609818876
ACOAD9m,145.906956506768
ACONTm,3192.28905498398
ADCim,2140.47748817712
ADHAPtx,1456.74602956954
ADK1m,2109.34588273297
ADK3m,-1810.68849939263
ADMDC,496.820716199041
ADNK1m,125.955281594863
ADNt4,170.450839047385
ADNtm,125.955281594863
ADPMAN,187.271128026129
ADRNCRNt,2568.00834190795
ADRNt,5169.78613472977
ADSK,273.41457844927
AGLPC,90.9856090926478
AGLPH,90.9856090926478
ALAGLYexR,-646.585275974632
ALATA_L,-4487.20338603113
ALCD21_D,2526.01485146766
ALCD22_D,6310.64910933261
ALDSTRNte,183.166963394349
ALDSTRNtm,-183.166963394349
AMACR2p,378.304852372189
APAT2rm,242.782990329653
ARACHCPT1,80.9982540077215
ARACHCPT2,80.9982540077215
ARACHDt2,-105.767819371834
ARGSS,133.567183504377
R_group_phosphotase_2,58.0208103598864
ARTFR41,3282.34223289443
ARTFR61,9781.34144486777
ARTPLM1,3093.47751351461
ARTPLM2,58.0208103598864
ASPCTr,1029.4944137767
ASPTAm,-882.035620567476
ATP1ter,35.3662764255
ATPasel,52.0127419557437
ATPH2e,1203.07907571426
ATPtm,5790.75516441235
ATPtn,151.533948069964
BALAtmr,242.782990329653
BBHOX,44.8693054738279
BHMT,1185.7990783086
BILDGLCURte,51.8413262527848
BILDGLCURtr,1032.07155029542
C160CPT2,333.037857123056
C160CRNt,333.037857123056
C161CPT12,-9781.34144486777
C161CRN2t,-357.314070800821
C180CRNt,-0
C181CPT1,135.036234423238
C181CPT2,681.619832180901
C181CRNt,701.230539361046
C204CPT2,114.105559026172
C226COAtx,1341.98133954983
C226CRNt,-0
CATm,2002.40319757176
CATp,2908.04870159238
CBPSam,47.2096481041868
CDIPTr,77.1098779020041
CDS,77.1098856020041
CERT2rt,593.498065405917
CHAT,1033.22275578637
CHLPCTD,158.941852492713
CHOLK,89.5526119498439
CHSTEROLt2,375.494444264521
CHSTEROLt3,34.6023763174999
