Reaction,Flux
10FTHF5GLUtl,66.2156768531004
10FTHF5GLUtm,66.2156768531004
10FTHFtl,-66.2156768531004
10FTHFtm,-2690.34771810635
13DAMPPOX,178.439489273641
2HBt2,-6214.31519391753
34DHXMANDACOX,156.924424201047
3AIBTm,883.98473334978
3AIBtmi,883.98473334978
3DPHBH2,8.30341637967898
3DSPHR,595.182286050931
3MOX4HOXPGALDOX,459.430505337253
3MOX4HOXPGALDOX_NADP_,107.474338621906
3SALAASPm,-1178.99746412696
41R1H2MAE12BOOX,156.924424201047
4HBZCOAFm,8.30341637967898
4HBZFm,8.30341637967898
4HOXPACDOX_NADP_,360.858731271816
4MPTNLte,103.880554655235
4MPTNLtm,-103.880554655235
5AOPtm,-66.5771553253666
5HOXINOXDA,212.186853736568
A4GALTc,193.615592564024
ABUTt4_2_r,-3881.62553581702
ACACT1rm,2671.97424546705
ACACT1x,1469.89612529301
ACACT8p,124.728288583229
ACACT9p,-0
ACALDtm,-107.494388735747
ACETONEt2m,-464.177534307417
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-109.940630892834
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-30.9556784621978
ACGALK,914.703208751901
ACGALK2,465.486934003605
ACGALtly,371.630081704967
ACGAMK,498.817848439277
ACGAMPM,498.817848439277
ACGAMtly,360.630824494759
ACITL,321.095756625161
ACNACNGAL14ACGLCGALGLUSIDEte,-69.006239776685
ACNAMlt,-95.8636567610847
ACOAD9m,1378.53481604907
ACTLMO,696.118886177506
ACTNMO,464.177534307417
ADCim,464.177534307417
ADEt,-5649.67022338914
ADHAPtx,534.940360573133
ADK1m,-276.711945376735
ADK3m,368.308211614038
ADPMAN,274.072873896137
ADRNCOAtx,172.050302908597
ADRNCPT1,31.6948992628495
ADRNCPT2,31.6948992971362
ADRNCRNt,599.073232859479
ADSK,368.76538237589
AGLPC,77.4214442165984
AGLPH,77.4214442165984
AHCYStr,-546.299404659779
AKGDm,6781.33197551577
AKGMALtm,-3411.52934926719
ALADGLNexR,463.020009001537
ALADGLYexR,1133.60244383494
ALASm,66.5771553253666
ALATA_L,-4472.02231545476
