Reaction,Flux
10FTHFtm,-167.599623519653
24_25DHVITD3t,128.655418950637
25HVITD3tin_m,0
25HVITD3tm,128.655418950637
25VITD3Hm,96.5950428950171
2DR1PP,0
2HBO,-4524.30212068941
34DHXMANDACOX,357.650400329445
34HPLFM,14.5752362215319
3AIBTm,2045.78948674302
3AIBtmi,2045.78948674302
3DPHBH1,24.7463345106313
3DPHBH2,5.24107476702245
3MOBt2im,2083.87827549045
3MOX4HOXPGALDOX,3551.76373616044
3MOX4HOXPGALDOX_NADP_,-2503.04761766669
3SALAASPm,-1307.6601185691
41R1H2MAE12BOOX,357.650400329445
4HBZCOAFm,14.5752362215319
4HBZFm,14.5752362215319
4HOXPACDOX_NADP_,185.25349375506
4MPTNLte,270.369146243585
4MPTNLtm,-270.369146243585
5AOPtm,-924.079433631655
7DHCHSTEROLtr,-3452.97710517073
A_MANASEly,99.0933493275613
A4GALTc,532.014778156589
ABUTt4_2_r,-9209.9348256956
ACACT10m,-517.792439792797
ACACT1rm,6957.19288742223
ACACT1x,2632.73363197166
ACACT8p,474.37107173534
ACACT9p,223.644245678538
ACACtx,-3908.01859561758
ACCOACm,1260.14872853374
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-161.683387886926
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-53.6061502157914
ACGALK,634.012260792787
ACGALK2,274.949867000005
ACGALtly,1212.26601168248
ACGAM6PSi,3628.24918269218
ACGAMK,278.312833226369
ACGAMPM,2705.9603503466
ACGAMtly,396.373397310245
ACNACNGAL14ACGLCGALGLUSIDEte,-67.9617677102194
ACNAMlt,-918.603263742898
ACNAMtn,816.931915499509
ACNMLr,-1145.40553003921
ACOAD1fm,75.4247418421041
ACOAD9m,167.422779260378
ACODA,2437.02915603417
ACONTm,-184.412739213747
ACRNtm,-4332.77887557984
ADEt,157.488456668243
ADHAPtx,2876.79306454854
ADK3m,-2249.66699055045
ADMDC,287.610826303641
ADNt,6016.63156278954
ADNt4,0
ADNtl,324.832697232144
ADNtm,-99.7432607099116
ADPMAN,873.886265168132
ADRNCOAtx,194.015739716658
ADRNCPT1,42.3627572443474
ADRNCPT2,42.3627572568749
ADRNCRNt,-84.2960750158254
ADRNt,1256.07676059288
ADSK,905.415691573041
ADSL1,100.748578201323
AGLPC,139.440570980832
AGLPH,139.440570980832
AGPAT1,542.154461518405
AGTim,576.812970292433
AHCYStr,-455.966072383049
AHEXASEly,99.0933493275613
AKGDm,3252.39708570419
AKGtp,10000
ALADGLNexR,-863.367205588896
ALADGLYexR,-577.529190129386
ALASm,924.079433631655
ALATA_L,-3696.25865382474
ALCD21_D,2853.83705865635
ALCD21_L,512.695687066361
ALCD22_D,2214.70747756742
ALDD21,1682.15345578639
ALDSTRNte,122.12133640436
ALDSTRNtm,-122.12133640436
ALOX12,106.145003155857
ALOX5,195.665079523384
ALOX52,5265.80373936861
ALR2,512.695687066361
ALR3,512.695687066361
AMACR2p,700.495216954935
AMETr,455.966072358897
AMETt2m,89.9622278559436
AMPtp,-65.4482462243614
ANDRSTRNtr,4927.20354970693
APAT2rm,383.208132974814
APRTO2,203.231846404814
ARACHCOAtx,93.3176978121146
ARACHCRNt,4638.2616062102
ARACHDCOAtx,3857.59802588059
ARACHDt2,2796.60400916024
ARACHDtr,1076.72159450365
ARGSS,135.579983586604
ARSA,103.440005878981
R_group_phosphotase_1,331.35699828416
R_group_phosphotase_2,1229.4274922558
R_group_phosphotase_3,318.883406914638
ARTFR11,5483.82819623877
ARTFR12,818.350327151481
ARTFR41,1481.84545589144
ARTFR43,1011.47993513838
ARTFR61,7857.81557558752
ARTPLM1,6589.45861865124
ARTPLM1m,4266.31860754465
ARTPLM2,687.273030737522
ARTPLM3,318.883406914638
ASNNm,1394.64625343044
