Reaction,Flux
11DOCRTSTRNtm,139.534833688572
13DAMPPOX,484.374955387062
25HVITD3t,650.214183199196
25HVITD3tm,220.312497182871
2AMACHYD,3539.06062860283
2DR1PP,0
34DHOXPEGOX,-1639.26892919331
34DHOXPEGt,-1639.26892919331
34DHPHAMT,258.719369041414
34DHPLACOX,0
34DHPLACOX_NADP_,258.719369041414
34DHXMANDACOX_NADP_,1639.26892919331
34HPLFM,1425.30794186703
3DPHBH1,17.2971448551694
3DPHBH2,20.7544897472255
3DSPHR,311.179763122072
3HLYTCL,654.218753479199
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,642.344070947044
3SALAASPm,-1785.79632040023
42A12BOOX,258.719369041414
4HBZCOAFm,6.5669830961929
4HBZFm,6.5669830961929
4HGLSDm,683.854761753542
4HOXPACDOX_NADP_,415.985334413533
4MOPt2im,4755.2298494722
4MPTNLte,358.072072258288
4MPTNLtm,-358.072072258288
5AOPtm,8744.85349100819
5MTHFt,-3976.44973852951
6HTSTSTERONEte,189.191643415425
6HTSTSTERONEtr,-189.191643415425
A_MANASEly,89.5308790667807
A4GALTc,279.435108460453
A4GALTg,163.478484228981
AACTtm,2266.57743965347
ACACT10m,-572.547789350241
ACACT1rm,8832.34325798433
ACACT1x,1513.56781899231
ACACt2m,-445.298155625998
ACACT8p,-0
ACACT9p,152.660764142761
ACETONEt2,1257.9397504774
ACETONEt2m,557.366271936897
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-112.241520220875
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-56.7743559203963
ACGALK,486.928209478364
ACGALK2,334.77117948424
ACGALtlg,-163.478484228981
ACGALtly,2173.29375960663
ACGAM6PSi,4094.16580328206
ACGAMK,610.365519133363
ACGAMPM,3183.15416007696
ACGAMtly,358.123516267123
ACGBGBSIDEtg,-163.478484228981
ACGBGBSIDEtl,163.478484228981
ACHEe,1330.7530227703
ACITL,313.700055253254
ACNACNGAL14ACGLCGALGLUSIDEte,-86.1638573600859
ACNAM9PL,59.3974187960406
ACNAMlt,-1015.49658263039
ACNAMPH,59.3974187960406
ACNAMtn,1426.41642423698
ACNMLr,3.96579130486862
ACOAD1fm,137.727184311733
ACOAD9m,414.88988692792
ACOAO7p,697.813802091763
ACODA,873.842681298504
ACONTm,-4434.8560827128
ACRNtm,-8787.69701475107
ACSm,138.71697459023
ACt2m,-2733.18842705959
ACTNMO,700.5734785405
ADA,1121.94579711124
ADAe,1228.28972757576
ADCim,937.505320651301
ADEt,1318.63073462071
ADHAPtx,448.177836836919
ADK1m,1216.13451635378
ADK3m,-636.747760830007
ADMDC,524.241846964666
ADNK1m,458.362783799729
ADNt,1207.28807640987
ADNtm,-304.320540327664
ADPMAN,679.467515430005
ADRNCOAtx,211.803288597997
ADRNCPT1,354.402871257773
ADRNCPT2,354.402881221684
ADRNCRNt,418.360182009279
ADRNt,1394.82419793493
ADSK,1029.38801609915
ADSL1,176.158359151951
AGLPC,448.177836836919
AGLPH,448.177836836919
AGPAT1,587.740929679905
AHEXASEly,89.5308790667807
AKGDm,1061.0421341352
AKGtp,897.719619189638
ALADGLYexR,1271.39404535642
ALAGLYexR,2.41600005599139
ALASm,0
ALATA_L,-5142.61028327694
ALCD21_L,700.5734785405
ALCD22_D,4417.18019798383
ALCD22_L,338.583045242379
ALDD20xm,116.252143863867
ALDD2y,3372.66622249355
ALDSTRNte,107.469182868077
ALDSTRNtm,-107.469182868077
ALOX12,158.923859148186
ALOX5,264.765040671028
ALOX52,4017.83448954234
ALR3,700.5734785405
AMACR2p,1140.60336133351
AMETt2m,1998.9723214936
AMPDA,834.262452222994
AMPTASECGe,908.604070516111
ANDRSTRNte,-1685.91715973979
ANDRSTRNtr,1685.91715973979
AOBUTDsm,2266.57743965347
APAT2rm,235.460188080745
ARACHCOAtx,532.854063032132
ARACHCPT1,263.931916324302
ARACHCPT2,263.931921299243
ARACHCRNt,373.671048120375
ARACHDCOAtx,3186.7472989593
ARACHDt2,-208.970051874687
ARACHDtr,118.467693038214
ARGSS,253.198317025262
ARSA,98.8422186155416
R_group_phosphotase_1,734.863016443976
R_group_phosphotase_2,1282.96859448316
ARTFR11,2592.55675850041
ARTFR12,2031.2794031747
ARTFR41,1553.71644910253
ARTFR61,7004.35919095669
ARTPLM1,8424.83277388685
ARTPLM2,1758.75217280474
ASNNm,1101.94155870065
ASNS1,245.888219461691
ASNtm,1101.94155870065
ATP1ter,442.798743164443
ATP2ter,895.767141810857
ATPH1e,691.396210715345
ATPH2e,1801.0635342557
ATPtm,8537.01588914974
B_MANNASEly,89.5308790667807
B3GALT3g,163.478484228981
B3GNT36g,163.478484228981
BALAtmr,235.460188080745
BALAVECSEC,177.381508667632
BETALDHxm,299.288746461735
BHMT,1629.7643113176
BILDGLCURt,202.527016706092
BILDGLCURtr,2145.50913666317
BILGLCURt,496.321721182188
BILGLCURtr,1534.08304099548
BILIRUBtr,-3532.87535267445
BTNDe,2450.73180971138
BUTt2m,209.399711321872
C161CPT12,-5547.88859794131
C161CPT22,-56.9643738988634
C161CRN2t,73.3057033081241
C161CRNt,-900.700188293909
C180CPT1,-212.732024033699
C180CPT2,281.029704653657
C180CRNt,377.793129521748
C181CPT1,5155.05499027906
C181CPT2,-908.564763660277
C181CRNt,-205.77943976713
C204CPT1,-3265.82571412328
C204CPT2,245.122865440479
C204CRNt,360.149315745675
C226COAtx,1381.8149296065
C226CPT1,522.671984564893
C226CPT2,522.671989600815
C226CRNt,634.913965360962
CAt7r,2304.71625243024
CATm,9058.38776467891
CATp,6828.01829391456
CBR2,2401.82832734438
CDIPTr,105.476423507171
CDS,107.329516733216
CDSm,157.776824398485
CERK,889.509510837095
CERT1rt,-681.280697017901
CERT2gt,1861.96698795751
CERT2rt,437.240785239173
CHAT,-951.457179821395
CHLPCTD,139.070282508428
CHLtm,141.51192206325
CHOLD2m,299.288746461735
CHOLK,564.092285654043
CHSTEROLt1,-189.777329214805
CHSTEROLt2,-743.250767366739
CHSTEROLt3,-1308.21118589525
CHSTEROLtg,1236.63518688595
CHTNASE,102.557878641858
CITtam,-4070.65669657412
CKc,-9242.84955120908
CLPNDCOAtx,-225.164316531249
CLPNDCPT1,56.5022181246732
CLPNDCPT2,56.5022231606571
CLPNDCRNt,483.310170286069
CLPNDt,-75.2493527282149
CLS_hs,1.85309322604532
CMPACNAtg,119.919160533097
CMPACNAtn,1426.41642423698
CMPSAS,1908.81471520046
CMPSASn,1426.41642423698
CO2tm,7651.77041391623
CO2tp,-365.129769027112
COAtp,920.098523683968
COAtr,-2371.62153568569
COt,344.309178833144
COUCOAFm,6.5669830961929
CREATt4_2_r,-3185.2307214946
CRMPte,587.286902489979
CRNt,-5824.23638003739
CRNtuNa,1897.3176171281
CRNtx,-580.731488531124
CRTSTRNt,-457.904669605758
CRTSTRNtm,-32.0656556299926
CRVNCtr,-818.263408155286
CSNAT2m,-2525.99844969906
CSNAT2x,-1685.61509212336
CSNATm,-8787.69701475107
CSNATp,1685.61509212336
CSNATr,-1329.97948408492
CTPtn,1426.41641920119
CYANt,1078.80339441646
CYANtm,1078.80339441646
CYSGLTH,-0
CYSGLUexR,-580.846831621991
CYSTA,1078.80339441646
CYStec,-2073.07955441037
CYTDt,-3736.52628473049
CYTDt4,2478.83979267473
CYTK10,2338.95467437265
CYTK11,3163.86888155266
CYTK12,-1375.09295714347
CYTK13,2964.96670526249
CYTK14,275.250105357109
CYTK1m,157.776824398485
CYTK3n,-1867.58198082947
CYTK5,1529.95069740623
CYTK6,531.953552958747
CYTK7,-789.280920972011
CYTK8,2132.51140210319
CYTK8n,-1185.9096133778
CYTK9,-2309.44252398605
CYTK9n,1185.9096133778
DADAe,864.00262536445
DADNK,285.881058882772
DADNt4,1409.27661300699
DAGK_hs,-6356.36879418517
DAGt,-6845.92021507545
DALAOXx,249.013586052097
DALAxt,249.013586052097
DCIm,-393.430414476631
DCK1m,-6878.49663223555
DCK1n,-1867.58198082947
DCSPTN1COAtx,-512.054891521717
DCSPTN1CPT1,538.466046384339
DCSPTN1CPT2,538.466056348285
