Reaction,Flux
10FTHF5GLUtl,120.789010565971
10FTHF5GLUtm,120.789010565971
10FTHFtl,-120.789010565971
10FTHFtm,-226.44760678515
25HVITD3t,383.956734470327
25HVITD3tin_m,0
25HVITD3tm,167.987541883418
25VITD3Hm,103.170558568066
2DR1PP,1782.74862340778
34DHXMANDACOX,-0
34DHXMANDACOX_NADP_,157.108518445282
34HPLFM,1383.67044316247
3DPHBH1,11.3355796887646
3DPHBH2,10.989640370582
3DSPHR,386.520617137846
3MOX4HOXPGALDOX,2342.57204818582
3MOX4HOXPGALDOX_NADP_,-1650.11371450947
3SALAASPm,-2275.16195689343
3SALATAi,275.161988238128
3SALATAim,175.207801653971
3SPYRSP,275.161988238128
3SPYRSPm,175.207801653971
41R2A1H12BOOX,157.108518445282
4HBZCOAFm,11.7372274088873
4HBZFm,11.7372274088873
4HOXPACDOX_NADP_,249.043335363583
4MPTNLte,256.963818302002
4MPTNLtm,-256.963818302002
5ADTSTSTERONEte,-3314.37923020464
5ADTSTSTERONEtr,3314.37923020464
5AOPtm,8774.77989390713
7DHCHSTEROLtr,-2963.38169874798
A_MANASEly,70.8361004838532
A4GALTc,235.828253940848
AACTOOR,519.102544406701
AACTtm,519.102544406701
ABUTt4_2_r,-5022.73753435171
ACACT10m,-549.987400815337
ACACT1rm,8796.56513831268
ACACT1x,1236.65707147732
ACACt2m,-735.937573547013
ACACT8p,-0
ACACT9p,304.1248547228
ACALDtm,-800.685260631054
ACCOACm,6454.00006912705
ACCOAtr,136.602342977509
ACETONEt2,143.943392673624
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-77.4000920479213
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-53.3983381270304
ACGALK,518.236484566633
ACGALK2,340.055143270561
ACGALtly,758.240958820229
ACGAM6PSi,2885.19480466639
ACGAMK,1200.90959636636
ACGAMPM,3077.41975222001
ACGAMtly,403.329997637473
ACGSm,983.663612417661
ACITL,245.035471909627
ACNACNGAL14ACGLCGALGLUSIDEte,-61.8754462044598
ACNAMlt,-518.35633169145
ACNAMtn,267.979822547638
ACNMLr,434.399725975876
ACOAO7p,430.30961597792
ACONTm,-878.463071436245
ACRNtm,-2934.84012385058
ACt2m,-483.168974973563
ACTNMO,143.943392673624
ADAe,1423.04368122298
ADCim,1304.44103765249
ADEt,-265.702417166967
ADHAPtx,4736.62615837609
ADK1m,234.442231493278
ADK3m,-129.8309741178
ADMDC,816.785111398909
ADNt,1886.53451426807
ADNtm,-287.61892054523
ADPMAN,1140.14026685668
ADRNCOAtx,114.215435940516
ADRNCPT1,497.772013944985
ADRNCPT2,497.772013978074
ADRNCRNt,317.716231302691
ADRNt,1857.26723160219
ADSK,1366.33681486497
AGLPC,211.324647738457
AGLPH,211.324647738457
