Reaction,Flux
24_25DHVITD3t,3.16491718010517
2HBO,723.957641391371
3DSPHR,16.27400967721
3MOBt2im,4.3177401507098
3SALAASPm,-7.15433273846731
4HOXPACDOX_NADP_,-0
4MPTNLte,2.01526862311498
4MPTNLtm,-2.01526862311498
ACACT10m,-735.022558825802
ACACT1rm,22.852298537442
ACACT1x,4.54031677217061
ACACT8p,2.07375155595126
ACACT9p,2.07375155595126
ACGALK,566.238758312367
ACGALtly,41.689317072927
ACITL,37.6511192890453
ACNAMlt,-20.8446585364635
ADCim,4.06259611621369
ADK1m,-1543.91869602715
ADK3m,2472.81000239998
ADRNCOAtx,0.243726202226295
ADRNCPT1,4.22972012743283
ADRNCPT2,4.22972012743283
ADSK,13.8099821362621
ALATA_L,-104.491596607331
ALCD21_L,18.4505566443073
ALCD22_D,3777.49155652702
ALOX12,4.30891463320846
ALOX52,5.2214331855114
ALR2,18.4505566443073
ALR3,18.4505566443073
AMACR2p,7.8676728877784
AMPDA,0
ARACHCRNt,-0
ARACHt,0.0026348434847424
ARGLYSex,60.1992843218134
R_group_phosphotase_1,-0
ARTFR12,396.983573568418
ARTFR61,234.976777581012
ARTPLM1,631.960351149329
ASPTAm,-7.15433273846731
BUTt2m,699.037437689767
C160CPT1,-4.63238235559575
C160CPT2,-4.63238235559575
C181CPT2,-4.66866667001467
C181CRNt,0.124374810225484
C204CRNt,-0
C226CPT1,34.6422880582097
C226CPT2,34.6422880582097
CATm,18.1599832163383
CATp,31.2335493040801
CBR2,209.593765253219
CDIPTr,-5.27633922059533
CERK,388.157525469815
CHAT,473.81427454601
CHLPCTD,13.174217423712
CHOLtr,358.999415557482
CHSTEROLt2,2.01526862311498
CITtam,-1852.85571326942
CLPNDt,0.0474271827253632
CLS_hs,0
CO2tp,-4.54031677217061
COAtr,-509.155001068367
CRNCARtp,1.14167518624304
CRTSTRNt,-2.39966222777235
CSm,37.6511193133754
CYSGLUexR,287.346077215378
CYTK7,-605.53397350958
CYTK8,633.047444539838
DADNK,0
DAGK_hs,-8.92621406186845
DAGt,-22.1004315052487
DCSPTN1CRNt,23.8632822735817
DDPGAm,74.4306195874352
DESAT22_1p,0.243726202226295
DHCRD2,16.27400967721
DHEASt,-7.42442484247015
DHEAtr,-2.01526862311498
DHPR2,5157.45981237952
DMNONCRNt,0
DOPAMT,2442.16938738693
DPMVDx,4.54031677217061
DSAT,0
EHGLATm,74.4306195874352
EICOSTETCPT1,2.21988391960775
EICOSTETCPT2,2.21988391960775
EICOSTETt,18.9262251876403
ELAIDCPT1,-192.630301750003
ELAIDCPT2,-15.6373760786474
ESTRADIOLt,-11.3652775789864
ESTRADIOLtr,11.3652775789864
ESTRONEtr,-11.3652775789864
ETHAK,14.3392536065455
EX_10fthf[e],22.4221160236337
EX_10fthf7glu[e],-22.4221160236337
EX_2425dhvitd3[e],3.16491718010517
EX_2hb[e],-723.957641391371
EX_4mptnl[e],2.01526862311498
EX_acetone[e],4.06259611621369
EX_adrn[e],0.438455400084759
EX_ala_B[e],1.79683661315569
EX_amp[e],1735.83357280707
EX_arach[e],0.28107158104649
EX_arachd[e],-3.01866814954701
EX_atp[e],1735.83357338715
EX_clpnd[e],0.442611194785059
EX_cmp[e],-1744.75978619612
EX_crtstrn[e],2.39966222777235
EX_crvnc[e],-33.6693016399477
EX_dag_hs[e],22.1004315052487
EX_dcsptn1[e],0.0257914941226329
EX_dlnlcg[e],0.644787353065822
EX_dopa[e],-2442.16938738693
