Reaction,Flux
13DAMPPOX,445.668271041725
24_25DHVITD3t,140.159298543874
25HVITD3t,603.731830901987
25HVITD3tm,316.164158740703
2AMACSULT,136.219472204837
2DR1PP,0
34DHPHAMT,3045.91432082673
34DHPLACOX,0
34DHPLACOX_NADP_,364.76999340344
34DHXMANDACOX,2511.70982902382
34DHXMANDACOX_NADP_,-1804.64526985177
34HPLFM,464.072801910885
3DPHBH1,10.9496522980142
3DPHBH2,7.59742629774627
3HBCOAHLm,168.269820175535
3MOBt2im,1613.40215567982
3MOX4HOXPGALDOX,3278.42831381515
3MOX4HOXPGALDOX_NADP_,-2636.09137410156
3SALAASPm,-2304.67991018493
41R1H2MAE12BOOX,354.649622046613
41R2A1H12BOOX,352.414905270608
42A12BOOX,364.76999340344
4HBZCOAFm,18.5470785957605
4HBZFm,18.5470785957605
4HOXPACDOX_NADP_,-0
4MPTNLte,376.959980884597
4MPTNLtm,-376.959980884597
5ADTSTSTERONEte,-1641.83051502518
5ADTSTSTERONEtr,1641.83051502518
5AOPtm,9000.48212968041
7DHCHSTEROLtr,-4978.14028726751
A4GALTc,318.396101683486
ABUTt4_2_r,-3940.74869844856
ACACT1rm,9361.48216305217
ACACT1x,1749.78188714824
ACACt2m,-1444.89037908399
ACACT8p,-0
ACACT9p,194.095918149941
ACACtx,-1110.15497240553
ACALDtm,-895.843691753572
ACCOAtn,0
ACCOAtr,-1004.55207966399
ACETONEt2m,-210.103278644691
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-102.024652138117
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-60.3208333604703
ACGALK,519.631426784062
ACGALK2,314.937361770289
ACGALtly,2465.16000177355
ACGAM6PSi,3331.74161028767
ACGAMK,367.260180924226
ACGAMPM,3699.00179085885
ACGAMtly,144.720129776511
ACHtn,-0
ACITL,237.956365639421
ACNACNGAL14ACGLCGALGLUSIDEte,-48.4151811012539
ACNAM9PL2,86.1713587520985
ACNAMlt,-1267.87169445922
ACNAMtn,1063.24752038035
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-60.8845980622898
ACNMLr,-723.106156205733
ACOAD9m,168.269820175535
ACOAO7p,1031.22515606647
ACONTm,-1086.46466034048
ACSm,261.272974701487
ACt2m,-4105.68361821822
ACTNMO,210.103278644691
ADAe,1025.37341675518
ADCim,2654.93386548008
ADEt,1203.44926920892
ADHAPtx,2305.16298045483
ADK1m,-947.648071644549
ADK3m,-2676.46685796803
ADKd,-1097.03334775894
ADMDC,783.942297579286
ADNt,1814.66223197139
ADNtm,-196.232330790927
ADPMAN,387.821609634488
ADRNCOAtx,-260.951687458957
ADRNCPT1,462.040202244605
ADRNCPT2,462.040267545468
ADRNCRNt,341.296140387587
ADRNt,1752.52430900199
ADSK,978.795113581459
ADSL1,102.510904460237
AGLPC,163.234748991068
AGLPH,163.234748991068
AGPAT1,503.981307104682
AHCYStr,-1025.68759876581
AKGMALtm,1826.031885669
AKGtp,-106.577916562574
ALASm,0
ALAt4,3356.7795621071
ALATA_L,-6925.49461212568
ALCD21_D,2164.27997398399
ALCD21_L,2964.89087371611
ALCD22_D,4644.93680209889
ALDD21,4831.95081198579
ALDD2xm,895.843691753572
ALDD2y,2944.89898807387
ALDSTRNte,265.462469918522
ALDSTRNtm,-265.462469918522
ALOX12,134.802605689153
ALOX5,233.923119112041
ALOX52,4347.66775764035
ALR2,2754.78759598679
ALR3,2964.89087371611
AMACR2p,572.952250959167
AMETr,1025.687533465
AMETt2m,1954.6600054777
AMPDA,893.637315963231
AMPTASECGe,1235.68526344606
AMPtp,-1181.13093272248
ANDRSTRNtr,-96.1213565385507
APAT2rm,967.568011051458
ARACHCRNt,-4461.43844255017
ARACHDCOAtx,2123.12723573731
ARACHDt2,1861.74152397853
ARACHDtr,-2838.07901262392
ARACHt,12.0290860521618
ARGLYSex,2493.19107800667
ARGSS,176.66624462699
ARSA,104.379049457424
R_group_phosphotase_1,628.603497421278
R_group_phosphotase_2,1349.61668486389
R_group_phosphotase_3,530.379297699087
ARTFR12,1229.3650449056
ARTFR41,1009.51598597001
ARTFR43,276.705703834389
ARTFR44,5204.26939998032
ARTFR61,2350.87870178528
ARTPLM1,7728.28924412653
ARTPLM2,845.635378112256
ARTPLM3,362.831659167083
ASNS1,177.714202690638
ASPTAm,-1463.63498732232
ATP1ter,405.423176523109
ATP2ter,4305.58162974642
ATPH2e,582.746134405423
ATPtm,8817.90386984399
ATPtn,1451.17534172217
ATPtx,1181.13086742162
B3GNT39g,155.429257595019
BALAtmr,967.568011051458
BALAVECSEC,141.58080220339
BDHm,829.706378321907
BHBtm,829.706378321907
BILDGLCURtr,2886.84081236644
BILGLCURt,-462.548132683931
BILGLCURte,168.687617510198
BILGLCURtr,-93.4241458218967
BILIRUBtr,-1442.32874458636
BUTt2m,2336.8473723748
C160CPT1,5736.08851208285
C161CPT1,-2289.93805051127
C161CPT2,6542.31284410346
C161CPT22,779.260344843144
C161CRN2t,392.969870008672
C161CRNt,3274.67933948252
C180CPT1,2135.89613881345
C180CPT2,745.030930742437
C180CRNt,505.038152619569
C181CPT1,10000
C181CPT2,3644.05459225996
C204CPT1,-2605.60186812706
C204CPT2,300.02612907443
C204CRNt,262.274242414238
C226CPT1,662.664483975917
C226CPT2,662.664516979379
C226CRNt,720.912418926275
C3STDH1Pr,33.3844992769198
C3STKR2r,33.3844992769198
C4STMO1r,33.3844992769198
C4STMO2Pr,33.3844992769198
CATm,7713.57051931745
CATp,5372.49315870011
CDIPTr,-25.5071474314154
CDS,85.9705472092974
CDSm,363.78568557968
CEPTC,3743.52288989481
CERK,663.1743345413
CERT1gt,0
CERT1rt,-3528.97929236313
CERT2gt,155.429257595019
CERT2rt,15.6518798783076
CHAT,-958.527757810516
CHATn,0
CHLPCTD,389.9423207
CHLtm,-271.291804645909
CHOLK,169.146235857384
CHOLtn,0
CHOLtr,4266.80336739602
CHOLtu,-7688.20198433835
CHSTEROLt1,1249.0394495097
CHSTEROLt2,668.888618468953
CHSTEROLt3,-1055.27231486392
CHSTEROLtg,9183.87085128606
CHTNASE,315.215392474207
CITRtm,2627.38633019901
CITt4_2,-3658.01800789988
CITtam,-995.560447291306
CKc,-9304.67635560773
CLFORtex,3092.67848903315
CLOXAtex2,696.917732954489
CLPNDCPT1,65.3274039641874
CLPNDCPT2,65.3274369675646
CLPNDCRNt,278.274958721924
CLPNDt,292.045880546876
CLS_hs,1.60992114906439
CMPACNAtn,1063.24752038035
CMPSAS,990.786865471145
CMPSASn,1063.24752038035
CO2ter,-634.027734323847
CO2tm,4800.07525477727
CO2tp,-1408.73556394178
COAtn,0
COAtr,5990.66064470958
COt,430.844533289021
COUCOAFm,18.5470785957605
CREATt4_2_r,-4918.19180326939
CRMPte,393.885404001609
CRNt,-9392.99446312435
CRNtx,-4488.97027628722
CRTSTRNt,265.462469918522
CRTSTRNtm,265.462469918522
CRVNCtr,438.410797428519
CSNAT2m,-4135.79546187888
CSNAT2x,-4488.97027628722
CSNAT3x,5110.32156554802
CSNATer,-1004.55207966399
CSNATm,-8932.41359695821
CSNATp,1524.38280098722
CSPG_Ct,71.9348646634499
CTPtn,1063.24752038035
CYANt,1595.14260100809
CYANtm,1595.14260100809
CYSGLTH,1931.04409838221
CYSGLUexR,-694.706591728922
CYSGLYexR,21.8846142898219
CYSTA,3650.63310221078
CYTDt,-1168.5895505375
CYTK10,134.816971096639
CYTK10n,130.888388934598
CYTK11,1319.2808438528
CYTK12,-1761.71743181147
CYTK13,2058.98435342055
CYTK13n,-3118.14088886575
CYTK14,-820.323669255804
CYTK1m,363.78568557968
CYTK1n,-554.507473222771
CYTK2n,0
CYTK3,1864.75192682474
CYTK4,3086.95683035759
CYTK4n,502.480974785589
CYTK5,3181.70867711955
CYTK5n,-308.953727914048
CYTK7,-2058.38802552376
CYTK8,970.125295974918
CYTK9,-2973.604022034
CYTK9n,732.572746901422
D_3AIBt,5699.7211499681
DADA,1349.05535204451
DADAe,952.278777254141
DADNK,197.526850978556
DADNt4,1857.81053384365
DAGK_hs,-6538.69230089073
DAGt,-5477.77303465869
DCIm,-709.763345294573
DCK1n,-1963.22921669278
DCK2n,-652.430664383823
DCSPTN1COAtx,-326.749496382279
DCSPTN1CPT1,51.1582641590085
DCSPTN1CPT2,51.1582971889784
DCSPTN1CRNt,229.68754174423
DCSPTN1t,-360.941854267763
DCTPtn,2615.65978312555
DCYTt,-3325.49901034179
DDPGAm,841.044922862604
DECDPtm,18.5470785957605
DESAT18_7,353.407965835074
DESAT18_8,504.814365059972
DESAT22_1p,156.18413182776
DGAT,167.547638532004
DGSNt,333.312287491746
DGULND,-9216.34322193595
DHAPA,2305.16298045483
DHCHOLESTANATEtm,-115.627085172787
DHCR241r,2068.09907673243
DHCR242r,3888.42219632499
DHCR72r,5011.52478654433
DHCRD1,4580.84450087477
DHDPBMTm,18.5470785957605
DHEASt,1247.51962197828
DHEAtr,-1641.83051502518
DHFtm,875.424168202695
DIDPtn,6080.56481543151
DINt,572.798176128344
DITPtn,-6080.56481543151
D_LACt2,-613.941494511696
D_LACtm,-613.941494511696
DLNLCGCPT1,871.355891689789
DLNLCGCPT2,601.45104549723
DLNLCGCRNt,404.787597275075
DLNLCGt,801.79258682852
DMHPTCRNCPT2,-134.296824477205
DMHPTCRNt,-134.296824477205
DMHPTCRNte,134.296824477205
DMNONCOACRNCPT1,4623.26716571214
DMNONCRNCPT2,134.296824477205
DMNONCRNt,2406.18416171819
DNDPt14m,1241.94426352544
DNDPt20m,1241.94426352544
DNDPt31m,484.002789693964
DNDPt38m,1565.27136192128
DNDPt41m,484.002789693964
DOPAtu,-1645.00869765186
DPHMBDCm,18.5470785957605
DPMVDx,610.602895849833
DPPS,18.5470785957605
DRPA,8965.02397562188
DUDPtn,-4397.77983913105
DUMPtn,-115.580609633082
DURAD,579.738496614138
DURAD2,5937.83343861723
DURIK1,645.486642142719
DURIt,-934.518076968461
DUTPDPm,224.046201274273
DUTPDPn,115.580609633082
EBP1r,0
ECOAH12m,168.269820175535
ECOAH1x,-168.718483838511
EHGLAT2m,841.044922862604
EHGLATm,0
EICOSTETCPT1,45.0360742580833
EICOSTETCPT2,45.0361073856699
EICOSTETCRNt,200.26755720156
EICOSTETt,188.349694636616
ELAIDCPT1,661.955730228516
ELAIDCPT2,90.9388264605647
ELAIDCRNt,174.339094873323
ELAIDt,-8781.78747940826
ESTRADIOLGLCt,-1194.70220827346
ESTRADIOLGLCtr,-1194.70220827346
ESTRADIOLt,-2356.72915088616
ESTRADIOLtr,6691.37935291473
ESTRIOLGLCte,107.609423213852
ESTRIOLGLCtr,-107.609423213852
ESTRIOLtr,116.542754259353
ESTRONESt,1753.75451165844
ESTRONEtr,-5864.00627506651
ESTSULT,162.424646992318
ETHAK,484.16592291826
EX_13_cis_retnglc[e],5935.35798629592
EX_1glyc_hs[e],1216.78244693997
EX_2425dhvitd3[e],140.159298543874
EX_25hvitd3[e],603.731830901987
EX_3aib_D[e],5699.7211499681
EX_4mptnl[e],376.959980884597
EX_5adtststerone[e],1641.83051502518
EX_5dhf[e],-1093.97590054306
EX_5mthf[e],6117.23235421026
EX_6dhf[e],-0
EX_6thf[e],2352.75498619529
EX_7dhf[e],-0
EX_7thf[e],-2911.75125945401
EX_acetone[e],2444.83058775076
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],102.024652138117
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],60.3208333604703
EX_ach[e],-1861.49907117838
EX_acnacngal14acglcgalgluside_hs[e],48.4151811012539
EX_acngalacglcgal14acglcgalgluside_hs[e],60.8845980622898
EX_adrn[e],-309.611519045038
EX_adrnl[e],-827.619404269832
EX_ak2lgchol_hs[e],83.7416603267734
EX_ala_B[e],1391.28334497629
EX_ala_D[e],2809.72373714172
EX_aldstrn[e],265.462469918522
EX_amp[e],-158.535616350522
EX_arach[e],-175.022607775953
EX_arachd[e],-4242.94422268937
EX_atp[e],5478.13316775761
EX_bhb[e],-829.706443622745
EX_bildglcur[e],-2886.84081236644
EX_bilglcur[e],4318.72069376848
EX_chol[e],7688.20198433835
EX_chsterol[e],-4800.47363458563
EX_chtn[e],-315.215392474207
EX_clpnd[e],-273.56523130413
EX_cmp[e],-3319.2483939712
EX_co[e],430.844533289021
EX_creat[e],4918.19180326939
EX_crmp_hs[e],393.885404001609
EX_crn[e],9392.99446312435
EX_crtstrn[e],-265.462469918522
EX_crvnc[e],-393.668172946082
EX_cspg_c[e],71.9348646634499
EX_cyan[e],-1595.14260100809
EX_dag_hs[e],4554.9769312486
EX_dcsptn1[e],487.059258115458
EX_dheas[e],-2638.10304172058
EX_dhf[e],1093.97590054306
EX_dlnlcg[e],-777.475895086793
EX_dmhptcrn[e],134.296824477205
EX_dopa[e],-271.577276783277
EX_eicostet[e],-187.377028886998
EX_elaid[e],8782.76021010565
EX_estradiol[e],2356.72915088616
EX_estradiolglc[e],1194.70220827346
EX_estriolglc[e],107.609423213852
EX_estrones[e],-3526.80285232214
EX_fuc13galacglcgal14acglcgalgluside_hs[e],137.168065151171
EX_fucacgalfucgalacglcgalgluside_hs[e],85.3346927407678
EX_fucacngal14acglcgalgluside_hs[e],139.517512356901
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],58.3655173327345
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],112.190611666693
EX_fucgalfucgalacglcgalgluside_hs[e],288.972014368768
EX_gbside_hs[e],-1033.55792715949
EX_gchola[e],-8864.67963519354
EX_gdp[e],-1093.89789483851
EX_gluala[e],2283.02270425152
EX_gmp[e],-352.811142753926
EX_gq1balpha_hs[e],123.288933347768
EX_gsn[e],-440.064711053625
EX_gthrd[e],-277.216597896791
EX_h2o2[e],396.341830488905
EX_ha[e],316.568446369611
EX_ha_pre1[e],-316.568446369611
EX_hco3[e],7615.48501691838
EX_hdca[e],1807.50183230801
EX_hdcea[e],4938.87724896162
EX_hexc[e],2343.37201156521
EX_hom_L[e],-155.840674995537
EX_hpdca[e],709.182735141503
EX_idp[e],-5948.26024065388
EX_imp[e],862.095788021801
EX_lac_D[e],613.941494511696
EX_leuktrA4[e],2717.9482859454
EX_leuktrB4[e],2063.84682828593
EX_leuktrC4[e],3818.70485689137
EX_leuktrD4[e],3701.35414222839
EX_leuktrE4[e],-4491.58079490878
EX_leuktrF4[e],-1398.75883082033
EX_lgnc[e],-2568.18081655247
EX_lneldc[e],4220.22214621921
EX_lnlc[e],6413.37227343246
EX_lnlnca[e],-1338.18319498614
EX_lnlncg[e],1894.28627069514
EX_lpchol_hs[e],3165.97187024861
EX_mag_hs[e],832.658239049128
EX_ncam[e],293.764717558849
EX_no[e],257.219420414255
EX_nrpphr[e],-3938.22115399721
EX_nrvnc[e],-127.255277209553
EX_o2s[e],-9573.24492342711
EX_oagt3_hs[e],301.547459551234
EX_ocdca[e],-8557.9202695835
EX_ocdcea[e],-6044.39963072903
EX_octa[e],-591.344706781414
