Reaction,Flux
10FTHFtm,1054.31341758919
25HVITD3t,216.96848904237
25HVITD3tm,216.96848904237
34DHOXPEGOX,-1502.45755850587
34DHOXPEGt,-1502.45755850587
34DHPHAMT,1307.59652787697
34DHPLACOX_NADP_,-1564.04567223708
34DHXMANDACOX_NADP_,1502.45755850587
34HPLFM,1257.3970555909
3DPHBH1,24.9560210394605
3DPHBH2,33.0852431536716
3HBCDm,-287.739469307519
3MOBt2im,2260.32912971081
3MOX4HOXPGALDOX,3060.78710405489
3MOX4HOXPGALDOX_NADP_,-2373.37309661658
3SALAASPm,-1364.3688140307
42A12BOOX,563.712469420008
4ABUTtm,-5184.16357953976
4HBZCOAFm,16.2932219875929
4HBZFm,16.2932219875929
4HOXPACDOX_NADP_,359.210682468469
4MPTNLte,190.228077328343
4MPTNLtm,-190.228077328343
5AOPtm,8382.87829297044
5THFtl,146.377519570822
5THFtm,146.377519570822
7DHCHSTEROLtr,-4656.2478901635
A4GALTc,368.458841437739
ABTArm,-5184.16357953976
ABUTt4_2_r,-5129.41689816856
ACACT1rm,9715.23330856084
ACACT1x,1302.75878494789
ACACt2m,-2779.01664077773
ACACT7p,439.563314075647
ACACT8p,512.952623918974
ACACT9p,192.715838854533
ACALDtm,-890.102937159257
ACCOAtr,143.538955795142
ACETONEt2m,-228.277875262161
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-99.7402128163692
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-76.9101226732938
ACGALK,583.382955705989
ACGALK2,355.568604779906
ACGALtly,2253.65655975006
ACGAM6PSi,4455.74497645356
ACGAMK,244.205588535512
ACGAMPM,3590.69052767483
ACGAMtly,164.249417634146
ACHEe,623.543064216281
ACITL,188.492607907429
ACNACNGAL14ACGLCGALGLUSIDEte,-100.549024437834
ACNAM9PL,52.2016230401019
ACNAMlt,-789.837897934218
ACNAMPH,52.2016230401019
ACNMLr,-880.473364388577
ACOAD1fm,360.721556632958
ACOAD8m,942.149280353365
ACOAD9m,327.409652487798
ACOAO7p,785.253482362089
ACODA,736.591104177796
ACONTm,-1251.18892960899
ACP1_FMN_,247.353550126815
ACRNtm,-4198.80394519905
ACSm,255.324009536952
ACt2m,-131.274229740244
ACt2r,-907.177637063227
ACTNMO,228.277875262161
ADCim,228.277875262161
ADEt,116.569957454965
ADHAPtx,4149.61979308531
ADK1m,-527.877281125711
ADK3m,-1192.16772502436
ADMDC,797.793556887202
ADNt,-2603.77196166157
ADNt4,2995.84469238731
ADNtm,-471.477786161208
ADPMAN,590.042838252603
ADPtx,-2552.41782582948
ADRNCOAtx,173.232602743485
ADRNCPT1,436.882648493507
ADRNCPT2,436.882649526828
ADRNCRNt,39.7191264798621
ADRNt,1517.48881185439
ADSK,1367.16617786463
ADSL1,156.10050978034
AGLPC,209.179455222035
AGLPH,209.179455222035
AGPAT1,440.907461465162
AHCYStr,371.352019799117
AKGDm,4081.73550421458
AKGMALtm,3632.07068358722
AKGtp,10000
ALADGLNexR,585.669980124272
ALADGLYexR,264.198081871866
ALASm,0
ALATA_L,-3728.51783744178
ALCD21_D,4790.46501894895
ALCD21_L,3234.22172693134
ALCD22_D,688.27764163481
ALDD2xm,890.102937159257
ALDD2y,1680.46531414944
ALDSTRNte,248.584360524411
ALDSTRNtm,-248.584360524411
ALOX12,164.178225778216
ALOX5,281.847082349167
ALOX52,3792.5874524267
ALR2,3005.94385167477
ALR3,3234.22172693134
AMACR2p,1788.9022312451
AMETr,-371.352019799109
AMETt2m,1585.41674629954
AMPDA,649.2337914616
AMPTASECGe,2588.35332961236
AMPtp,-151.04193918971
APAT2rm,-4278.70027439425
ARACHDCOAtx,2360.05366939834
ARACHDt2,-192.84718734928
ARACHDtr,-3696.08718609797
ARACHt,1218.72928881813
ARGLYSex,4390.40091669073
ARGSS,257.786434081481
ARSA,120.687044278858
R_group_phosphotase_1,1233.19905164546
R_group_phosphotase_2,2689.69772733667
ARTFR11,3725.2683679867
ARTFR12,2729.75829469144
ARTFR41,2414.59210916661
ARTFR61,7258.12653037309
ARTPLM1,6737.63435658547
ARTPLM1m,4226.25758104392
ARTPLM2,2248.79026587151
ARTPLM3,1451.32700373642
ASAH1,1459.36184450679
ASCBt,-3247.86321118712
ASNt4,3468.90992997687
ASPCTr,-134.86804121802
ASPNATm,714.068739531296
ASPTAm,-92.3952864761814
ATP1ter,478.99376956074
ATP2ter,5312.71216527617
ATPasel,165.614669350326
ATPH2e,2733.52959904143
ATPtm,9261.8596176369
ATPtn,548.784107415124
ATPtx,2703.45976394849
BAAT3x,1324.40125777314
BALAtmr,-4278.70027439425
BALAVECSEC,145.595119697763
BHMT,2024.31237981968
BILDGLCURt,1151.5466544976
BILDGLCURtr,1950.96655104974
BILGLCURt,-125.327412991814
BILGLCURtr,1154.79134956488
BILIRUBt2,-3494.11966200946
BILIRUBtr,-2989.00737015349
BTNDe,3782.23135410858
BUTt2m,616.823939746343
C14STRr,7.83671755537167
C160CPT1,4503.33770167589
C160CPT2,-2941.04014156129
C160CRNt,-1633.963378419
C161CPT12,-5745.47049193648
C161CPT2,8485.49447623849
C161CPT22,-567.702279972278
C161CRN2t,-505.772976816994
C161CRNt,8485.49447623849
C180CPT1,1193.62119815158
C180CPT2,604.337753648898
C180CRNt,120.553522736087
C181CPT1,2253.1856400513
C181CPT2,-2874.29813049178
C181CRNt,-2803.91526798414
C204CPT1,-2996.18021238472
C204CPT2,90.0112775535367
C204CRNt,-136.137897044367
C226COAtx,-233.204041405257
C226CPT1,677.076082264657
C226CPT2,677.076082786871
C226CRNt,-66.9457679884235
C3STDH1Pr,7.83671755537167
CATm,7202.74490232229
CATp,7825.14132137169
CBR2,2808.58483646677
CDIPTr,-510.681697661805
CDS,102.163832572711
CDSm,401.342655931642
CEPTC,2990.04077217585
CERK,856.347099844856
CERT1gt,0
CERT1rt,-2333.71458647559
CERT2gt,0
CERT2rt,114.414448653859
CHAT,20.9475510036536
CHLPCTD,215.018909780694
CHLtm,-470.430984445854
CHOLATEt,7097.20328930396
CHOLK,697.299428668162
CHOLt4,623.543064216281
CHOLtr,3751.05380115726
CHSTEROLt1,4447.90122676469
CHSTEROLt2,0
CHSTEROLt3,-4058.84174680163
CHSTEROLtg,1132.87252254356
CHTNASE,260.539378578694
CITt4_2,-702.535935390213
CITtam,-3112.6037428897
CITtbm,5113.27165181045
CKc,-8982.92513838222
CLOHtex2,4017.94789615951
CLOXAtex2,616.608554384774
CLPNDCOAtx,233.204041405257
CLPNDCPT1,80.9164641901898
CLPNDCPT2,80.9164647125129
CLPNDCRNt,-358.88151675054
CLPNDt,581.128178654306
CLS_hs,0.867459152214528
CMPACNAtg,187.080662817578
CMPSAS,3540.66202553359
CO2ter,-106.017179421126
CO2tm,4813.26348934897
CO2tp,-283.205402897529
COAtm,1705.82704775226
COAtp,1138.87479190841
COAtr,-3464.88414387956
