Reaction,Flux
10FTHFtm,1822.49613829938
1MNCAMti,140.994285910322
25HVITD3t,209.233230713196
25HVITD3tm,209.233230713196
2DR1PP,0
34DHOXPEGOX,-166.772289508857
34DHOXPEGt,-166.772289508857
34DHPLACOX,246.530539193951
34DHXMANDACOX,669.818158603091
34HPLFM,1053.18751291463
3AIBTm,1483.78409220676
3AIBtmi,1483.78409220676
3DPHBH1,22.8686844117355
3DPHBH2,9.9049442080575
3DSPHR,1563.86701363076
3HBCOAHLm,331.100461076457
3MOBt2im,2165.47380233128
3MOX4HOXPGALDOX,2182.94411568147
3MOX4HOXPGALDOX_NADP_,-1533.94357506572
3SALAASPm,-2757.75492541475
41R2A1H12BOOX,503.045869094234
42A12BOOX,246.530539193951
4HBZCOAFm,32.773628619793
4HBZFm,32.773628619793
4HGLSDm,1467.20202016646
4HOXPACDOX_NADP_,-1914.67469848057
4MPTNLte,257.409597758279
4MPTNLtm,-257.409597758279
5ADTSTSTERONESte,4847.255015938
5ADTSTSTERONEtr,4847.255015938
5AOPtm,-340.05817697801
5MTHFt,-1665.39637595958
7DHCHSTEROLtr,-2726.33447936368
7THFtm,64.8799077992991
A4GALTc,419.587672038327
AACTtm,5367.3553457575
ABUTt4_2_r,-4752.82302236923
ACACT10m,-327.585246791898
ACACT1rm,8043.34558355222
ACACT8p,-0
ACACT9p,201.863994800766
ACALDtm,-1171.59112131075
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-99.1509789137576
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-51.5290821824375
ACGALK,2529.11760827078
ACGALtly,701.873315723092
ACGAMK,853.889475454148
ACGAMPM,520.423753153902
ACGAMtly,50.2817057709792
ACITL,200.257201846809
ACNACNGAL14ACGLCGALGLUSIDEte,-88.0956378112852
ACNAM9PL,66.1524736726568
ACNAMlt,-331.488992518781
ACNAMPH,66.1524736726568
ACNMLr,-381.27060271244
ACOAD1fm,134.38244613334
ACOAD9m,331.100461076457
ACODA,1739.20290866337
ACONTm,-344.400337631063
ACt2m,-3639.04034088739
ADA,1311.90666785354
ADEt,1810.19187536712
ADHAPtx,221.873879802608
