Reaction,Flux
10FTHF5GLUtl,92.2381857841671
10FTHF5GLUtm,92.2381857841671
10FTHFtl,-92.2381857841671
10FTHFtm,1794.31111256555
1MNCAMti,125.394322610947
25HVITD3t,198.023087533726
25VITD3Hm,217.876032443691
2DR1PP,0
2MCITt,402.358530561391
34DHXMANDACOX,299.748121792242
34HPLFM,2830.08580331547
3DPHBH1,16.3255375662271
3DPHBH2,10.6773998790567
3MOBt2im,0
3MOPt2im,6938.84636943648
3MOX4HOXPGALDOX,1962.84270687062
3MOX4HOXPGALDOX_NADP_,-1508.32353548768
3SALAASPm,-2658.72380849147
3SALATAi,315.616645762118
3SPYRSP,315.616645762118
41R2A1H12BOOX,299.748121792242
42A12BOOX,344.404727585064
4ABUTtm,412.586454132759
4HBZCOAFm,27.0029374452838
4HBZFm,27.0029374452838
4HGLSDm,163.502429384017
4HOXPACDOX_NADP_,-0
4MPTNLte,206.678424333469
4MPTNLtm,-206.678424333469
5AOPtm,-204.432183028577
7DHCHSTEROLtr,-4739.05598588212
A_MANASEly,79.8386566631331
A4GALTc,365.80156367948
ABTArm,412.586454132759
ABUTt4_2_r,-4416.53417465928
ACACT1rm,8926.37542332602
ACACT1x,907.158796326659
ACACt2m,-125.783099969884
ACACT8p,206.736201621941
ACACT9p,157.980001508376
ACALDtm,-625.945705560216
ACCOAtr,1163.14079859576
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-83.5741025520206
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-37.689012820596
ACGALK,1425.49278967979
ACGALK2,818.370749373562
ACGALtly,904.014990776728
ACGAMK,879.321166919265
ACGAMPM,549.958238890298
ACGAMtly,410.649737951002
ACITL,375.815388647549
ACNACNGAL14ACGLCGALGLUSIDEte,-60.484607003864
ACNAMlt,-626.972672724672
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-85.4965739968536
ACOAD1fm,838.13707732804
ACOAO7p,378.426256807624
ACRNtm,-8405.25297639449
ACt2m,-1486.91668943641
ADAe,1518.33037462361
ADEt,1032.04007231694
ADHAPtx,3498.62708339822
ADK1m,1346.72496051432
ADK3m,-1210.3217741932
ADMDC,983.165989696271
ADNt,905.979362937784
ADNt4,3064.85522352527
ADNtm,-366.115515656667
ADPMAN,524.348451480716
ADRNCOAtx,190.158797421791
ADRNCPT1,395.536080391637
ADRNCPT2,395.536080400832
ADRNCRNt,223.618173101419
ADRNt,2547.61240776919
ADSK,695.337780058034
ADSL1,120.17621784579
AGLPC,128.092253859543
AGLPH,128.092253859543
AGPAT1,890.052560753932
AHEXASEly,79.8386566631331
AKGMALtm,3230.98566071094
AKGtp,-856.775821004809
ALAGLNexR,-22.2132837877816
ALASm,204.432183028577
ALATA_L,-6169.089558991
ALCD21_D,3966.23423419481
ALCD21_L,264.144869409554
ALCD22_D,5216.15668014245
ALDD20xm,201.916268542875
ALDD2xm,625.945705560216
ALDD2y,3726.2615471118
ALDSTRNte,180.807644554562
ALDSTRNtm,-180.807644554562
ALOX5,900.438484960601
ALOX52,355.885138106335
ALR2,264.144869409554
ALR3,264.144869409554
AMACR2p,1525.57155631353
AMETt2m,81.0088123445239
AMPDA,583.225723326239
AMPTASECGe,1220.76515266775
AMPtp,-298.167522074262
APAT2rm,273.2652499162
ARACHCOAtx,-67.0667160797312
ARACHCPT1,289.986509872723
ARACHCPT2,289.986509872723
ARACHDCOAtx,3067.82814040853
ARACHDt2,-706.408739542312
ARACHDtr,1038.40598007965
ARGSS,151.72109383467
ARSA,68.6770380176923
R_group_phosphotase_1,400.749737360846
R_group_phosphotase_2,794.865546165732
ARTFR11,0
ARTFR31,656.727968610177
ARTFR41,985.218023156996
ARTFR43,939.902468097586
ARTFR61,8364.92805245974
ARTPLM1,6564.58393374204
ARTPLM2,656.682322456057
ARTPLM3,348.598004913221
ASCBt4,-1033.36780336213
ASNNm,1568.74980966982
ASNtm,1568.74980966982
ASPTAm,-1089.97399882165
ATP1ter,155.757764483677
ATP2ter,-1084.81428578438
ATPtm,8195.06226052872
ATPtx,298.167522064939
B_MANNASEly,79.8386566631331
BALAtmr,273.2652499162
BILGLCURt,-2714.35381878011
BILGLCURtr,-46.2436770994369
BILIRUBtr,122.474550996457
BUTt2m,178.204949274416
C160CPT1,2978.94197326589
C161CPT1,1309.94119084878
C161CPT12,-7652.88834751481
C161CPT2,946.179889203064
C161CPT22,314.557419174156
C161CRN2t,146.079027023914
C161CRNt,500.320603218714
C180CPT1,176.219102991139
C180CPT2,176.219102995761
C180CRNt,94.5203256527966
C181CPT2,96.5363352824235
C181CRNt,77.2921686309437
C204CPT1,-5395.34345781921
C204CPT2,329.918655401264
C204CRNt,170.667809162296
C226COAtx,-204.128107030051
C226CPT1,574.084834828072
C226CPT2,574.084834832664
C226CRNt,212.050645026542
CATm,6134.16196025142
CATp,6287.95468142372
CBR2,3692.422315662
CDIPTr,89.6633698609349
CDS,89.6633736790367
CDSm,120.896523739718
CEPTC,407.816272913713
CERK,616.502360719192
CERT2gt,1210.12675252567
CERT2rt,80.7943841835481
CHAT,133.352800688175
CHLPCTD,613.318528923287
CHOLATEt,9198.82599318029
CHOLK,205.232408037561
CHSTEROLt1,533.395778554855
CHSTEROLt2,577.21093270257
CHSTEROLt3,-1048.80546251465
CHSTEROLtg,0
CHTNASE,156.223809656088
CITRtm,4086.37125933862
CITt4_2,-1115.61903459626
CITtam,-2073.46986117177
CLOXAtex2,163.502429384017
CLPNDCOAtx,-282.335621719868
CLPNDCPT1,85.9643886646027
CLPNDCPT2,85.9643886693912
CLPNDCRNt,-41.4333694602938
CLPNDt,1.68511037901408
CLS_hs,3.81810180370231e-06
CMPACNAtg,122.516070489965
CMPSAS,2535.47851338955
CO2ter,-42.9487366391413
CO2tm,8021.81715961837
CO2tp,-856.775821004809
COAtm,-3469.85230381569
COAtp,-3284.7202648939
COAtr,-234.605593432672
COt,183.575047335511
COUCOAFm,27.0029374452838
CRMPte,416.150842709341
CRNCAR3tp,3331.17756103979
CRNCARtp,3464.55880824182
CRNt,-3276.7539305888
CRNtHa,4501.22812255292
CRTSTRNt,180.807644554562
CRTSTRNtm,180.807644554562
CRVNCtr,171.900384363827
CSNAT2m,-573.526160078074
CSNAT3x,3331.17756103979
CSNATer,1163.14079859576
CSNATm,-8405.25297639449
CSNATp,1677.33360999032
CSNATr,-1883.46641026916
CSPG_Ct,42.9487366391413
CYSGLTH,-0
CYSGLUexR,-170.765997383349
CYSO,315.616645762118
CYSt4,3523.25565271897
CYSTA,475.85407752587
CYTD,1559.86213358162
CYTK10,-71.8553010249634
CYTK11,1975.47310950947
CYTK11n,-234.738080944204
CYTK12n,16.6893954037587
CYTK14,-860.485109152409
CYTK1m,120.896523739718
CYTK4n,-439.071059325974
CYTK5,2354.67562633727
CYTK6,503.304814390618
CYTK7,-2756.0726337684
CYTK7n,-182.448830105488
CYTK8,3658.63027444474
CYTK9,-1963.77597453246
CYTK9n,182.448830105488
DADA,1606.91280221481
DADNK,171.493734388075
DADNt4,201.092601815884
DAGK_hs,-8083.6005124133
DAGt,-6882.37952476548
DASCBR,1199.2731887396
DCIm,-572.843238913471
DCK1n,-466.876007855577
DCK2n,-190.243737006112
DCSPTN1COAtx,-257.856558181067
DCSPTN1CPT1,304.408601146602
DCSPTN1CPT2,304.408601155788
DCSPTN1CRNt,177.974811547801
DCSPTN1t,-168.339502699835
DCTPtn,657.119744847545
DCYTD,1557.64118889471
DCYTt,257.370874058914
DDPGAm,163.502429384017
DECDPtm,27.0029374452838
DESAT16_2,1320.25005589408
DESAT18_4,908.504634330574
DESAT18_8,221.541669273399
DESAT22_1p,190.158797421791
DESAT22_2p,204.128107030051
DESAT24_1,131.324411399458
DGSNt,980.327583252894
DHAAt1r,1033.36780336213
DHAPA,3498.62708339822
DHCHOLESTANATEtm,234.811057739199
DHCR72r,4739.05598588212
DHCRD1,3731.04682721972
DHCRD2,1124.8201210926
DHDPBMTm,27.0029374481746
DHEAtr,-637.834417556734
DHFtm,313.543081046888
DINt,-3097.13327138243
D_LACtm,-1152.52802330523
DLNLCGCPT1,-1920.39826927332
DLNLCGCPT2,347.611789174316
DLNLCGCRNt,222.317620253269
DLNLCGt,482.101217504724
DMNONCRNt,0
DNDPt14m,1276.57845916703
DNDPt21m,1276.57845916703
DNDPt33m,3257.24622184048
DNDPt39m,3257.24622184048
DOPABMO,165.905385377569
DOPAtu,-4777.55103146801
DPHMBDCm,27.0029374481746
DPPS,27.0029374452838
DRPA,9597.73368564152
DSAT,635.442366361514
DUDPtn,-2765.04562784956
DURAD,2871.18952489426
DURIK1,2861.11738276307
DURIt,-5155.1040776609
ECOAH1x,-90.9718327301495
EHGLATm,163.502429384017
EICOSTETCPT1,342.193909095509
EICOSTETCPT2,342.193909104844
EICOSTETCRNt,195.829437362139
EICOSTETt,373.473064463471
ELAIDCPT1,422.087292254544
ELAIDCPT2,334.380764423255
ELAIDCRNt,200.860052430633
ELAIDt,-9079.14827835646
ENGASEly,79.8386566631331
ESTRADIOLt,-3530.43706518306
ESTRADIOLtr,3588.44600467193
ESTRIOLGLCte,102.924809678882
ESTRIOLGLCtr,-102.924809678882
ESTRIOLtr,144.596959583363
ESTRONESt,39.2423949353743
ESTRONEtr,-129.072469385883
ESTSULT,97.0051467335768
ETHAK,55.2290096502222
EX_10fthf5glu[e],3414.24752115223
EX_10fthf7glu[e],-3414.24752115223
EX_13_cis_retnglc[e],-0
EX_1glyc_hs[e],1263.69710910826
EX_25hvitd3[e],198.023087533726
EX_2mcit[e],402.358530561391
EX_4mptnl[e],206.678424333469
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],83.5741025520206
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],37.689012820596
EX_ach[e],-535.918458290207
EX_acnacngal14acglcgalgluside_hs[e],60.484607003864
EX_acngalacglcgal14acglcgalgluside_hs[e],85.4965739968536
EX_adp[e],1291.67308527221
EX_adrn[e],-664.83695921642
EX_ak2lgchol_hs[e],63.8135385104083
EX_aldstrn[e],180.807644554562
EX_amp[e],-2503.60631335694
EX_arach[e],-400.473158238596
EX_arachd[e],-1691.91798522736
EX_atp[e],1506.56768519946
EX_bilglcur[e],8111.7453173405
EX_cholate[e],-9198.82599318029
EX_chsterol[e],-3283.98372927751
EX_chtn[e],-156.223809656088
EX_clpnd[e],4.27859478305436
EX_cmp[e],3238.49445002212
EX_co[e],183.575047335511
EX_crmp_hs[e],416.150842709341
EX_crn[e],9119.19448097656
EX_crtstrn[e],-180.807644554562
EX_crvnc[e],-152.800797374579
EX_cspg_c[e],42.9487366391413
EX_dag_hs[e],6741.13943106194
EX_dcsptn1[e],168.402782829446
EX_dheas[e],-719.088241744397
EX_dlnlcg[e],-478.614661028205
EX_dopa[e],3354.16895369943
EX_eicostet[e],-374.83819909341
EX_elaid[e],9079.21155848607
EX_estradiol[e],3530.43706518306
EX_estriolglc[e],102.924809678882
EX_estrones[e],-3796.16030420012
EX_fucacgalfucgalacglcgalgluside_hs[e],78.5286164859491
EX_fucacngal14acglcgalgluside_hs[e],69.266684540757
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],43.9053259918685
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],71.9540966159062
EX_fucgalfucgalacglcgalgluside_hs[e],182.145053326715
EX_gbside_hs[e],-171.109919241997
EX_gchola[e],-580.038897522607
EX_gq1b_hs[e],76.4045001499635
EX_gq1balpha_hs[e],208.410288360178
EX_gsn[e],164.991359576511
EX_gt1a_hs[e],1.96858311120013
EX_gthox[e],786.68625662959
EX_gthrd[e],-1929.36319661307
EX_h2o2[e],-9062.1567334949
EX_hco3[e],5414.28645473479
EX_hdca[e],840.036856200668
EX_hdcea[e],842.954972757114
EX_hestratriol[e],445.808959473041
EX_hexc[e],4707.21117774327
EX_hom_L[e],-145.912002164536
EX_hpdca[e],-219.219112573966
EX_idp[e],-5559.32930994739
EX_imp[e],566.381314349459
EX_inost[e],1591.70683852143
EX_leuktrA4[e],-2091.69071204894
EX_leuktrB4[e],901.948255116795
EX_leuktrC4[e],778.63475345826
EX_leuktrD4[e],3249.08586082724
EX_leuktrE4[e],649.527419047699
EX_leuktrF4[e],-2229.67218320125
EX_lgnc[e],-4816.64775247377
EX_lneldc[e],198.557893027473
EX_lnlc[e],-582.233676388065
EX_lnlnca[e],-233.625869798652
EX_lnlncg[e],539.422790417682
EX_lpchol_hs[e],1293.26691334497
EX_mthgxl[e],1637.61789306013
EX_no[e],216.40490339609
EX_nrpphr[e],-588.36190779764
EX_nrvnc[e],-257.075004532106
EX_o2s[e],-9377.69232614412
EX_oagd3_hs[e],4210.22259061684
EX_oagt3_hs[e],134.812301867116
EX_ocdca[e],-8176.97733958788
EX_ocdcea[e],35.998976889834
EX_octa[e],335.0284406496
EX_oxa[e],163.502429384017
EX_paf_hs[e],64.278715349115
EX_pchol_hs[e],506.154410692605
EX_pe_hs[e],178.424656854702
EX_peplys[e],-3003.62627071563
EX_pglyc_hs[e],-1142.800596955
EX_pheacgln[e],404.584801812944
EX_prgstrn[e],-89.3986806937118
EX_prostgd2[e],991.89807713206
EX_prostge1[e],-3775.48601228948
EX_prostge2[e],-3026.54583566659
EX_prostgf2[e],-4405.10191245453
EX_ps_hs[e],-3163.90402671056
EX_ptdca[e],55.6394698004533
EX_retfa[e],-1347.76219920146
EX_retinol[e],-2616.76986372025
EX_retn[e],983.406228938851
EX_retnglc[e],690.416767277595
EX_Rtotal[e],7476.5744421654
EX_Rtotal2[e],4560.60189008708
EX_Rtotal3[e],2575.09858441219
EX_sphs1p[e],370.694084338154
EX_strdnc[e],583.5263244414
EX_tagat_D[e],-451.499553203491
EX_tethex3[e],131.387691533588
EX_tetpent3[e],-617.724860014923
EX_tetpent6[e],-390.907475140044
EX_tettet6[e],0.063280143580414
EX_tmndnc[e],-451.697035626994
EX_tsul[e],475.85407752587
EX_ttdca[e],-68.9259532119977
EX_vacc[e],633.806345060613
EX_vitd3[e],2273.95488967846
EX_whhdca[e],189.052244128289
EX_whtststerone[e],436.304543957975
EX_xolest2_hs[e],3186.45081813633
EX_xoltri24[e],139.883966358927
EX_xoltri27[e],306.977044436193
F1Atg,91.2951113035833
FACOAL140i,493.1038517779
FACOAL150,83.0087568831156
FACOAL160i,284.558915441887
FACOAL170,448.350130556604
FACOAL180i,177.967555866809
FACOAL1812,-2820.8829378332
FACOAL1813,-5595.10433197357
FACOAL1821,-4170.67866878618
FACOAL1822,-198.494612883944
FACOAL1831,-3644.8718093269
FACOAL1832,2623.10906882982
FACOAL184,70.8198595962604
FACOAL191,0
FACOAL200,171.005574621672
FACOAL203,-1764.83336707607
FACOAL204,-4887.4347623878
FACOAL2042,512.911134205118
FACOAL206,-2054.35445335984
FACOAL224,804.252852831962
FACOAL2251,-29.6382975328561
FACOAL2252,138.259292960523
FACOAL226,308.084608631631
FACOAL244_1,0
FACOAL245_1,529.075677417897
FACOAL245_2,753.559202313538
FACOAL246_1,412.276233943443
FACOAL260,-4567.43163121967
FACOAL40im,178.204949274416
FADH2tx,4440.59689704099
FADtx,-4440.59689704099
FAH3,189.052244128289
FALDtly,590.007988941701
FAOXC161802m,94.4194069849113
FAOXC204184m,306.750849476649
FAOXC2051843m,802.841091865906
FAOXC2242046m,354.622180429431
FAOXC2252053m,270.790645087158
FAOXC226205m,574.084834832664
FAOXC2452253x,486.463728749919
FAOXC2452256x,390.970755274384
FAS120COA,106.921584310352
FAS140COA,142.495279267874
FATP1t,2701.14217445569
FATP2t,2464.93300884279
FATP3t,-8205.41390851418
FATP4t,-171.005574621672
FATP6t,1877.41444191708
FCLTm,179.521276613479
FE2t,268.057275440594
FE3R2e,1033.36780336213
FPGS7m,92.2381857841671
FTHFDH,827.490018160864
FUCACGALFUCGALACGLCGALGLUSIDEte,-78.5286164859491
FUCACNGAL14ACGLCGALGLUSIDEte,-69.266684540757
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,-43.9053259918685
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-71.9540966159062
FUMm,-3289.94536585326
FUMSO3tm,295.924456065055
FUMtm,-1503.49710248322
G5SADrm,5095.29047523916
G5SDym,198.76065693715
G6PDH2rer,1158.71005525917
G6PPer,461.249871840567
G6Pter,-3934.5603242475
GALASE19ly,91.2951112991605
GALASE1ly,79.8386566631331
GALGLUSIDEtl,-971.423823891575
GALNACT1g,42.9487366391413
GALNACT3g,42.9487366391413
GALNTg,48.3463746600192
GALt1r,-4928.04554599708
GALT2g,42.9487366391413
GALTg,42.9487366391413
GALtly,3614.50749559168
GAO1,4210.22259061684
GAO2,134.812301867116
GBA,1782.25730442208
GBSIDEte,-171.109919241997
GBSIDEtl,-182.556247586396
GCHOLAt,522.740511846496
GCHOLAte,57.2983856807768
GDPtg,0
GFUCS,506.272357088422
GGH_10FTHF5GLUl,92.2381857841671
GGH_10FTHF6GLUe,3414.24752115223
GGH_10FTHF7GLUe,3414.24752115223
GGNG,63.0888783714919
GHMT2rm,2344.85012088379
GHMT3,196.949713264908
GLB1,2802.90620218023
GLBRAN,1818.38180396292
GLCAT3g,42.9487366391413
GLCATg,42.9487366391413
GLCMter,461.249871840567
GLCt1r,-7459.38574875219
GLCtly,83.2701044416446
GLDBRAN,1854.17310958128
GLGNS1,1818.38180396292
GLPASE1,1818.38180396292
GLPASE2,63.0888783714919
