Reaction,Flux
34HPLFM,16.6669860296636
3DPHBH1,25.1957579151034
3DPHBH2,8.32259340020769
3MOX4HOXPGALDOX,1128.21613111948
3SALAASPm,-1242.68882682085
4HBZCOAFm,33.518351315311
4HBZFm,33.518351315311
4HOXPACDOX_NADP_,259.314588200571
4MPTNLte,324.631333386054
4MPTNLtm,-324.631333386054
5AOPtm,-640.591343903309
7DHCHSTEROLtr,-1947.19866604131
A4GALTc,249.86650662212
AATAi,2066.84289951435
ACACT9p,98.4196509977438
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-97.2922547114659
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-32.5400233388274
ACGALK,1628.32465778515
ACGALtly,240.189118668927
ACGAMK,306.466862237173
ACGAMPM,166.507968395922
ACHEe,2024.9543110526
ACNAMlt,-120.094559334464
ACONTm,-3232.12236660702
ADAe,1353.91339703409
ADEt,-6225.01582364777
ADHAPtx,2218.96758392729
ADK3,-4660.34583834743
ADK3m,68.2245457932568
ADMDC,45.3604929463226
ADNtm,-77.7644714508828
ADPMAN,96.003782950181
ADRNCOAtx,-292.41824211279
ADRNCPT1,12.5390005080026
ADRNCPT2,12.5390110080387
ADRNCRNt,-52.8358949709273
ADRNt,-228.032776394144
ADSK,315.696889277744
AGLPC,98.4196509977438
AGLPH,98.4196509977438
AGTim,137.914412979349
AKGDm,4051.59265326607
AKGMALtm,-115.433766319244
ALADGLNexR,6149.60666916449
ALASm,640.591343903309
ALCD22_D,0
ALDD2y,3303.67370342088
ALDSTRNte,143.545755871519
ALDSTRNtm,-143.545755871519
ALOX5,221.364899369812
ALOX52,2238.91867322424
AMETt2m,100.55507393492
AMPDA,1977.42642277316
ARACHCRNt,0
ARACHDCOAtx,-155.517262023298
ARACHDt2,540.949502826425
ARACHDtr,365.802380745642
ARACHt,283.827148747624
ARGLYSex,61.3533763894284
ARGSS,317.058356464989
R_group_phosphotase_1,1610.56225959514
R_group_phosphotase_2,463.597108819401
ARTFR12,1107.76861164165
ARTFR61,4329.42616528591
ARTPLM1,4362.11891886706
ARTPLM2,581.458231863448
ASNNm,1104.7744140019
ASNtm,1104.7744140019
ATP1ter,111.300313669795
ATPH1e,504.895784470827
ATPH2e,1211.10593486359
BALAVECSEC,414.809086598925
BHMT,126.262060732004
BILGLCURtr,-88.4360138314265
BILIRUBtr,142.231903162504
C161CPT12,-3317.62822955709
C180CPT2,1141.291723078
C180CRNt,1141.291723078
C181CRNt,19.3783980286213
C204CRNt,1784.4840209686
C226COAtx,-1227.79627379201
C226CRNt,0
CATm,1732.36291558461
CATp,4596.44831865651
CDIPTr,32.1377625873174
CDS,101.126276254211
CDSm,53.7630377450596
CEPTC,391.752388461703
CEPTE,131.831519568848
CERK,0
CERT1rt,114.777528852873
CERT2rt,-34.2129182350989
CHAT,1172.94207946335
CHLPCTD,552.857163507003
CHOLK,565.397187722281
CHOLtu,2024.9543110526
CHSTEROLt2,114.212990619959
CHSTEROLt3,404.452513746228
CHSTEROLtg,0
CHTNASE,102.155620745724
CLPNDCPT1,36.7057629464986
CLPNDCPT2,36.7057629464986
CLPNDCRNt,36.7057629464986
CLPNDt,161.646676074885
CLS_hs,0.755323008546511
CMPSAS,1320.95648818001
CO2tp,-399.499246062801
COAtr,1744.99779154567
COt,53.7958991439173
COUCOAFm,33.518351315311
CRNCAR3tp,1276.71368351877
CRNCARtp,2966.74078653556
CRTSTRNt,143.545755871519
CRTSTRNtm,143.545755871519
CRVNCtr,-1352.7372076225
CSNAT2m,1233.08793376634
CSNAT3x,1276.71368351877
CSNATm,-8674.33619347176
CSNATp,2966.74078653556
CSNATr,-1804.87677423087
CYSGLUexR,-1841.8669045654
CYSGLYexR,2032.26337029277
CYTK10n,-931.347571549368
CYTK11,7319.47380951418
CYTK11n,931.347571549368
CYTK12,-3018.0338897453
CYTK13n,-1862.69514309874
CYTK1m,53.7630377450596
CYTK5,-2759.13540207331
