Reaction,Flux
10FTHFtm,1058.2080360739
25HVITD3t,166.735717494337
25HVITD3tm,166.735717494337
2DR1PP,1872.09631059108
34DHOXPEGOX,1238.75882262059
34DHOXPEGt,1238.75882262059
34DHPHAMT,209.313045638113
34DHPLACOX,209.313045638113
34DHXMANDACOX,975.254148051807
34DHXMANDACOX_NADP_,-1954.4968295872
34HPLFM,11.4269513187668
35CGMPtn,130.296797950876
3DPHBH1,33.3364285853645
3DSPHR,204.596934602563
3MOBt2im,2027.07888776975
3MOPt2im,4783.56080393275
3MOX4HOXPGALDOX,1641.57161355512
3MOX4HOXPGALDOX_NADP_,-1088.73897626256
3SALAASPm,-1831.50259236812
3SALATAi,309.308085560137
3SPYRSP,309.308085560137
41R1H2MAE12BOOX,259.516141088698
42A12BOOX,209.313045638113
4HBZCOAFm,11.4269513187668
4HBZFm,11.4269513187668
4HOXPACDOX_NADP_,257.525751177748
4MPTNLte,207.619110372527
4MPTNLtm,-207.619110372527
7DHCHSTEROLtr,-395.702841752954
A4GALTc,945.107204964796
A4GALTg,203.438755496647
ABUTt4_2_r,0
ACACT1rm,1968.85095253004
ACACT1x,2158.61270342268
ACACt2m,-215.096595000055
ACACT8p,213.218310987579
ACACT9p,176.554879904132
ACACtx,-875.927576933636
ACCOACm,5976.01521478625
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-104.951739713314
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-63.5134823390813
ACGALK,425.143750861949
ACGALtlg,-203.438755496647
ACGALtly,762.805667987698
ACGAMK,2312.81730655123
ACGAMPM,2086.58353705614
ACGBGBSIDEtg,-203.438755496647
ACGBGBSIDEtl,203.438755496647
ACITL,184.954065307038
ACNAMlt,-266.829446869728
ACNMLr,717.98696840234
ACOAD1fm,524.477443259155
ACOAD9m,1163.75299508016
ACONTm,1547.69052231018
ACRNtm,-9577.76068197919
ADA,1017.94097751474
ADCim,2544.39562828577
ADEt,-2564.58808057069
ADHAPtx,233.25068536495
ADK1m,-92.9909833350775
ADK3,-9544.41184066497
ADKd,-1105.78448593991
ADMDC,153.322814407232
ADNt,61.7856554712707
ADNtm,-206.037214928726
ADPMAN,344.002890242036
ADPtx,861.443879468678
ADRNCOAtx,-135.693024760319
ADRNCPT1,43.2954191110057
ADRNCPT2,43.2954191126798
ADRNCRNt,404.022168828669
ADSK,578.660379427116
ADSL2,64.4053983618812
AGLPC,233.25068536495
AGLPH,233.25068536495
AHCYStr,-319.863922562812
AIRCr,64.4053983618812
AKGDm,8108.98539710321
AKGMALtm,1678.59711352458
AKGtp,-469.387284367596
ALATA_L,-6975.04182587676
ALCD21_L,128.417386472231
ALCD22_D,0
ALDD20xm,160.190538490098
ALDD21,4441.73346130374
ALDD2y,2777.16915335367
ALDSTRNte,245.24638952335
ALDSTRNtm,-245.24638952335
ALOX12,158.377922274737
ALOX5,946.608028555882
ALOX52,619.886180475218
ALR2,128.417386472231
ALR3,128.417386472231
AMACR2p,453.570624198459
AMETr,319.863922559314
AMETt2m,100.009285756094
AMPDA,279.274680063323
AMPTASECGe,1636.79807448275
AMPtp,-861.443879472146
ARACHCOAtx,-120.820228832878
ARACHCRNt,4345.86569940842
ARACHDCOAtx,2612.54049066119
ARACHDt2,1046.18988948674
ARGLYSex,3525.29039116553
ARGSS,133.706103579653
ARSA,105.658427871826
R_group_phosphotase_2,443.059670338431
ARTFR12,888.854925126732
ARTFR203,1597.03982997486
ARTFR41,1796.66980872172
ARTFR61,8849.30913536601
ARTPLM1,4573.83905413849
ARTPLM1m,2015.38561070334
ARTPLM2,4367.58571810365
ASNNm,3548.35509924587
ASNt4,3611.97644627652
ASNtm,3548.35509924587
ASPCTr,479.099566054325
ASPNATm,458.386004404759
ASPTAm,2127.91876009134
