Reaction,Flux
10FTHF5GLUtl,113.254845868099
10FTHF5GLUtm,113.254845868099
10FTHFtl,-113.254845868099
24_25DHVITD3t,140.159811530917
25HVITD3t,504.901247725847
25HVITD3tm,645.061059225941
2DR1PP,924.637948899322
2HBO,5329.09372426851
34DHOXPEGOX,-581.359008355837
34DHOXPEGt,-581.359008355837
34DHPLACOX_NADP_,338.260784536426
34DHXMANDACOX_NADP_,908.68036297861
34HPLFM,3891.36390693292
35CGMPtn,266.780750773881
3DPHBH1,21.0106523284654
3DPHBH2,19.1849751045944
3DSPHR,428.063901006967
3HBCOAHLm,3044.69272558202
3MOBt2im,3320.53753917361
3MOPt2im,7226.74674856037
3MOX4HOXPGALDOX,3105.28664429285
3MOX4HOXPGALDOX_NADP_,-2344.97758320655
3SALAASPm,-2729.29974466857
3SALATAi,346.843396473233
3SALATAim,272.496015109948
3SPYRSP,346.843396473233
3SPYRSPm,272.496015109948
41R2A1H12BOOX,327.321352194651
42A12BOOX,338.260784536426
4HBZCOAFm,18.4915176292191
4HBZFm,18.4915176292191
4HOXPACDOX_NADP_,327.164981443097
4MOPt2im,7303.30669128828
4MPTNLte,441.386620234269
4MPTNLtm,-441.386620234269
5ADTSTSTERONESte,5276.20494856311
5AOPtm,-409.415024363776
5HTRPVESSEC,261.40044200549
5MTHFt2,-247.276237311135
7DHCHSTEROLtr,-4105.0626915835
7THFtm,55.5733978347334
A4GALTc,396.369824718636
AACTOOR,542.978956325175
AACTtm,542.978956325175
ACACT10m,-1856.63508954753
ACACT1rm,8273.14329096815
ACACT1x,1832.92814342999
ACACT8p,661.360613244818
ACACT9p,-0
ACALDtm,-495.950111634339
ACCOACm,5328.13436085496
ACETONEt2m,-197.590421483453
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-111.862767850305
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-101.610862912375
ACGALK,544.607876270102
ACGALK2,365.047342309123
ACGALtly,2408.30819026872
