Reaction,Flux
10FTHFtm,3785.08677352247
24_25DHVITD3t,140.931299562504
25HVITD3tm,140.931299562504
2DR1PP,1522.69282883272
34DHPHAMT,2981.00849108633
34DHPLACOX,134.966388691435
34DHXMANDACOX_NADP_,134.090442691002
34HPLFM,25.6334657043468
3DPHBH1,14.3666261257173
3DPHBH2,11.2668396017652
3HBCDm,9155.43396733934
3HBCOAHLm,355.968311119172
3MOBt2im,2152.07493736016
3MOPt2im,6731.74042514012
3MOX4HOXPGALDOX,2259.26880000215
3MOX4HOXPGALDOX_NADP_,-1822.5513281566
3SALAASPm,-1320.0698351115
41R2A1H12BOOX,134.090442691002
42A12BOOX,134.966388691435
4HBZCOAFm,25.6334657043468
4HBZFm,25.6334657043468
4HGLSDm,2489.93934642268
4HOXPACDOX_NADP_,-0
4MPTNLte,108.844278048794
4MPTNLtm,-108.844278048794
5ADTSTSTERONEte,-912.260587551233
5ADTSTSTERONEtr,912.260587551233
5AOPtm,2609.34934034946
5MTHFt,-6582.48546639436
7DHCHSTEROLtr,-1807.62562302224
A4GALTc,566.122675071097
ABUTt4_2_r,0
ACACT1rm,9207.1482632329
ACACT1x,2517.57237697488
ACACT8p,-0
ACACT9p,184.147933585813
ACALDtm,-699.345244893373
ACCOACm,3851.29993592082
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-150.753905400889
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-99.7152680924131
ACGALK,269.862842286614
ACGALK2,0
ACGALtly,2171.75027560281
ACGAM6PSi,5302.32138330085
ACGAMK,278.002166091205
ACGAMPM,4047.25070755153
ACNACNGAL14ACGLCGALGLUSIDEte,-85.4352378778609
ACNAM9PL,47.5606675354265
ACNAMlt,-1938.02992006395
ACNAMPH,47.5606675354265
ACNAMtn,1318.08788933883
ACOAD10m,645.728471821335
ACOAD1fm,226.073977872038
ACOAD8m,-0
ACOAD9m,355.968311119172
ACOAO7p,725.620425252264
ACOX2x,169.909011279654
ACRNtm,-6368.72609984368
ACt2m,-699.345244893373
ADHAPtx,125.640321004123
ADK1m,165.040238373444
ADK3,-9700.44460710217
ADK3m,0
ADKd,-70.3610833100047
ADMDC,1523.27171868454
ADNt,2379.47873379575
ADNt4,3274.70616905808
ADNtm,-175.55322771674
ADPMAN,402.372352670532
ADRNCOAtx,-123.093747482947
ADRNCPT1,391.846813188298
ADRNCPT2,391.8468147454
ADRNCRNt,315.093177419718
ADRNt,320.473719606409
ADSK,1539.93981118561
AGLPC,125.640321004123
AGLPH,125.640321004123
AGPAT1,697.18023756156
AGTim,452.002527567046
AHCYStr,-465.446293068973
AKGDm,4431.33803832454
AKGMALtm,4649.22924144321
ALADGLYexR,3992.74292679098
ALASm,0
ALATA_L,-6159.43296194905
ALCD21_L,378.993809807213
ALCD22_D,3362.45352866151
ALDD20xm,140.434114745114
ALDD2xm,699.345244893373
ALDD2y,3272.61888608276
ALDSTRNte,89.8327401656339
ALDSTRNtm,-89.8327401656339
ALOX12,121.781338319474
ALOX5,170.454230040132
ALOX52,4116.81911960718
ALR2,378.993809807213
ALR3,378.993809807213
AMACR2p,1025.84049299563
AMACRp,169.909011279654
AMETr,465.446291511902
AMETt2m,76.9003971572024
AMPDA,552.198854134918
AMPTASECGe,3017.86254900616
AMPtp,-68.0116383092281
ANTIPYRENEte,285.654655882571
APAT2rm,-1333.41255109132
ARACHCPT1,370.1832166353
ARACHCPT2,370.183217410294
ARACHCRNt,302.765282237586
ARACHDt2,1224.70804426357
ARACHDtr,-5815.52898703371
ARACHt,3048.70774242413
ARGSS,255.338713020194
ARSA,101.554809167576
R_group_phosphotase_1,1936.33278750921
R_group_phosphotase_2,1460.80349901977
R_group_phosphotase_3,229.915249059013
ARTFR12,2425.05504648906
ARTFR41,0
ARTFR61,5264.63841161404
ARTPLM1,4000.8089674599
ARTPLM2,763.623261466598
ARTPLM3,229.915249059013
ASAH1,232.013404770754
ASPCTr,-1138.02322535843
ASPTAm,-463.387764540682
ATP1ter,305.960374273252
ATP2ter,2515.25107268149
ATPH2e,3048.40680919314
ATPtm,7921.90320660776
ATPtx,68.0116367521423
BAAT2x,474.216190800265
BALAtmr,-1333.41255109132
BHMT,1462.69651448869
BILDGLCURtr,795.09400037347
BILGLCURtr,-1637.06450041384
BILIRED,93.7493635714322
BILIRUBtr,1633.79382021119
BUTt2m,173.326300665983
C161CPT1,-4273.67692789912
C161CPT12,-3036.92111106065
C161CPT22,-1071.20499681762
C161CRN2t,-593.566835290541
C180CPT1,-2837.18918176235
C180CPT2,174.431713914661
C180CRNt,207.043481036033
C181CPT1,3944.22070734462
C181CPT2,-3658.9838244483
C181CRNt,-3620.29844493159
C204CPT1,-290.873530951272
C204CPT2,13.8902572252526
C204CRNt,151.397287100814
C226COAtx,-104.091007215124
C226CPT1,946.002383194889
C226CPT2,946.002383981792
C226CRNt,613.195376121275
CATm,5498.61569070124
CATp,6761.56340791325
CBR2,2194.33920258374
CDIPTr,-9.1074716825824
CDS,130.681337402922
CEPTC,373.453145369788
CERK,809.018333403465
CERT1gt,0
CERT1rt,232.013404770754
CERT2gt,-120.22523443947
CERT2rt,258.046269901976
CHAT,1205.36649410902
CHLPCTD,657.14799645096
CHOLATEt,5997.4228058334
CHOLK,833.90964657282
CHOLtr,5535.98375187392
CHOLtu,390.586726421096
CHSTEROLSULT,88.7136899260846
CHSTEROLt1,-1217.06576069064
CHSTEROLt2,685.640596039239
CHSTEROLt3,-606.630798013239
CHSTEROLtg,2579.76045483304
CHTNASE,92.6673886970682
CITtam,-4037.21807353713
CITtbm,-0
CLPNDCOAtx,104.091007215124
CLPNDCPT1,50.8062003224841
CLPNDCPT2,50.8062011093277
CLPNDCRNt,241.857392608888
CLPNDt,145.665789668958
CLS_hs,3.52805262163419
CMPACNAtg,106.908893511832
CMPACNAtn,1318.08788933883
CMPSAS,1119.7913661108
CMPSASn,1318.08788933883
CO2tm,3924.94666141261
CO2tp,-2313.80295143387
COAtp,1119.629078059
COAtr,-1023.98812022551
COt,193.176159474698
COUCOAFm,25.6334657043468
CRMPte,614.12909713411
CRNCARtp,3092.98651432341
CRNt,-5321.4332184541
CRNtuNa,1624.28552802432
CRTSLt,3366.8443649459
CRTSLtr,-2514.63552004888
CRTSTRNt,89.8327401656339
CRTSTRNtm,89.8327401656339
CRVNCtr,-757.676465454677
CSNAT3x,4038.81036040757
CSNATm,-6368.72609984368
CSNATp,-1108.2157135381
CSNATr,-5260.51038552703
CTPtn,1318.08788933883
CYSGLTH,-0
CYSt4,4255.07071292903
CYSTA,1535.15840896399
CYTDt,-1650.63008537032
CYTK10,744.580139400616
CYTK11,1534.2829679075
CYTK12,-575.988559772673
CYTK12n,79.4189669729722
CYTK13,1055.08980016339
CYTK14,-4264.44544683421
CYTK2n,-313.737945558394
CYTK3,3103.8484468631
CYTK4,3659.02235834238
CYTK5,2002.38211373905
CYTK6,1280.35009175156
CYTK7,-4748.94260885162
CYTK8,300.202904762176
CYTK8n,-154.90001161245
CYTK9,-1363.11454475138
CYTK9n,154.90001161245
DADA,987.732702202136
DADNK,319.686486810553
DADNt4,483.277294065889
DAGK_hs,-3433.26164747623
DAGKn_hs,-1692.69486465888
DAGt,-7345.62154055618
DCIm,-505.652902515654
DCK1n,-213.775338513398
DCK2n,-20.5436416290759
DCSPTN1COAtx,-210.428453157441
DCSPTN1CPT1,374.009852587747
DCSPTN1CPT2,374.009854144717
DCSPTN1CRNt,305.254067332395
DCSPTN1t,154.756576634583
DCTPtn,234.318978585422
DCYTt,-673.313576836033
DDPGAm,856.682070570816
DECDPtm,25.6334657043468
DESAT18_10,244.294248522957
DESAT18_7,125.637568964019
DESAT18_8,160.035616899211
DESAT22_1p,106.316716689656
DESAT22_2p,104.091007215124
DGK2m,730.016268089125
DGNSKm,730.016268089125
DGSNt,-3238.12413874323
DGSNtm,730.016268089125
DGULND,-5873.36546193996
DHAPA,125.640321004123
DHCHOLESTANATEtm,211.306521018855
DHCR72r,1807.62562302224
DHCRD2,3404.81807327401
DHDPBMTm,25.6334657190675
DHEASt,-4533.53219202544
DHEAStr,-430.686707880041
DHEASULT,157.463888364183
DHEAtr,-274.846471578715
DHFtm,-1678.60146438639
DIGALSIDEtl,232.013404770754
DINt,-2338.0854974915
DLNLCGCPT1,5421.66349961487
DLNLCGCRNt,8495.32384024884
DLNLCGt,88.9508536143276
DMANTIPYRINEte,-285.654655882571
DMATTx,168.47086578787
DMNONCRNt,0
DNDPt12m,1508.21202216746
DNDPt21m,2891.64626368407
DNDPt25m,730.016268089125
DNDPt28m,730.016268089125
DNDPt37m,1581.36700758954
DNDPt9m,2040.29552417055
DOPACHRMISO,70.9123439944953
DOPAQNISO1,70.9123439944953
DOPAt4_2_r,-6441.76460514075
DOPAtu,-401.8482902258
DPHMBDCm,25.6334657190675
DPMVDx,505.41259736361
DPPS,25.6334657043468
DRIBt,-1522.69282883272
DTDPtn,4922.80086481581
DTTPtn,-4922.80086481581
DUDPtn,-3178.13925437261
DUMPtn,-178.885880483723
DURAD,394.259336871923
DURIK1,2479.8649874398
DURIt,-3816.68930561721
DUTPDPn,178.885880483723
ECOAH12m,355.968311119172
ECOAH1m,8317.61636920705
ECOAH1x,-138.818103834687
ECOAH9m,447.302128974669
EHGLAT2m,856.682070570816
EHGLATm,0
EICOSTETCPT1,46.7386393107681
EICOSTETCPT2,46.7386401018989
EICOSTETCRNt,296.325113411101
EICOSTETt,-58.4172839802832
ELAIDCPT1,1040.90291917808
ELAIDCPT2,1327.64245563611
ELAIDCRNt,811.882738641214
ELAIDt,-7915.94482224107
ESTRADIOLt,523.216809062325
ESTRADIOLtr,4708.94549717808
ESTRIOLtr,154.661291441962
ESTRONESt,-4796.08901440418
ESTRONEtr,-4862.20072360229
ESTSULT,295.088777479917
ETHAK,88.6807478837553
EX_13_cis_retnglc[e],6971.2253805893
EX_2425dhvitd3[e],140.931299562504
EX_4mptnl[e],108.844278048794
EX_4nph[e],-2729.79618063895
EX_5adtststerone[e],912.260587551233
EX_5dhf[e],-1620.17522659258
EX_5mthf[e],6582.48546639436
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],150.753905400889
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],99.7152680924131
EX_ach[e],314.755505255938
EX_acnacngal14acglcgalgluside_hs[e],85.4352378778609
EX_adp[e],-1751.69844448326
EX_adrn[e],-313.928171711677
EX_adrnl[e],-1885.34483869367
EX_ak2lgchol_hs[e],125.640320993916
EX_ala_B[e],1560.09947140509
EX_ala_D[e],-1636.63399768275
EX_aldstrn[e],89.8327401656339
EX_amp[e],-484.678580733329
EX_antipyrene[e],-285.654655882571
EX_arach[e],-541.524028103726
EX_arachd[e],-758.919796968285
EX_ascb_L[e],-3296.64258439864
EX_atp[e],5241.40605149882
EX_bildglcur[e],-795.094002709067
EX_bilglcur[e],988.270160586815
EX_chol[e],-390.586726421096
EX_cholate[e],-5997.4228058334
EX_chsterol[e],-1770.15360774433
EX_chtn[e],-92.6673886970682
EX_clpnd[e],-138.375503774616
EX_cmp[e],-2777.79056918651
EX_co[e],193.176159474698
EX_creat[e],-7147.05203957614
EX_crmp_hs[e],614.12909713411
EX_crn[e],8475.15664682761
EX_crtsl[e],-3366.8443649459
EX_crtstrn[e],-89.8327401656339
EX_crvnc[e],779.541521457842
EX_dag_hs[e],8398.713778546
EX_dcsptn1[e],-43.0323572441266
EX_dhdascb[e],3296.64258439864
EX_dheas[e],-830.426515836027
EX_dhf[e],1620.17522659258
EX_dlnlcg[e],-83.301329912847
EX_dmantipyrine[e],285.654655882571
EX_dopa[e],3685.83798256668
EX_eicostet[e],57.2827162373651
EX_elaid[e],8064.03667480261
EX_estradiol[e],-523.216809062325
EX_estrones[e],132.882633278416
EX_fucacngal14acglcgalgluside_hs[e],133.02644797248
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],62.6088046422115
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],84.0572065444516
EX_fucgalfucgalacglcgalgluside_hs[e],356.238757858696
EX_gbside_hs[e],-824.330147983819
EX_gluala[e],5297.55046580295
EX_gq1b_hs[e],-431.277523877188
EX_gq1balpha_hs[e],240.580883449008
EX_gthrd[e],2328.31182877854
EX_hco3[e],920.585999995516
EX_hdca[e],-29.4300971660923
EX_hdcea[e],-3134.35000721217
EX_hestratriol[e],278.036218754261
EX_hexc[e],286.699085738608
EX_hom_L[e],-3359.20458379538
EX_hpdca[e],-151.454095222116
EX_imp[e],1904.09242429684
EX_inost[e],-746.801871577632
EX_leuktrA4[e],739.651078738239
EX_leuktrB4[e],2438.42599449301
EX_leuktrC4[e],5991.107289168
EX_leuktrD4[e],3001.52948315034
EX_leuktrE4[e],-3896.86424884459
EX_leuktrF4[e],-1718.60448494879
EX_lgnc[e],-435.141296507447
EX_lneldc[e],7205.94546004163
EX_lnlc[e],5569.14510896227
EX_lnlnca[e],-89.7153946589733
EX_lnlncg[e],-606.506453591495
EX_lpchol_hs[e],3033.98984761587
EX_mag_hs[e],262.142366773009
EX_meoh[e],-1711.81521115151
EX_mthgxl[e],4493.6476484768
EX_ncam[e],327.868130620569
EX_no[e],227.909469565396
EX_nrpphr[e],-412.857160034167
EX_nrpphrsf[e],278.766716589552
EX_nrvnc[e],-46.7306766726324
EX_o2s[e],-9491.24989540214
EX_oagt3_hs[e],229.021590065483
EX_ocdca[e],-76.0504441865996
EX_ocdcea[e],-6484.41131371347
EX_octa[e],288.536618321435
EX_oxa[e],143.780783147435
EX_pchol_hs[e],-3421.93994993716
EX_pe_hs[e],989.012045479392
EX_peplys[e],-1290.27147135998
EX_pglyc_hs[e],132.04330895804
EX_pheacgln[e],268.416001972818
EX_prgstrn[e],-124.984487702255
EX_prostge1[e],210.401986300602
EX_prostgf2[e],2194.33920258374
EX_ps_hs[e],-5385.60890341598
EX_ptdca[e],49.5114971440435
EX_retn[e],-293.76590067152
EX_strdnc[e],0.157093323243316
EX_tag_hs[e],0
EX_tagat_D[e],-870.552718647332
EX_tethex3[e],0.139899787323884
EX_tetpent3[e],0.13989978727659
EX_tetpent6[e],-143.45376794685
EX_tettet6[e],-343.042490690388
EX_thf[e],363.586875364155
EX_tmndnc[e],-2845.35475093076
EX_tsul[e],1535.15840896399
EX_ttdca[e],-642.313493166037
EX_txa2[e],6631.63290812055
EX_utp[e],-9398.86086825266
EX_vacc[e],261.491944744717
EX_vitd3[e],3192.79268329702
EX_whddca[e],185.379969533326
EX_xolest2_hs[e],4382.75901998601
EX_xoltri24[e],94.2275818636841
EX_xoltri27[e],92.1757487899403
EX_xylt[e],-6357.21833339278
FACOAL140i,548.077295553501
FACOAL150,222.336616057837
FACOAL160i,331.614489656502
FACOAL170,450.562986434965
FACOAL180i,570.333052913047
FACOAL1813,-4983.88279337151
FACOAL181i,470.289705844336
FACOAL1821,-6774.71820717154
FACOAL1822,-6980.73314966422
FACOAL1831,-1826.3423675125
FACOAL1832,-805.174693546047
FACOAL184,-4180.1908926603
FACOAL203,5141.54124522164
FACOAL204,-3685.1432015871
FACOAL2042,169.569527732616
FACOAL205,-1370.45497752812
FACOAL206,-2548.90281327243
FACOAL224,546.248322724663
