Reaction,Flux
34HPLFM,18.568243838423
3DPHBH1,15.7442882008296
3DPHBH2,20.1182957509428
3DSPHR,955.277934751189
3HBCOAHLm,2249.67801856519
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,141.622596625257
3SALAASPm,-2090.58582245616
3SALATAi,115.759857557058
3SPYRSP,115.759857557058
4HBZCOAFm,18.568243838423
4HBZFm,18.568243838423
4HOXPACDOX_NADP_,149.619560308361
4MPTNLte,191.754440931396
4MPTNLtm,-191.754440931396
5AOPtm,-822.600041596535
5MTHFt2,-2334.33996096976
A4GALTc,411.130377278595
AACTOOR,307.763104783052
ABUTt4_2_r,-3248.55720688725
ACACT1rm,9463.6666050823
ACACT1x,1336.07914233063
ACACT8p,252.775073747716
ACACT9p,304.366141176976
ACACtx,-699.098477649033
ACALDtm,-899.359708456413
ACCOAtr,-149.035718096846
ACETONEt2m,-79.4571234654987
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-122.141151124731
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-43.0547613202924
ACGALK,185.787122508724
ACGALK2,0
ACGALtly,1905.63204450733
ACGAM6PSi,2910.27065218352
ACGAMK,355.251034754553
ACGAMPM,3265.52168693591
ACGAMtly,271.09006717011
ACNACNGAL14ACGLCGALGLUSIDEte,-72.1704488071812
ACNAMlt,-310.436089789568
ACNMLr,84.1609675844428
ACOAD1fm,189.886108195218
ACOAD9m,709.794059034699
ACONTm,-1981.66522762464
ACSm,111.461911384098
ACt2m,-4032.02408750129
ACTNMO,79.4571234654987
ADCim,79.4571234654987
ADEt,-1704.86904632201
ADHAPtx,154.921477404418
ADK1m,5390.95356414544
ADK3,-9772.67554395917
ADK3m,-4847.53048523262
ADKd,2825.01440987981
ADMDC,88.950961941038
ADPMAN,543.583313830597
ADPtx,-143.727139506393
ADRNCPT1,54.0910079921778
ADRNCPT2,54.0910081844553
ADRNCRNt,-44.7700928613904
ADRNt,-113.275545414476
ADSK,690.847536999203
AGLPC,154.921477404418
AGLPH,154.921477404418
AHCYStr,-2800.12401711834
AKR1C42,6647.72397056793
ALASm,822.600041596535
ALATA_L,-2638.5139491623
ALCD21_L,79.4571234654987
ALCD22_D,4287.58794889307
ALDD20xm,151.818939442137
ALDD2xm,899.359708456413
ALDD2y,4032.49437041703
ALDSTRNte,87.9170070751195
ALDSTRNtm,-87.9170070751195
