Reaction,Flux
10FTHF5GLUtl,164.094142750327
10FTHF5GLUtm,164.094142750327
10FTHFtl,-164.094142750327
10FTHFtm,777.413496540252
34DHOXPEGOX,-1845.59479210894
34DHOXPEGt,-1845.59479210894
34DHPLACOX,195.55254797107
34DHXMANDACOX,1626.2047053794
34DHXMANDACOX_NADP_,535.18273563316
34HPLFM,1453.36577856189
3DPHBH1,14.8702001486791
3DPHBH2,15.2148508489448
3MOBt2im,1477.3443443555
3MOPt2im,4730.07912935777
3MOX4HOXPGALDOX,2412.28856174593
3MOX4HOXPGALDOX_NADP_,-2166.82887304221
3SALAASPm,-1115.18897505089
3SALATAi,199.325149142645
3SPYRSP,199.325149142645
41R2A1H12BOOX,315.792648918021
42A12BOOX,195.55254797107
4ABUTtm,2146.8940285488
4HBZCOAFm,30.0850509976239
4HBZFm,30.0850509976239
4HOXPACDOX_NADP_,268.958139699037
4MPTNLte,121.475505197847
4MPTNLtm,-121.475505197847
5ADTSTSTERONESte,4427.77951465192
5AOPtm,4119.99777994736
6HTSTSTERONEte,303.872475143502
6HTSTSTERONEtr,-303.872475143502
7THFtm,74.217510821481
A4GALTc,459.614113056647
A4GALTg,54.3317021566821
AACTOOR,1379.24654949647
AACTtm,1379.24654949647
ABTArm,2146.8940285488
ABUTt4_2_r,-7983.43819760073
ACACT1rm,6556.46426789217
ACACT1x,1684.08125179366
ACACt2m,-3407.53597569945
ACACT8p,250.721876237093
ACACT9p,215.569455015896
ACACtx,-3600.68670010808
ACALDtm,-760.796659353833
ACCOACm,6611.15817799464
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-202.988191240162
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-140.286836984558
ACGALK,337.862796204283
ACGALK2,0
ACGALtly,1530.29254494817
ACGAM6PSi,6272.69088484108
ACGAMK,309.130162003789
ACGAMPM,5061.33661237445
ACITL,373.309059272644
ACNACNGAL14ACGLCGALGLUSIDEte,-194.624127227887
ACNAMlt,-1062.54953497778
ACNMLr,-181.401169682127
ACOAD8m,265.338798982638
ACOAD9m,239.440585714912
ACONTm,-1541.88475439825
ACOX22x,260.282682765898
ACRNtm,-3568.2722571074
ADEt,58.5637831956428
ADHAPtx,4525.33894203549
ADK1m,177.311241969785
ADK3,-9599.1013472644
ADK3m,179.771139924442
ADKd,321.646933525642
ADMDC,770.139386507284
ADNt4,2903.98199113672
ADNtm,-150.793577373301
ADPMAN,575.02752347429
ADPtx,-167.962578695071
ADRNCOAtx,-129.325872526516
ADRNCPT1,546.874378320226
ADRNCPT2,546.874378334602
ADRNCRNt,362.300674303526
ADRNt,2383.91607126496
ADSK,1121.49892482918
AGLPC,226.116746927568
AGLPH,226.116746927568
AGPAT1,1016.8694687641
AKGDm,1168.85889863148
AKGMALtm,3793.03360299885
AKGtp,-134.953617866237
ALADGLNexR,4131.17384423125
ALAGLYexR,103.724125809789
ALAt4,3799.35822689762
ALATA_L,-4233.14427530416
ALCD21_L,246.876535006885
ALCD22_D,917.177979626638
ALDD2xm,760.796659353833
ALDD2y,3809.61701811687
ALDSTRNte,125.643705899656
ALDSTRNtm,-125.643705899656
ALOX5,809.771507331842
ALOX52,408.367624783458
ALR2,246.876535006885
ALR3,246.876535006885
AMETt2m,90.255153006834
AMPDA,1039.00999975817
AMPTASECGe,2157.40825781094
AMPtp,-741.159144689662
AOBUTDsm,1379.24654949647
APAT2rm,-2263.59235139402
APRTO2,252.087513616395
ARACHCOAtx,43.9918899302056
ARACHCPT1,497.172295773871
ARACHCPT2,497.172295781133
ARACHCRNt,311.819955065723
ARACHDCOAtx,3098.00263762206
ARACHDt2,494.982172056258
ARACHDtr,176.965647068606
ARACHt,2455.65869476105
ARGSS,326.961731754684
ARGt4,2306.73975676799
ARSA,140.204826737363
R_group_phosphotase_1,2029.49084396496
R_group_phosphotase_2,2619.76238109117
ARTFR11,1559.07482777417
ARTFR12,4367.63864214388
ARTFR41,1371.29963159262
ARTFR42,6498.61082532616
ARTPLM1,8388.17790081792
ARTPLM2,822.32716581008
ARTPLM2m,780.565746517152
ARTPLM3,1180.16108802696
ASAH1,256.99611623333
ASNt4,3939.89796062545
ASPCTr,-721.661683981009
ASPDxt,-232.559765029625
ASPNATm,1660.60356537473
ASPTAm,59.6075688066503
ATP1ter,1073.72770796259
ATP2ter,1291.667863042
ATPH2e,3312.21684675822
ATPtx,909.121723363238
B3GNT31g,54.3317021566821
B3GNT32g,54.3317021566821
B3GNT33g,54.3317021566821
B3GNT39g,54.3317021566821
BALAtmr,-2263.59235139402
BILGLCURt,-1773.97036446988
BILGLCURtr,4586.95660448736
BILIRED,726.030890345565
BILIRUBtr,-4442.40453134061
C160CPT1,1043.57605757346
C160CPT2,-506.213634780648
C160CRNt,-189.359683714447
C161CPT1,-8445.65366880725
C161CPT22,1584.37615298806
C161CRN2t,687.258279434995
C180CPT1,741.006958040945
C180CPT2,112.168669839287
C180CRNt,131.79474922893
C181CPT1,294.415814734297
