Reaction,Flux
10FTHFtm,204.7806333832
25HVITD3t,212.335685394686
25HVITD3tm,212.335685394686
2AMACSULT,192.092664925097
2DR1PP,2222.21803490725
2HBO,-993.246551875731
34DHOXPEGOX,-1201.75378203871
34DHOXPEGt,-1201.75378203871
34DHXMANDACOX,1201.75378203871
34HPLFM,4135.5323907585
3DPHBH1,16.1268346796651
3DPHBH2,13.8623841851986
3HBCOAHLm,819.140922300592
3HLYTCL,511.340370047622
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,233.658586738848
3SALAASPm,-2561.77445336867
4HBZCOAFm,210.809358772313
4HBZFm,210.809358772313
4HGLSDm,862.370617911178
4HOXPACDOX_NADP_,274.107938319187
4MPTNLte,258.904882430533
4MPTNLtm,-258.904882430533
5AOPtm,-529.659771416391
6DHFtl,112.85967629151
6DHFtm,112.85967629151
7DHCHSTEROLtr,-2901.84382065481
A4GALTc,226.153861592531
A4GALTg,105.482292252886
AACTOOR,312.181101197577
AACTtm,1654.99043414385
ABUTt4_2_r,-955.284440380509
ACACT1rm,9571.22089335158
ACACT1x,4077.26939994242
ACACT8p,-0
ACACT9p,-0
ACACtx,-2298.18648122618
ACETONEt2m,-271.837884489636
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-125.008286432905
ACGALK,340.134383385846
ACGALK2,0
ACGALtlg,-105.482292252886
ACGALtly,1161.99117470022
ACGAM6PSi,1353.06729434096
ACGAMK,2149.88172085044
ACGAMPM,3502.94901519139
ACGAMtly,861.152762291389
ACGBGBSIDEtg,-105.482292252886
ACGBGBSIDEtl,105.482292252886
ACNAMlt,-711.860391989099
ACNAMtn,1598.01358701054
ACNMLr,937.22813246075
ACOAD10m,-0
ACOAD9m,307.615645300095
ACOAO7p,1103.87489255339
ACRNtm,-8294.68352289657
ACS2,271.023416723042
ACSm,306.471135578888
ACt2m,-2294.39915833166
ACTNMO,271.837884489636
ADA,961.768092937794
ADCim,2078.11296387534
ADEt,2944.40904029855
ADHAPtx,2721.64147383116
ADK1m,1801.87689119485
ADK3m,-1140.28158383649
ADMDC,783.605266866076
ADNt,2449.87431641268
ADNt4,3982.17031946219
ADNtm,-716.833148792395
ADPtx,37.5378364890512
ADRNCOAtx,208.333510178148
ADRNCPT1,47.2744188263441
ADRNCPT2,47.2744188269952
ADRNCRNt,262.041205519536
ADRNt,2141.83417053306
ADSK,1356.78520979442
AGLPC,238.3541755854
AGLPH,238.3541755854
AGPAT1,662.577235214168
AGTim,2184.05580547593
AKGDm,1895.25246251236
AKGtp,1150.15569323104
ALADGLYexR,1778.94580221129
ALASm,529.659771416391
ALATA_L,-7837.90637560839
ALCD21_L,271.837884489636
ALCD22_D,0
ALDD20xm,162.245452874696
ALDD21,3625.45708917769
ALDD2y,1593.46639309852
ALDSTRNte,130.821264864168
ALDSTRNtm,-130.821264864168
ALOX12,194.8876843755
