Reaction,Flux
10FTHFtm,1262.74006654175
25HVITD3t,218.112644741226
25HVITD3tm,218.112644741226
2DR1PP,2328.94531404918
2MCITt,769.106137448971
34DHOXPEGOX,-2266.24551275639
34DHOXPEGt,-2266.24551275639
34DHXMANDACOX,1935.46029745388
34DHXMANDACOX_NADP_,722.682862026808
34HPLFM,364.405782637885
3AIBTm,1964.14773537739
3AIBtmi,1964.14773537739
3DPHBH1,19.4416552012869
3DPHBH2,15.1002068320627
3HBCOAHLm,346.703084453658
3MOBt2im,1751.53698218212
3MOPt2im,4370.34274950748
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,397.810092472049
3SALAASPm,-1649.83280125132
3SALATAi,440.636473705991
3SALATAim,353.911559027607
3SPYRSP,440.636473705991
3SPYRSPm,353.911559027607
41R2A1H12BOOX,391.897659927075
4ABUTtm,1461.89764056047
4HBZCOAFm,364.405782637885
4HBZFm,364.405782637885
4HOXPACDOX_NADP_,385.684274665784
4MOPt2im,4642.18297219534
4MPTNLte,370.830104481351
4MPTNLtm,-370.830104481351
5AOPtm,6643.08662653677
6DHFtl,77.9854302498389
6DHFtm,77.9854302498389
7DHCHSTEROLtr,-4389.11836299169
A_MANASEly,76.8244126464937
A4GALTc,368.460424206805
A4GALTg,95.3134278708162
AACTOOR,1522.60126054714
AACTtm,1522.60126054714
ABTArm,1461.89764056047
ABUTt4_2_r,-6955.91897973342
ACACT1rm,7396.90994969565
ACACT1x,3740.75644757224
ACACt2m,-574.333190420833
ACACT7p,242.895393690142
ACACT8p,-0
ACACT9p,-0
ACACtx,-2071.01851021111
ACALDtm,-943.006941440191
ACETONEt2,290.59653514297
ACGAGBSIDEtg,-95.3134278708162
ACGAGBSIDEtl,95.3134278708162
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-142.549397991791
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-93.3338438967315
ACGALK,710.331448543333
ACGALK2,385.683191902208
ACGALtly,1983.68781279667
ACGAM6PSi,4696.66083227058
ACGAMK,911.368812173549
