Reaction,Flux
25HVITD3t,875.442679232704
25HVITD3tm,331.088061591779
2DR1PP,1104.02990897385
2MCITt,282.702933025341
34DHOXPEGOX,2309.68564426289
34DHOXPEGt,2309.68564426289
34DHXMANDACOX,1501.05228787469
34DHXMANDACOX_NADP_,-3425.9432418747
34HPLFM,223.827911069729
3DPHBH1,12.1474529148974
3DPHBH2,15.9815314199219
3DSPHR,420.943788643051
3MOBt2im,2980.89955709322
3MOX4HOXPGALDOX,2449.79573446653
3MOX4HOXPGALDOX_NADP_,-1414.24553773037
3SALAASPm,-3207.39813742258
3SALATAi,286.742405133596
3SALATAim,298.869958376377
3SPYRSP,286.742405133596
3SPYRSPm,298.869958376377
41R1H2MAE12BOOX,384.794714037533
4HBZCOAFm,633.727542897519
4HBZFm,633.727542897519
4HGLSDm,745.103004138457
4HOXPACDOX_NADP_,236.082886754631
4MPTNLte,333.277688662097
4MPTNLtm,-333.277688662097
5AOPtm,-413.799164833103
5MTHFt,3301.17676942151
5MTHFt2,-7408.78430861879
7DHCHSTEROLtr,-3266.71645054391
A4GALTc,309.609043955496
AACTOOR,718.321967105277
AACTtm,5526.01709793117
ABUTt4_2_r,-5282.59701205633
ACACT10m,-273.047563225687
ACACT1rm,7014.73422395476
ACACT1x,1262.28418175639
ACACT7p,205.825080531024
ACACT8p,-0
ACACT9p,108.701307436476
ACALDtm,-851.47415502428
ACETONEt2,254.85442141237
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-138.791920282506
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-98.7927097586091
ACGALK,655.597735008721
ACGALK2,394.38407260189
ACGALtly,2597.61284818088
ACGAM6PSi,3187.80588968659
ACGAMK,1710.68041227268
ACGAMPM,3806.17884433918
ACGAMtly,903.160209803613
ACITL,467.876308091286
ACNACNGAL14ACGLCGALGLUSIDEte,-112.652569192023
ACNAMlt,-999.718722614347
ACNAMtn,1663.54329162797
ACNMLr,329.153218073227
ACOAD10m,4580.91290141451
ACOAD1fm,195.275237410851
ACOAD8m,-0
ACOAD9m,266.00110682111
ACOAHi,775.564492380745
ACODA,600.436627084307
ACONTm,-814.707469479128
ACRNtm,-3991.97790655703
ACSm,218.553992076327
ACt2m,-3945.29715208876
ACTNMO,254.85442141237
ADAe,2065.89419770967
ADCim,1447.96780510127
ADEt,-3610.11238711215
ADHAPtx,154.559467455513
ADK1m,-82.8445870521173
ADK3,-9637.55557693349
ADK3m,-1292.81608718892
ADKd,-1757.16877856918
ADMDC,193.289426596491
ADNK1m,845.136366871547
ADNt,2659.85059061357
ADNtl,399.501292052433
ADNtm,845.136366871547
ADPMAN,413.074373084548
ADPtx,788.158072970224
ADRNCOAtx,-516.265952911312
ADRNCPT1,529.793466349189
ADRNCPT2,529.793490123875
ADRNCRNt,268.286610424853
ADRNt,993.675538367421
ADSK,1305.56480435904
AGLPC,154.559467455513
AGLPH,154.559467455513
AGPAT1,4083.72358894455
AKGDm,2380.8386609525
AKGMALtm,1937.63191910076
AKGtp,-887.637488164491
AKR1C41,7191.11055113137
AKR1D,987.661238838278
ALASm,413.799164833103
ALAt4,3956.476713496
ALATA_L,-5147.32563949579
ALCD21_L,2198.16246709705
ALCD22_D,0
ALDD20xm,218.163981875241
ALDD21,3413.42401051135
ALDD2xm,851.47415502428
ALDD2y,1641.19597056048
ALDSTRNte,232.111721565421
ALDSTRNtm,-232.111721565421
ALOX5,359.013410426878
ALOX52,5716.184384813
ALR2,1943.30804592862
ALR3,2198.16246709705
AMACR2p,1843.79958268602
AMETt2m,2416.01144459908
AMPDA,1519.26456886294
AMPTASECGe,2619.41977815388
AMPtp,-2040.11914281224
AOBUTDsm,5526.01709793117
APAT2rm,211.65123877504
ARACHCOAtx,1464.42266181623
ARACHCPT1,743.984637460222
ARACHCPT2,743.98464934754
ARACHCRNt,375.985855784818
ARACHDCOAtx,3422.19174834004
ARACHDt2,-3896.5285540204
ARACHDtr,2105.25189010765
ARACHt,7581.88594394035
ARGSS,228.226321600683
ARSA,91.9041792247199
R_group_phosphotase_1,680.591807177875
R_group_phosphotase_2,534.386620756017
ARTFR11,3078.53118755766
ARTFR12,2310.90692004393
ARTFR207,5497.81365480791
ARTFR41,1818.84311232649
ARTFR44,6627.42244142159
ARTFR61,3652.70024473057
ARTPLM1,7975.70085104689
ARTPLM2,6717.20770085724
ASNNm,3286.90070648981
ASNS1,157.211886078408
ASNt4,4112.58185270423
ASNtm,3286.90070648981
ASPCTr,-951.231394599181
ASPNATm,2431.82473842102
ASPTAm,-1607.21916534415
ATP1ter,850.949976530977
ATP2ter,3538.01701727885
ATPasel,118.053516160791
ATPH1e,612.307119674271
ATPH2e,2046.9968504918
ATPtm,8898.64883670956
ATPtn,645.555983381466
ATPtx,1251.96103427431
BAAT2x,2270.47930788987
BALAtmr,211.65123877504
BALAVECSEC,186.43806002732
BBHOX,232.23604729287
BHMT,1112.73275057146
BILDGLCURt,764.513922941731
BILDGLCURtr,1531.00460593811
BILGLCURt,22.0910929445927
BILGLCURtr,-3002.64895049907
BILIRED,722.734864980067
BILIRUBt2,-3643.51202968188
BILIRUBtr,-107.298551673895
BUTt2m,789.774931268468
C160CPT2,3504.19445481997
C161CPT1,-2860.44786181892
C161CPT12,-2162.1723705521
C161CPT22,-3091.36430573016
C161CRN2t,-1597.04793449146
C161CRNt,3828.69570634955
C180CPT1,3314.19433199745
C180CPT2,6.70738482409399
C180CRNt,7.95445754017055
C181CPT1,-2101.44069900218
C181CPT2,-2764.331925217
C181CRNt,-1372.31797867139
C204CPT1,-5935.96086719866
C204CPT2,368.228389784421
C204CRNt,208.405166821705
C226COAtx,-330.333932177359
C226CPT1,787.505119584668
C226CPT2,787.50513160077
C226CRNt,281.524813329144
CATm,7587.25230842706
CATp,7693.30710394115
CBPPer,951.231394599181
CBPter,951.231394599181
CBR2,2490.05951772247
CDIPTr,-520.058094617829
CDS,133.305460265621
CDSm,384.115820487553
CEPTE,748.246944115035
CERK,2158.82118253265
CERT1rt,175.472997692121
CERT2gt,157.339252178326
CERT2rt,-60.4919308997772
CH25H,502.008489343051
CHAT,1382.00698703611
CHLPCTD,395.446777713534
CHLtm,-324.841787144405
CHOLATEt,5443.03752561509
CHOLATEt2,1925.45875277079
CHOLK,634.793446202382
CHOLtu,1564.39741922069
CHSTEROLt1,-1313.26389270661
CHSTEROLt2,1073.63821195685
CHSTEROLt3,927.834394047504
CHSTEROLtg,0
CHTNASE,159.455657784972
CITRtm,265.819215204876
CITtam,-1954.78602529995
CLPNDCOAtx,-133.227323519154
CLPNDCPT1,43.4822535854983
CLPNDCPT2,43.4822656016596
CLPNDCRNt,-19.8994710479983
CLPNDt,291.167869059138
CLS_hs,2.44113645361276
CMPACNAtg,227.598653813644
CMPACNAtn,1663.54329162797
CMPSAS,1805.43977725879
CMPSASn,1663.54329162797
CO2ter,-1043.64666942572
CO2tm,6861.65184014032
CO2tp,-1508.05226938949
COAtm,-1820.40865582511
COAtp,-1243.69703621977
COAtr,-3690.21012485947
COt,223.430476177404
COUCOAFm,633.727542897519
CRNCARtp,4153.98224452583
CRNtHa,6672.30423832069
CRNtim,-8.86466482441756
CRNtuNa,1738.80214793584
