Reaction,Flux
10FTHFtm,1954.59497225837
13DAMPPOX,339.43460412761
24_25DHVITD3t,156.15667906633
25HVITD3t,397.428284320098
25HVITD3tm,553.584963386428
2HBO,2052.77664364283
34DHOXPEGOX,-2693.66747260611
34DHOXPEGt,-2693.66747260611
34DHXMANDACOX_NADP_,2693.66747260611
34HPLFM,1655.0154691453
3AIBTm,1407.59907692553
3AIBtmi,1407.59907692553
3DPHBH1,59.8606958996683
3DPHBH2,42.63591708164
3DSPHR,488.977456925453
3HBCDm,8820.78537637783
3HBCOAHLm,316.917646601718
3MOBt2im,2295.06476557182
3MOPt2im,4524.50126110292
3MOX4HOXPGALDOX,3176.26401609593
3MOX4HOXPGALDOX_NADP_,-2222.23673063692
3SALAASPm,-1614.2218932273
3SALATAim,321.394426859217
3SPYRSPm,321.394426859217
4HBZCOAFm,43.4666116279618
4HBZFm,43.4666116279618
4HOXPACDOX_NADP_,-2518.52713767731
4MPTNLte,401.934363603543
4MPTNLtm,-401.934363603543
5AOPtm,8601.74393357424
5MTHFt,-2857.66764711996
5THFtm,132.894704322633
7DHCHSTEROLtr,-2190.31377275022
7THFtm,171.497278628446
A4GALTc,414.39816639673
AACTOOR,1920.84789630176
AACTtm,1920.84789630176
ABUTt4_2_r,-4562.97178571711
ACACT10m,-422.506376508033
ACACT1rm,9827.1051082907
ACACT1x,2148.65284008579
ACACT8p,-0
ACACT9p,-0
ACALDtm,-745.009296154121
ACCOAtr,-633.146744370228
ACETONEt2,200.051045339122
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-65.3029221707121
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-46.4047242098551
ACGALK,489.577140283831
ACGALK2,0
ACGALtly,2763.09802111545
ACGAM6PSi,4300.99661038213
ACGAMK,837.017176635681
ACGAMPM,3686.41466674753
ACGAMtly,66.944206549697
ACNACNGAL14ACGLCGALGLUSIDEte,-77.1318828296441
ACNAMlt,-1743.93324454492
ACNAMtn,1341.38157480925
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-94.6761643416013
ACOAD8m,29.9741739998978
ACOAD9m,316.917646601732
ACONTm,-16.5429711627785
