Reaction,Flux
1MNCAMti,102.457812877088
25HVITD3t,189.662823499218
25HVITD3tm,189.662823499218
2DR1PP,1558.04199307118
2HBO,-1096.53454735765
34DHOXPEGOX,1495.33780750863
34DHOXPEGt,1495.33780750863
34DHPHAMT,583.641565397786
34DHPLACOX_NADP_,583.641565397786
34DHXMANDACOX,1337.7239318232
34DHXMANDACOX_NADP_,-2569.12454569782
34HPLFM,16.3563160612355
3DPHBH1,19.2545536259514
3DPHBH2,24.6705618521997
3M4HDXPAC,290.481205270908
3MOBt2im,2046.17157263214
3MOX4HOXPGALDOX,2290.12644606231
3MOX4HOXPGALDOX_NADP_,-1774.83688349533
3MOXTYROX,290.481205270908
3SALAASPm,-1814.47795032781
3SALAOX,107.935422369493
3SALATAi,289.674876878284
3SALATAim,208.262912795577
3SPYRSP,289.674876878284
3SPYRSPm,208.262912795577
41R2A1H12BOOX,263.93719363414
42A12BOOX,583.641565397786
4HBZCOAFm,16.3563160612355
4HBZFm,16.3563160612355
4HGLSDm,4896.9768796781
4HOXPACDOX_NADP_,257.373914159149
4MPTNLte,369.647317271963
4MPTNLtm,-369.647317271963
5AOPtm,-312.450170801848
5MTHFt,-6597.11474737687
7THFtm,71.208759567487
A_MANASEly,88.7558192343252
A4GALTc,397.771029528017
ABUTt4_2_r,-3789.05951548196
ACACT10m,-319.495781314494
ACACT1rm,5916.24748539746
ACACT1x,2083.47320198423
ACACt2m,-3631.67512048706
ACACT7p,203.337413836716
ACACT8p,-0
ACACT9p,214.648809244386
ACACtx,-2659.12626651341
ACALDtm,-522.07312929369
ACCOACm,7882.60378760916
ACETONEt2,205.83441558532
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-92.5588437464087
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-61.5941150816304
ACGALK,848.958226253009
ACGALK2,616.40651634352
ACGALtly,3034.49070754464
ACGAM6PSi,2727.41102764656
ACGAMK,1871.28910952114
ACGAMPM,3367.9930393151
ACGAMtly,1229.81014425567
ACITL,231.051047886833
ACNACNGAL14ACGLCGALGLUSIDEte,-81.7595737426695
ACNAMlt,-1958.25756707192
ACOAD1fm,186.050194990245
ACOAD8m,780.912525564046
ACOAD9m,773.491878329317
ACOAO7p,797.359258114857
ACt2m,-967.600280970441
ACTNMO,205.83441558532
ADA,1262.13775505917
ADAe,832.836862399634
ADCim,783.532768531361
ADEt,-634.003510998047
ADHAPtx,2401.69100291331
ADK1m,1535.95638783987
ADK3,-9435.19115621913
ADK3m,1324.43556968254
ADKd,-1548.55992251426
ADMDC,669.607684670466
ADNK1m,2359.88042917313
ADNt,-445.063941053433
ADNt4,3805.01691142236
ADNtm,2074.88370489285
ADPMAN,696.052038249145
ADPtx,-1919.76394917203
ADRNCOAtx,-279.371842990074
ADRNCPT1,492.179418208425
ADRNCPT2,492.179418208581
ADRNCRNt,31.7050926922275
ADRNt,1133.12816823396
ADSK,1364.04227379992
ADSL1,269.021936161814
AGLPC,223.668360615919
AGLPH,223.668360615919
AGPAT1,781.972157394636
AHCYStr,-2611.93788928742
AHEXASEly,88.7558192343252
AKGDm,8363.2133394516
AKGtp,-166.852657445381
AKR1C41,8041.27961495204
AKR1C42,105.360293939944
AKR1D,138.868334110028
AKR1D2,105.360293939944
ALADGLNexR,1583.572329724
ALASm,0
ALATA_L,-1505.25403626772
ALCD21_L,1648.19058955063
ALCD22_D,0
ALDD2xm,522.07312929369
ALDD2y,1549.60816463059
ALDSTRNte,214.491675764843
ALDSTRNtm,-214.491675764843
ALOX12,193.318622159866
ALOX5,273.898841611139
ALOX52,3232.54483351915
ALR2,1442.35617396532
ALR3,1648.19058955063
AMACR2p,1095.06026373048
AMETr,2611.93788928742
AMETt2m,131.775346435043
AMPDA,437.312881354507
AMPTASECGe,2048.32401883133
AMPtp,-442.84638248278
ANDRSTRNte,5379.63781714151
APAT2rm,-529.890867359358
ARACHCOAtx,1486.03405405815
ARACHCPT1,712.706079494947
ARACHCPT2,712.706079495022
ARACHCRNt,141.502263001468
ARACHDCOAtx,2506.00877717088
ARACHDt2,-2119.67181725548
ARACHDtr,-2527.49410664793
ARGSS,221.856332274347
ARSA,120.563466634226
R_group_phosphotase_1,701.335428804956
R_group_phosphotase_2,2598.20920034643
ARTFR11,3249.93685381974
ARTFR12,3493.25942724075
ARTFR41,3149.57889863782
ARTFR61,7748.49282156836
ARTPLM1,7166.84765879384
ARTPLM1m,5997.85474761942
ARTPLM2,1816.2370429518
ARTPLM3,521.909557812335
ASAH1,1306.25244360643
ASNNm,1337.75476850786
ASNt4,4082.09473039632
ASNtm,1337.75476850786
ASPGLUm,1517.83214122076
ASPNATm,424.99395156518
ASPTAm,-1719.17802545745
ATP1ter,304.739372612681
ATP2ter,4187.59735387094
ATPasel,182.529495485693
ATPH2e,2069.89814926672
ATPtm,8300.39395266273
ATPtx,2362.61033165462
B_MANNASEly,88.7558192343252
BAAT1x,1660.00181425289
BAAT2x,1813.63107401794
BALAtmr,-529.890867359358
BALAVECSEC,204.075663474592
BBHOX,170.225510189382
BHMT,1787.8741497698
BILGLCURt,-1258.243873122
BILGLCURtr,4290.89269198749
BILIRED,550.280497923469
BILIRUBtr,-3275.83805827502
C160CPT1,4553.02964193547
C160CPT2,-4621.69087158286
C161CPT12,-5934.20701296395
C161CPT22,150.376695120995
C161CRN2t,-258.643856247609
C161CRNt,3306.37254538748
C180CPT1,2934.76756921847
C180CPT2,-96.2922768434183
C180CRNt,-267.958250534632
C181CPT1,4212.5275731662
C181CPT2,-3031.20976235295
C181CRNt,-1710.34250196036
C204CPT1,-1946.2592601802
C204CPT2,323.166640715397
C204CRNt,-59.4796678635194
