Reaction,Flux
1PPDCRp,369.44357637654
25HVITD3tm,135.275984528688
25VITD3Hm,153.735561701035
2DR1PP,293.931347490742
34DHXMANDACOX,109.263096893521
34HPLFM,21.7491197859652
3DPHBH1,21.7491197859652
3MOBt2im,2457.74658114227
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,619.061921696643
3SALAASPm,-2116.51135969248
41R2A1H12BOOX,109.263096893521
4HBZCOAFm,21.7491197859652
4HBZFm,21.7491197859652
4HOXPACDOX_NADP_,0
4MPTNLte,215.325330944466
4MPTNLtm,-215.325330944466
5ADTSTSTERONESte,3783.96318758263
7DHCHSTEROLtr,-2216.79071520537
A4GALTc,183.593709796709
ABUTt4_2_r,85.8304588828392
ACACT1rm,9672.11323440662
ACACT1x,611.144934963164
ACACT7p,720.81362692337
ACACT8p,309.413913749456
ACACT9p,-0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-144.05931950088
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-52.5645543520182
ACGALK,129.97212775611
ACGALtly,1538.92148646736
ACGAM6PSi,2043.00084518713
ACGAMK,593.594288183095
ACGAMPM,2636.59513332921
ACGAMtly,369.972427997626
ACHEe,781.866905658653
ACNACNGAL14ACGLCGALGLUSIDEte,-64.994152675965
ACNAM9PL,45.4181361427025
ACNAMlt,-1332.99312347566
ACNAMPH,45.4181361427025
ACOAD1fm,234.38225474639
ACONTm,-75.37700344941
ACt2m,-47.6862206003721
ADEt,-3962.40214319133
ADHAPtx,1809.22508118292
ADK1m,-771.320742898162
ADK3,-9730.44905450024
ADKd,-130.570095615696
ADMDC,1138.0832098506
ADNtm,-893.543405815298
ADPMAN,478.892998207976
ADRNCOAtx,-125.838160389265
ADRNCPT1,250.067310701112
ADRNCPT2,250.067310701112
ADRNt,1947.29332852303
ADSK,723.280040795415
AGLPC,125.297365461163
AGLPH,125.297365461163
AHCYStr,5424.62839907295
AKGtp,-228.620990240453
ALADGLNexR,-2960.69958936142
ALATA_L,-6586.78740919289
ALCD22_D,0
ALDD20xm,155.822654273904
ALDD2y,2127.82984850081
ALDSTRNte,228.463618782347
ALDSTRNtm,-228.463618782347
ALOX5,161.371236816508
ALOX52,7353.02100630633
AMACR2p,749.34981074211
AMETr,-5424.62839907295
AMETt2m,65.2473593578957
AMPTASECGe,1025.3194646512
APAT2rm,444.881288915544
ARACHCRNt,-0
ARACHDCOAtx,3176.64445805933
ARACHDtr,1182.7204557529
ARACHt,-0.810970885169809
ARGSS,151.053300583017
ARSA,75.3398249045728
R_group_phosphotase_1,800.505242030313
R_group_phosphotase_2,455.572839534553
R_group_phosphotase_3,118.147981168441
ARTFR41,915.24615688751
ARTFR44,2928.48279012319
ARTPLM1,2841.63973232959
ARTPLM2,455.572839534553
ASNNm,2068.82513909211
ASNt4,3275.53161168192
ASNtm,2068.82513909211
ASPTAm,-47.6862206003721
ATP1ter,428.857048746948
ATP2ter,-3197.88952909857
ATPH2e,1785.67633008503
ATPtm,7421.5076317343
ATPtn,263.172672201503
BAAT3x,533.448977227723
BALAtmr,444.881288915544
BALAVECSEC,104.301232287445
BDHm,-946.513294332732
BHBtm,-946.513294332732
BHMT,626.260949460227
BILDGLCURt,4304.79193452496
BILDGLCURtr,4304.79193452496
BILGLCURtr,-4035.14054304425
BILIRUBt2,-5345.94837155195
BTNDe,3823.29201768113
C160CPT1,1370.48564805375
C160CPT2,1754.19021804606
C160CRNt,989.168435809574
C161CPT12,-280.760560347164
C161CPT22,657.09498586396
C161CRN2t,327.741576344544
C180CPT1,-711.049213937954
C180CRNt,0
C181CPT1,7357.79686723815
C181CPT2,-577.954111368777
C181CRNt,-539.896832551978
C204CPT1,-2955.64391035558
C204CPT2,477.676288355323
C226CRNt,-0
CATm,4021.39096836834
CATp,4746.24749024902
CBR2,715.050251773901
CDS,3.49596342699277
CDSm,72.0531481846246
CEPTC,239.767772050791
CEPTE,223.723982313817
CERK,591.14728298165
CERT2gt,-220.806566920667
CERT2rt,88.3783873895726
CHAT,-2651.39846818144
CHLPCTD,524.658916717502
CHOLK,622.285931530213
CHOLtu,-3440.19705610594
CHSTEROLSULT,94.8504156520532
CHSTEROLt1,323.274794464682
CHSTEROLt2,304.377347980604
CHSTEROLt3,-206.882544163011
CHSTEROLtg,33.6397844256338
CHTNASE,89.6799987823911
CLPNDCPT1,51.8493614924573
CLPNDCPT2,51.8493624459691
CLPNDCRNt,228.154620961159
CLPNDt,168.31124361894
CLS_hs,3.49596342699277
CMPSAS,1654.21559721173
CO2tm,7233.03765261506
COAtm,-3492.13806451826
COAtp,-1004.07944950153
COAtr,-544.421329606716
COt,179.965261881072
COUCOAFm,21.7491197859652
CRMPte,348.877077626279
CRNtHa,4360.66387332216
CRTSTRNt,228.463618782347
CRTSTRNtm,228.463618782347
CRVNCtr,-114.510758790066
CSNAT2m,-9519.80121414409
CYSGLUexR,83.3337273518955
CYSTA,910.839880838362
CYTD,251.182788405672
CYTK10,3400.25882388261
CYTK10n,-32.6399991007293
CYTK11,3936.42164985127
CYTK12,-730.262707304077
CYTK12n,5.97055585705857
CYTK14,-2813.07302351448
CYTK1m,72.0531481846246
CYTK2n,-50.3230508347533
CYTK3,4825.94473433736
CYTK3n,-17.8200009509546
CYTK6n,17.8200009509546
CYTK7,-3374.54456521245
CYTK7n,14.8199990932098
CYTK8,-314.968294191902
DADAe,1600.28766765145
DADNK,193.43474534627
DADNt4,-1209.6167083055
DAGK_hs,-2247.81546135572
DAGt,-3919.72314577626
DALAOXx,179.816465528471
DALAxt,179.816465528471
DASCBR,424.252379328887
DCIm,-475.827417946367
DCK1n,-47.3524958920498
DCK2n,-14.8199990932098
DCSPTN1COAtx,-49.0303258513161
DCSPTN1CPT1,43.9799047046345
DCSPTN1CPT2,43.9799056627185
DCSPTN1CRNt,258.038520048778
DCTPtn,62.172492154803
DCYTD,704.191959742069
DCYTt,-466.858328039776
DECDPtm,21.7491197859652
DESAT18_7,148.46437822413
DESAT18_8,953.560531619837
DESAT22_1p,174.546528214215
DGAT,118.147981168441
DGCHOLtx,533.448977227723
DGSNt,-4306.47986671403
DHAPA,1809.22508118292
DHCR241r,6252.75705005676
DHCR72r,2216.79071520537
DHCRD1,450.741481098709
DHCRD2,326.848288995819
DHDPBMTm,21.7491197859652
DHEASt,-4508.06845180501
DHEASULT,126.517315095362
DINt,1132.57946162546
D_LACtm,-323.779732500918
DLNLCGCPT1,3087.46406857141
DLNLCGCPT2,513.232322371765
DLNLCGt,579.24583019813
DMNONCRNt,0
DNADtn,-263.172673154997
DNDPt38m,7574.78289867033
DOPABMO,424.252379328887
DOPAtu,424.252379328887
DPHMBDCm,21.7491197859652
DPPS,21.7491197859652
DRPA,293.931347490742
DURIK1,1551.01013811719
DURIt,-7725.09133157638
ECOAH1m,9171.18616980275
ECOAH1x,-61.9213205031369
EICOSTETCPT1,767.772876871562
EICOSTETCPT2,767.772878758406
EICOSTETCRNt,499.801356186859
EICOSTETt,796.173652536585
ELAIDCPT1,203.778838337957
ELAIDCPT2,329.009037003236
ELAIDCRNt,307.777978415643
ESTRADIOLt,-3817.19640766253
ESTRADIOLtr,7421.73168625189
ESTRONESt,1515.6092858601
ESTRONEtr,-3464.19019420085
ESTSULT,168.872706654945
EX_13_cis_retnglc[e],8885.13552040072
EX_1glyc_hs[e],1275.24523263598
EX_4mptnl[e],215.325330944466
EX_4nph[e],-4817.09085619527
EX_5adtststerones[e],3783.96318758263
EX_6dhf[e],-685.431470713804
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],144.05931950088
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],52.5645543520182
EX_ach[e],-3993.08216632903
EX_acnacngal14acglcgalgluside_hs[e],64.994152675965
EX_adp[e],-366.993579011261
EX_adrn[e],-234.456326069119
EX_adrnl[e],-5387.11363177556
EX_ak2lgchol_hs[e],55.636731644979
EX_ala_B[e],-140.749985115002
EX_ala_D[e],2960.69958936142
EX_aldstrn[e],228.463618782347
EX_arach[e],-206.819263586374
EX_arachd[e],79.8671518982374
EX_atp[e],-118.172094807313
EX_bhb[e],946.513293389304
EX_bildglcur[e],-4304.79193452496
EX_bilglcur[e],269.651390527205
EX_bilirub[e],5345.94837155195
EX_biocyt[e],-3823.29201768113
EX_chol[e],4222.06396362889
EX_chsterol[e],3694.33039310749
EX_chtn[e],-89.6799987823911
EX_clpnd[e],-160.194593860051
EX_co[e],179.965261881072
EX_crmp_hs[e],348.877077626279
EX_crn[e],9624.17318670262
EX_crtstrn[e],-228.463618782347
EX_crvnc[e],134.161595048428
EX_dcsptn1[e],122.021055363608
EX_dheas[e],126.517314120052
EX_dhf[e],685.431470713804
EX_dlnlcg[e],-568.566026490917
EX_dopa[e],-424.252379328887
EX_eicostet[e],-795.746460444012
EX_elaid[e],0.427192092573092
EX_estradiol[e],3817.19640766253
EX_estrones[e],-3788.66878634962
EX_fucacgalfucgalacglcgalgluside_hs[e],85.6073439203901
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],51.1154701566687
EX_fucfucfucgalacglcgal14acglcgalgluside_hs[e],84.3689492989964
EX_fucgalfucgalacglcgalgluside_hs[e],178.98498204876
EX_gbside_hs[e],-670.086109508495
EX_gchola[e],-1680.46807372327
EX_gq1b_hs[e],-917.018022240929
EX_gq1balpha_hs[e],196.877223477675
EX_gsn[e],-3544.75978272318
EX_gthrd[e],1934.10997301405
EX_hco3[e],1038.4330133587
EX_hdca[e],-62.3053701020654
EX_hdcea[e],-393.244042482957
EX_hexc[e],2.13596046286546
EX_hom_L[e],-177.796612020384
EX_hpdca[e],23.9227571840932
EX_imp[e],-520.293909914271
EX_inost[e],1794.58749857776
EX_leuktrA4[e],6032.10656787747
EX_leuktrD4[e],5976.61515960936
EX_leuktrE4[e],-4655.70072119058
EX_lgnc[e],29.6320791633443
EX_lneldc[e],6593.32975118273
EX_lnlc[e],4682.80968753722
EX_lnlnca[e],348.594304728551
EX_lnlncg[e],20.5052204435084
EX_mag_hs[e],709.12969366873
EX_ncam[e],194.503522063724
EX_no[e],142.570516704415
EX_nrvnc[e],-29.8401948829505
EX_oagt3_hs[e],71.3329715175106
EX_ocdca[e],440.435047442858
EX_ocdcea[e],692.494914410499
EX_octa[e],395.595335795454
EX_paf_hs[e],69.6606338161835
EX_pe_hs[e],-2220.54685366101
EX_peplys[e],-1103.81171136835
EX_pglyc_hs[e],-1207.36942276376
EX_prgstrn[e],-172.567834620601
EX_prostge1[e],68.0892841709047
EX_prostgf2[e],715.050251773901
EX_ps_hs[e],-212.494827286413
EX_ptdca[e],12.8157627771928
EX_retn[e],-300.574477724133
EX_retnglc[e],3945.45888956773
EX_Rtotal[e],7239.56336618892
EX_Rtotal2[e],973.943628057048
EX_strdnc[e],-1561.70554775581
EX_tag_hs[e],0
EX_tagat_D[e],-460.353034245279
EX_tchola[e],-217.197207849667
EX_tcynt[e],9637.28752914548
EX_tdchola[e],87.2377205452449
EX_tethex3[e],-170.477656664068
EX_tetpent3[e],0.40748471288498
EX_tetpent6[e],-143.34052288044
EX_tettet6[e],-156.22919628717
EX_tmndnc[e],8.54384185146184
EX_tststerone[e],-3762.3269049065
EX_tsul[e],910.83987987902
EX_ttdca[e],-894.474742951248
EX_utp[e],-9616.28457252381
EX_vacc[e],569.396783207087
EX_vitd3[e],-3308.69447749699
EX_whhdca[e],281.427173304216
EX_xoltri24[e],236.322012286086
EX_xoltri27[e],118.206549647789
FACOAL140i,1308.09466978111
FACOAL150,242.000474306808
FACOAL160i,331.644428485448
FACOAL170,405.781774322362
FACOAL1813,-42.3531099143547
FACOAL181i,334.245606513255
FACOAL1821,-5608.88813710456
FACOAL1822,-6453.45325920486
FACOAL1831,-5101.609058606
FACOAL1832,3656.29348049244
FACOAL184,-2937.36138077094
FACOAL200,138.886071317892
FACOAL203,4680.7541235264
FACOAL2042,939.340774847507
FACOAL205,198.168614041973
FACOAL206,-160.017458279054
FACOAL224,380.530626530646
FACOAL2251,-121.59386234777
FACOAL2252,310.760420535669
FACOAL226,27.5077330673066
FACOAL244_1,294.220225830917
FACOAL245_1,286.439793461795
FACOAL245_2,135.066302235186
FACOAL246_1,518.322557773802
FACOAL260,478.617504374903
FADH2tru,6252.75705005676
FADtru,6252.75705005676
FAOXC161802m,84.8164858375789
FAOXC200180m,103.566648823907
FAOXC2031836m,225.558315201466
FAOXC204184m,710.100664094716
FAOXC2242046m,189.634602427143
FAOXC226205x,170.885141387044
FAOXC246226x,170.885141387044
FAOXC260240x,114.980598906635
FAS100COA,144.7801034963
FAS120COA,174.851546731558
FAS140COA,138.356140096668
FATP1t,1336.20936558062
FATP6t,1705.57473799498
FCLTm,205.464708580476
FE2t,358.016287077517
FRDPtc,-166.339007130362
FRDPtr,166.339007130362
FRUt1r,-730.526233107346
FTHFDH,1206.93281564466
FUCACGALFUCGALACGLCGALGLUSIDEte,-85.6073439203901
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,-51.1154701566687
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-84.3689492989964
FUMm,273.504466288219
FUMSO3tm,5551.38001842442
G5SDym,194.600945647528
G6Pter,-3534.69464033143
GABAVESSEC,85.8304588828392
GALGLUSIDEtl,318.643519925775
GALt1r,-1794.68816597709
GALtly,2093.19648520509
GAMt1r,196.311664502171
GAO2,71.3329715175106
GBA,2020.74880742922
GBSIDEte,-670.086109508495
GCHOLAt2,1680.46807372327
GDPtg,506.430916452353
GFUCS,573.964804724909
GGH_5DHFe,685.431470713804
GGH_6DHFe,685.431470713804
GGNG,30.8536137012608
GGT6,4496.84783917746
GLB1,1651.63664340143
GLBRAN,1944.09571144486
GLCt1r,-1511.54664329186
GLCtly,1038.19214073648
GLCURter,7939.87974033601
GLDBRAN,1944.98310512213
GLGNS1,1944.09571144486
GLPASE1,1944.09571144486
GLPASE2,30.8536137012608
GLU5Km,194.600945647528
GLUCYS,110.099195766862
GLUDxm,-4439.11927331901
GLUNm,644.608112472557
GLUt2m,4358.46745851239
GLYAMDTRc,-1658.76280293436
GLYC3Ptm,7015.03745993446
GLYOXm,323.779732500918
GLYtp,533.448977227723
GPAM_hs,596.782618575055
GQ1BALPHAte,196.877223477675
GQ1Bte,-399.941836734824
GSNt4,3544.75978272318
GTHO,2373.78686861802
GTHOm,0
GTHRDtr,101.41596627461
GTHS,110.099195766862
GUACYC,217.588324217946
GULNDer,7939.87974033601
GULNter,7939.87974033601
H2O2t,4541.78901031156
H2O2tly,0
H2O2tm,6945.23651761826
H2O2tp,313.752420546107
H2Otg,363.618742154071
H2Otly,6969.29016626615
H2Otm,-4523.37248494216
H2Otn,-186.517479305159
HACD1m,9171.18616980275
HACD1x,-61.9213205031369
HBZOPT10m,21.7491197859652
HDCAtr,2307.82321372389
HDCEAtr,-4577.21150326161
HDD2COAtx,720.81362692337
HEXCCOAtx,114.980598906635
HISDC,741.582332375912
HMGCOASi,181.762554508568
HMGCOASim,500.927065537217
HMGCOAtm,1326.83189597305
HMGCOAtx,974.534842030454
HMGLm,1827.75896151027
HOXG,100.75105372081
HPDCACRNt,-0
HSD17B1,-3685.40418535122
HSD17B42x,142.696553850351
HSD17B8r,4217.6981380846
HSD3A1r,2286.34817204059
HSD3A2r,-2286.34817204059
ICDHy,1235.16947162506
ICDHyp,228.620990240453
ICDHyrm,-3974.55980917028
ILEtec,405.07988475745
INSt,2731.04320621068
INSTt4,-1794.58749857776
ITCOAL1m,-2188.09160650165
ITCOALm,2188.09160650165
KCC2t,-218.039950544066
LALDO,-381.703089055899
LEUKTRB4tr,-136.629223580479
LEUKTRC4t,-8358.65963727805
LEUtec,949.020991480898
LGNCt,-24.5057723974642
L_LACDcm,769.092804314018
LNELDCCPT1,-7785.21423662845
LNELDCCPT2,34.1837468962226
LNELDCt,-6592.90255909016
LNLCCPT1,-4698.04832574264
LNLCCRNt,5434.56068307791
LNLCt,-5663.17648682393
LNLNCACPT1,-3669.09153034002
LNLNCACPT2,-3669.09153034002
LNLNCACRNt,-3669.09153034002
LNLNCAt,-346.458344265685
LNLNCGCPT1,-4880.17881742725
LNLNCGCPT2,-744.318372060596
LNSTLSr,46.5122140556902
LPASE,956.203899219121
LPS2,1021.52055124051
LPS4e,1275.24523263598
LTC4CP,-4496.84783917746
LTD4DP,-2780.8914421807
LTDCL,155.822654273904
LYSOXp,369.44357637654
LYStiDF,5240.61600441015
LYStip,369.44357637654
MAGt,-709.12969366873
MALTly,346.06404691216
MAOX,366.639976055988
MDRPD,117.754340474495
ME2,1172.9728897608
METAT,84.096826178772
METS,937.675780179425
MGSA2,1077.39463596963
MI13456PK,40.024578878274
MI145PK,0
MLTG1ly,346.06404691216
MMSAD3m,444.881288915544
MOGAT,343.62410947836
MTAP,117.754340474495
MTHFD2m,-2384.23246990529
MTHFDm,2384.23246990529
NACASPAH,641.338301760714
NADPHtru,2904.23995573757
NADPHtxu,2887.0090372882
NADPtru,2904.2399557375
NADPtxu,2887.00903728813
NADtpu,5625.1417730799
NAtx,369.44357637654
NDP6,108.524451337603
NDP7er,395.020145114206
NDP7g,142.812174348388
NDPK1m,0
NDPK3m,72.0531481846246
NDPK5n,-32.6399991007293
NDPK6m,-7574.78289867033
NDPK7n,-56.2019372412324
NH4tp,-549.260042824118
NICRNS,3003.32874630901
NICRNTtn,263.172673154997
NMNATm,1656.53852875266
NMNATr,-1672.75057229121
NMNS,107.053677817603
NNATn,263.172673154997
NOS1,135.019611011665
NOS2,142.570516704415
NP1,3003.32874630901
NRPPHRtu,-0
NRVNCCOAtx,-228.291485610003
NTD12,60.6654744698773
NTD7e,2588.16243983764
NTPP10,60.6654744698773
NTPP9,134.524359292939
O2Stx,1192.20651287342
O2ter,1014.73421815305
O2tm,1936.21074815935
O2tp,3932.20654238096
OAGT3te,71.3329715175106
OCCOAtm,569.830242661809
OCCOAtx,-714.610346099031
OCDCEAtr,670.09611008944
ORNt3m,791.173154267128
ORNTArm,-791.173154267128
ORNtiDF,3886.00753872073
P45011A1m,116.348176246104
P45027A15m,94.3502828524809
P45027A16m,375.954948491483
P45027A1m,87.237719617634
P45046A1r,115.776251181768
PA_HSter,687.721390239546
PAFS,69.6606338161835
PAIL_HStn,0
PAIL4P_HStn,0
PDE4,212.218324219282
