Reaction,Flux
10FTHFtm,191.952907845971
1MNCAMti,56.9907029940556
24_25DHVITD3t,88.7666220213053
2DR1PP,0
2HBO,502.580496515837
34DHOXPEGOX,-917.199154017655
34DHOXPEGt,-917.199154017655
34DHPHAMT,152.074245542258
34DHPLACOX_NADP_,152.074245542258
34DHXMANDACOX,2203.42114780958
34DHXMANDACOX_NADP_,-803.918838544363
34HPLFM,2052.69533585837
35CGMPtn,152.031124777549
3DPHBH1,17.7080738850816
3DPHBH2,15.8127885905841
3DSPHR,510.890398266262
3HBCOAHLm,396.034831034655
3MOBt2im,2044.59242924149
3MOX4HOXPGALDOX,3053.09128870324
3MOX4HOXPGALDOX_NADP_,-2457.81536322272
3SALAASPm,-1282.6473455239
3SALATAi,244.480411145159
3SALATAim,204.797259451977
3SPYRSP,244.480411145159
3SPYRSPm,204.797259451977
41R1H2MAE12BOOX,313.400017634202
41R2A1H12BOOX,168.903137613435
42A12BOOX,152.074245542258
4HBZCOAFm,16.3148110213391
4HBZFm,16.3148110213391
4HOXPACDOX_NADP_,158.936067415325
4MOPt2im,4108.25719014657
4MPTNLte,141.509451167801
4MPTNLtm,-141.509451167801
5ADTSTSTERONEte,-1629.06922180547
5AOPtm,-327.986046148322
5THFtl,255.308664210895
5THFtm,255.308664210895
7DHCHSTEROLtr,-318.650272777869
7THFtm,79.8107535339902
A4GALTc,414.227168027403
AACTOOR,331.02621413738
AACTtm,331.02621413738
ABUTt4_2_r,-8883.64146565422
ACACT10m,-586.892737233864
ACACT1rm,8150.61314723769
ACACT1x,1473.87440194112
ACACT8p,315.596757632419
ACACT9p,-0
ACACtx,-4038.40228258384
ACALDtm,-712.454383673145
ACCOAtr,640.859933890844
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-68.3210301489771
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-39.6043145611814
ACGALK,636.465226478329
ACGALK2,422.954841652936
ACGALtly,1752.77438630198
ACGAM6PSi,3846.38521838656
ACGAMK,322.831341872846
ACGAMPM,3061.49325025176
ACGAMtly,32.980721211157
ACITL,257.639544169496
ACNACNGAL14ACGLCGALGLUSIDEte,-74.4641063214867
ACNAMlt,-629.220610100479
ACNAMtn,1156.48088087923
ACNMLr,-931.116497631991
ACOAD9m,396.034831034654
ACOAO7p,291.892686191619
ACONTm,1330.67642073781
ACP1_FMN_,167.304491636594
ACRNtm,-8694.77643746319
ACt2r,-3013.09224953129
ADAe,1079.72490546218
ADCim,1263.50646269276
ADEt,-4875.95948603796
ADHAPtx,3750.7969105558
ADK1m,1184.52052303864
ADK3m,-206.616880264763
ADMDC,76.123164061842
ADNK1m,3935.17462134215
ADNt,4576.07193196497
ADNtm,3687.10850260505
ADPMAN,343.427645991161
ADPtx,1169.67967374362
ADRNCOAtx,-33.7464313506916
ADRNCPT1,366.716243170327
ADRNCPT2,366.716243170433
ADRNCRNt,208.401476982272
ADRNt,2150.81290360163
ADSK,823.965691886235
ADSL1,105.923675151052
AGLPC,134.079615252057
AGLPH,134.079615252057
AGPAT1,1774.44074132325
AGTim,1218.65004231962
AHCYStr,-357.32438261933
AKGDm,6724.47898979682
AKGMALtm,3155.57992081771
AKGtp,-940.662314073535
AKR1C41,6066.02609006689
AKR1C42,10000
AKR1D,357.098366626738
AKR1D2,167.711281110138
ALADGLNexR,-574.763443121885
ALADGLYexR,-256.035646196753
ALAGLNexR,-2739.66297504519
ALASm,327.986046148322
ALAt4,1311.63136525153
ALATA_L,-1065.90571103548
ALCD21_L,427.779670838761
ALCD22_D,0
ALDD20xm,141.756935625363
ALDD2xm,712.454383673145
ALDD2y,1810.08786419074
ALDSTRNte,67.8065508144637
ALDSTRNtm,-67.8065508144637
ALOX12,96.9940576387415
ALOX5,179.433118977805
ALOX52,2619.2362201017
ALR2,427.779670838761
ALR3,427.779670838761
AMACR2p,833.636446154419
AMETr,357.324382619252
AMETt2m,2348.40112607382
AMPTASECGe,1578.17540606856
AMPtp,-2217.35287716097
ANDRSTRNtr,-426.294353384619
ANTIPYRENEte,328.867362695201
AOBUTDsm,331.02621413738
ARACHCOAtx,722.057923610827
ARACHCPT1,204.807098521171
ARACHCPT2,204.807098521128
ARACHCRNt,127.019084346017
ARACHDCOAtx,2112.98178084803
ARACHDt2,-1500.00656888644
ARACHDtr,-1761.61139166108
ARACHt,2361.28633090603
ARGLYSex,5185.47482478211
ARGSS,246.583309460975
ARGtm,0
ARSA,104.445447789676
R_group_phosphotase_1,2189.39268756623
R_group_phosphotase_2,1536.11897751172
R_group_phosphotase_3,634.32786060254
ARTFR11,1294.76978276592
ARTFR12,3002.08610799452
ARTFR41,1422.85192396996
ARTFR42,3842.58803787033
ARTFR43,546.33603939476
ARTFR61,4061.960912661
ARTPLM1,8757.79647585421
ARTPLM2,1411.06017822348
ARTPLM3,634.32786060254
ASAH1,335.244954376123
ASCBt4,-1446.10519105066
ASNNm,3566.14245961621
ASNS1,192.853620762657
ASNt4,4112.66163343137
ASNtm,3566.14245961621
Asn_X_Ser_Thrtr,-70.0523291818509
ASPGLUm,1121.40599778834
ASPNATm,471.293217483951
ASPTAm,690.79589881999
ATP1ter,887.619983166063
ATP2ter,3963.38592863679
ATPH2e,3354.48439514185
ATPtm,9258.29164906398
ATPtn,1904.9456676755
ATPtx,1047.67320341723
BAAT1x,1774.60877184346
BAAT2x,2240.69673403389
BALAVECSEC,0
BDMT_L,70.0523291818509
BHMT,1469.11174495609
BILGLCURt,480.1146619426
BILGLCURtr,50.0057017750564
BILIRED,845.897411692995
BILIRUBt2,-5301.08944038612
BILIRUBtr,113.640466077511
BUTt2m,365.933483461588
C160CPT2,3393.01779898795
C160CRNt,3393.01779898795
C161CPT1,-3817.85095356814
C161CPT12,-2764.38374780167
C161CPT2,3719.79841725293
C161CPT22,-829.421619620456
C161CRN2t,-595.550129707572
C161CRNt,1865.72717916821
C180CPT1,3378.52435424132
C180CRNt,1677.30057544849
C181CPT1,3627.26061870742
C181CPT2,88.9398008632852
C181CRNt,89.0944769200414
