Reaction,Flux
10FTHF5GLUtl,457.533265155343
10FTHF5GLUtm,457.533265155343
10FTHFtl,-457.533265155343
34DHPLACOX,1002.60529135823
3DSPHR,34.1634903796669
3MOX4HOXPGALDOX,460.565408637659
3SALAASPm,-2074.4577060774
42A12BOOX,1002.60529135823
4HOXPACDOX_NADP_,-0
4MPTNLte,91.4216172075392
4MPTNLtm,-91.4216172075392
7DHCHSTEROLtr,-1282.81756212092
A4GALTc,271.605578677244
AACTOOR,457.533265155519
AACTtm,457.533265155519
ACACT8p,57.5318990592329
ACACT9p,57.5318990592329
ACCOAtr,-547.21323768669
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-50.1223412890743
ACGALK,1025.67067065681
ACGALtly,300.481255407399
ACGAMK,447.939223963248
ACGAMPM,191.065285887382
ACNAMlt,-298.834440449521
ACNAMtn,0
ACOAD1fm,369.243574986644
ADA,166.160836424019
ADEt,-53.5407461219334
ADHAPtx,57.5318990592329
ADK1m,105.894901735295
ADK3,-9679.01328743385
ADK3m,70.029194442317
ADMDC,53.5407461219334
ADPtx,-38.1318655089417
ADRNCPT1,15.2114742737507
ADRNCPT2,15.2114742737507
ADRNt,2183.89042725298
ADSK,297.192475658093
AGLPC,57.5318990592329
AGLPH,57.5318990592329
AKGDm,1170.23234411461
AKGMALtm,2806.86478777335
AKR1C41,304.972489583711
AKR1D,304.972489583711
ALADGLYexR,4044.19490702933
ALATA_L,-639.721214543102
ALCD22_D,1931.03213501007
ALDD2y,1468.69462787277
ALDSTRNte,56.4166683176321
ALDSTRNtm,-56.4166683176321
ALOX5,128.378178017621
ALOX52,79.8932124114824
AMPtp,38.1318655088889
ANDRSTRNte,-3651.89656027725
AOBUTDsm,457.533265155519
ARACHCRNt,-0
ARGLYSex,2839.23505360589
ARSA,97.2910447043621
R_group_phosphotase_1,329.647424385993
R_group_phosphotase_2,40.7523140144275
ARTFR11,7426.80045003476
ARTFR12,329.897568393286
ARTFR41,306.861984005197
ARTPLM1,5771.91642341607
ARTPLM2,40.7523140144275
ARTPLM3,1446.08370701456
ASNNm,1153.41392668404
ASNtm,1153.41392668404
ASPTAm,-799.409134459624
ATP1ter,31.6195985364728
ATPH2e,782.72576455266
BHMT,66.110407237714
BILGLCURt,31.6195985364728
BILGLCURtr,31.6195985364728
C160CPT1,-2945.54303473725
C160CPT2,222.364039062357
C180CPT1,-145.441131295701
C180CRNt,0
C181CPT2,-23.8940449392305
C204CPT1,90.1521512321069
C204CPT2,90.1521512324425
C204CRNt,1907.41088462401
C226CPT1,41.4659049197191
C226CPT2,41.4659049197191
CATm,1232.22190894792
CATp,2406.86018921571
CDIPTr,-36.0604977226803
CDSm,68.1913180008893
CERK,56.8168166724421
CERT2rt,70.3156499681198
CHLPCTD,108.892066278262
CHOLt4,-1977.67876279368
CHOLtu,2410.66415574935
CHSTEROLt2,145.456532948741
CHSTEROLtg,0
CHTNASE,149.313074654416
CITtbm,1242.70731587553
CLOXAtex2,121.634644933438
CLPNDCPT1,27.3891837089925
CLPNDCPT2,27.3891837089925
CLPNDt,27.3891837087162
CLS_hs,7.7e-06
CMPACNAtn,-0
CMPSAS,1922.03310310863
CMPSASn,0
COAtm,1602.47479481348
CREATt4_2_r,2036.4005934422
CRNCARtp,4601.9377627557
CRTSTRNt,56.4166683176321
CRTSTRNtm,56.4166683176321
CSNAT2m,686.992656031694
CSNAT3x,3772.53829405683
CSNATer,-547.21323768669
CSNATp,829.399468698877
CTPtn,0
CYSGLTH,-141.478816475214
CYSGLUexR,-945.375319143821
CYSTA,38.3842845102599
CYStec,657.441442121892
CYTD,124.182438986131
CYTK10n,-150.492144055633
CYTK11,390.2703849892
CYTK11n,150.492144055633
CYTK12,-565.162695386203
CYTK13,-1404.42176738229
CYTK14,-2552.47835439265
CYTK1m,68.1913180008893
CYTK3n,-300.984288111265
CYTK4,3457.57459081116
CYTK5,2009.10699422541
CYTK7,-1034.92801065961
CYTK8,809.94183783695
CYTK9,923.436692691916
CYTK9n,150.492144055633
DADA,1113.56152344463
DAGK_hs,-427.813989791648
DAGKn_hs,32.2646886400142
DAGt,-880.613414639196
DCIm,-475.32904369329
DCK1n,-150.492144055633
DCSPTN1COAtx,-11.8750246331415
DCSPTN1CPT1,60.1790618515734
DCSPTN1CPT2,60.1790618520172
DCSPTN1CRNt,667.136202126729
DCSPTN1t,48.3040372184002
DCTPtn,150.492144055633
DDPGAm,121.634644933438
DESAT18_7,37.8661806589697
DGK2m,419.211743526857
DGNSKm,419.211743526857
DGSNtm,419.211743526857
DHAPA,57.5318990592329
