Reaction,Flux
10FTHFtm,1586.70507656312
1MNCAMti,116.373371433939
25HVITD3t,977.975485957955
25HVITD3tm,718.900306417354
25VITD3Hm,166.909518004743
2DR1PP,2354.23578704569
2HBO,-813.422239521071
34DHOXPEGOX,182.132009909768
34DHOXPEGt,182.132009909768
34DHXMANDACOX,2371.4402791413
34DHXMANDACOX_NADP_,-2098.64787993313
34HPLFM,1019.73776463506
3AIBTm,4226.60817200338
3AIBtmi,4226.60817200338
3DPHBH1,30.9296410946399
3DPHBH2,31.3300944800687
3HBCOAHLm,773.034700372984
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,454.895993534078
3SALAASPm,-1827.63547939765
3SALATAim,337.022992334969
3SPYRSPm,337.022992334969
41R1H2MAE12BOOX,238.65828508363
41R2A1H12BOOX,216.26614858852
4HBZCOAFm,33.9769755407059
4HBZFm,33.9769755407059
4HGLSDm,4009.9747469815
4HOXPACDOX_NADP_,0
4MPTNLte,229.062178540573
4MPTNLtm,-229.062178540573
5AOPtm,-293.395483733055
5MTHFt,-2422.29941746911
5MTHFt2,-2392.8562559234
6HTSTSTERONEte,221.609554109394
6HTSTSTERONEtr,-221.609554109394
7DHCHSTEROLtr,-3749.55173990673
A_MANASEly,247.44302247099
A4GALTc,336.604144130829
AACTOOR,265.871063800655
AACTtm,265.871063800655
ABTD,3475.93744460069
ABUTt4_2_r,-4932.96282691145
ACACT10m,-543.118629952379
ACACT1rm,8445.28365598627
ACACt2m,-2804.94400991333
ACACT7p,159.769606968356
ACACT8p,-0
ACACT9p,148.0347006812
ACACtx,-1848.86460851677
ACCOACm,3825.38794890376
ACCOAtn,0
ACCOAtr,-1717.56544179762
ACETONEt2,223.191662863301
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-126.698266365126
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-78.6901134361275
ACGALK,477.259693322136
ACGALK2,324.44399232012
ACGALtly,2124.30511455488
ACGAM6PSi,6081.5272279722
ACGAMK,351.451549630237
ACGAMPM,4861.27669331736
