Reaction,Flux_Normalized
25HVITD3tin_m,0.00169038129150405
25HVITD3tm,-0
25VITD3Hm,0.00234091241282077
34DHOXPEGOX,-0.0075414295674425
34DHOXPEGt,-0.0075414295674425
34DHPLACOX,0.00146830151780496
34DHXMANDACOX,0.00876175819548966
34HPLFM,0.0180881327949875
3DPHBH1,0.000615755459178416
3DPHBH2,0.000391328703537958
3DSPHR,0.00291374557348739
3HBCOAHLm,0.00138491667261501
3MOBt2im,0.0143143122460204
3MOPt2im,0.031548012411158
3MOX4HOXPGALDOX,0.0126932880456715
3MOX4HOXPGALDOX_NADP_,-0.0113742200768452
3SALAASPm,-0.0113299553992729
3SALATAi,0.00181115136916632
3SPYRSP,0.00181115136916632
41R2A1H12BOOX,0.00122032862804716
42A12BOOX,0.00146830151780496
4HBZCOAFm,0.00100708416271637
4HBZFm,0.00100708416271637
4HGLSDm,0.0124799593809147
4HOXPACDOX_NADP_,0.00161678871154038
4MPTNLte,0.00148923621306042
4MPTNLtm,-0.00148923621306042
5ADTSTSTERONEte,-0.0238919863616051
5ADTSTSTERONEtr,0.0238919863616051
5AOPtm,0.0501113766086346
5MTHFt2,-0.0135968461018517
7DHCHSTEROLtr,-0.0316451562618566
A4GALTc,0.00180431553053572
ABUTt4_2_r,-0.0211268219080948
ACACT1rm,0.0439908629889837
ACACT1x,0.0145200570667055
ACACT8p,0.00225906195635029
ACACT9p,-0
ACALDtm,-0.00358003784270069
ACCOAtr,0.00770787736211719
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000619872227137224
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000380712074478393
ACGALK,0.00568600226509265
ACGALK2,0.00249445829673707
ACGALtly,0.00922829821561992
ACGAM6PSi,0.0165917710719644
ACGAMK,0.00243192318915064
ACGAMPM,0.019023694261115
ACGAMtly,0.000737770782927677
ACHEe,0.00314889804823098
ACITL,0.00210738108611584
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000508064529078403
ACNAMlt,-0.00588079945054404
ACNAMtn,0.00813687481788897
ACOAD1fm,0.00144571008412575
ACOAD8m,0.0141360086592927
ACOAD9m,0.00138491667261501
ACONTm,0.00803480783285413
ACRNtm,-0.0227824989305942
ACSm,0.00124304451366997
ACt2m,-0.0132967773866059
ADAe,0.00650737550658203
ADEt,-0.0217413562024833
ADHAPtx,0.0258180021330849
ADK1m,-0.000515430364582313
ADK3,-0.0550266123216191
ADK3m,0.00065410586580535
ADKd,-0.00614449444483825
ADMDC,0.00477199631582487
ADNt,0.00931519447107571
ADNt4,0.0232178462511912
ADNtm,-0.00446221296122038
ADPMAN,0.00569044620991405
ADPtx,-0.00661929815593074
ADRNCOAtx,-0.00274361769891686
ADRNCPT1,0.000294879048824547
ADRNCPT2,0.000294879048895703
ADRNCRNt,-0.00153317796191543
ADRNt,0.0072621123361672
ADSK,0.00608750381047908
AGLPC,0.00101676008521505
AGLPH,0.00101676008521505
AGPAT1,0.00648626774425445
AGTix,0.00158833297153906
AHCYStr,-0.00130976023776377
AKGDm,0.028679858655037
AKGMALtm,0.00959482665316067
AKGtp,0.057233844536741
AKR1C41,0.0383060972900996
AKR1D,0.0383060972900996
ALADGLYexR,0.0104827311237773
ALAGLNexR,-0.00154002753886232
ALATA_L,-0.0231609529581697
ALCD21_L,0.000970911782500958
ALCD22_D,0
ALDD2xm,0.00358003784270069
ALDD2y,0.00780167031418376
ALDSTRNte,0.00104479259321707
ALDSTRNtm,-0.00104479259321707
ALOX12,0.00137786980854462
ALOX5,0.00608616084085483
ALOX52,0.00364821602084967
ALR2,0.000970911782500958
ALR3,0.000970911782500958
AMACR2p,0.00782059028049396
AMETr,0.00130976023762376
AMETt2m,0.0152882470750438
AMPDA,0.00497641430052922
AMPTASECGe,0.0154410259693643
AMPtp,-0.00224985961398309
APAT2rm,0.00354464875973157
ARACHCOAtx,0.00393726249950812
ARACHCPT1,0.00304306015706048
ARACHCPT2,0.00304306015713059
ARACHCRNt,0.000651399250530142
ARACHDCOAtx,0.017622264170559
ARACHDt2,0.00624838092647283
ARACHDtr,-0.00337071332568102
