Reaction,Flux_Normalized
10FTHF5GLUtl,0.000765111235573135
10FTHF5GLUtm,0.000765111235573135
10FTHFtl,-0.000765111235573135
10FTHFtm,0.000881036502898221
24_25DHVITD3t,0.00101583471694237
2DR1PP,0.00783331738444179
34DHOXPEGOX,0.0325385338278722
34DHOXPEGt,0.0325385338278722
34DHPHAMT,0.00135521752383978
34DHPLACOX_NADP_,0.00135521752383978
34DHXMANDACOX,0.00730945808773973
34DHXMANDACOX_NADP_,-0.0353238580105603
34HPLFM,0.0202845659438519
3AIBTm,0.00244912668818561
3AIBtmi,0.00244912668818561
3DPHBH1,0.00019266887549332
3DPHBH2,0.000176722875758457
3DSPHR,0.00232983388864095
3HBCOAHLm,0.00398204515161973
3MOBt2im,0.0201212090871741
3MOX4HOXPGALDOX,0.013535707341888
3MOX4HOXPGALDOX_NADP_,-0.0116172784326747
3SALAASPm,-0.0150284643475967
41R1H2MAE12BOOX,0.00274580313354804
41R2A1H12BOOX,0.00177833077522091
42A12BOOX,0.00135521752383978
4HBZCOAFm,0.000114059756499748
4HBZFm,0.000114059756499748
4HOXPACDOX_NADP_,0.00137189170690967
4MPTNLte,0.000852289141069161
4MPTNLtm,-0.000852289141069161
5AOPtm,-0.00116483794173188
7DHCHSTEROLtr,-0.00519389312172099
A_MANASEly,0.000448772581275925
A4GALTc,0.00188500720330615
AACTOOR,0.00183912453825723
AACTtm,0.00183912453825723
ABUTt4_2_r,-0.0134227078176446
ACACT10m,-0.002290311624962
ACACT1rm,0.0475092259623764
ACACT1x,0.00983970084680395
ACACT8p,-0
ACACT9p,0.000998857836466381
ACACtx,-0.03624214460941
ACCOAtn,0
ACCOAtr,-0.0004812417112728
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000455555200934694
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000297014651955665
ACGALK,0.0028962987319877
ACGALK2,0.0016266766794034
ACGALtly,0.00538963820119035
ACGAM6PSi,0.0225106597906276
ACGAMK,0.00741360925813468
ACGAMPM,0.0227238539582826
ACGAMtly,0.00478961343498541
ACHtn,-0
ACITL,0.00139966781461597
ACNACNGAL14ACGLCGALGLUSIDEte,-0.00041412467984019
ACNAMlt,-0.00427229294617522
ACNAMtn,0.00765363442980123
ACNMLr,0.00107784866529053
ACOAD10m,-0
ACOAD1fm,0.00386621328154051
ACOAD9m,0.00398204515161973
ACRNtm,-0.0239790017001036
ADAe,0.0106157770746623
ADCim,0.00631317895192259
ADEt,-0.0034459363840225
ADHAPtx,0.00157644189847109
ADK1m,-0.00329926502070585
ADK3m,-0.0315849188116666
ADMDC,0.00326160887525046
ADNt,0.0130539970453359
ADNtm,-0.00158618228129374
ADPtx,0.00902399699423373
ADRNCPT1,0.00254182094902985
ADRNCPT2,0.0025418209527183
ADRNCRNt,-0.000125529421278003
ADRNt,0.00766125792174812
ADSK,0.00572242196640854
AGLPC,0.00157644189847109
AGLPH,0.00157644189847109
AHCYStr,0.0231568163355562
AHEXASEly,0.000448772581275925
AKGDm,0.0258594342039463
AKGtp,0.0636595343758001
ALASm,0.00116483794173188
ALATA_L,-0.0131048280361761
ALCD21_L,0.00228009826067903
ALCD22_D,0.0172625741726037
ALDD20xm,0.00142659594509872
ALDD2y,0.00830453115255336
ALDSTRNte,0.000930079917370424
ALDSTRNtm,-0.000930079917370424
ALOX12,0.000808514285343168
ALOX5,0.00150229069926263
ALOX52,0.03521326726386
ALR2,0.00228009826067903
ALR3,0.00228009826067903
AMETr,-0.0231568163355562
AMETt2m,0.0134569952253036
AMPTASECGe,0.00759489956577902
AMPtp,-0.00902399699790628
ANDRSTRNte,-0.0185736080526347
ANDRSTRNtr,0.0185736080526347
AOBUTDsm,0.00183912453825723
APAT2rm,0.000482884104655674
APRTO2,0.001629976375505
ARACHCOAtx,0.000601716768667805
ARACHCPT1,0.00885147422244303
ARACHCPT2,0.00885147422428192
ARACHCRNt,0.00304082934959604
ARACHDt2,-0.00609284058813682
ARACHDtr,-0.0130834944365023
ARACHt,0.0102987630103703
ARGSS,0.00148721216657551
ARSA,0.000564244119984618
R_group_phosphotase_1,0.00655169910391977
R_group_phosphotase_2,0.00526313972823556
ARTFR11,0
ARTFR41,0.018851871481522
ARTFR61,0.0514734964399918
ARTPLM1,0.0181168939580555
ARTPLM1m,0.0355294133561423
ARTPLM2,0.00526313972823556
ASAH1,0.00470115277518559
ASNNm,0.0162027147300062
ASNt4,0.0180685823013351
ASNtm,0.0162027147300062
Asn_X_Ser_Thrtr,-3.21960842892088e-06
ASPNATm,0.00371008147266183
ASPTAm,0.00371528839353748
ATP1ter,0.00142674838026068
ATP2ter,0.0096297617440536
ATPH2e,0.0181722183743408
ATPtm,0.0589076944297302
ATPtn,0.00128688172728158
B_MANNASEly,0.000448772581275925
BAAT1x,0.0180832964101038
BALAtmr,0.000482884104655674
BALAVECSEC,0.00087888264159605
BDMT_L,3.21960842892088e-06
BILDGLCURt,0.00606785002444172
BILDGLCURtr,0.00602777254081354
BILGLCURt,-0.00633063568853962
BILGLCURtr,0.0224893516642547
BILIRED,0.00602353552885078
BILIRUBt2,-0.0032563564999175
BILIRUBtr,-0.0278100132615912
BUTt2m,0.00302366528056737
C160CPT1,0.00520960483088439
C160CPT2,0.00520960483088439
C160CRNt,0.00520960483088439
C161CPT12,-0.0434818258480192
C161CPT22,-0.036121528169007
C161CRN2t,-0.0195955719322244
C180CPT1,0.0275164119630524
C180CPT2,-0.00526533785250483
C180CRNt,-0.00402863905783127
C181CPT1,0.034979133083401
C181CPT2,-0.00975095805114578
C181CRNt,-0.00948646938939019
C204CPT1,-0.00265341595891183
C204CPT2,-0.000220264937643657
C204CRNt,-0.00150893882272649
C226COAtx,0.000465919787556284
C226CPT1,0.00518784953200604
C226CPT2,0.00518784953387039
C226CRNt,-0.000426092461657323
CATm,0.0497022473154684
CATp,0.0465870801012329
CBR2,0.0351501344167005
CDIPTr,-0.00279353059338003
CDS,0.000688809120493671
CDSm,0.00204777042953725
CERK,0.00326810306886019
CERT1rt,0.00528195542807054
CERT2rt,0.00152031055731636
CH25H,0.00183648553108486
CHAT,0.0188048226872377
CHATn,0
CHLPCTD,0.00321609450016911
CHLtm,-0.000938040565999488
CHOLATEt,0.0439606141318268
CHOLATEt3,0.000613686646290077
CHOLK,0.000873647989674424
CHOLtn,0
CHOLtr,0.0224497389185376
CHOLtu,0.00484516340125318
CHSTEROLSULT,0.000932729072941721
CHSTEROLt1,-0.00867186609444258
CHSTEROLt2,-0.00161661784763571
CHSTEROLt3,0.0120142259400369
CHSTEROLtg,0.0122137878106155
CHTNASE,0.000515382385368207
CITRtm,0.0235593828678322
CITtam,-0.0117735396749963
CITtbm,0.028830803784947
CLPNDCOAtx,-0.00242787643382771
CLPNDCPT1,0.000354834355184261
CLPNDCPT2,0.000354834357048025
CLPNDCRNt,-0.00275479818952196
CLPNDt,9.24246585083155e-05
CLS_hs,1.05432305950592e-05
CMPACNAtn,0.00765363442980123
CMPSAS,0.00964662480777365
CMPSASn,0.00765363442980123
CO2tm,0.00213678231878747
CO2tp,-0.00102221358336845
COAtm,-0.0308204127156878
COAtn,0
COAtr,-0.0129188857150792
COt,0.00108463963834252
COUCOAFm,0.000114059756499748
CREATt4_2_r,0.00296486966964764
CRMPte,0.00156185085494633
CRNt,-0.0181441347526946
CRNtHa,0.0225823100913726
CRNtx,0
CRTSLtr,-0.0419999929670187
CRTSTRNt,0.000930079917370424
CRTSTRNtm,0.000930079917370424
CRVNCtr,-0.00978770118339842
CSNAT3x,0.00993452485805526
CSNATer,-0.0004812417112728
CSNATm,-0.0462498614704387
CSNATp,0.0123370425203275
CSNATr,0.00145260876162149
CTPtn,0.00765363442794253
CYANt,0.0106162162115685
CYANtm,0.0106162162115685
CYSGLTH,-0
CYSGLUexR,-0.00717795462947469
CYSTA,0.0321126292303069
CYTD,0.00929163642868089
CYTDt,-0.0126595984131857
CYTDt4,0.0224879493197695
CYTK10n,-0.00283313551230887
CYTK11,0.0138943508850869
CYTK11n,0.00283313551230887
CYTK12,-0.00827368067067341
CYTK12n,-0.000320699999003239
CYTK13,0.0040242199036516
CYTK14,-0.00636149432279495
CYTK14n,-0.0012074844793175
CYTK1m,0.00204777042953725
CYTK1n,0.0150046001620091
CYTK3n,0.000319078405902953
CYTK4n,0.00031907840589582
CYTK5,0.0151627163466164
CYTK5n,-0.00249752246504329
CYTK6,0.00890147804805616
CYTK6n,-0.00249752246504446
CYTK7,-0.0127870925263237
CYTK7n,-0.00400792814930234
CYTK8,-0.00291483075701964
CYTK8n,0
CYTK9,-0.0145918795805044
