Reaction,Flux_Normalized
10FTHF5GLUtl,0.00103429432044957
10FTHF5GLUtm,0.00103429432044957
10FTHFtl,-0.00103429432044957
10FTHFtm,0.016062239437557
1MNCAMti,0.00042546611936764
24_25DHVITD3t,0.000993153346855399
25HVITD3t,0.00332370906249545
25HVITD3tm,0.00431686240934985
2DR1PP,0.00366435781468826
34DHOXPEGOX,0.00492665503285206
34DHOXPEGt,0.00492665503285206
34DHPHAMT,0.0144901530961583
34DHPLACOX_NADP_,0.00235651006230062
34DHXMANDACOX_NADP_,-0.00492665503285206
34HPLFM,0.0206337494929957
35CGMPtn,0.00109314438791842
3DPHBH1,0.000115336228921966
3DPHBH2,0.000106407326642148
3MOBt2im,0.0168154185824916
3MOPt2im,0.0440254365640841
3MOX4HOXPGALDOX,0.0220579694455636
3MOX4HOXPGALDOX_NADP_,-0.020124506619134
3SALAASPm,-0.0106598246390104
42A12BOOX,0.00235651006230062
4HBZCOAFm,0.000101574904672864
4HBZFm,0.000101574904672864
4HOXPACDOX_NADP_,0.00290951807209265
4MPTNLte,0.001803370512925
4MPTNLtm,-0.001803370512925
5ADTSTSTERONESte,0.0280047219887275
5ADTSTSTERONEtr,0.0280047219887275
5AOPtm,0.0459319518896992
5MTHFt2,0.00965415678463849
7DHCHSTEROLtr,-0.0169530097669299
ABUTt4_2_r,-0.0430551575479688
ACACT1rm,0.0474677550715943
ACACT1x,0.0161304100874297
ACACt2m,-0.000689985168126113
ACACT7p,0.00116713700610938
ACACT8p,-0
ACACT9p,-0
ACACtx,-0.0116947809111737
ACALDtm,-0.00470830992753304
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000865590090355948
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000386241337522214
ACGALK,0.00135481569036468
ACGALtly,0.0120581238930096
ACGAM6PSi,0.0246168518964967
ACGAMK,0.000661110707674847
ACGAMPM,0.0252779626041713
ACHEe,0.0153078292082572
ACITL,0.00210063546896775
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000488384599419302
ACNAM9PL2,0.001177811274603
ACNAMlt,-0.00412698708193352
ACNAMtn,0.00143177889129886
ACNMLr,-0.00485924199959519
ACOAD1fm,0.00123573004247547
ACOAD8m,-0
ACOAO7p,0.00116713700610938
ACRNtm,-0.0249450068796493
ACt2m,-0.00470830992753304
