Reaction,Flux_Normalized
10FTHFtm,0.0101794567787485
24_25DHVITD3t,0.000944002964216796
25HVITD3t,0.00446478749412721
25HVITD3tm,0.00540879045834399
34DHXMANDACOX_NADP_,0.00181643154303233
3AIBTm,0.00336853364813426
3AIBtmi,0.00336853364813426
3DPHBH2,0.000124864866267282
3DSPHR,0.003564546623902
3HBCOAHLm,0.00599816669100001
3MOBt2im,0
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,0.0040249092140893
3SALAASPm,-0
41R1H2MAE12BOOX,0.00181643154303233
4HBZCOAFm,5.87193660873819e-05
4HBZFm,5.87193660873819e-05
4HOXPACDOX_NADP_,-0
4MPTNLte,0.00166081175314148
4MPTNLtm,-0.00166081175314148
5AOPtm,-0.00775219793479847
A4GALTc,0.00378220989915614
ABUTt4_2_r,-0.0247201933632859
ACACT1rm,0.0547515186420727
ACACT1x,0.00513480484001649
ACACt2m,-0.000934171808158015
ACACT8p,-0
ACACT9p,0.00135124753239229
ACETONEt2m,-0.00192996552484925
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000522263310944536
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000500987401004265
ACGALK,0.012087816504944
ACGALK2,0.00513490544289309
ACGALtly,0.00503899094232844
ACGAMK,0.0067885011018467
ACGAMPM,0.00416735135528087
ACGSm,0.00878808966617946
ACITL,0.00188246605557559
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000795696001841978
ACNAMlt,-0.00313623687918136
ACNAMtn,0.00855770332664344
ACNMLr,0.00238141659062331
ACOAD1fm,0.00154478591995799
ACOAD9m,0.00599816669100001
ACOAO7p,0.00204180163929583
ACONTm,-0.0298365270080525
ACt2m,-0.0357384101355486
ACTNMO,0.00192996552484925
ADCim,0.0146474612410536
ADEt,0.00308342823768062
ADHAPtx,0.0291775547606179
ADK1m,0.0082269834948342
ADK3,-0.0609712835638058
ADK3m,-0.00552235945792889
ADMDC,0.00280482176090672
ADNt,0.0338999997774366
ADNtm,-0.00161244605808956
ADPMAN,0.00145104549771674
ADRNCOAtx,-0.00505929604890118
ADRNCPT1,0.000312828568656649
ADRNCPT2,0.000312828568657578
ADRNCRNt,-0.00299414241019056
ADSK,0.00419170571714777
AGLPC,0.000790670043693566
AGLPH,0.000790670043693566
AGTim,0.0106420518393781
AKGDm,0.0232764715634554
AKR1C42,0.0637814792403149
ALADGLNexR,0.00124228726859148
ALADGLYexR,0.0119502071067137
ALASm,0.00775219793479847
ALAt4,0.0250859550698201
ALATA_L,-0.027014830864874
ALCD21_L,0.00192996552484925
ALCD22_D,0.0189955587202461
ALDD20xm,0.00163792043221706
ALDD21,0.0223210222196754
ALDD2y,0.028943819659429
ALDSTRNte,0.00169550959446705
ALDSTRNtm,-0.00169550959446705
ALOX12,0.00105787812885165
