Reaction,Flux_Normalized
10FTHFtm,-0.00158375571872606
13DAMPPOX,0.00116706905622838
1MNCAMti,0.000551085066045267
24_25DHVITD3t,0.00114821600245938
25HVITD3tm,0.00114821600245938
34DHOXPEGOX,0.00309158645582498
34DHOXPEGt,0.00309158645582498
34DHPHAMT,0.00149500918340754
34DHPLACOX,0.00149500918340754
34DHXMANDACOX,0.00950866036257836
34DHXMANDACOX_NADP_,-0.0109489056701871
34HPLFM,0.0123315020180021
3DPHBH1,9.83674911323411e-05
3DPHBH2,7.45523991409438e-05
3HLYTCL,0.00975216288110752
3MOBt2im,0.0108754260943413
3MOPt2im,0.0180842892663576
3MOX4HOXPGALDOX,0.014247041457907
3MOX4HOXPGALDOX_NADP_,-0.00977248661637793
3SALAASPm,-0.0147110079411684
41R2A1H12BOOX,0.00165134114823209
42A12BOOX,0.00149500918340754
4HBZCOAFm,0.000172919890273285
4HBZFm,0.000172919890273285
4HGLSDm,0.0129597353216966
4HOXPACDOX_NADP_,-0.0110315819134695
4MOPt2im,0.0258543904385207
4MPTNLte,0.00153875302856202
4MPTNLtm,-0.00153875302856202
5AOPtm,-0.0012679589583428
7DHCHSTEROLtr,-0.0171906389993323
A4GALTc,0.00166587704388497
ABUTt4_2_r,-0.0344945340319579
ACACT1rm,0.0537953663433846
ACACT1x,0.0274940812187372
ACACT7p,0.000941937165598703
ACACT8p,-0
ACACT9p,-0
ACALDtm,-0.00497313778935874
ACETONEt2,0.00246522327969226
ACETONEt2m,0.00106913470748441
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000709017514865889
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000358026381600623
ACGALK,0.00298423967070117
ACGALK2,0.00175477373531597
ACGALtly,0.0140505318141618
ACGAM6PSi,0.0155055104686333
ACGAMK,0.00266630864096564
ACGAMPM,0.0181718191095989
ACGAMtly,0.0131218642214153
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000496433766889959
ACNAMlt,-0.00633486660518762
ACNMLr,-0.0147740344991768
ACOAD1fm,0.00210680144881933
ACOAD9m,0.00131110843881043
ACOAO7p,0.00362083452002394
ACONTm,-0.00691141912020012
ACSm,0.0013395789756132
ACt2m,-0.0277310222133655
ACTLMO,0.0019478614135424
ACTNMO,0.00139608857220785
ADCim,0.00925838372870798
ADEt,-0.00495704558536361
ADHAPtx,0.0185263952928819
ADK1m,-0.0216261993535016
ADK3m,0
ADMDC,0.00401619713976147
ADNK1m,0.00311292439080126
ADNt,-0.0144381710986808
ADNt4,0.0194681138097732
ADNtm,-0.00195584022003429
ADPMAN,0.00382242295950183
ADPtx,2.95876211696224e-05
ADRNCOAtx,-0.000266737877209259
ADRNCPT1,0.00350550379517956
ADRNCPT2,0.00350550379519498
ADRNCRNt,0.000961655261025671
ADRNt,0.00621414185260886
ADSK,0.00709328262607148
AGLPC,0.00140844896387703
AGLPH,0.00140844896387703
AGPAT1,0.00409653516279374
AGTim,0.00559591405381951
AHCYStr,0.0234413813888655
AKGDm,0.040502255102825
AKGtp,-0.00412787102242839
ALADGLNexR,0.0037123003443508
ALASm,0.0012679589583428
ALAt4,0.0243519180708617
ALATA_L,-0.0368023210230419
ALCD21_L,0.00489207433518497
ALCD22_D,0
ALDD20xm,0.00136702683680062
ALDD21,0.000691349312303042
ALDD2xm,0.00497313778935874
ALDD2y,0.0183352716162508
ALDSTRNte,0.00108006874909672
ALDSTRNtm,-0.00108006874909672
ALOX12,0.00105063789003229
ALOX5,0.0016405406022308
ALOX52,0.013795032060842
ALR2,0.00544384717651962
ALR3,0.00489207433518497
AMACR2p,0.00727159058701684
AMETr,-0.0234413813888813
AMETt2m,0.0125954780769464
AMPTASECGe,0.0100849094644272
AMPtp,-0.00623812752775984
APAT2rm,0.00140841480129194
ARACHCOAtx,0.00547841253547391
ARACHCPT1,0.00681161468801633
ARACHCPT2,0.00681161468802453
ARACHCRNt,0.00262388582712251
ARACHDCOAtx,0.0161858954291643
ARACHDt2,0.00162524924415109
ARACHDtr,0.023186927819694
ARACHt,0.012820979221542
ARGLYSex,0.0210517203434224
ARGSS,0.00151493152083716
ARSA,0.000694228667946963
R_group_phosphotase_1,0.00637317549587072
R_group_phosphotase_2,0.00966286919856223
R_group_phosphotase_3,0.00399052563023103
ARTFR12,0.00650687815685547
ARTFR41,0.00427522768871102
ARTFR44,0.0408999363985336
