Reaction,Flux_Normalized
10FTHF5GLUtl,0.000665929564673138
10FTHF5GLUtm,0.000665929564673138
10FTHFtl,-0.000665929564673138
10FTHFtm,0.00614662087230929
25HVITD3tin_m,0.00118291242857612
25VITD3Hm,0.00208017858810527
2DR1PP,0
34DHPHAMT,0
34DHXMANDACOX,0.0148225625044965
34DHXMANDACOX_NADP_,-0.0127462292551896
34HPLFM,0.000197084888061797
3AIBTm,0.0132197544256487
3AIBtmi,0.0132197544256487
3DPHBH1,0.000197084888061797
3MOBt2im,0.0326032230934035
3MOX4HOXPGALDOX,0.0208335463233011
3MOX4HOXPGALDOX_NADP_,-0.0184248573699722
3SALAASPm,-0.0181162859012324
41R1H2MAE12BOOX,0.00115005981312906
41R2A1H12BOOX,0.000926273436172387
4HBZCOAFm,0.000197084888061797
4HBZFm,0.000197084888061797
4HGLSDm,0.00891278419556163
4HOXPACDOX_NADP_,-0
4MPTNLte,0.00140833850707778
4MPTNLtm,-0.00140833850707778
5AOPtm,-0.00206636758393521
7DHCHSTEROLtr,-0.015525023109594
7THFtm,0.000348483696558585
A4GALTc,0.00345322048957294
A4GALTg,0.000660176304074427
AACTOOR,0.00458189248602026
ABUTt4_2_r,-0.030635286498522
ACACT1rm,0.0433210157863919
ACACT1x,0.0145281536436595
ACACT8p,0.00907016165214935
ACACT9p,0.000707998430721287
ACALDtm,-0.00348382019895476
ACCOAtn,0
ACCOAtr,-0.0179455460801204
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00117310891666137
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000408307094810063
ACGALK,0.00797483678900895
ACGALK2,0.00449845159400747
ACGALtly,0.00506479566939634
ACGAM6PSi,0.0160450826201866
ACGAMK,0.00484990976840395
ACGAMPM,0.00830624755152673
ACGAMtly,0.00300881675295954
ACHEe,0.00747499791113937
ACHtn,-0
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000617584188280247
ACNAMlt,-0.00422408668103919
ACOAD1fm,0.000784386910907064
ACOAD9m,0.00315423567579177
ACONTm,-0.00843307060772977
ACRNtm,-0.0512456845959866
ADA,0.00411060136950159
ADAe,0.00336893440715095
ADCim,0.00678437003554801
ADEt,-0.0493957044160528
ADHAPtx,0.0229854698491798
ADK3,-0.0621618019873776
ADK3m,0.000394142519606617
ADKd,-0.00145694259877644
ADMDC,0.00077687448196487
ADNK1m,0.00227615370337217
ADNt,0.00921098965716748
ADNt4,0.0190204351708196
ADNtm,-0.00264084159312914
ADRNCOAtx,0.00125989694208022
ADRNCPT1,0.00303947703248283
ADRNCPT2,0.00303947703249455
ADRNCRNt,0.00475772092902267
ADSK,0.00542882174981951
ADSL1,0.000641057275439628
AGLPC,0.00112550642568089
AGLPH,0.00112550642568089
AGPAT1,0.00665764075820604
AHCYStr,0.0100764107899297
AKGDm,0.0312515713936068
AKGtp,-0.00358972673109432
ALASm,0.00206636758393521
ALATA_L,-0.0441715291093872
ALCD21_L,0.00111650136978478
ALCD22_D,0.0263388286079741
ALDD21,0.0198977184042272
ALDD2xm,0.00348382019895476
ALDD2y,0.0102701899132758
ALDSTRNte,0.00114295344712979
ALDSTRNtm,-0.00114295344712979
ALOX12,0.000548221975021054
ALOX5,0.00482270294570021
ALOX52,0.00285356976242435
ALR2,0.00111650136978478
ALR3,0.00111650136978478
AMETr,-0.0100764107899295
AMETt2m,0.027970555576866
AMPTASECGe,0.0166913879456965
AMPtp,-0.00924541435566445
APAT2rm,0.00228973990081485
ARACHCOAtx,-0.000337823979605431
ARACHCRNt,0.0419497584806978
ARACHDCOAtx,0.0160070579853654
ARACHDt2,0.012651126847399
ARACHDtr,-0.0195149739965343
ARGSS,0.00106891221013503
ARSA,0.00052845772158976
R_group_phosphotase_1,0.00335873775505811
R_group_phosphotase_2,0.0121234343046094
ARTFR11,0
ARTFR203,0.0226507306879809
ARTFR43,0.00394215156131049
ARTFR51,0.00144189367929856
ARTFR61,0.0534062195594891
ARTPLM1,0.0553055497039786
