Reaction,Flux_Normalized
10FTHFtm,-0.00193985925004561
1MNCAMti,0.000308775636636367
25VITD3Hm,0.00163037566361659
2HBO,0.0452280422699396
34DHXMANDACOX,0.00114464971356583
34HPLFM,4.2717739176464e-05
35CGMPtn,0.000609048140179978
3DPHBH1,8.86957037690874e-05
3DSPHR,0.00263222332145875
3HBCOAHLm,0.000803384055538257
3MOBt2im,0.0216511034316296
3MOX4HOXPGALDOX,0.00161739986203525
3MOX4HOXPGALDOX_NADP_,-0.000270142382858141
3SALAASPm,-0.0101754329920647
41R2A1H12BOOX,0.00114464971356583
4HBZCOAFm,5.47434167596439e-05
4HBZFm,5.47434167596439e-05
4HOXPACDOX_NADP_,0.00164175866526373
4MPTNLte,0.0037237287857131
4MPTNLtm,-0.0037237287857131
5ADTSTSTERONESte,0.0130336823632567
5AOPtm,-0.00196305808909606
6HTSTSTERONEte,0.0009783497740858
6HTSTSTERONEtr,-0.0009783497740858
7DHCHSTEROLtr,-0.0175045060109036
A4GALTc,0.00250559876056246
AACTOOR,0.00510628053210842
ABUTt4_2_r,0
ACACT1rm,0.0510441479775257
ACACT1x,0.00718069939465583
ACACt2m,-0.0161109863708278
ACACT8p,-0
ACACT9p,0.000736872294860016
ACCOAtr,-0.0304428911011981
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000580116155845027
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000600718346239387
ACGALK,0.00332186603412157
ACGALK2,0
ACGALtly,0.0187479466172966
ACGAMK,0.0121776470857294
ACGAMPM,0.0115277986798629
ACGAMtly,0.000446444443469323
ACITL,0.000960241459828206
ACNACNGAL14ACGLCGALGLUSIDEte,-0.00171919883328759
ACNAMlt,-0.0105365193263777
ACNMLr,0.00471588071851409
ACOAD1fm,0.0432691712956904
ACOAD9m,0.000803384055538257
ACOAO7p,0.00645695697644519
ACONTm,-0.000366378920599976
ACRNtm,-0.0431495569328339
ACt2m,-0.0352608476692318
ADCim,0.00427019276045993
ADEt,-0.00830934075622072
ADHAPtx,0.000364583087005026
ADK1m,-0.0106678434421666
ADK3m,0.00214411471673622
ADMDC,0.00266375684417456
ADNK1m,0.0141083505671476
ADNt4,0.0190454243161529
ADNtm,0.0141083505671476
ADPMAN,0.000344983943038487
ADRNCOAtx,0.0016315781421022
ADRNCPT1,0.000373982179088506
ADRNCPT2,0.000373982179119173
ADRNCRNt,0.00230592244181368
ADRNt,0.0107788021731352
ADSK,0.00634116898946803
AGLPC,0.000364583087005026
AGLPH,0.000364583087005026
AGTim,0.000779745522749588
AKGDm,0.0631722242584183
AKGtp,-0.00407209669911122
ALADGLNexR,-0.00420510363814019
ALASm,0.00196305808909606
ALATA_L,0.00154532816678976
ALCD21_L,0.00133210886449144
ALCD22_D,0
ALDD20xm,0.000854822645887586
ALDSTRNte,0.00332949573224835
ALDSTRNtm,-0.00332949573224835
ALOX12,0.000776945120928052
ALOX5,0.00110225430031501
ALOX52,0.0324012217318194
ALR2,0.00133210886449144
ALR3,0.00133210886449144
AMACR2p,0.00591986686250957
AMETt2m,0.0180466963514473
AMPTASECGe,0.00389521676618604
AMPtp,0.00184057011848767
ANDRSTRNte,-0.0155160000768555
ANDRSTRNtr,0.0155160000768555
ARACHCOAtx,-0.001099940148307
ARACHCPT1,0.00375733594724099
ARACHCPT2,0.00375733594727114
ARACHCRNt,0.00306329807050789
ARACHDCOAtx,-0.00229565929061814
ARACHDt2,-0.00616396433421489
ARGSS,0.00108014803481485
ARGt4,0.0170187850047126
ARSA,0.000471121366451363
R_group_phosphotase_1,0.00374643437497458
R_group_phosphotase_2,0.00725185257373934
R_group_phosphotase_3,0.00297665362423348
ARTFR12,0.00795536682465165
ARTFR41,0
ARTFR61,0.0409895178209176
ARTPLM1,0.017682107574521
ARTPLM1m,0.0275218386829105
ARTPLM2,0.00725185257373934
ARTPLM3,0.00223698573527063
ASNS1,0.000660163901906672
ASPCTr,0.0429010793521512
ASPNATm,0.00256543301205896
ASPTAm,-0.00829329945442734
ATP1ter,0.000708101298489776
ATP2ter,0.014968144815746
ATPasel,0.000546272211513303
ATPH2e,0.0238052972052801
ATPtm,0.058770489899856
ATPtn,0.00824775728372375
ATPtx,-0.00184057011848869
B3GALT41g,0.000230681365223715
BBHOX,0.000391102276703012
BHMT,0.00534925799449883
BILDGLCURt,0.0108991596901498
BILDGLCURtr,0.0168614671664736
BILGLCURtr,0.00953509681385619
