Reaction,Flux_Normalized
10FTHF5GLUtl,0.000705145068695614
10FTHF5GLUtm,0.000705145068695614
10FTHFtl,-0.000705145068695614
10FTHFtm,0.0200219016949675
1MNCAMti,0.000563655908635347
1PPDCRp,0.0022175100942783
25HVITD3t,0.00146499236468863
25HVITD3tm,0.00146499236468863
2DR1PP,0.00970812135663405
34DHXMANDACOX_NADP_,0.0014455627148211
34HPLFM,0.000135741142741659
3AIBTm,0.0106389253431318
3AIBtmi,0.0106389253431318
3DPHBH1,7.17780367163626e-05
3DPHBH2,6.3963106025296e-05
3MOBt2im,0.0343162811501377
3MOX4HOXPGALDOX,0.0264211113084862
3MOX4HOXPGALDOX_NADP_,-0.0229222096157996
3SALAASPm,-0.0120686474397198
3SALATAim,0.00189205484141685
3SPYRSPm,0.00189205484141685
41R2A1H12BOOX,0.0014455627148211
4HBZCOAFm,0.000135741142741659
4HBZFm,0.000135741142741659
4HOXPACDOX_NADP_,0.00137400021878989
4MPTNLte,0.00147506062578695
4MPTNLtm,-0.00147506062578695
5ADTSTSTERONEte,-0.0177084058006086
5ADTSTSTERONEtr,0.0177084058006086
5AOPtm,0.0496098866985824
A4GALTc,0.00120539775037598
ABUTt4_2_r,-0.0139723589058657
ACACT1rm,0.0643257966733466
ACACT8p,-0
ACACT9p,0.000770690060134176
ACCOAtr,0.0146589507224033
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000745619041089206
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000314085816471338
ACGALK,0.00140877441955289
ACGALK2,0.000967092167087721
ACGALtly,0.00625374387976654
ACGAM6PSi,0.0241667216111944
ACGAMK,0.0013749100213277
ACGAMPM,0.0202362072842436
ACGAMtly,0.00021098927505496
ACHEe,0.00510796185118668
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000366419962042189
ACNAMlt,-0.00324883029829747
ACNMLr,-0.000741665134427895
ACOAD9m,0.0019284269572702
ADEt,0.0155302165919545
ADHAPtx,0.000745629701963563
ADK1m,-0.00244860065399908
ADK3m,0.00159709197477495
ADMDC,0.00719441912382316
ADNt,0.00464744817235339
ADNtm,-0.001725109080019
ADPMAN,0.00113041410012139
ADPRIBt,0
ADPtx,-0.00767359261330482
ADRNCOAtx,0.00179763679290424
ADRNCPT1,0.000218105466951527
ADRNCPT2,0.000218105492559733
ADRNCRNt,-0.000932107651112583
ADRNt,0.0128119555227507
ADSK,0.00446896654874743
AGLPC,0.000745629701963563
AGLPH,0.000745629701963563
AKGDm,0.0253602386134027
AKGMALtm,0.0174639052703296
AKGtp,-0.00679967054301352
ALAGLYexR,0.00674710366018246
ALATA_L,-0.0335503451110937
ALCD21_L,0.00149300225112333
ALCD22_D,0
ALCD2if,0.0381609353313784
ALDD2y,0.00877959550759879
ALDSTRNte,0.0015689606039943
ALDSTRNtm,-0.0015689606039943
ALOX12,0.00080434700612577
ALOX5,0.00544093271886759
ALOX52,0.00273898607730299
ALR2,0.00149300225112333
ALR3,0.00149300225112333
AMETt2m,0.000407223427107888
AMPTASECGe,0.00699890961068497
AMPtp,0.00919606833876225
APAT2rm,0.00344617249734777
ARACHCOAtx,0.00269158424404922
ARACHCRNt,-0
ARACHDt2,0.00356063729201601
ARACHt,0.00507447952589823
ARGLYSex,0.0225869759559825
ARSA,0.000454905991107266
R_group_phosphotase_1,0.00834663180399782
R_group_phosphotase_2,0.0018787249485054
R_group_phosphotase_3,0.0014127732411865
ARTFR11,0
ARTFR208,0.00500206571788945
ARTFR41,0.00290236468030875
ARTFR61,0.0509332026007081
ARTPLM1,0.0370599456934048
ARTPLM2,0.0018787249485054
ARTPLM3,0.0014127732411865
ASNS1,0.0021605298580967
ASPNATm,0.0135158384198278
ASPTAm,-0.0201004284701013
ATP1ter,0.000695423834930361
ATP2ter,0.0286170367590708
ATPH2e,0.00425684478782135
ATPtm,0.0604602608809981
ATPtn,0.00139058682892891
ATPtx,-0.00152247572938062
B3GNT39g,0.000525012999004014
BALAtmr,0.00344617249734777
BALAVECSEC,0.000560289983459134
BHMT,0.00517230070017359
BILGLCURt,-0.000365484730928733
BILGLCURtr,-0.000214706162337784
BILIRUBtr,0.000910129997268145
C161CPT12,-0.0484474399560781
C161CRN2t,-0.000486139560240158
C180CPT2,0.00111187875008196
C180CRNt,0.000113522455190002
C181CPT1,0.0240889415218945
C181CPT2,-0.0151611407947926
C181CRNt,-0.0149145853573308
C204CPT2,0.00383704888931931
C204CRNt,0.00169606672878332
C226CPT1,0.00393959821458033
C226CPT2,0.00393959824015191
C226CRNt,0.00132950431093617
CATm,0.032032726664319
CATp,0.0398721791511865
CDIPTr,0.000587907091184361
CDS,0.000601298495811383
CDSm,0.000802485206676771
CEPTC,0.00118654113505062
CERK,0.00399327797972632
CERT1gt,0
CERT2gt,0.000525012999004014
CERT2rt,0.00064071799882873
CHAT,-0.0489142245851117
