Reaction,Flux_Normalized
25VITD3Hm,0.000945386065476962
2DR1PP,0.0610505341553413
3AIBTm,0.0804966441092265
3AIBtmi,0.0804966441092265
3DPHBH1,8.4531692597785e-05
3HBCOAHLm,0.000710247473480219
3MOX4HOXPGALDOX,0.00527171563776134
3SALAASPm,-0.0100030219335743
3SALATAim,0.00149514573487383
3SPYRSPm,0.00149514573487383
4MPTNLte,0.00465427350679202
4MPTNLtm,-0.00465427350679202
7DHCHSTEROLtr,-0.0356439432338126
A4GALTc,0.0024767495491214
AACTOOR,0.00488724050465671
ACACT1rm,0.00484243080464185
ACACT8p,0.000234608232787054
ACACT9p,0.00150735089588884
ACALDtm,-0.00339478018054987
ACCOAtr,-0.00618018598913594
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000775011500196767
ACGALK,0.0081743048764601
ACGALK2,0.00362356149067652
ACGALtly,0.003563943471921
ACNAMlt,-0.00210112302762506
ACNMLr,-0.0225528978858671
ACOAD9m,0.000710247473480219
ADHAPtx,0.000892538717537069
ADK1m,0.0632982609527505
ADK3m,-0.062218174571113
ADMDC,0.000187044669351036
ADNtl,0.0033748810529674
ADPMAN,0.00378517069534174
ADRNCRNt,-0.0828415073419291
ADRNt,0.00343151985800165
ADSK,0.00740913724122872
AGLPC,0.000234608232787054
AGLPH,0.000234608232787054
AGTim,0.000515799754032427
AKGDm,0.056234283654557
AKGtp,-0.00185970767740042
ALATA_L,0.00543112986149696
ALCD22_D,0
ALDD2xm,0.00339478018054987
ALDD2y,0.00125949332624215
ALOX5,0.00227938480600024
ALOX52,0.00134984426556207
ARACHCOAtx,-0.0014388410001791
ARSA,0.000638302583329103
ARTFR11,0.00437455390475777
ARTFR61,0.0624348903627068
ASAH1,0.000503079489001113
ASNNm,0.0084934647800764
ASNtm,0.0084934647800764
ATP1ter,0.000828858882374022
ATP2ter,0.00224058637098705
ATPH2e,0.0543492767357071
ATPtn,0.00172467030960943
BALAVECSEC,0.0169028027177325
BHMT,0.00282275047105955
BILDGLCURtr,0.0130364990989702
BILGLCURt,-0.00650263808840292
BILGLCURtr,-0.0122076402165981
C160CPT1,-0.0639749285190765
C160CPT2,0.000597495298860605
C160CRNt,0.0047072463846126
C161CPT12,-0.0553935869219675
C161CPT22,0.000754609810277692
C161CRN2t,0.00314956701760047
C180CPT1,0.0132246779244194
C180CPT2,0.0403790745331384
C181CPT1,0.0337210598938505
C181CPT2,0.0028334970724594
C181CRNt,0.00303112956458551
C204CPT1,0.000748853733271195
C204CPT2,0.000748853733271195
C226CRNt,-0.0717807552646021
CATm,0.0211347286389494
CATp,0.0330962368844189
CBR2,0.00746981356008194
CDIPTr,-3.89008984018475e-06
CDSm,1.50726207528645e-05
CEPTC,0.00350280884141965
CEPTE,0.00272810439103881
CERK,0.000890936491141881
CERT1gt,0
CERT1rt,0.000503079489001113
CERT2rt,0.000976848101940567
CHAT,0.000606295944378821
CHLPCTD,0.00459706413319304
CHOLK,0.00090390998074175
CHSTEROLt2,0.0250241561273015
CHSTEROLt3,-0.0195796766624832
CHTNASE,0.00751763262862236
CLPNDCPT1,5.04532713364695e-05
CLPNDCPT2,5.04532713364695e-05
CLPNDt,0.00010205513515281
CLS_hs,3.89008984018475e-06
CMPSAS,0.0120356298442131
CO2tm,-0.0396417572076809
CO2tp,-0.00185970767740042
COAtr,-0.00288702457255257
COt,0.000290880109001403
CRMPte,-0.0167921088644887
CRNCARtp,0.0493373671695296
CRNt,-0.0786454546669679
CSNATer,-0.00618018598913594
CSNATp,0.0493373671695296
CYSGLUexR,0.0130134881902667
CYSO,0.0014951457348737
CYTD,0.0172049383174993
CYTK12,-0.0160019890144375
CYTK14,-0.0206244208627171
CYTK1m,1.50726207528645e-05
CYTK2n,0.00015259850273298
CYTK5,0.0530683067293493
CYTK7,0.00248591911648035
DADNK,0.000868933907957401
DADNt4,-0
DAGK_hs,-0.0658094984198009
DAGKn_hs,-0.000457795508198939
DAGt,-0.0654087664394214
DCIm,-0.0029822058883315
DCK1n,0.00015259850273298
DCSPTN1COAtx,0.00228606434884882
DCSPTN1CPT1,0.00110915034692045
DCSPTN1CPT2,0.00110915034692045
DCTPtn,-0.00015259850273298
DCYTt,-0.0129097434671467
DDPGAm,0.00150955715349794
DECDPtm,8.4531692597785e-05
DESAT18_8,0.00121002575633545
DGSNt,-0.00323313429698136
DHAPA,0.000892538717537069
DHCR242r,0.055416555414947
DHCR72r,0.0356439432338126
DHCRD1,0.00302197737447634
DHDPBMTm,8.4531692597785e-05
DHEASt,-0.00451216183909978
DHEASULT,0.00465427350679202
DHFtm,0.0105263660488071
DINt,0.000325053861932699
D_LACtm,-0.0119297241414105
DLNLCGCPT2,0.000676579337012005
DLNLCGt,-0
DMNONCRNt,0
DNADtn,-0.00172467030960943
DNDPt14m,0.00343604786697742
DNDPt21m,0.00343604786697742
DOPAMT,0.0160117354294688
DOPAtu,0.00296278420870357
DPHMBDCm,8.4531692597785e-05
DPPS,8.4531692597785e-05
DRIBt,-0.0610505341553413
ECOAH12m,0.000710247473480219
ECOAH1x,-0.000264919857521387
EHGLAT2m,0.00150955715349794
EICOSTETt,0.000270856284189169
ELAIDCPT2,-0.0392240769963979
ELAIDt,-0.0402691128740462
ESTRADIOLtr,0.0577875175087925
ESTRIOLtr,0.0006261459342389
ESTRONESt,-0.00437823920939768
ESTRONEtr,-0.0571531130750838
ESTSULT,0.00126055036795306
ETHAK,0.00305816616714866
EX_13_cis_retnglc[e],0.0130364990989702
EX_3aib[e],0.0804966441092265
EX_4hphac[e],0.00156373253214928
EX_4mptnl[e],0.00465427350679202
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],0.000775011500196767
EX_ach[e],-0.000760536828516193
EX_adp[e],-0.0538387998239908
EX_adrn[e],-0.00343151985800165
EX_ak2lgchol_hs[e],0.000234608232787054
EX_ala_B[e],0.00173858382957638
EX_arach[e],-0
EX_arachd[e],-0.00159294257119741
EX_bildglcur[e],-0.0130364990989702
EX_bilglcur[e],0.0130364990989691
EX_chtn[e],-0.00751763262862236
EX_clpnd[e],-0.00010205513515281
EX_cmp[e],0.0168029100831501
EX_co[e],0.000290880109001403
EX_crmp_hs[e],-0.0167921088644887
EX_crn[e],0.0786454546669679
EX_crvnc[e],0.00107447690582392
EX_dheas[e],0.00465427350679063
EX_dopa[e],-0.013782030070728
EX_eicostet[e],-0.000270856284189169
EX_elaid[e],0.0408318908861554
EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs[e],0.000286809443424596
EX_fucgalfucgalacglcgalgluside_hs[e],0.000687359682337291
EX_gbside_hs[e],0.00114148723062673
EX_gchola[e],-0.0708922161565293
EX_gq1balpha_hs[e],0.000989686121249621
EX_gsn[e],0.00414539579296899
EX_gthrd[e],-0.0132603890155677
EX_hdca[e],0.00806883385448011
EX_hdcea[e],-0.00420065895246637
EX_hexc[e],4.30001221112537e-05
EX_hom_L[e],-0.000715241873238074
EX_hpdca[e],0.00165960675255787
EX_idp[e],-0.000763389111239716
EX_leuktrA4[e],-0.0119105447500013
EX_leuktrD4[e],0.0136972719339536
EX_leuktrF4[e],-0.000436882918390231
