Reaction,Flux_Normalized
10FTHFtm,0.0141723751615389
2DR1PP,0.01096248026067
2HBO,-0.0112919698064024
34DHOXPEGOX,-0.0166133167713641
34DHOXPEGt,-0.0166133167713641
34DHXMANDACOX,0.00612255787071454
34DHXMANDACOX_NADP_,0.0126650270683023
34HPLFM,0.0208289415246787
3DPHBH1,0.000133983243955605
3DPHBH2,0.000133724284119018
3MOX4HOXPGALDOX,0.00950127627587504
3MOX4HOXPGALDOX_NADP_,-0.00878338900751156
3SALAASPm,-0.0114440173679559
3SALATAim,0.00138426885506839
3SPYRSPm,0.00138426885506839
41R2A1H12BOOX,0.00217426816765352
4HBZCOAFm,0.000148674376751525
4HBZFm,0.000148674376751525
4HOXPACDOX_NADP_,0.00180871869782184
4MPTNLte,0.0017944807600998
4MPTNLtm,-0.0017944807600998
A4GALTc,0.00443389884962817
AACTOOR,0.00249837776074947
AACTtm,0.00249837776074947
ACACT1rm,0.00300155120829561
ACACT1x,0.00953298764945054
ACACT8p,0.00183819924788935
ACACT9p,0.00097711838333234
ACCOACm,0.0418492604711416
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00225337982261683
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000692272746063242
ACGALK,0.0152667136901948
ACGALK2,0
ACGALtly,0.00482847088862776
ACGAM6PSi,0.0193519494396527
ACGAMK,0.00436600388007991
ACGAMPM,0.0118003731097466
ACGAMtly,0.00352923348643212
ACNACNGAL14ACGLCGALGLUSIDEte,-0.00151628492199119
ACNAM9PL,0.00043626358395148
ACNAMlt,-0.00400136080298587
ACNAMPH,0.00043626358395148
ACOAD10m,0.0040844783245801
ACOAD8m,0
ACOAD9m,0.00768816108330016
ACOAO7p,0.00751082475151909
ACONTm,-0.00514665758341977
ACRNtm,-0.0615864990097969
ADEt,-0.00310048197576945
ADHAPtx,0.0168743313690294
ADK1m,0.00606541182463045
ADK3,-0.0634877091464384
ADK3m,0.00199315261415056
ADKd,0.00407942152191346
ADMDC,0.00339131288434232
ADNK1m,0.00650464167111317
ADNt,-0.00643941103029436
ADNtm,0.0048078452666257
ADPMAN,0.00181340044719334
ADRNCPT1,0.00287742119112029
ADRNCPT2,0.00287742119112022
ADRNCRNt,0.000329355864909715
ADRNt,-0.00185421659120584
ADSK,0.00634515061325305
AGLPC,0.00142613304386929
AGLPH,0.00142613304386929
AGPAT1,0.00194859203819532
AKGDm,0.0558486704698439
AKGtp,0.0685861322443417
ALATA_L,-0.0261471282937305
ALCD21_L,0.00139092561428059
ALCD22_D,0.0115665392589902
ALCD2yf,0.0540286756182897
ALDD21,0.0137702764571447
ALDD2y,0.0187127946702137
ALDSTRNte,0.00102241406777494
ALDSTRNtm,-0.00102241406777494
ALOX12,0.000801994786059703
ALOX5,0.00157006849377896
ALOX52,0.0313511755414245
ALR2,0.00139092561428059
ALR3,0.00139092561428059
AMACR2p,0.00240585522750565
AMETt2m,0.0201093422497744
AMPtp,-0.00858401991576472
AOBUTDsm,0.00249837776074947
APAT2rm,0.00215214014413566
ARACHCOAtx,0.000850888159629282
ARACHCPT1,0.000608496649346936
ARACHCPT2,0.00060849664934823
ARACHCRNt,-0.000820780915564665
ARACHDCOAtx,0.0180690891885593
ARACHDt2,0.0246575036991943
ARACHDtr,0.023778839321675
ARGSS,0.000755633325738724
ARSA,0.000596578714709229
R_group_phosphotase_1,0.00272077276101453
R_group_phosphotase_2,0.00194859203819532
R_group_phosphotase_3,0.00244223667062874
ARTFR203,0.0283403343654965
ARTFR41,0.00703631113322862
ARTFR61,0.033576460970314
ARTPLM1,0.0458741961155489
ARTPLM3,0.00244223667062874
ASNNm,0.0191030396047753
ASNt4,0.0322250216354758
ASNtm,0.0191030396047753
ASPTAm,0.00765902223681964
ATP1ter,0.00191209084805465
ATP2ter,-0.00232676735485518
ATPasel,0.000779129595533043
ATPH2e,0.0167664105929728
ATPtm,0.049246384829814
ATPtx,0.00858401991576472
BALAtmr,0.00215214014413566
BHMT,0.0149044791479326
BILDGLCURt,-0.00936756445181265
BILDGLCURtr,0.00766368879593728
BILGLCURtr,-0.0144043677332544
BILIRED,0.0149425583901254
BILIRUBt2,-0.0195021259854489
BILIRUBtr,0.00766368879593728
BUTt2m,0.0020781146736472
C160CPT1,0.0230796625823622
C161CPT1,0.0248151594734149
C161CPT12,-0.0195184265783547
C161CPT22,-0.00999878376224965
C161CRNt,0.0248151594734149
C180CPT1,0.0119946259059271
C180CPT2,0.0149541993484557
C180CRNt,0.00634625940580471
C181CPT2,0.0110685526504678
C181CRNt,0.00448409195398761
C204CPT1,-0.0163024057250426
C204CPT2,0.00176668346351689
C226COAtx,-0.00114462399462159
C226CPT1,0.00488933525402356
C226CPT2,0.00488933525402373
C226CRNt,0.000695490439218527
CATm,0.027209874578306
CATp,0.0357924603894713
CDIPTr,-0.00256047687325881
CDS,0.000911523675066406
CDSm,0.00117622308678697
CEPTE,0.00156120756896687
