Reaction,Flux_Normalized
10FTHFtm,0.00157872386957333
13DAMPPOX,0.00224542943400429
1MNCAMti,0.00125351447366453
25HVITD3t,0.00131650099592319
25HVITD3tm,0.00131650099592319
2DR1PP,0
34DHOXPEGOX,-0.00290431760656835
34DHOXPEGt,-0.00290431760656835
34DHXMANDACOX,0.0103912494812539
34DHXMANDACOX_NADP_,-0.00550661914749256
3AIBTm,0.0107430276498306
3AIBtmi,0.0107430276498306
3HLYTCL,0.00144213324246767
3MOBt2im,0.0101739808666217
3MOPt2im,0.018198114913313
3MOX4HOXPGALDOX,0.0179761332995976
3MOX4HOXPGALDOX_NADP_,-0.0132598424240953
3SALAASPm,-0.0118913808000396
3SALATAi,0.00234306724463058
3SALATAim,0.00249061721601455
3SPYRSP,0.00234306724463058
3SPYRSPm,0.00249061721601455
41R2A1H12BOOX,0.00198031274351027
4HOXPACDOX_NADP_,0.00255383130138247
4MOPt2im,0.026097001857235
4MPTNLte,0.00223562832024692
4MPTNLtm,-0.00223562832024692
5AOPtm,0.0340435831825729
5MTHFt,-0.0194472239440608
7DHCHSTEROLtr,-0.0278424870489648
A_MANASEly,0.000338257699448433
ABUTt4_2_r,-0.0401109158005139
ACACT10m,-0.0476279332362266
ACACT1rm,0.051874737304921
ACACT7p,0.000746898634763363
ACACT8p,0.00372053577393398
ACACT9p,-0
ACALDtm,-0.0050795523030189
ACCOAtr,-0.0104403662096148
ACETONEt2,0.0118303663886581
ACETONEt2m,0.010400408532966
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000609025896346366
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000383418381500772
ACGALK,0.00529494903644547
ACGALK2,0.00308051292863475
ACGALtly,0.0124177325713816
ACGAM6PSi,0.0244758731466666
ACGAMK,0.00876844653785137
ACGAMPM,0.0232384526489288
ACGAMtly,0.00559627301833828
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000664166065585038
ACNAMlt,-0.00895011877477964
ACNMLr,-0.00123558868704132
ACOAD1fm,0.00246782346005149
ACOAD8m,0
ACOAO7p,0.00218650556241548
ACODA,0.0108435793577624
ACRNtm,-0.0194435098635966
ACt2m,-0.0129877704861551
ACTLMO,0.00205753556113098
ACTNMO,0.00142995785569217
ADAe,0.00588024697213394
ADCim,0.00142995785569217
ADEt,-0.00511627549972308
ADHAPtx,0.0220593199121828
ADK1m,-0.00623048772697519
ADK3,-0.0534408937866825
ADK3m,-0.00556001234674684
ADKd,-0.00483889349225093
ADMDC,0.00819394481140268
ADNK1m,0.00534900874076072
ADNt4,0.0155875983212752
ADNtm,0.00295033119061376
ADPMAN,0.00524041981482266
ADPtx,0.00256345759126947
ADRNCOAtx,-0.00185675455678026
ADRNCPT1,0.00285085282113174
ADRNCPT2,0.00285085283742257
ADRNCRNt,0.00311723803924141
ADRNt,0.0145429951648514
ADSK,0.00650996495809875
AGLPC,0.00136924415790195
AGLPH,0.00136924415790195
AGPAT1,0.00380451129299877
AGTim,0.0103082977556004
AHEXASEly,0.000338257699448433
AKGDm,0.0433026875047039
AKGMALtm,0.0128535104911198
AKGtp,-0.00108861103024622
ALADGLNexR,0.00991895605114395
ALADGLYexR,0.0140735106051892
ALAGLNexR,0.000208466515166446
ALAGLNNaEx,0.0186768522470585
ALAGLYexR,0.00480002663972149
ALASm,0
ALAt2rL,0.00460138613829052
ALAt4,0.017890932952577
ALATA_L,-0.0297668236318791
ALCD21_L,0.00581367084389332
ALCD22_D,0.0120194688720495
ALDD20xm,0.0013606317087531
ALDD21,0.027047631210943
ALDD2xm,0.0050795523030189
ALDD2y,0.0205655389105762
ALDSTRNte,0.00110690266355105
ALDSTRNtm,-0.00110690266355105
ALOX12,0.00131923856593951
ALOX5,0.0019699739193805
ALOX52,0.0159996371313841
ALR2,0.00644124854936963
ALR3,0.00581367084389332
AMETt2m,0.00783435421775943
AMPDA,0.00970963500948177
AMPTASECGe,0.0138279095167014
AMPtp,-0.00576511001553795
ANDRSTRNte,0.0161659697750445
APAT2rm,0.00800221572044245
APRTO2,0.00235316982490385
ARACHCOAtx,0.00599969862123973
ARACHCPT1,0.00455235370661701
ARACHCPT2,0.00455235371475708
ARACHCRNt,0.00394338900603949
ARACHDt2,-0.0065987064537496
ARACHDtr,0.0284876311145512
ARACHt,0.0185519759584612
ARGLYSex,0.0217521149921598
ARGSS,0.00142735751179738
ARSA,0.000672701080294845
R_group_phosphotase_1,0.00392908984198231
R_group_phosphotase_2,0.0076073942969037
ARTFR12,0.00888095480563219
ARTFR203,0.0195153473359139
ARTFR41,0.00592877140696155
ARTFR43,0.0029070620091658
ARTFR44,0.0310690893077964
ARTFR61,0.0260124319637753
ARTPLM1,0.0510379671100171
ARTPLM2,0.0104008836455286
ARTPLM3,0.00257050112747576
