Reaction,Flux_Normalized
10FTHFtm,0.0113411621622914
25HVITD3t,0.00484358445224301
25HVITD3tm,0.00210347621309112
34DHOXPEGOX,0.00916505788735703
34DHOXPEGt,0.00916505788735703
34DHPLACOX_NADP_,0.00122177213616704
34DHXMANDACOX_NADP_,-0.00778463505207359
34HPLFM,0.00750100528013898
3AIBTm,0.00268149013994964
3AIBtmi,0.00268149013994964
3DPHBH1,8.06081763668037e-05
3MOBt2im,0.0203981376127827
3MOX4HOXPGALDOX,0.0124965116447886
3MOX4HOXPGALDOX_NADP_,-0.00938901318820501
3SALAASPm,-0
41R2A1H12BOOX,0.00138042283454015
42A12BOOX,0.00122177213616704
4HBZCOAFm,8.06081763668037e-05
4HBZFm,8.06081763668037e-05
4HGLSDm,0
4HOXPACDOX_NADP_,0
4MOPt2im,0.0300854296794608
4MPTNLte,0.00230137268802529
4MPTNLtm,-0.00230137268802529
5ADTSTSTERONEte,-0.0211384521868758
5ADTSTSTERONEtr,0.0211384521868758
7DHCHSTEROLtr,-0.0275442843472377
A4GALTc,0.00307207713819062
AACTOOR,0.00181883484890147
AACTtm,0.00700577536363277
ABUTt4_2_r,-0.0343310671684523
ACACT10m,-0.0508544506104732
ACACT1rm,0.0408692851431734
ACACT1x,0.0103563846759202
ACACt2m,-0.0210456338221331
ACACT8p,-0
ACACT9p,0.00123694620434408
ACALDtm,-0.00539187842476403
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000738399886148299
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000562227891610618
ACGALK,0.00409818609643424
ACGALK2,0.00270315385624358
ACGALtly,0.0158039314388003
ACGAM6PSi,0.0274447278470736
ACGAMK,0.00389861979056388
ACGAMPM,0.025172063088964
ACGAMtly,0.000780956109326886
ACITL,0.00164926914421305
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000778474837443112
ACNAM9PL,0.000411057336180226
ACNAMlt,-0.00432873184005433
ACNAMPH,0.000411057336180226
ACNAMtn,0.00793833156616761
ACOAD1fm,0.00108236756741207
ACOAD9m,0.0119304517072405
ACONTm,-0.0133842199418642
ACt2m,-0.00539187842476403
ACt2r,-0.0286468021225914
ADCim,0.00347559136360956
