Reaction,Flux_Normalized
10FTHF5GLUtl,0.00177894091318103
10FTHF5GLUtm,0.00177894091318103
10FTHFtl,-0.00177894091318103
10FTHFtm,0.0104440413442283
25HVITD3t,0.00149726336959912
25HVITD3tm,0.00149726336959912
34DHOXPEGOX,-0.00455442632238304
34DHOXPEGt,-0.00455442632238304
34DHXMANDACOX,0.00455442632238304
34HPLFM,0.0047265471721297
3DPHBH1,6.94873826971915e-05
3DPHBH2,7.61035920605549e-05
3DSPHR,0.00202048491041965
3MOBt2im,0.0171829699892832
3MOX4HOXPGALDOX,0.015406250718314
3MOX4HOXPGALDOX_NADP_,-0.0119809620443137
3SALAASPm,-0
3SALATAi,0.000949532402147879
3SPYRSP,0.000949532402147879
4HBZCOAFm,0.000145590974757746
4HBZFm,0.000145590974757746
4HOXPACDOX_NADP_,-0.0146348947578937
4MPTNLte,0.00254422126384069
4MPTNLtm,-0.00254422126384069
5ADTSTSTERONESte,0.0171422717090141
5AOPtm,-0.00123313726311918
6DHFtl,0.00068020543405471
6DHFtm,0.00068020543405471
7DHCHSTEROLtr,-0.0126472122454897
A4GALTc,0.00251440815209959
AACTOOR,0.00660285092742587
ABUTt4_2_r,-0.0155666015450076
ACACT10m,-0.00195240580471389
ACACT1rm,0.0509864462955906
ACACT1x,0.00732481346662834
ACACt2m,-0.0163619280606773
ACACT8p,0.00445604009270082
ACACT9p,-0
ACALDtm,-0.00407851215932026
ACCOACm,0.0503661369256651
ACCOAtn,0
ACCOAtr,-0.00161570630480279
ACETONEt2,0.00150874558385897
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000904866656275935
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000497407678519215
ACGALK,0.00440076166611935
ACGALK2,0.00248832553594681
ACGALtly,0.0196873289931849
ACGAM6PSi,0.0244779200957865
ACGAMK,0.00510600885751188
ACGAMPM,0.0204005104134519
ACGAMtly,0.00123018509316559
ACHtn,-0
ACITL,0.00148845526967403
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000491372569522457
ACNAMlt,-0.00958333878182747
ACOAD1fm,0.000898907414322592
ACOAD8m,-0
ACONTm,-0.00591615361927946
ACRNtm,-0.0501155158924922
ACt2m,-0.0203123310650889
ACTNMO,0.00150874558385897
ADAe,0.00880544437747278
ADCim,0.00150874558385897
ADEt,-0.0202368158810317
ADHAPtx,0.0208219696981067
ADK1m,-0.0117949611496998
ADK3,-0.0558489172296688
ADK3m,-0.00940301693419535
ADKd,-0.000621864079288663
ADMDC,0.00628246897504836
ADNt,0.0251630264119012
ADNtm,-0.00436399921413337
ADPMAN,0.00225952425356301
ADPRIBt,0
ADPtx,0.00416406908040405
ADRNCOAtx,0.000564682004306931
ADRNCPT1,0.00303263131258404
ADRNCPT2,0.0030326313125838
ADRNCRNt,0.000194804789269778
ADRNt,0.00991098663672978
ADSK,0.005688782851892
ADSL1,0.000942199794000107
AGLPC,0.00118137884248737
AGLPH,0.00118137884248737
AHCYStr,0.0194498564389801
AKGDm,0.0331403688869675
AKGtp,-0.000827583013364047
ALADGLNexR,0.00893232030604757
ALADGLYexR,0.0103130551025499
ALASm,0.00123313726311918
ALATA_L,-0.0310551526241068
ALCD21_L,0.00304431365148304
ALCD22_D,0.0238759801737776
ALDD21,0.0165428989075849
ALDD2xm,0.00407851215932026
ALDD2y,0.0150100328280705
ALDSTRNte,0.00627921430335932
ALDSTRNtm,-0.00627921430335932
ALOX5,0.00134550825939705
ALOX52,0.0333275360751461
ALR2,0.001535568067624
ALR3,0.00304431365148304
AMACR2p,0.0114727710081293
AMETr,-0.0194498564389801
AMETt2m,0.0139581914730125
AMPDA,0.00761007854422238
AMPTASECGe,0.0189183731332355
AMPtp,-0.00416406908040403
APAT2rm,0.000861566811195298
ARACHCOAtx,0.00961797171010182
ARACHCRNt,0.0220307686025198
ARACHDCOAtx,0.00926248807668831
ARACHDt2,0.011680762241726
ARACHDtr,-0.0229114753983965
ARACHt,0.0151016349358144
ARGLYSex,0.0252056188766154
ARGSS,0.000946765191004082
ARSA,0.00113358856291241
R_group_phosphotase_1,0.0027854282145065
R_group_phosphotase_2,0.0054628105839358
R_group_phosphotase_3,0.0124088364285054
ARTFR11,0.00915651652049161
ARTFR12,0.00565460870722406
ARTFR42,0.0344030993050838
ARTFR61,0.0349569159547468
ARTPLM1,0.0552733561539809
ARTPLM2,0.0115539865603842
ARTPLM3,0.00519560168533468
ARTPLM3m,0.0049507229886951
ASNNm,0.0150622083872905
ASNS1,0.00120191915230254
ASNtm,0.0150622083872905
ASPCTr,0.0282105572984978
ASPGLUm,0.0180552136766985
ASPNATm,0.00304549648866475
ASPTAm,-0.00603850177807267
ATP1ter,0.00375936586987175
ATP2ter,0.0334723241422021
ATPH2e,0.0108761867396798
ATPtm,0.0455329711518864
BALAtmr,0.000861566811195298
BILGLCURt,0.00915721974677679
BILGLCURtr,0.0470582561558058
BILIRUBt2,-0.029960964452021
BILIRUBtr,-0.0298034385638327
BUTt2m,0.00345268647403257
C160CPT1,0.0138468045802564
C160CPT2,0.00301471697686018
C160CRNt,0.000182560614422284
C161CPT12,-0.0309260171225165
C161CPT2,0.0229918215284338
C161CPT22,-0.00470061931989099
C161CRN2t,-0.00388905549149039
C180CPT1,0.0249349858442028
C180CPT2,0.00431505559816722
C180CRNt,0.00090639250478457
C181CPT1,0.0300477746670505
C181CPT2,0.00914506781780909
C181CRNt,0.00369034233951504
C204CPT1,-0.016267315817084
C204CPT2,0.00173136611643091
C204CRNt,-0.000142191665186386
C226CPT1,0.00455141627657608
C226CPT2,0.00455141627657578
C226CRNt,-0.000966473521481713
CATm,0.0464229030966732
CATp,0.0337431858014277
CBPPer,0.00284434813966837
CBPter,0.00284434813966837
CBR2,0.0171870897428832
