Reaction,Flux_Normalized
34HPLFM,0.000275648296875476
3MOX4HOXPGALDOX,0.0105234167676949
3SALAASPm,-1.6928819986865e-05
4HOXPACDOX_NADP_,0
4MOPt2im,0.00029688870487484
4MPTNLte,0.000126235438380878
4MPTNLtm,-0.000126235438380878
ACACT1rm,0.00492326340859135
ACACT8p,2.17585073496809e-05
ACACT9p,0.000139569841247781
ACCOACm,0.00690074316400773
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000309249518127586
ACGALK,0.00172709089429383
ACGALtly,0.000148292703101114
ACGAM6PSi,0.000568702076411294
ACGAMPM,0.000568702076411294
ACNACNGAL14ACGLCGALGLUSIDEte,-9.99058800944029e-05
ACNAMlt,-7.41463515505572e-05
ADHAPtx,2.17585073496809e-05
ADK3m,-0.0460283460020054
ADMDC,4.12701874693254e-05
ADNt,-0.0469289225000483
ADNtm,-0.0464300522152939
ADPtx,-0.00516217650465321
ADRNCRNt,-0
ADRNt,-0
ADSK,0.00136893552757288
AGLPC,2.17585073496809e-05
AGLPH,2.17585073496809e-05
AKR1C41,0.00480361752854442
AKR1D,0.00480361752854442
ALATA_L,-8.02235473555736e-05
ALCD22_D,-0
ALDD2y,0.000126235438380878
ALDSTRNte,0.00292481338049075
ALDSTRNtm,-0.00292481338049075
ARACHCOAtx,-4.80775362999258e-05
ARACHCRNt,-0
ARGSS,8.81368834806278e-05
R_group_phosphotase_1,0.000870857321533361
ARTFR41,0.00155044712456723
ARTFR61,0.0189607139830791
ASPTAm,-1.6928819986865e-05
ATP1ter,0.00137735468150195
ATPtm,0.0913324961436419
ATPtx,0.00516217688728397
BAAT2x,0.00516217650465321
BAAT3x,2.19766779258711e-06
BHMT,2.19766779258711e-06
BILIRUBtr,0.000417460448295637
C161CPT12,-0.0189607139830791
C180CPT2,0.000765322938304662
C204CPT1,0.000135709088984419
C204CPT2,0.000135709088984419
CATm,0.0193873929725418
CATp,0.013404463791009
CDSm,4.45177863866875e-05
CEPTC,0.000279446269953397
CERK,0.00043527072500786
CERT1rt,0.000265356753100919
CHAT,0.00197929558898984
CHLPCTD,0.00111881407366743
CHOLK,0.00088313560007859
CHOLt4,-0.0868032665704014
CHOLtu,0.086700916666848
CHSTEROLt2,0.000463238312002302
CHSTEROLtg,0
CLPNDCRNt,-0
CLPNDt,-0
CMPSAS,0.00485525232315085
CO2tm,0.00684001983747169
CO2tp,9.41857625394476e-07
COt,0.000417460448295637
CRNCARtp,0.0101962473270075
CRTSTRNt,0.00292481338049075
CRTSTRNtm,0.00292481338049075
CRVNCtr,-0
CSNAT3x,0.0101845339102711
CYSGLTH,-0.00167797039547655
CYSt4,0.0191980054657753
CYSTA,1.03345864014376e-05
CYTK10n,0.00017325117948475
CYTK11n,-0.00017325117948475
CYTK13,0.00649379562826027
CYTK1m,4.45177863866875e-05
CYTK2n,-0.00034648504808441
CYTK5,-0.00597406192544812
CYTK7,0.0116016177165961
CYTK7n,0.0001732536499135
CYTK8,-0.00562755684040438
CYTK8n,-0.00086623998185197
CYTK9n,0.000519735168614
DAGK_hs,-0.0178761948031693
DAGt,-0.0175967465246063
DCIm,-0.000910113850152816
DCK1n,-0.000346482377837307
DCK2n,-0.0001732536499135
DCSPTN1COAtx,1.51334241745383e-05
DCSPTN1CPT1,5.27220261698922e-05
DCSPTN1CPT2,5.27220261698922e-05
DCSPTN1t,6.78550411852294e-05
DCTPtn,0.000519735168614
DGCHOLtx,2.19766779258711e-06
DHAPA,2.17585073496809e-05
DHCR71r,0.0062111057766294
DHEASt,-0.000188702335706227
D_LACtm,-2.96246218244215e-05
DLNLCGCPT1,-0.0207357442877828
DLNLCGCRNt,0.0071057724279078
DLNLCGt,0.00113185114813298
DMHPTCRNte,-0.145232050524169
DOPAMT,0.00329034720890257
DSAT,0.00250972306052191
DTDPtn,0.00086623998185197
DTTPtn,-0.00086623998185197
EICOSTETt,-0
ELAIDCPT1,0.00925755209657401
ELAIDCPT2,-0.000503767327926268
ESTRADIOLtr,8.78759438136034e-05
ESTRONEtr,-8.78759438136034e-05
EX_4mptnl[e],0.000126235438380878
EX_5mthf[e],-0.0698047287147395
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],0.000309249518127586
EX_acnacngal14acglcgalgluside_hs[e],9.99058800944029e-05
EX_adp[e],0.00231523774916778
EX_adrn[e],-0
EX_ala_B[e],4.12701874693254e-05
EX_aldstrn[e],0.00292481338049075
EX_arach[e],-0
EX_arachd[e],-0.00094398687979141
EX_bilglcur[e],0.000417460448295637
EX_chol[e],0.000102348700953497
EX_clpnd[e],-0
EX_co[e],0.000417460448295637
EX_crtstrn[e],-0.00292481338049075
EX_crvnc[e],-0
EX_dag_hs[e],0.0175967465246063
EX_dcsptn1[e],-6.78550411852294e-05
EX_dlnlcg[e],-0.00113185114813298
EX_estrones[e],-1.03345864014285e-05
EX_fucgalfucgalacglcgalgluside_hs[e],0.000159546678189305
EX_gbside_hs[e],-0.00158422427943271
EX_gq1b_hs[e],-0.00228065236188178
EX_h2o2[e],0.0415180675917689
EX_hdca[e],-0
EX_hdcea[e],-0
EX_hexc[e],-0
EX_hpdca[e],-0
EX_idp[e],-0.000353916614456053
EX_leuktrA4[e],-2.57656099376354e-06
EX_leuktrE4[e],2.57656099376354e-06
EX_lgnc[e],-6.98360436496067e-05
EX_lnlc[e],-0
EX_lnlnca[e],-8.40084245832469e-05
EX_lnlncg[e],0.000970190460040646
EX_ncam[e],0.000652725025676112
EX_nrvnc[e],-0
EX_o2s[e],-0.0830361351835379
EX_oagt3_hs[e],0.000532659395430644
EX_ocdca[e],-0
EX_ocdcea[e],-0
EX_octa[e],0.00467734686458452
EX_paf_hs[e],2.17585073496809e-05
EX_peplys[e],-0.00204171238416095
EX_prgstrn[e],-0.000150348583290261
EX_prostge1[e],0.000644474850278945
EX_ptdca[e],-0
EX_Rtotal2[e],2.17585073496809e-05
EX_sph1p[e],-0.00432871864562059
EX_sphs1p[e],0.00181899518423204
EX_strdnc[e],-0.0143189808292006
EX_tchola[e],0.00516217650465321
EX_tmndnc[e],-0.00169565184147756
EX_tsul[e],1.03345864014376e-05
EX_ttdca[e],-0
EX_vitd3[e],-0
FACOAL140i,0.000376594541408415
FACOAL150,0
FACOAL160i,2.17585073496809e-05
FACOAL170,0.00152355108301304
FACOAL1813,-0.00189469850838451
FACOAL181i,0.000289680167617726
FACOAL1821,0
FACOAL1822,0
FACOAL184,0
FACOAL203,0.00183736525079835
FACOAL2042,0
FACOAL205,-0.0716056651373312
FACOAL224,0
FACOAL2251,0.000943444184048714
FACOAL2252,0
FACOAL226,0
FACOAL240,6.98360436496067e-05
FACOAL244_1,0
FACOAL245_1,0
FACOAL245_2,0
FACOAL246_1,0
FACOAL260,0
FAS100COA,1.9498634767568e-05
FAS140COA,0.000629364908940221
FCLTm,0.000417460448295637
FRUt1r,-0.0275807021861054
FTHFDH,0.00058679937793524
FUMm,0.00129143826406076
GABAVESSEC,0.00181072644004517
GALGLUSIDEtl,-7.41463515505572e-05
GALOR,-0.000418998822671491
GALtly,7.41463515505572e-05
GAMt1r,0.000568702076411294
GAO2,0.000532659395430644
GBSIDEte,-0.00158422427943271
GDPtg,0.145232050524169
GFUCS,0.000937592392633783
GLCt1r,0.00608721543192536
GLDBRAN,4.9270287851154e-06
GLUCYS,4.38662719544562e-05
GLUDxm,-1.06202083951606e-05
GLUNm,1.06202083951606e-05
GLYC3Ptm,2.47317139671384e-05
GLYOXm,2.96246218244215e-05
GPAM_hs,0.0188287790569876
GTHOm,0.00064758247043131
GTHRDtr,0.000703333643263232
GTHS,4.38662719544562e-05
GUACYC,0.000415534257988246
H2CO3Dm,0.00691767197983693
H2O2tm,0.0384023245995191
H2O2tp,0.0134044633859817
H2Otly,0.000296585406202229
H2Otp,-0.00103240973862045
HEX4,0.000937592392633783
HEXCCOAtx,0.000139569841247781
HMGCOASim,0.00492326340859135
HMGCOAtm,-0.00492326340859135
HMGCOAtx,0.00492326340859135
HOXG,0.000417460448295637
HPDCACRNt,-0
HSD3A1r,0.0129758916492953
HSD3A2r,-0.0129758916492953
HSD3B7P,0.00480361752854442
Htg,-0.145232050524169
ICDHyrm,-0
ILEtec,-0.0144008655390706
LCYSTCBOXL,0.00516217650465321
LEUt5m,-0.00029688870487484
LEUTAm,-0.00029688870487484
LEUtec,-0.0319531444859895
LGNCCOAtx,-6.97337975981741e-05
LGNCt,6.98360436496067e-05
LNELDCCRNt,-0
LNLCCPT1,-0.000970190460040646
LNLNCAt,8.40084245832469e-05
LNLNCGCRNt,-0
LNLNCGt,-0.000970190460040646
LPASE,0.000435429801564437
LSTO1r,0.0062111057766294
MANt1r,0.000937592392633783
MDRPD,4.12701874693254e-05
METAT,0.000540140061812135
METS,0.000496672189644616
MGSA2,2.96246218244215e-05
MI13456PK,0.000159840047311252
MI145PK,0
MI34PP,0.000346483331401165
MOGAT,2.17577971649539e-05
MTAP,4.12701874693254e-05
NADHtru,0.0129758916492953
NADPHtxu,0.00927272817982855
NADPtxu,0.00927272817983236
NADtpu,0.0124176376251225
NADtru,0.0129758916492953
NDP7er,0.000417460448295637
NDPK1m,-0.0385274902540717
NDPK3m,4.45177863866875e-05
NMNATr,0
NRVNCCOAtx,0
NTPP9,0.000353916614456053
O2ter,0.0148700372429291
O2tm,0.00433054887831424
OAGT3te,0.000532659395430644
OCCOAtx,-1.9498634767568e-05
OCTAt,0
ODECOAtx,1.60786354169758e-05
P45027A12m,0.00516217649332309
P45027A13m,0.00516217649332309
P45027A15m,0.00480361752854442
P45027A16m,0.00480361752854442
P4504F122r,0.000959893873878074
P4507A1r,0.00480361752854442
PAFS,2.17585073496809e-05
PAIL_HStn,0.00034648333139977
PAIL45P_HStn,-0.00034648333139977
PCm,1.6928819986865e-05
PCRNtc,0.0101845339102711
PDE4,0.000415533478092135
PGPP_hs,2.47317139671384e-05
PGSr,0.000450161019699503
PHEMEtm,0.000417460448295637
PI345P5P,0.00416419410871439
PI3P3Pn,0.00034648333139977
PI3P5K,0.02000060757672
PI45P3K,0.00034648333139977
PIK3n,0.00034648333139977
PIK5n,0.00034648333139977
PItx,-0.0158024935985042
PLA2,2.17585073496809e-05
PMI1346PH,0.000159840047311252
PPAm,0.003432847921737
PPItr,-0.00179481512734418
PRGNLONEtm,-0.000126235438380878
PRGSTRNt,0.000150348583290261
PROSTGE1t,-0.000644474850278945
PROtm,7.76521423652472e-05
PSSA2_hs,-0.0005121143244538
PTRCOX1,0.000643270974449918
PYNP2r,0.0434324616433716
PYRt2m,1.6928819986865e-05
RBK_D,4.1270314795118e-05
RETNt,-5.71931459120222e-05
RTOT4,0.00155044712456723
RTOT6,0.0189607139830791
RTOTAL2t,-2.17585073496809e-05
RTOTALt,0.000435427519968924
SADT,0.00136893552757288
SARCOXp,2.19766779258711e-06
