Reaction,Flux_Normalized
34DHOXPEGOX,0.00532568734593897
34DHOXPEGt,0.00532568734593897
34DHXMANDACOX_NADP_,-0.00532568734593897
34HPLFM,9.13856411546515e-05
3DPHBH1,0.000113598333942095
3MOBt2im,-0
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,0.00442824110731176
3SALAASPm,-0.00159903463630113
4HBZCOAFm,0.000113598333942095
4HBZFm,0.000113598333942095
4HGLSDm,0.00159903463630113
4HOXPACDOX_NADP_,0.00462007931425407
4MPTNLte,0.00288461315570221
4MPTNLtm,-0.00288461315570221
7DHCHSTEROLtr,-0.0249150256278315
A4GALTc,0.00152633001479099
AACTOOR,0.00229188330202486
AACTtm,0.00198635801863342
ABUTt4_2_r,0
ACACT10m,-0.0162026066236123
ACACT1rm,0.0477531591640915
ACACT9p,0.000632685772384682
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000668419354317229
ACGALK,0.0168240184821326
ACGALtly,0.00189439128490614
ACGAM6PSi,0.0153714917877352
ACGAMK,0.00275676494163075
ACGAMPM,0.00116145821607006
ACNAMlt,-0.000947195642453069
ACNAMtn,0.00857986275277964
ACOAD10m,0.00495844046351082
ACOAD8m,-0
ACONTm,-0.00345563016176526
ADHAPtx,0.000257462947850253
ADK1m,0.0327324382555507
ADK3m,-0.0256085601407843
ADMDC,0.00277401190613115
ADNK1m,0.00122450181931404
ADNtm,0.00122450181931404
ADRNCOAtx,0.000449487238830722
ADRNCPT1,0.00026375702866854
ADRNCPT2,0.000263757028669165
ADRNCRNt,0.0025563534870981
ADSK,0.00474614344859578
AGLPC,0.000257462947850253
AGLPH,0.000257462947850253
AKGDm,0.0685443385335256
AKGMALtm,0.0218606635460547
ALADGLYexR,-0.022702051898284
ALAGLNexR,0.00219869319050229
ALATA_L,-0.0514126582397326
ALCD22_D,0
ALDSTRNte,0.00296275449801494
ALDSTRNtm,-0.00296275449801494
ALOX5,0.00420922444601604
ALOX52,0.00199352143337371
ANDRSTRNte,-0.00223891036073406
ANDRSTRNtr,0.00223891036073406
AOBUTDsm,0.00198635801863342
APRTO2,0.00299278117104944
ARACHCOAtx,0.0395535429134952
ARACHCRNt,-0
ARACHDCOAtx,0.0237096445184397
ARACHDtr,-0.0126717288506357
ARACHt,0.0404254082725959
ARGSS,0.00120364119946919
R_group_phosphotase_1,0.014060909470578
R_group_phosphotase_2,0.000257462947850253
ARTFR61,0.00687390401679349
ARTPLM1,0.00720656315194171
ARTPLM3,0.00230716999971903
ASPCTr,0.0173479112638985
ATP1ter,0.00300276205736841
ATPH2e,0.0139973852309896
ATPtm,0.0685395267224471
BALAVECSEC,0.0176490823279368
BILDGLCURtr,0.0018445409439465
BILIRED,0.0003787620465213
BILIRUBtr,0.0003787620465213
BUTt2m,0.0046367915967429
C160CPT1,-0.0212031723938673
C161CPT22,0.00366785563290541
C180CRNt,-0
C181CPT2,-0.000252450645920793
C204CPT1,-0.0227766837435231
C204CPT2,0.000932960774916423
C204CRNt,0.00167581152085528
C226COAtx,-0.00125515559695123
C226CPT1,0.00655422873560031
C226CPT2,0.00655422873560031
CATm,0.06154818074983
CATp,0.0357169391570014
CBR2,0.00913108254371298
CDIPTr,-0.00175790812239345
CDS,0.000946906470604748
CERK,0
CERT1gt,0
CERT2rt,0.000979055516300274
CHAT,0.00881810971898534
CHLPCTD,0.00227367104576561
CHOLK,0.0014401513437835
CHSTEROLSULT,0.000991868987623084
CHSTEROLt1,0.0259068946154551
CHSTEROLt3,-0.0219698227500516
CHTNASE,0.000918921647210251
CLPNDCOAtx,0.00125515559695123
CLPNDCPT1,0.00055516594849422
CLPNDCPT2,0.00055516594849422
CLPNDCRNt,0.00055516594849422
CLPNDt,6.15658240022395e-05
CLS_hs,5.17597668931368e-06
CMPACNAtg,0.000997107430143274
CMPACNAtn,0.00857986275277964
CMPSAS,0.00774380039495477
CMPSASn,0.00857986275277964
COAtp,0.00615462334219074
COt,0.0003787620465213
COUCOAFm,0.000113598333942095
CRNt,-0
CRNtx,-0.012293343281458
CRTSTRNt,0.00296275449801494
CRTSTRNtm,0.00296275449801494
CRVNCtr,0.00447872272703015
CSm,0.0041490965206421
CSNAT2m,0.012293343281458
CSNAT2x,-0.012293343281458
CSNAT3x,0.012293343281458
CTPtn,0.00857986275277964
CYSGLUexR,3.46355932426555e-05
CYSTA,0.00182716904279822
CYTDt,-0.0306654843360472
CYTK13,0.0365601130816339
CYTK14,-0.030876375564347
CYTK14n,0.0204544377394057
CYTK5,0.0447877879533198
CYTK6,-0.0025821452507918
CYTK8,-0.0191187867268801
CYTK9,-0.0310858013661454
DADNK,0.000450804674719305
DADNt4,-0
DAGK_hs,0.0202590288333983
DAGKn_hs,-0.0259999088886489
DAGt,-0.00685603799893473
DASCBR,0.0249919758557512
DCIm,-0.00187955473902989
DCK1m,-0.0204544377394057
DCK2n,0.0204544377394057
DCSPTN1CPT1,0.00020930455876607
DCSPTN1CPT2,0.000209304558767825
DCSPTN1CRNt,0.00236943810801968
DCSPTN1t,-0.000889282571102756
DCTPtn,-0.0204544377394057
DCYTt,-0
DDPGAm,0.00159903463630113
DECDPtm,0.000113598333942095
DESAT22_1p,0.000449487238830722
DESAT22_2p,0.00125515559695123
DHAPA,0.000257462947850253
DHCR72r,0.0249150256278315
DHCRD2,0.0133084208260854
DHDPBMTm,0.000113598333942095
DHEASt,-0.0248079497993378
DHEAtr,-0.00288461315570221
DHORD9,0.0173479112638985
DINt,-0
D_LACtm,-0.00229188330202486
DLNLCGCPT1,0.0297638508239737
DLNLCGCRNt,0
DLNLCGt,0.00704217197053217
DMNONCOACRNCPT1,0.012293343281458
DMNONCRNt,0.00846966533632543
DNDPt15m,0
DNDPt23m,0.0773017413946015
DNDPt33m,0.0757355956875832
DNDPt37m,0.0773017413946015
DNDPt38m,0
DOPABMO,0.00186910755526139
DPHMBDCm,0.000113598333942095
DPPS,0.000113598333942095
DRPA,0.0453028464666557
DSAT,0.00195991885139515
DTDPtn,-0.00483279206484147
