Reaction,Flux_Normalized
34DHXMANDACOX,0.00162907879132588
34HPLFM,9.06207924065409e-05
3DPHBH1,9.06207924065409e-05
3MOBt2im,0.05859155791129
3MOX4HOXPGALDOX,0.00690181701813639
3SALAASPm,-0.0227404349245943
41R1H2MAE12BOOX,0.00162907879132588
4HBZCOAFm,9.06207924065409e-05
4HBZFm,9.06207924065409e-05
4HOXPACDOX_NADP_,-0.0177223381529945
4MPTNLte,0.001928484779494
4MPTNLtm,-0.001928484779494
5AOPtm,-0.00303984460370626
6DHFtl,0.000139004557275287
6DHFtm,0.000139004557275287
7DHCHSTEROLtr,-0.014343159611374
A4GALTc,0.00136361653926302
AACTOOR,0.0110147270397612
ACACT1rm,0.0559608469261925
ACACT1x,0.00103545886382293
ACACt2m,-0.0383901304531924
ACACT7p,0.00432765276872591
ACACT8p,-0
ACACT9p,0.00187869145838512
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00052540179053876
ACGALK,0.0021373666834101
ACGALtly,0.00409308285500877
ACGAM6PSi,0.0176217255141659
ACGAMK,0.00178237422310947
ACGAMPM,0.0123936669858402
ACNAMlt,-0.00215878330889297
ACOAD10m,0.00464177262821331
ACOAD1fm,0.000854220616941052
ACOAO7p,0.00151725056522405
ACt2r,-0.0290507611325969
ADHAPtx,0.0205533408903545
ADK1m,0.0261840145177074
ADK3m,-0.022979607028024
ADMDC,0.00694595907637621
ADNtm,-9.03574140096418e-05
ADPMAN,0.0025646497650165
ADRNCOAtx,0.00123931046517799
ADRNCPT1,0.000505651920054162
ADRNCPT2,0.000505651920054162
ADRNt,0.0454375599014031
ADSK,0.00116821582851432
AGLPC,0.000361440893156807
AGLPH,0.000361440893156807
AGPAT1,0.00516034640211614
AGTim,0.00303984460370626
AKGDm,0.00303984460370626
AKGMALtm,0.0119499869687324
AKGtp,0.0773147577076332
AKR1D,0.00196226865840533
ALASm,0.00303984460370626
ALATA_L,-0.0475950513317474
ALCD21_L,0.00116914832247806
ALCD22_D,-0
ALDD20xm,0.00147601907980904
ALDD2y,0.0141809989109243
ALDSTRNte,0.00278278812603309
ALDSTRNtm,-0.00278278812603309
ALOX5,0.00129525156320201
ALOX52,0.0178137149717708
ALR2,0.00116914832247806
ALR3,0.00116914832247806
AMETt2m,0.000271862377219623
AMPDA,0.0264390486053328
AMPtp,0.000754947661301582
APRTO2,0.00137196745622032
ARACHCPT1,0.000966064490849484
ARACHCPT2,0.000966064490849484
ARACHDt2,-0.0225969554804534
ARACHDtr,-0.0283691277044875
ARGSS,0.00118032652397928
ARGt4,0.0116642898749799
ARSA,0.000224483762777415
R_group_phosphotase_1,0.00454671851076946
R_group_phosphotase_2,0.00597054566941576
ARTFR41,0.0135724415804882
ARTFR61,0.0397806008543912
ARTPLM1,0.0191142383995619
ARTPLM2,0.00404299854019414
ASCBt,-0.00469900166734965
ASNNm,0.00377138666212687
ASNtm,0.00377138666212687
ASPTAm,-0.0177163301062348
ATP1ter,0.000115457422902336
ATP2ter,0.0264216552551864
ATPtm,0.0331733758891864
ATPtx,-0.000754947661301765
BAAT2x,0.000204031286028057
BALAVECSEC,0.000330445102826551
BILGLCURtr,0.000115457422902336
BUTt2m,0.00202761554017278
C161CPT1,-0.0262790980163996
C161CPT12,-0.0425910030578999
C161CPT22,-0.00300131335139824
C161CRN2t,-0.0031360940555287
C180CPT2,0.00203141028230356
C181CPT2,-0.000307851927004119
C204CPT1,0.00208833824740292
C204CPT2,0.00208833824740292
C226CPT1,0.00435814026942974
C226CPT2,0.0043581402694366
C226CRNt,-0.000144259619516083
CATm,0.0302607127312937
CATp,0.0519612478918413
CDIPTr,0.0010281796548642
CDPDAGtm,-0.000907912533180678
CDS,0.000802471639397616
CDSm,0.000907912533180678
CEPTC,0.0187710407532269
CERK,0.00447308416391883
CERT1rt,-0.0185641827856749
CERT2rt,0.000186297063049918
CGLYt3_2_,0.0373428716810607
CHAT,-0.0144960772140138
CHLPCTD,0.00075550858942789
CHOLATEt2,0.0691735485070383
CHOLATEt3,0.000319629575748925
CHOLK,0.0089726052686066
CHSTEROLSULT,0.000229668327332313
CHSTEROLt2,0.0491338626404535
CHSTEROLt3,-0.0460089054244062
CHTNASE,0.000594124741036489
CITtam,-0.0114953825450549
CLPNDCOAtx,-0.00306349592357029
CLPNDCPT1,0.000412882252075805
CLPNDCPT2,0.000412882252082154
CLPNDCRNt,-0.000545897387524015
CLPNDt,0.000878109499046214
CLS_hs,5.10123240424531e-06
CMPSAS,0.0157372511287176
CO2tm,0.035923085264767
COAtr,-0.00225310741534613
COUCOAFm,9.06207924065409e-05
CRMPte,0.0041830902010995
CRNCAR3tp,0.0180804291728987
CRNCARtp,0.0292828066998312
CRNtHa,0.0144144369986541
CRNtx,0
CRTSTRNt,0.00278278812603309
CRTSTRNtm,0.00278278812603309
CRVNCtr,0.000829417098896964
CSNAT2m,-0.000381555526671075
CSNAT3x,0.0277512937353736
CSNATp,0.0292828066998312
CSNATr,0.0423570642809152
CYSGLTH,-0
CYSt4,0.0158124278225566
CYSTA,0.015605019881444
CYTK11,0.0328781956727123
CYTK11n,-0.0117257706708762
CYTK12,-0.0117666537894824
CYTK12n,0.0100570315576544
CYTK13,-0.00692319962081365
CYTK13n,-0.0175641440694458
CYTK14,0.01089269404834
CYTK7,0.0162930068733744
CYTK7n,-0.00917585162499199
CYTK8,0.00692319962081365
CYTK9,-0.00482241415460962
CYTK9n,0.00917585162499199
DADA,0.00826722940421823
DADNK,0.000524095365603407
DADNt4,0.00444376570006128
DAGK_hs,-0.0555028998056842
DAGt,-0.0545222419042019
DASCBR,0.00469900166734965
DCIm,-0.00429323086337354
DCK1n,-0.0157724919564694
DCK2n,-0.00346039122619087
DCSPTN1CPT1,0.00037884528006669
DCSPTN1CPT2,0.000378845280063379
DCSPTN1CRNt,-0.000605894731641506
DCTPtn,0.0192328831826382
DCYTt,-0.0197544078676423
DDPGAm,0.00303984460370626
