Reaction,Flux_Normalized
10FTHF5GLUtl,0.000853366542638743
10FTHF5GLUtm,0.000853366542638743
10FTHFtl,-0.000853366542638743
10FTHFtm,-0.00226934779477329
11DOCRTSTRNtm,0.000886567507430053
25HVITD3tin_m,0.00126547877780796
25VITD3Hm,0.00245569409887537
2DR1PP,0.00706970553431047
2HBO,-0.00853073218252176
34DHOXPEGOX,-0.00851586612767365
34DHOXPEGt,-0.00851586612767365
34DHXMANDACOX,0.0100968029531958
34DHXMANDACOX_NADP_,0.0021795457539256
34HPLFM,0.0070972300537434
3AIBTm,0.00417539604037276
3AIBtmi,0.00417539604037276
3DPHBH1,0.000105199785918525
3DPHBH2,0.000117276942287562
3MOX4HOXPGALDOX,-0
3MOX4HOXPGALDOX_NADP_,0.00315644973414581
3SALAASPm,-0.00949814590675935
3SALATAi,0.00118378857229548
3SPYRSP,0.00118378857229548
41R1H2MAE12BOOX,0.0021785482354689
41R2A1H12BOOX,0.00158193442604055
4HBZCOAFm,6.72740370592272e-05
4HBZFm,6.72740370592272e-05
4HGLSDm,0.00495162635416107
4HOXPACDOX_NADP_,0
4MOPt2im,0.0320923337892013
4MPTNLte,0.00311116442322017
4MPTNLtm,-0.00311116442322017
5ADTSTSTERONESte,0.0266804390598338
5ADTSTSTERONEtr,0.0266804390598338
5AOPtm,-0.00135230345021502
7DHCHSTEROLtr,-0.0142143214789747
7THFtm,0.000462647262647071
A4GALTc,0.00209911910112513
ABUTt4_2_r,-0.0215270239110291
ACACT1rm,0.061933755391761
ACACT1x,0.00590969815598983
ACACt2m,-0.00766662243618397
ACACT8p,-0
ACACT9p,-0
ACALDtm,-0.00238485912627353
ACCOAtr,-0.00747349478661987
ACETONEt2m,-0.000906366039503067
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00125168359382867
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000411717150054361
ACGALK,0.00334984886368904
ACGALK2,0.00291315606189321
ACGALtly,0.017972208681275
ACGAM6PSi,0.0282678568144336
ACGAMK,0.00271500002630482
ACGAMPM,0.020607003413474
ACITL,0.00198740535843728
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000489016950530793
ACNAMlt,-0.0165841320622854
ACNAMtn,0.00815580549857672
ACNMLr,-0.00186339156273641
ACOAD1fm,0.00219839017918378
ACOAD9m,0.00198409600525726
ACOAO7p,0.00504954132163936
ACONTm,0.00476923002946876
ACOX2x,0.00105323436618125
ACRNtm,-0.0251858100794303
ACTNMO,0.000906366039503067
ADAe,0.00891234052305721
ADCim,0.0098217899978456
ADEt,-0.0149772614262359
ADHAPtx,0.0266262874108185
ADK1m,0.00134086586146579
ADK3m,-0.0270912141371538
ADMDC,0.00385447356503327
ADNt,-0.0103366141809632
ADNt4,0.0172904316768412
ADNtm,-0.00186792740955811
ADPMAN,0.00313715413404659
ADRNCOAtx,0.00150024170752073
ADRNCPT1,0.00273376250993425
ADRNCPT2,0.0027337625915292
ADRNCRNt,0.00213054297144644
ADRNt,0.0163888230399097
ADSK,0.00550022967479548
AGLPC,0.00117738821197553
AGLPH,0.00117738821197553
AHCYStr,0.0208071023667472
AKGDm,0.0387484048256322
AKGMALtm,0.0167524459001262
AKGtp,-0.00722798977652018
AKR1C41,0.0562109849672801
AKR1C42,0.000641583148650271
AKR1D,0.00902039841282006
AKR1D2,0.000641583148650271
ALADGLNexR,0.0123708892713399
ALADGLYexR,0.0129033533228562
ALASm,0.00135230345021502
ALATA_L,-0.0335561847016168
ALCD21_L,0.00328234536996584
ALCD22_D,0
ALDD20xm,0.00132070291401461
ALDD2xm,0.00238485912627353
ALDD2y,0.0285813342429542
ALDSTRNte,0.00114614122360928
ALDSTRNtm,-0.00114614122360928
ALOX12,0.00108584287868297
ALOX5,0.00183306092925229
ALOX52,0.0277087655531586
ALR2,0.00237597929297295
ALR3,0.00328234536996584
AMACR2p,0.00864607757538031
AMACRp,0.00105323436618125
AMETr,-0.0208071024483426
AMETt2m,0.0155965944330596
AMPDA,0.00444889298414722
AMPTASECGe,0.00852869345309181
ANDRSTRNtr,0.000511212849163343
APAT2rm,0.00269566167820043
ARACHCOAtx,0.0033701563309713
ARACHCPT1,0.00195171320145618
ARACHCPT2,0.00195171324216358
ARACHCRNt,0.00173807883531499
ARACHDCOAtx,0.0150242514092762
ARACHDt2,0.00661935292039674
ARACHDtr,0.0180553232162103
ARACHt,0.0163429930377616
ARGLYSex,0.0296364705526097
ARGSS,0.00165044703093959
ARSA,0.000740052387751608
R_group_phosphotase_1,0.00349366398477055
R_group_phosphotase_2,0.00674327754814693
R_group_phosphotase_3,0.0013948241703471
ARTFR12,0.0078810832823995
ARTFR41,0
ARTFR61,0.0567058697347302
ARTPLM1,0.0219276044960306
ARTPLM2,0.00674327754814693
ASNt4,0.0254833997786585
Asn_X_Ser_Thrtr,-0.000230564535363129
ASPTAm,-0.00454651955259828
ATP1ter,0.00437101573350715
ATP2ter,0.00940393033320501
ATPH2e,0.0241493529173217
ATPtm,0.0577681959631275
BAAT2x,0.00119843047221235
BALAtmr,0.00269566167820043
BALAVECSEC,0.00116689641196247
BDMT_L,0.000230564535363129
BILDGLCURtr,0.00448604086178222
BILGLCURt,0.000975811282899836
BILGLCURtr,-0.00959043531129958
BILIRUBt2,-0.0035955503074319
BILIRUBtr,0.00351113683711712
BUTt2m,0.00282973243985911
C161CPT1,0.00720892929705471
C161CPT12,-0.0486449036678404
C161CPT22,-0.00504980128907777
C161CRN2t,-0.00190092566546406
C161CRNt,0.00720892929705471
C180CPT1,0.00115297621563504
C180CPT2,0.00192795309867296
C180CRNt,0.00173692483676565
C181CPT1,0.0187070671718229
C181CPT2,-0.00704712232200634
C181CRNt,-0.00260806399790429
C204CPT1,-0.0186979092936557
C204CPT2,0.000331557989925026
C204CRNt,0.000941543076804483
C226COAtx,-0.00159726525287973
C226CPT1,0.00508404188527554
C226CPT2,0.00508404192651614
C226CRNt,0.00442385499803875
CATm,0.0459058954664272
CATp,0.0537467261509642
CBPPer,0.0078428441981465
CBPter,0.0078428441981465
CBR2,0
CDIPTr,-0.00416308588581647
CDSm,0.00196002443914343
CEPTC,0.00277988885743553
CERK,0.00505244496972066
CERT1gt,0
CERT1rt,0.000969807243168429
CERT2rt,0.000667453181393947
CH25H,0.00492047789343612
CHAT,-0.0282110894268602
CHLPCTD,0.00542570576488824
CHLtm,-0.00207742623059384
CHOLATEt,0.0315992258211353
CHOLATEt2,0.0110183341806729
CHOLK,0.00225637016341545
CHOLtr,0.0169575024802792
CHOLtu,-0.0137642783037803
CHSTEROLt1,-0.00941805623877523
CHSTEROLt2,0.00106612181884493
CHSTEROLt3,-0.00590573061872696
CHSTEROLtg,0.00526176491937798
CHTNASE,0.00152613051653699
CITRtm,-0
CITtam,-0.010038152191298
CKc,-0.0602825886667616
CLOXAtex2,0.00162608966672798
CLPNDCOAtx,-0.00115870655549274
CLPNDCPT1,0.000363078221511351
CLPNDCPT2,0.000363078262751159
CLPNDCRNt,0.00178969711150554
CLPNDt,0.000359051512861433
CLS_hs,7.22045033414648e-06
CMPACNAtn,0.00815580549857672
CMPSAS,0.00778660032635368
CMPSASn,0.00815580549857672
CO2ter,-0.0078428441981465
CO2tm,0.0196874779525024
CO2tp,-0.0125439684675223
COAtm,-0.0086666726845945
COAtp,-0.0194247198637035
COAtr,-0.00962101113960221
COt,0.00143210481530946
COUCOAFm,6.72740370592272e-05
CREATt4_2_r,-0.0602825886667616
CRMPte,0.00297626791603694
CRNCAR3tp,0.0146861715510383
CRNCARtp,0.024545875964775
CRNt,-0.0362778338364417
CRNtuNa,0.0130225094074377
CRTSTRNt,-0.00209855906431714
CRTSTRNtm,0.000259573677097381
CRVNCtr,-0.00269481475876601
CSNAT2m,0.0207982583882305
CSNAT3x,0.0270492739019358
CSNATer,-0.00747349478661987
CSNATm,-0.0512491262896214
CSNATp,0.0131730557261191
CSNATr,-0.00646814580973465
CSNt,0.0056383631612215
CTPtn,0.00815580549857672
CYSGLTH,0.0169958193270027
CYSGLUexR,-0.00893859668818372
CYSO,0.00118378857229548
CYSTA,0.017115096518687
CYSTGLUex,0.00623354390188836
CYTD,0.0181177177468953
CYTDt4,0.00499407390113791
CYTK10,-0.00471477003891584
CYTK10n,-0.00340514414470441
CYTK11,-0.00386065073510422
CYTK11n,0.00340514414470441
CYTK12n,0.00452814625642974
CYTK13,0.0101484675963608
CYTK13n,-0.0334167777268049
CYTK14,-0.0076031630533172
CYTK1m,0.00196002443914343
CYTK2n,0.0188226514867885
CYTK4n,0
CYTK5,0.00856416358754829
CYTK5n,0.00340514414470441
CYTK6,0.00786171688345204
CYTK7,-0.00820202676353193
CYTK8,0.00948619533389184
CYTK9,-0.00546401823767581
DADA,0.00857289515841786
DADNK,0.00175990283468666
DADNt4,0.0230720514367951
DAGKn_hs,-0.00671140825179808
DAGt,-0.0347518863302972
DALAOXx,0.00158877388348266
DALAt2r,0.00378705481163425
DALAxt,0.00158877388348266
DCIm,-0.00450169532988245
DCK1n,-0.00439038673301436
DCK2n,-0.00227044914622386
DCSPTN1COAtx,-0.00228236421485505
DCSPTN1CPT1,0.0029406487570472
