Reaction,Flux_Normalized
1MNCAMti,0.00067089310988426
2HBO,0.000850861911856028
34DHOXPEGOX,0.00470444261686179
34DHOXPEGt,0.00470444261686179
34DHPHAMT,0.00106294220729317
34DHPLACOX_NADP_,0.00106294220729317
34DHXMANDACOX_NADP_,-0.00320482525386337
34HPLFM,0.00749317740954319
3DPHBH1,4.54323966184051e-05
3DPHBH2,9.57850238772319e-06
3HBCDm,0.00441416164382766
3MOBt2im,0.0200617815298528
3MOX4HOXPGALDOX,0.0178052322095136
3MOX4HOXPGALDOX_NADP_,-0.0137875356351357
3SALAASPm,-0.0113087566428002
3SALATAi,0.00094423155819955
3SPYRSP,0.00094423155819955
41R1H2MAE12BOOX,0.00149961736299814
42A12BOOX,0.00106294220729317
4HBZCOAFm,5.50108990061283e-05
4HBZFm,5.50108990061283e-05
4HGLSDm,0.0136206083963706
4HOXPACDOX_NADP_,0.00111616710088725
4MPTNLte,0.00108122155119493
4MPTNLtm,-0.00108122155119493
5AOPtm,-0.00205416705511519
5MTHFt,-0.01799493957165
6THFtm,0.000201471471202815
7DHCHSTEROLtr,-0.0239662762594078
A4GALTc,0.00286860296030014
AACTOOR,0.00263901897193222
AACTtm,0.021657782388135
ABUTt4_2_r,-0.0296449912930351
ACACT1rm,0.0549706034112188
ACACT1x,0.00904898168107669
ACACt2m,-0.00294254797477197
ACACT7p,0.000483577743319034
ACACT8p,0.00222192512135623
ACACT9p,0.000936093626309097
ACACtx,-0.0129534187947256
ACALDtm,-0.0124271013811674
ACCOALm,0.00124095894767756
ACCOAtr,-0.0264190151884153
ACETONEt2,0.00116736474830852
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00128894508164911
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000247442007637081
ACGALK,0.00331879951587817
ACGALK2,0.00166058949720568
ACGALtly,0.0134575464576881
ACGAM6PSi,0.0288921921867847
ACGAMK,0.00117115681240837
ACGAMPM,0.0229742258707853
ACITL,0.000982798790935171
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000423306120846871
ACNAMlt,-0.0118545988971809
ACNAMtn,0.00677085409874243
ACOAD1fm,0.00276847228783665
ACOAD9m,0.00487886083158315
ACOAO7p,0.000483577743319034
ACODA,0.0088340226797385
ACONTm,0.00212075355309858
ACRNtm,-0.0246263783226764
ACSm,0.00126623461855037
ACt2m,-0.0284408250753055
ACTNMO,0.00116736474830852
ADCim,0.00488791188239354
ADEt,-0.00924622502281724
ADHAPtx,0.0143678864405057
ADK1m,0.022536563777389
ADK3,-0.0561823144923404
ADK3m,-0.0179749244737671
ADKd,-0.000234525463976782
ADMDC,0.00492230963309266
ADNt,-0.00493777879820869
ADNtm,-0.00250468176412952
ADPMAN,0.00196357028231604
ADPtx,-0.00147353152545187
ADRNCOAtx,0.00129182159809196
ADRNCPT1,0.00308739990603957
ADRNCPT2,0.00308739990603952
ADRNCRNt,0.0017994159405726
ADRNt,0.0141684419256802
ADSK,0.00794487838457676
ADSL1,0.00061146094147805
ADSL2,0.000249222522288134
AGLPC,0.000799638264831407
AGLPH,0.000799638264831407
AIRCr,0.000249222522288134
AKGDm,0.0181776824072682
AKGMALtm,0.0193248874498804
AKGtp,0.00297814971793759
ALADGLNexR,0.0216240606560559
ALAt4,0.0210453629985952
ALATA_L,-0.0297574764420881
ALCD21_L,0.00456511297838494
ALCD22_D,0
ALCD2yf,0.0198038134375044
ALDD2xm,0.0124271013811674
ALDSTRNte,0.000737678866539918
ALDSTRNtm,-0.000737678866539918
ALOX12,0.00111946374719454
ALOX5,0.00187687239144525
ALOX52,0.0392986707705139
ALR2,0.00339774823007643
ALR3,0.00456511297838494
AMACR2p,0.00748044953961546
AMETt2m,0.000165032697018382
AMPDA,0.00531434000885926
AMPtp,-0.00907759117667623
AOBUTDsm,0.021657782388135
ARACHCOAtx,0.0163472957883524
ARACHCPT1,0.0112422928556276
ARACHCPT2,0.0112422928556279
ARACHCRNt,0.00586664296496811
ARACHDCOAtx,0.0125575506865111
ARACHDt2,-0.0102096189122204
ARACHDtr,-0.0102187415197687
ARACHt,0.02330486667829
ARGSS,0.00142939001626967
ARGt4,0.0222574852759242
ARSA,0.000719832376281617
R_group_phosphotase_1,0.00488497940124238
R_group_phosphotase_2,0.00433411742201697
R_group_phosphotase_3,0.00119384414447593
ARTFR11,0.0286958657536946
ARTFR12,0.0118707495147187
ARTFR203,0.0178104061122075
ARTFR41,0.00855669432528841
ARTFR61,0.0293038213614311
ARTPLM1,0.0377086757220852
ARTPLM2,0.00433411742201697
ARTPLM3,0.0344231190172795
ASAH1,0.00712609376593367
ASNALANaEx,0.0183059623402323
ASNS1,0.000982798821340073
Asn_X_Ser_Thrtr,-4.43933776351402e-07
ASPCTr,0.00525159404507078
ASPTAm,0.00375610073101379
ATP1ter,0.00229224136191229
ATP2ter,0.0112671695809175
ATPH2e,0.016863335371061
ATPtm,0.0529049005855047
ATPtn,0.00491930369387525
ATPtx,0.0105511227021279
BAAT3x,0.00762406175574042
BALAVECSEC,0.0199219139921395
BDMT_L,4.43933776351402e-07
BILGLCURte,0.00151717101925906
BILGLCURtr,0.000294286581893882
BILIRUBtr,0.000722123304582211
BUTt2m,0.00355506411479724
C160CPT1,0.0183635544934987
C160CPT2,0.0183635544934987
C160CRNt,0.0183635544934987
C161CPT1,-0.0323476350857771
C161CPT12,-0.0199825940306802
C161CPT2,0.0140602737163088
C161CPT22,-0.0118515454495138
C161CRN2t,-0.00740888700052724
C161CRNt,0.00732050803366585
C180CPT1,0.0230207037117677
C180CPT2,-0.00632339293110417
C180CRNt,-0.00289983684324169
C181CPT1,0.00436019558244347
C181CPT2,0.00389834595883684
C181CRNt,0.00241677591017724
C204CPT1,-0.0115085361732395
C204CPT2,0.00176051468604931
C204CRNt,0.0011282055084519
C226COAtx,-0.0010815435866335
C226CPT1,0.0045854519748992
C226CPT2,0.0045854519748991
C226CRNt,0.0024368162004905
CATm,0.0426576582052927
CATp,0.0448550438793918
CBR2,0
CDIPTr,-0.00256988695060126
CDPDAGtm,-0.000807040633692304
CDS,0.000512766428412582
CDSm,0.000807040633692304
CEPTC,0.0222052036833413
CERK,0.0052228847426763
CERT1rt,-0.0161065791582583
CERT2rt,0.00209979557257472
CHLPCTD,0.0011552326192403
CHOLK,0.00401214516176753
CHOLtu,0.00319134419204454
CHSTEROLSULT,0.00076682632507146
CHSTEROLt1,-0.00685528264149641
CHSTEROLt2,0.00564124276823732
CHSTEROLt3,0.00335702586845794
CHSTEROLtg,0
CHTNASE,0.000390385604136122
CITt4_2,-0.0261902494525028
CITtam,-0.0172532611489397
CITtbm,0.0442838827615289
CKc,-0.0527072726328251
CLPNDCOAtx,0.0010815435866335
CLPNDCPT1,0.000385355725674468
CLPNDCPT2,0.000385355725674696
CLPNDCRNt,0.000537802875109675
CLPNDt,0.00239448485466998
CLS_hs,1.22993549410409e-05
CMPACNAtg,0.000902234435903104
CMPACNAtn,0.00677085409874243
CMPSAS,0.00807892844084541
CMPSASn,0.00677085409874243
CO2ter,-0.00524199373968183
CO2tm,0.025901564927647
CO2tp,-0.00657333194177807
COAtm,0.00866455131769604
COAtp,-0.0218077210196673
COAtr,0.0549287324981225
