Reaction,Flux_Normalized
10FTHFtm,-0.00111185495462608
24_25DHVITD3t,0.00085349932175108
25HVITD3tin_m,0
25HVITD3tm,0.00085349932175108
25VITD3Hm,0.000640810968304769
2DR1PP,0
2HBO,-0.0300141946829847
34DHXMANDACOX,0.002372650733214
34HPLFM,9.66920346682965e-05
3AIBTm,0.0135717558857789
3AIBtmi,0.0135717558857789
3DPHBH1,0.000164167043198957
3DPHBH2,3.47692603652915e-05
3MOBt2im,0.013824436694931
3MOX4HOXPGALDOX,0.0235623805398833
3MOX4HOXPGALDOX_NADP_,-0.0166052037404569
3SALAASPm,-0.00867500983155546
41R1H2MAE12BOOX,0.002372650733214
4HBZCOAFm,9.66920346682965e-05
4HBZFm,9.66920346682965e-05
4HOXPACDOX_NADP_,0.00122897062993225
4MPTNLte,0.00179362738719818
4MPTNLtm,-0.00179362738719818
5AOPtm,-0.00613033773689199
7DHCHSTEROLtr,-0.022907030588552
A_MANASEly,0.000657384719049936
A4GALTc,0.00352938302966018
ABUTt4_2_r,-0.0610986555499761
ACACT10m,-0.00343503211738444
ACACT1rm,0.0461539782710948
ACACT1x,0.0174655400259605
ACACT8p,0.00314697500724621
ACACT9p,0.00148365466108661
ACACtx,-0.0259257732628424
ACCOACm,0.00835981953874555
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.00107260668089585
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000355622897380009
ACGALK,0.00420603375265627
ACGALK2,0.00182401586279155
ACGALtly,0.00804216586593892
ACGAM6PSi,0.0240697845596371
ACGAMK,0.00184632576171912
ACGAMPM,0.0179513256615508
ACGAMtly,0.00262953887619974
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000450857982654678
ACNAMlt,-0.00609400885681861
ACNAMtn,0.00541952170754008
ACNMLr,-0.00759861380882443
ACOAD1fm,0.000500367310841261
ACOAD9m,0.00111068177081013
ACODA,0.016167237639332
ACONTm,-0.00122339306905978
ACRNtm,-0.0287436305580231
ADEt,0.00104477753091413
ADHAPtx,0.0190846289214795
ADK3m,-0.0149242780930767
ADMDC,0.00190800859521207
ADNt,0.0399142997625098
ADNt4,0
ADNtl,0.00215493827645599
ADNtm,-0.000661696227485092
ADPMAN,0.00579735654115556
ADRNCOAtx,0.00128709932008955
ADRNCPT1,0.000281034291990677
ADRNCPT2,0.000281034292073784
ADRNCRNt,-0.000559219684946888
ADRNt,0.00833280612645358
ADSK,0.00600652257762166
ADSL1,0.000668365498037881
AGLPC,0.000925047959327591
AGLPH,0.000925047959327591
AGPAT1,0.0035966496317409
AGTim,0.00382657398294826
AHCYStr,-0.0030248763456264
AHEXASEly,0.000657384719049936
AKGDm,0.0215763838737238
AKGtp,0.0663399434483636
ALADGLNexR,-0.00572757315939391
ALADGLYexR,-0.00383132538129627
ALASm,0.00613033773689199
ALATA_L,-0.0245209590065258
ALCD21_D,0.0189323389082107
ALCD21_L,0.00340122028862023
ALCD22_D,0.014692356881649
ALDD21,0.0111593965128339
ALDSTRNte,0.000810152255090384
ALDSTRNtm,-0.000810152255090384
ALOX12,0.000704165350668591
ALOX5,0.00129804103104009
ALOX52,0.0349333122279896
ALR2,0.00340122028862023
ALR3,0.00340122028862023
AMACR2p,0.00464708130786396
AMETr,0.00302487634546617
AMETt2m,0.00059680891084521
AMPtp,-0.000434183295331871
ANDRSTRNtr,0.0326870404846134
APAT2rm,0.00254220058705022
APRTO2,0.00134823891974019
ARACHCOAtx,0.000619069079558717
ARACHCRNt,0.0307702012654701
ARACHDCOAtx,0.0255912834883438
ARACHDt2,0.0185526551815158
ARACHDtr,0.00714296496890042
ARGSS,0.000899436844386535
ARSA,0.000686220414031001
R_group_phosphotase_1,0.00219822045273907
R_group_phosphotase_2,0.0081560150310113
R_group_phosphotase_3,0.00211547071813386
ARTFR11,0.0363796852419022
ARTFR12,0.00542893144241791
ARTFR41,0.00983055437430527
ARTFR43,0.00671015216962344
ARTFR61,0.0521287040912147
ARTPLM1,0.0437144312116656
ARTPLM1m,0.0283027335157214
ARTPLM2,0.00455936539927127
ARTPLM3,0.00211547071813386
ASNNm,0.00925207535830476
ASNS1,0.000897824616036904
ASNtm,0.00925207535830476
ASPNATm,0.00362741163916962
ASPt6,0.0170861895986362
ASPTAm,-0.00174491591579857
ATP1ter,0.00122734305803571
ATP2ter,0.0184168006203389
ATPH2e,0.0198626032307882
ATPtm,0.0615040365423234
ATPtn,0.000954483075829728
ATPtx,0.00043418329517186
B_MANNASEly,0.000657384719049936
BALAtmr,0.00254220058705022
BALAVECSEC,0.000771968480300301
BILGLCURt,-0.00450034571718995
BILGLCURte,0.000845724427143448
BILGLCURtr,0.0289019485090162
BILIRUBtr,-0.0282371133076069
BUTt2m,0.00560285879195654
C160CPT2,-0.0138712911320304
C160CRNt,-0.0138712911320304
C161CPT1,-0.00814276195420323
C161CPT12,-0.0484831242443748
C161CPT2,-0.00814276195420323
C161CPT22,0.0149315479113644
C161CRN2t,0.00574848892710229
C161CRNt,-0.00814276195420323
C180CPT1,0.00177995181253532
C180CPT2,0.00472687600761813
C180CRNt,0.0020371017905735
C181CPT1,0.00390887573520554
C181CPT2,-0.0143768390778152
C181CRNt,-0.0140803556474044
C204CPT1,-0.0276539673057349
C204CPT2,0.0036594153977257
C204CRNt,6.98981219224553e-05
C226CPT1,0.00457559018161767
C226CPT2,0.00457559018169838
C226CRNt,0.000887780812905473
CATm,0.0418805243562188
CATp,0.0496698876870911
CBR2,0.0147586595950529
CDIPTr,-0.00183074752020274
CDS,0.000516540811637814
CDSm,0.00191306528944905
CERK,0.00547815413984299
CERT2gt,0.00606275329934169
CERT2rt,0.0012929354416598
CHAT,0.000608132278962772
CHLPCTD,0.00235845469190894
CHOLATEt3,0.000874375062263556
CHOLK,0.00709576453100154
CHOLtr,0.0236744566924186
CHSTEROLSULT,0.000467523401467932
CHSTEROLt1,-0.00646137450681501
CHSTEROLt2,0.0097744560148952
CHSTEROLt3,0.000822051447118946
CHSTEROLtg,0.0199547492415162
CHTNASE,0.00192259603959714
CITtbm,0.0367757879298003
CKc,-0.0329855954054171
CLPNDCPT1,0.00037867295596217
CLPNDCPT2,0.000378672956043507
CLPNDCRNt,-0.000791810860972302
CLPNDt,0.000541575801338877
CLS_hs,1.65985321784626e-05
CMPACNAtg,0.00113560546404263
CMPACNAtn,0.00541952170754008
CMPSAS,0.00657804465913544
CMPSASn,0.00541952170754008
CO2tm,0.0528490806118977
COAtr,-0.00882381728101626
COt,0.000930999616451557
COUCOAFm,9.66920346682965e-05
CRMPte,0.00381837717880944
CRNt,-0.0596923172172444
CRTSTRNt,0.000810152255090384
CRTSTRNtm,0.000810152255090384
CRVNCtr,0.0031759581969207
CSm,0.00333571957562638
CSNAT2m,-0.0066633316215322
CSNATm,-0.0574102646106294
CSNATr,-0.00121853044721259
CTPtn,0.00541952170761877
CYSGLTH,0.0104575726278678
CYSGLUexR,-0.00545181247352259
CYSTA,0.0142665960239735
CYTD,0.00826526054821871
CYTDt,0.00262321752624621
CYTK10n,0.00870932164874664
CYTK11,0.0181151886370108
CYTK11n,0.0113005991570292
CYTK12n,-0.00537255564891844
CYTK13n,0.00268883928963873
CYTK14,-0.013664939824342
CYTK1m,0.00191306528944905
CYTK4n,0.00473703964267219
CYTK5,0.0232811842718055
CYTK5n,0.00196088443271746
CYTK6n,-8.03673216734936e-14
CYTK7,-0.0179270908267014
CYTK8,0.0140729046721285
CYTK8n,-0.00268883928963873
CYTK9n,-0.00798136679198495
DADA,0.00698214078257648
DADAe,0.00665871549446328
DADNK,0.0015214661100039
DADNt4,0.00559618059216491
DAGK_hs,-0.00500423055873355
DAGt,-0.0150544309599054
DASCBR,0.00167445081714325
DCIm,-0.00254118796073397
DCK1n,0.0200518465162116
DCK2n,-0.00669792407546976
DCSPTN1COAtx,-0.00238886514328099
DCSPTN1CPT1,0.000423591739891021
DCSPTN1CPT2,0.000423591739974434
DCSPTN1CRNt,-0.00074092263205799
DCSPTN1t,-0.00333594114362703
DCTPtn,-0.0133539224408228
DCYTt,-0.00876882868922959
DDPGAm,0.00206735285205767
DECDPtm,0.000198936303564249
DESAT18_7,0.000564937860568838
