Reaction,Flux_Normalized
11DOCRTSTRNtm,0.000825135832622988
13DAMPPOX,0.0028643394738769
25HVITD3t,0.0038450256989935
25HVITD3tm,0.00130281257371166
2AMACHYD,0.0209281486299187
2DR1PP,0
34DHOXPEGOX,-0.00969377679412888
34DHOXPEGt,-0.00969377679412888
34DHPHAMT,0.00152993067283933
34DHPLACOX,0
34DHPLACOX_NADP_,0.00152993067283933
34DHXMANDACOX_NADP_,0.00969377679412888
34HPLFM,0.00842852371889792
3DPHBH1,0.000102286243834464
3DPHBH2,0.000122731168451199
3DSPHR,0.00184015393254583
3HLYTCL,0.00386870662758272
3MOX4HOXPGALDOX,0
3MOX4HOXPGALDOX_NADP_,0.00379848598231953
3SALAASPm,-0.0105602629449308
42A12BOOX,0.00152993067283933
4HBZCOAFm,3.88336942228498e-05
4HBZFm,3.88336942228498e-05
4HGLSDm,0.00404395843902394
4HOXPACDOX_NADP_,0.00245991911981168
4MOPt2im,0.0281199356277964
4MPTNLte,0.00211745045786426
4MPTNLtm,-0.00211745045786426
5AOPtm,0.051712477635325
5MTHFt,-0.0235146384537077
6HTSTSTERONEte,0.00111878016469577
6HTSTSTERONEtr,-0.00111878016469577
A_MANASEly,0.000529438667688658
A4GALTc,0.00165243269217079
A4GALTg,0.000966726025569281
AACTtm,0.0134033503565649
ACACT10m,-0.00338574737499869
ACACT1rm,0.0522298462364943
ACACT1x,0.00895044634763384
ACACt2m,-0.00263325977245229
ACACT8p,-0
ACACT9p,0.000902755701927034
ACETONEt2,0.00743879600499161
ACETONEt2m,0.0032959718423937
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000663737489729827
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000335733767731195
ACGALK,0.0028794380796145
ACGALK2,0.00197966119727802
ACGALtlg,-0.000966726025569281
ACGALtly,0.0128517195918959
ACGAM6PSi,0.0242107495288783
ACGAMK,0.00360938159684578
ACGAMPM,0.0188235044168583
ACGAMtly,0.00211775467075463
ACGBGBSIDEtg,-0.000966726025569281
ACGBGBSIDEtl,0.000966726025569281
ACHEe,0.00786937551314156
ACITL,0.00185505761853694
ACNACNGAL14ACGLCGALGLUSIDEte,-0.000509527867023541
ACNAM9PL,0.00035124518601079
ACNAMlt,-0.00600511425057261
ACNAMPH,0.00035124518601079
ACNAMtn,0.00843507870233181
ACNMLr,2.3451610066453e-05
ACOAD1fm,0.000814446342162291
ACOAD9m,0.00245344121784813
ACOAO7p,0.00412650488328891
ACODA,0.00516744736317263
ACONTm,-0.0262254131791899
ACRNtm,-0.0519658317670609
ACSm,0.000820299442810927
ACt2m,-0.0161626430394494
